Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-25,2025-11-06,2025-08-06,2025-05-08,2025-02-18,2024-11-05,2024-08-06,2024-05-08,2024-02-15,2023-11-08,2023-08-03,2023-05-10,2023-02-16,2022-11-09,2022-08-03,2022-05-05,2022-02-17
Revenue & Margin,Segment-1,"E-Commerce, Omnichannel and Consumer Technology",-,-,-,Industrial And Manufacturing,-,-,-,Food and Beverage,-,-,-,Food and Beverage,-,-,-,"E-Commerce, Omnichannel and Consumer Technology"
Revenue & Margin,Segment-1 %,5554.0%,-,-,-,2784.9%,-,-,-,3160.8%,-,-,-,3311.7%,-,-,-,5278.3%
Revenue & Margin,Segment-2,Industrial And Manufacturing,-,-,-,Food and Beverage,-,-,-,Industrial And Manufacturing,-,-,-,Industrial And Manufacturing,-,-,-,Food and Beverage
Revenue & Margin,Segment-2 %,1325.6%,-,-,-,2768.3%,-,-,-,2560.0%,-,-,-,2685.3%,-,-,-,1672.5%
Revenue & Margin,Segment-3,Food and Beverage,-,-,-,Consumer Packaged Goods,-,-,-,Consumer Packaged Goods,-,-,-,Consumer Packaged Goods,-,-,-,Industrial And Manufacturing
Revenue & Margin,Segment-3 %,1197.3%,-,-,-,2618.6%,-,-,-,2438.9%,-,-,-,2283.5%,-,-,-,1251.9%
Revenue & Margin,Others,"Consumer Packaged Goods, Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Product and Service, Other",-,-,-,"Consumer Packaged Goods, Product and Service, Other"
Revenue & Margin,Others %,1923.0%,-,-,-,1828.2%,-,-,-,1840.4%,-,-,-,1719.5%,-,-,-,1797.2%
Revenue & Margin,Revenue Total,13178000000,12921000000,12683000000,12230000000,11709000000,11049000000,10363000000,9911000000,9778000000,9655000000,9471000000,9233000000,8993000000,8788000000,8475000000,8201000000,7940000000
Revenue & Margin,Rev-CoGS / Sale (%),12.513279708605252,12.568686634161445,11.519356619096428,11.7988552739166,12.30677256811,12.471716897456783,13.133262568754223,13.681767732822117,14.133769687052567,14.396685655100985,14.201245908562981,14.036607819776886,13.577226731902591,13.086026399635866,12.684365781710916,12.242409462260701,12.191435768261965
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),6.303779025648809,4.094110362975003,3.043443980130884,3.025347506132461,3.2453668118541295,3.231061634537062,3.3484512206889896,3.702956311169408,3.927183473102884,3.9357845675815644,3.8644282546721573,3.7041048413300115,3.7251195374179917,3.618570778334092,3.528023598820059,3.3044750640165836,3.198992443324937
Revenue & Margin,Op. Income / Rev (%),2.1854606161784793,1.950313443231948,1.6951825277931087,1.6434995911692558,1.8618156973268425,1.8463209340211784,2.0553893660137024,2.391282413479972,3.2521988136633255,3.158984981874676,3.0303030303030303,2.6751868298494528,2.6909818747915044,2.628584433318161,2.3008849557522124,1.9265943177661262,1.9017632241813605
Revenue & Margin,Net Profit / Rev (%),0.24282895735316437,0.6888011763795372,0.4967279034928645,0.6132461161079313,1.1444188231275088,0.9684134310797357,1.350960146675673,1.6849964685702754,2.341992227449376,2.092180217503884,2.1011508816386866,2.0036824434095095,2.1905926831980427,2.355484751934456,2.5486725663716814,2.1460797463723935,1.9269521410579347
EBITDA,Net Income,32000000,89000000,63000000,75000000,134000000,107000000,140000000,167000000,229000000,202000000,199000000,185000000,197000000,207000000,216000000,176000000,153000000
EBITDA,D & A,120337000,113337000,443000000,432000000,415000000,395000000,385000000,370000000,361000000,355000000,343000000,336000000,329000000,318000000,314000000,332000000,335000000
EBITDA,Net Int Inc,-133000000,-103000000,-101000000,-88000000,-69000000,-81000000,-71000000,-70000000,-78000000,-76000000,-59000000,-46000000,-29000000,-24000000,-23000000,-20000000,-21000000
EBITDA,Tax Provision,68000000,42000000,21000000,20000000,8000000,6000000,14000000,20000000,33000000,51000000,55000000,56000000,64000000,64000000,14000000,-6000000,-8000000
EBITDA,EBITDA,353337000,347337000,628000000,615000000,626000000,589000000,610000000,627000000,701000000,684000000,656000000,623000000,619000000,613000000,567000000,522000000,501000000
EBITDA,Stock-Based Comp,34000,9034000,43000000,43000000,39000000,40000000,36000000,34000000,35000000,34000000,35000000,36000000,33000000,30000000,31000000,29000000,28000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,52.64,52.89,48.7,39.08,43.5,52.07,49.79,52.63,61.16,58.65,62.82,50.46,42.69,35.06,43.27,71.34,90.83
Capital Structure,O/S Shares,114495000,115686274,114812000,118991000,119489000,119461000,119427000,119273000,118983000,118941000,118927000,118781000,118658000,118621000,116131000,114731000,114647000
Capital Structure,Market Capitalization,6027016800,6118647031,5591344400,4650168280,5197771500,6220334270,5946270330,6277337990,7277000280,6975889650,7470994140,5993689260,5065510020,4158852260,5024988370,8184909540,10413387010
Capital Structure,Cash,854000000,339000000,205000000,288000000,413000000,548000000,469000000,423000000,468000000,473000000,305000000,426000000,495000000,434000000,384000000,312000000,333000000
Capital Structure,Debt,7898000000,5501000000,5557000000,5309000000,5176000000,5527000000,5423000000,4070000000,4086000000,4008000000,4066000000,4149000000,4219000000,4081000000,3945000000,2782000000,2805000000
Capital Structure,Enterprise Value,13071016800,11280647031,10943344400,9671168280,9960771500,11199334270,10900270330,9924337990,10895000280,10510889650,11231994140,9716689260,8789510020,7805852260,8585988370,10654909540,12885387010
Capital Structure,netCommonStockIssuance,-1000000,207000000,-95000000,-112000000,1000000,-1000000,-3000000,-4000000,-5000000,-1000000,-2000000,-4000000,-4000000,0,-1000000,-11000000,-1000000
Capital Structure,netDebtIssuance,556000000,-49000000,-52000000,45000000,-200000000,-33000000,878000000,-8000000,-6000000,-9000000,-125000000,-29000000,-73000000,-8000000,892000000,-9000000,-13000000
Liquidity & Cash Flow,DSO,54.61982091364395,54.08898305084746,54.76582827406765,56.48845053147996,57.2095183192416,60.246968051407364,61.53189230917688,62.58879023307436,62.88019022294948,62.679440704298294,62.413419913419915,62.450855626556915,62.970921828088514,62.98617432862995,64.06342182890856,63.27749664675039,63.07052896725441
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,22.83426576459363,23.44859254669381,23.865509713063624,24.819458607583204,25.14085021425789,26.06064522800124,26.46675738724728,26.527030976037405,27.431515007146256,27.954627949183305,28.10715604233325,29.075374826760743,28.48333762223366,27.871988740507987,27.880574324324325,26.968007503126305,26.93524096385542
Liquidity & Cash Flow,CCC,31.785555149050317,30.64039050415365,30.900318561004028,31.66899192389676,32.068668104983715,34.18632282340613,35.0651349219296,36.061759257036954,35.44867521580322,34.72481275511499,34.306263871086664,33.37548079979617,34.48758420585486,35.11418558812196,36.18284750458423,36.30948914362409,36.13528800339899
Liquidity & Cash Flow,OCF,434000000,450000000,416000000,528000000,549000000,578000000,623000000,569000000,558000000,569000000,442000000,535000000,542000000,520000000,509000000,454000000,455000000
Liquidity & Cash Flow,CapEx,-55269000,-104269000,-323000000,-364000000,-359000000,-324000000,-285000000,-256000000,-274000000,-308000000,-338000000,-368000000,-342000000,-309000000,-285000000,-248000000,-250000000
Liquidity & Cash Flow,FCF,378731000,345731000,93000000,164000000,190000000,254000000,338000000,313000000,284000000,261000000,104000000,167000000,200000000,211000000,224000000,206000000,205000000
BQR,Total Debt / Adj Ebitda,22.35259822775424,15.83764470816527,8.848726114649681,8.632520325203252,8.268370607028753,9.383701188455008,8.89016393442623,6.491228070175438,5.828815977175464,5.859649122807017,6.198170731707317,6.659711075441413,6.815831987075929,6.65742251223491,6.957671957671957,5.329501915708812,5.598802395209581
BQR,Adj Ebitda / Interest Expense,2.6566691729323306,3.3722038834951458,6.217821782178218,6.988636363636363,9.072463768115941,7.271604938271605,8.591549295774648,8.957142857142857,8.987179487179487,9.0,11.11864406779661,13.543478260869565,21.344827586206897,25.541666666666668,24.652173913043477,26.1,23.857142857142858
BQR,Net Income before extraordinary,32000000,89000000,63000000,75000000,134000000,107000000,140000000,167000000,229000000,202000000,199000000,185000000,197000000,207000000,216000000,176000000,153000000
BQR,(NCO-CAPEX) / Total Debt (%),4.795277285388706,6.284875477185966,1.6735648731329855,3.089093991335468,3.670788253477589,4.595621494481636,6.232712520744975,7.69041769041769,6.950562897699462,6.5119760479041915,2.557796360059026,4.025066281031574,4.740459824602986,5.170301396716491,5.678073510773131,7.404744787922358,7.308377896613191
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,65,65,65,75,75,75,75,65,65
BQR,Score: ICR,58,58,48,48,45,48,45,45,45,45,42,35,25,25,25,25,25
BQR,Score: Net Income,48,42,45,45,42,42,42,42,35,35,42,42,42,35,35,42,42
BQR,Score: FCF/Debt,75,65,75,75,75,75,65,58,65,65,75,75,75,75,65,58,58
BQR,BQR,65.7,61.7,63.45,63.45,62.25,62.7,59.75,58.0,54.5,54.5,58.3,60.75,59.25,57.5,55.0,51.5,51.5
