Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3,2021.0-Q2,2021.0-Q1,2020.0-Q4,2020.0-Q3,2020.0-Q2,2020.0-Q1,2019.0-Q4,2019.0-Q3,2019.0-Q2,2019.0-Q1,2018.0-Q4,2018.0-Q3,2018.0-Q2,2018.0-Q1
Header,Statement Date,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31
Header,Filing Date,2022-08-08,2022-05-10,2022-03-16,2021-11-08,2021-08-09,2021-05-10,2021-03-15,2020-11-09,2020-08-10,2020-05-11,2020-03-09,2019-11-07,2019-08-05,2019-05-08,2019-03-12,2018-11-07,2018-08-09,2018-05-10
Revenue & Margin,Segment-1,-,-,Subscriber revenue,-,-,-,Affiliate Revenue,-,-,-,Affiliate Fees,-,-,-,Affiliate Revenue,-,-,-
Revenue & Margin,Segment-1 %,-,-,5982.2%,-,-,-,5111.9%,-,-,-,5573.2%,-,-,-,5657.4%,-,-,-
Revenue & Margin,Segment-2,-,-,Advertising revenue,-,-,-,Advertising Revenue,-,-,-,Advertising Revenue,-,-,-,Advertising Revenue,-,-,-
Revenue & Margin,Segment-2 %,-,-,3707.6%,-,-,-,4560.1%,-,-,-,4038.0%,-,-,-,4342.6%,-,-,-
Revenue & Margin,Segment-3,-,-,Other Revenue,-,-,-,Other Revenue,-,-,-,Other Revenue,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,310.1%,-,-,-,327.9%,-,-,-,388.8%,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,109335000.0,105621000.0,94399000.0,185696000.0,172077000.0,156352000.0,151184000.0,143600000.0,142274000.0,146686000.0,149387000.0,156117000.0,157510000.0,153154000.0,147079000.0,125017000.0,119951000.0,85160000.0
Revenue & Margin,Rev-CoGS / Sale (%),39.22257282663374,40.446502116056465,36.911407959830086,69.63370239531277,70.15347780354145,68.58306897257471,68.04622182241506,68.18732590529248,68.27670551189956,70.07826241086403,71.12332398401468,72.55263680444794,72.41825915814869,71.94914922235137,71.32561412574194,67.33324267899565,66.91732457420113,66.12376702677312
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-65.12004390176979,-66.61554047017165,-62.467822752359666,25.1357056694813,32.24661052900736,34.46134363487515,28.793390835008996,27.135097493036213,25.985773929178908,28.53987428929823,31.799286417158118,33.97323802020279,33.96990667259222,31.18103346957964,29.135362628247403,18.67106073573994,17.390434427391185,14.762799436355095
Revenue & Margin,Op. Income / Rev (%),-41.69204737732656,-30.48920195794397,-17.669678704223564,10.841375150784078,23.776565142349064,27.310171919770777,27.58228383955974,27.768105849582174,26.027243206770034,28.734848588140654,32.9633770006761,35.61751763100751,36.09612088121389,33.36119200282069,30.4135872558285,19.470152059319933,17.442955873648405,14.795678722404885
Revenue & Margin,Net Profit / Rev (%),-30.317830520876203,-33.63251626097083,11.71940380724372,11.76600465276581,24.376877793081004,26.57529164961113,-0.8168853846967934,-4.8516713091922,-10.84737900108242,-7.573319880561198,-2.2538775127688484,-2.8183990212468855,-1.4507015427591898,-3.2862347702312706,-7.415062653403953,-28.606509514706,-28.36741669515052,-33.96077970878347
EBITDA,Net Income,-33148000.0,-35523000.0,11063000.0,21849000.0,41947000.0,41551000.0,-1235000.0,-6967000.0,-15433000.0,-11109000.0,-3367000.0,-4400000.0,-2285000.0,-5033000.0,-10906000.0,-35763000.0,-34027000.0,-28921000.0
EBITDA,D & A,22946000.0,31104000.0,26065000.0,36881000.0,28537000.0,28783000.0,28867000.0,28125000.0,27824000.0,25783000.0,26667000.0,27438000.0,28840000.0,29544000.0,28590000.0,27236000.0,26607000.0,26943000.0
EBITDA,Net Int Inc,-6442000.0,-9607000.0,-8801000.0,-11344000.0,-10617000.0,-9948000.0,-10376000.0,-10708000.0,-11270000.0,-11779000.0,-11953000.0,-12234000.0,-12194000.0,-12208000.0,-12132000.0,-11792000.0,-11582000.0,-8563000.0
EBITDA,Tax Provision,2367000.0,3333000.0,4994000.0,7651000.0,10836000.0,11935000.0,8992000.0,8017000.0,7096000.0,7855000.0,12086000.0,15723000.0,15209000.0,13150000.0,10271000.0,16916000.0,15445000.0,13861000.0
EBITDA,EBITDA,-1393000.0,8521000.0,50923000.0,77725000.0,91937000.0,92217000.0,47000000.0,39883000.0,30757000.0,34308000.0,47339000.0,50995000.0,53958000.0,49869000.0,40087000.0,20181000.0,19607000.0,20446000.0
EBITDA,Stock-Based Comp,4704000.0,6194000.0,6125000.0,5816000.0,5441000.0,5307000.0,5282000.0,5224000.0,6084000.0,5171000.0,4808000.0,4501000.0,3295000.0,3854000.0,3933000.0,3931000.0,3944000.0,3994000.0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,7.63,4.57,7.27,12.18,11.8,11.65,10.36,8.69,9.83,8.54,14.85,12.22,13.12,14.12,12.14,13.81,13.1,11.25
Capital Structure,O/S Shares,39991000.0,39730000.0,39713000.0,39713000.0,39641000.0,39380000.0,39489000.0,39489000.0,39444000.0,39313000.0,39313000.0,39209000.0,39164000.0,39031000.0,39031000.0,38969000.0,39021000.0,38955000.0
Capital Structure,Market Capitalization,305131330.0,181566100.0,288713510.0,483704340.0,467763800.0,458777000.0,409106040.0,343159410.0,387734520.0,335733019.0,583798050.0,479133980.0,513831679.0,551117720.0,473836340.0,538161890.0,511175100.0,438243750.0
Capital Structure,Cash,28894000.0,37329000.0,49477000.0,54680000.0,72439000.0,194388000.0,134471000.0,117741000.0,104983000.0,95009000.0,92151000.0,85227000.0,79481000.0,86205000.0,94478000.0,95932000.0,97978000.0,107377000.0
Capital Structure,Debt,248887000.0,249231000.0,249575000.0,249917000.0,250289000.0,250602000.0,202990000.0,203377000.0,203765000.0,204153000.0,204540000.0,204928000.0,205315000.0,205703000.0,206091000.0,205946000.0,205800000.0,205655000.0
Capital Structure,Enterprise Value,525124330.0,393468100.0,488811510.0,678941340.0,645613800.0,514991000.0,477625040.0,428795410.0,486516520.0,444877019.0,696187050.0,598834980.0,639665679.0,670615720.0,585449340.0,648175890.0,618997100.0,536521750.0
Capital Structure,netCommonStockIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capital Structure,netDebtIssuance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DSO,109.53839118306124,123.3565294780394,135.12296210764944,70.24288353007066,75.53179681189235,79.71652105505527,80.54147594983596,80.9805623259053,80.02990708070344,77.85356987033528,76.36835869252344,73.61103371189556,72.63444384483525,71.68315061963776,71.356396902345,76.91693929625572,77.73796175104835,79.41407350868953
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,52.62210124753578,72.57088520055325,66.22155990261103,55.07947028675806,49.667901438890944,34.8125038171047,29.188893373905483,30.01784033447891,23.381624717507865,18.432537422250576,21.364574157355463,22.764585764294047,27.030113479421782,31.212465957496338,32.945979750557214,36.14562672935185,39.03355971070736,40.49299802419495
Liquidity & Cash Flow,CCC,56.916289935525455,50.785644277486156,68.90140220503841,15.163413243312597,25.863895373001405,44.90401723795057,51.35258257593047,50.962721991426385,56.64828236319558,59.4210324480847,55.00378453516798,50.84644794760151,45.60433036541346,40.47068466214142,38.41041715178778,40.77131256690387,38.70440204034099,38.92107548449458
Liquidity & Cash Flow,OCF,-25253000.0,-23132000.0,4480000.0,25690000.0,54444000.0,63576000.0,55979000.0,47711000.0,45222000.0,37778000.0,35619000.0,40280000.0,39898000.0,43088000.0,36790000.0,26677000.0,24444000.0,24422000.0
Liquidity & Cash Flow,CapEx,-2672000.0,-3112000.0,-4156000.0,-3608000.0,-4626000.0,-4450000.0,-2386000.0,-2428000.0,-1686000.0,-2811000.0,-5376000.0,-5489000.0,-8759000.0,-11846000.0,-10628000.0,-10581000.0,-7809000.0,-4108000.0
Liquidity & Cash Flow,FCF,-27925000.0,-26244000.0,324000.0,22082000.0,49818000.0,59126000.0,53593000.0,45283000.0,43536000.0,34967000.0,30243000.0,34791000.0,31139000.0,31242000.0,26162000.0,16096000.0,16635000.0,20314000.0
BQR,Total Debt / Adj Ebitda,999.0,29.249031803778898,4.901027040826346,3.2154004503055647,2.7223968587184704,2.7175249682813365,4.3189361702127655,5.099340571170674,6.624995935884514,5.950594613501224,4.320750332706647,4.018590057848809,3.8050891434078356,4.124867151938078,5.141093122458653,10.204945245527972,10.49625133880757,10.05844663992957
BQR,Adj Ebitda / Interest Expense,-999.0,0.8869574268762361,5.786047040109079,6.851639633286319,8.65941414712254,9.26990349819059,4.529683885890517,3.7245984310795666,2.729103815439219,2.9126411410136686,3.960428344348699,4.168301454961583,4.424963096604888,4.084944298820446,3.3042367293109134,1.7114145183175034,1.6928855120013815,2.387714586009576
BQR,Net Income before extraordinary,-33148000.0,-35523000.0,11063000.0,21849000.0,41947000.0,41551000.0,-1235000.0,-6967000.0,-15433000.0,-11109000.0,-3367000.0,-4400000.0,-2285000.0,-5033000.0,-10906000.0,-35763000.0,-34027000.0,-28921000.0
BQR,(NCO-CAPEX) / Total Debt (%),-11.219951222844102,-10.529990250009028,0.12982069518180908,8.835733463509886,19.904190755486656,23.593586643362784,26.401793191782847,22.265546251542702,21.365789021667116,17.127840394214143,14.785860956292169,16.97718222985634,15.166451550057229,15.18791655931124,12.694392283020607,7.8156409932700805,8.083090379008746,9.877707811626268
BQR,Score: Operating Leverage,75,75,58,45,45,45,55,58,75,65,55,52,52,52,58,75,75,75
BQR,Score: ICR,75,75,48,48,45,45,52,58,58,58,58,55,55,55,58,65,65,65
BQR,Score: Net Income,75,75,55,52,48,48,65,65,65,65,65,65,65,65,65,75,75,75
BQR,Score: FCF/Debt,75,75,75,58,48,42,42,45,45,48,55,52,52,52,55,58,58,58
BQR,BQR,75.0,75.0,60.0,50.449999999999996,46.5,45.0,53.8,56.5,62.45,59.7,57.95,55.7,55.7,55.7,59.0,69.25,69.25,69.25
