Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-12,2025-11-05,2025-08-06,2025-05-01,2025-02-14,2024-11-06,2024-08-01,2024-05-02,2024-02-22,2023-11-02,2023-08-03,2023-05-04,2023-02-23,2022-11-03,2022-08-04,2022-04-28,2022-02-24
Revenue & Margin,Segment-1,Global Records and Information Management Business,-,-,-,Global Records and Information Management Business,-,-,-,Global Records and Information Management Business,-,-,-,Global Records and Information Management Business,-,-,-,Global Records and Information Management Business
Revenue & Margin,Segment-1 %,8681.8%,-,-,-,8892.7%,-,-,-,9040.1%,-,-,-,9145.9%,-,-,-,8214.8%
Revenue & Margin,Segment-2,Global Data Center Business,-,-,-,Global Data Center Business,-,-,-,Global Data Center Business,-,-,-,Global Data Center Business,-,-,-,Global Data Center Business
Revenue & Margin,Segment-2 %,1318.2%,-,-,-,1107.3%,-,-,-,959.9%,-,-,-,854.1%,-,-,-,1785.2%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,6901737000,6639849000,6443114000,6265575000,6149909000,5988459000,5819276000,5642803000,5480289000,5339509000,5238279000,5169877000,5103574000,4984112000,4827315000,4657537000,4491531000
Revenue & Margin,Rev-CoGS / Sale (%),55.38108739872296,55.63283140926849,56.040448764370765,56.05354656196758,56.15302600412462,56.43378371631166,56.64828408207482,56.76919786141745,56.976721483118865,56.99132635603761,57.041387066248284,57.172598110167804,57.1061377771734,57.29997640502461,57.246647463445,57.446564568354475,57.98250084436688
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),35.18469336052649,34.71747625586063,34.382768953024886,34.510256440949156,34.37158175836423,34.371947774878315,34.40728709207125,34.41803656799644,34.41792941941566,34.50768600633504,34.6908211647375,34.84374966754528,34.75754441887195,34.75078409152924,34.870357538300276,35.01928165036585,35.216121184513696
Revenue & Margin,Op. Income / Rev (%),16.862740495617263,16.645212865533537,16.26219868219001,16.25054364523607,16.415185980800693,15.994732534697157,16.23066168368711,16.423380366105285,16.819879389572336,17.58998814310454,18.844891614211463,20.665926868279456,20.571289845116382,20.02513185899514,18.51441225608853,19.450108501553505,19.01739072935264
Revenue & Margin,Net Profit / Rev (%),2.0949943470752364,2.398443097124648,0.6416617803130598,1.9478978385862429,2.9294091993881533,1.7484631689053893,3.9415384319286457,3.432691164302564,3.361757016828857,5.2100108830231395,7.241118695663213,11.20485071501701,10.913548035161242,9.955474515821475,7.700160441156212,9.595522268529482,10.023731329027898
EBITDA,Net Income,144591000,159253000,41343000,122047000,180156000,104706000,229369000,193700000,184234000,278189000,379310000,579277000,556981000,496192000,371711000,446915000,450219000
EBITDA,D & A,818330000,792657000,980565000,950840000,926485000,883096000,853761000,826579000,793018000,784911000,769326000,753182000,754703000,735835000,735576000,714943000,696970000
EBITDA,Net Int Inc,-843465295,-803993000,-780320000,-751778000,-721559000,-678891000,-645625000,-613282000,-585932000,-570896000,-539862000,-510741000,-488014000,-455776000,-437818000,-427981000,-417961000
EBITDA,Tax Provision,58934000,66269000,62075000,59098000,60872000,51346000,48858000,39794000,39943000,48317000,62339000,76167000,69489000,75314000,79397000,171730000,176290000
EBITDA,EBITDA,1865320295,1822172000,1864303000,1883763000,1889072000,1718039000,1777613000,1673355000,1603127000,1682313000,1750837000,1919367000,1869187000,1763117000,1624502000,1761569000,1741440000
EBITDA,Stock-Based Comp,140280000,163242000,160658000,130193000,118138000,94095000,82845000,75329000,73799000,64133000,60146000,58029000,56861000,60072000,58946000,61389000,61001000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,82.95,101.94,102.57,86.04,105.11,118.83,89.69,79.54,69.98,59.45,56.82,52.91,49.85,43.97,48.69,55.41,52.33
Capital Structure,O/S Shares,298011697,295771000,295364000,294507000,293365000,293603000,293340000,292746000,292328000,292148000,291825000,291442000,291227000,290937000,290756000,290328000,290064000
Capital Structure,Market Capitalization,24720070266,30150895740,30295485479,25339382280,30835595150,34888844490,26309664600,23285016840,20457113440,17368198600,16581496500,15420196219,14517665950,12792499890,14156909640,16087074479,15179049120
Capital Structure,Cash,158535000,195210000,217992000,155338000,155716000,168515000,144256000,191655000,222789000,170502000,149493000,146442000,141797000,155223000,144746000,195660000,255828000
Capital Structure,Debt,19051536000,18477060000,17850897000,17138476000,16369312000,15820914000,15393510000,15232892000,14787359000,14135436000,13760787000,13477613000,13286900000,12715872000,12451186000,12431037000,11703010000
Capital Structure,Enterprise Value,43613071266,48432745740,47928390479,42322520280,47049191150,50541243490,41558918600,38326253840,35021683440,31333132600,30192790500,28751367219,27662768950,25353148890,26463349640,28322451479,26626231120
Capital Structure,netCommonStockIssuance,9609000,6705000,10627000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,194810000,-287639000,528868000,1108969000,403997000,326398000,197786000,749126000,217676000,378806000,228142000,358705000,132424000,296673000,-71915000,974632000,130054000
Liquidity & Cash Flow,DSO,72.90527460695763,73.68790596743992,74.12648914794927,74.57815244410928,75.32767801930078,76.87773327829413,77.92403921896813,78.8774069819556,79.65571706163671,80.30480354092482,81.26341280218179,81.17676639115399,80.25383265727116,78.2686793053607,76.09944322050663,73.70353338041114,71.37419484581093
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,80.81394870237833,83.48850297004698,84.53702807972421,82.8842230864159,78.45286419790628,76.22127334995564,73.81663446643275,74.62772743129642,76.72252629569938,75.97491151567723,76.88720786013549,76.21569410746642,73.409539563843,71.22039481876143,68.65922075316921,66.2389874426194,64.8730049453458
Liquidity & Cash Flow,CCC,-7.908674095420693,-9.800597002607063,-10.410538931774937,-8.306070642306622,-3.125186178605503,0.6564599283384922,4.107404752535388,4.249679550659181,2.9331907659373258,4.329892025247588,4.3762049420463,4.961072283687571,6.844293093428163,7.048284486599272,7.440222467337421,7.4645459377917405,6.5011899004651355
Liquidity & Cash Flow,OCF,1339999000,1271581000,1256918000,1263969000,1196708000,1212321000,1179688000,1114797000,1113567000,1033714000,1027865000,1001997000,927695000,855920000,715624000,744579000,758902000
Liquidity & Cash Flow,CapEx,-2325911000,-2429545000,-2314020000,-2154211000,-1853950000,-1556792000,-1523067000,-1461265000,-1345097000,-1248686000,-1151979000,-987883000,-883583000,-798442000,-656323000,-639480000,-624376000
Liquidity & Cash Flow,FCF,-931629000,-1157964000,-1057102000,-890242000,-657242000,-344471000,-343379000,-346468000,-231530000,-214972000,-124114000,14114000,44112000,57478000,59301000,105099000,134526000
BQR,Total Debt / Adj Ebitda,10.213546730321722,10.140129471861053,9.575105012436284,9.09800011997263,8.665266331828539,9.208704808214481,8.65965201649628,9.103204042178737,9.22407207913035,8.402381720880715,7.85954774773437,7.021905138517021,7.108384554354379,7.212154383401669,7.664617218076678,7.056798229305806,6.72030618338846
BQR,Adj Ebitda / Interest Expense,2.2114962003267724,2.2664028169399484,2.3891518864055774,2.505743716895147,2.6180423222494627,2.53065514198892,2.7533212003872216,2.728524561294804,2.7360290955264435,2.9467941621591325,3.2431195379559963,3.758004546335618,3.830191346969554,3.8683849083760444,3.710450461150524,4.115998140104351,4.166513143570811
BQR,Net Income before extraordinary,144591000,159253000,41343000,122047000,180156000,104706000,229369000,193700000,184234000,278189000,379310000,579277000,556981000,496192000,371711000,446915000,450219000
BQR,(NCO-CAPEX) / Total Debt (%),-4.890046660804672,-6.267035989491835,-5.921842470997396,-5.194405850321814,-4.015086278519219,-2.1773141551746,-2.230673835921762,-2.274472897201661,-1.5657292150680862,-1.5208020467143708,-0.9019396928387889,0.10472180793438719,0.33199617668530657,0.4520177617390298,0.4762678832361833,0.8454564168701292,1.1494991459462138
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,65,65,65,58,58,58,58,58,58,58,58,58,58,58,58,55,55
BQR,Score: Net Income,42,42,48,42,42,42,35,42,42,35,35,35,35,35,35,35,35
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,65.25,65.25,66.75,64.2,64.2,64.2,62.45,64.2,64.2,62.45,62.45,62.45,62.45,62.45,62.45,62.0,62.0
