Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-12,2025-10-28,2025-08-06,2025-04-29,2025-02-19,2024-11-06,2024-08-01,2024-05-07,2024-02-23,2023-11-01,2023-08-03,2023-05-04,2023-03-09,2022-11-03,2022-08-09,2022-05-03,2022-02-17
Revenue & Margin,Segment-1,Oil and Gas Service,-,-,-,Oil and Gas Service,-,-,-,Oil and Gas Service,-,-,-,Oil and Gas Service,-,-,-,Oil and Gas Service
Revenue & Margin,Segment-1 %,5000.0%,-,-,-,5000.0%,-,-,-,5000.0%,-,-,-,9427.1%,-,-,-,9192.6%
Revenue & Margin,Segment-2,Floaters,-,-,-,Floaters,-,-,-,Floaters,-,-,-,"Service, Other",-,-,-,"Service, Other"
Revenue & Margin,Segment-2 %,4131.8%,-,-,-,4025.1%,-,-,-,4082.7%,-,-,-,572.9%,-,-,-,807.4%
Revenue & Margin,Segment-3,Jackups,-,-,-,Jackups,-,-,-,Jackups,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,868.2%,-,-,-,974.9%,-,-,-,917.3%,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3285568000,3448497000,3451029000,3295221000,3057818000,2773456000,2670357000,2616048000,2589018000,2568631000,2177053000,1813671000,1413847000,983706000,928205000,872395000,832079000
Revenue & Margin,Rev-CoGS / Sale (%),19.727456561544304,22.360205040050783,24.89309710234252,28.258408161394943,27.357710628951754,27.984904033090846,29.856644635904487,28.067986520125014,28.72710811589568,28.837384583460995,26.29890039424855,24.96031529422922,21.603822761585942,15.879032963100764,10.242780420273538,2.551137959295961,1.864366244070575
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),15.674976138068061,18.452473642865282,20.689915964195027,23.71406955709496,22.76296365578331,22.857330348849956,24.92644241949672,23.31513034164511,23.76719671319396,23.95910510306852,21.229892014571995,19.73941249543054,15.791524825529212,9.263235153592639,3.566130326813581,-5.508972426481123,-6.315986823366532
Revenue & Margin,Op. Income / Rev (%),14.841817305257415,18.452473642865282,20.689915964195027,23.71406955709496,22.76296365578331,22.857330348849956,24.92644241949672,23.315130303419508,23.767196674569277,23.95910506413728,21.229891968638338,19.73941249543054,15.791524825529212,6.901553919565398,1.0632349534854908,-8.171986313539165,-9.108029405861704
Revenue & Margin,Net Profit / Rev (%),6.596028449266611,6.574690365106886,8.954981253417458,13.99526769221245,14.662514250357608,18.078707576395658,22.413182956436163,17.940037797471607,18.61331207430771,18.187275634374885,15.728877523882057,17.294592018067224,11.949524948597691,16.002952101542533,10.792012540333223,9.5770837751248,42.328913480570954
EBITDA,Net Income,216717000,226728000,309039000,461175000,448353000,501405000,598512000,469320000,481902000,467164000,342426000,313667000,168948000,157422000,100172000,83550000,352210000
EBITDA,D & A,577104000,514093000,472982000,395086000,325744000,323700000,283894000,255936000,205805000,150765000,117461000,118037000,141527000,152751000,159372000,158076000,161697000
EBITDA,Net Int Inc,-162403000,-160674000,-145135000,-117134000,-94211000,-69091000,-57145000,-59811000,-57009000,-61793000,-53496000,-45468000,-37956000,-23224000,-27386000,-28615000,-28509000
EBITDA,Tax Provision,202081000,157047000,156924000,94600000,43981000,11324000,31375000,35932000,30341000,45962000,7375000,11954000,22553000,18771000,7974000,2207000,3788000
EBITDA,EBITDA,1158305000,1058542000,1084080000,1067995000,912289000,905520000,970926000,820999000,775057000,725684000,520758000,489126000,370984000,352168000,294904000,272448000,546204000
EBITDA,Stock-Based Comp,30512000,-22063000,15143000,28983000,29470000,45581000,33153000,35567000,37680000,42402000,40266000,38107000,35251000,25793000,23705000,21287000,17220000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,28.24,28.28,26.55,23.7,31.4,36.14,43.19,47.77,48.16,50.65,41.31,39.47,37.71,29.58,25.35,35.05,24.81
Capital Structure,O/S Shares,158872000,158834000,158798000,159006000,148733000,149727000,142854000,141054000,141054000,139400000,138058000,134751000,131924000,191504000,191504000,191504000,191504000
Capital Structure,Market Capitalization,4486545280,4491825520,4216086900,3768442200,4670216200,5411133780,6169864260,6738149580,6793160639,7060610000,5703175980,5318621970,4974854040,5664688320,4854626400,6712215199,4751214240
Capital Structure,Cash,471399000,477946000,338185000,303755000,247303000,391858000,162852000,216967000,367794000,244792000,255356000,186186000,476206000,422486000,164775000,107267000,194138000
Capital Structure,Debt,1975791000,1976919000,1978027000,1978771000,2083732999,1981237000,622051000,586622000,611866000,585791000,585389000,520654000,672770000,434368000,216000000,216000000,233089000
Capital Structure,Enterprise Value,5990937280,5990798520,5855928900,5443458200,6506646199,7000512780,6629063260,7107804580,7037232639,7401609000,6033208980,5653089970,5171418040,5676570320,4905851400,6820948199,4790165240
Capital Structure,netCommonStockIssuance,3000,3000,-374000,-20000000,-49989000,-249654000,276000,6000,-14826000,-10000000,-60000000,-10000000,-15962000,0,0,0,0
Capital Structure,netDebtIssuance,18525000,-6338000,-6168000,-6019000,-6064000,789000000,35000000,0,0,0,78804000,-152215000,-495495000,218172000,0,0,-190000000
Liquidity & Cash Flow,DSO,87.38891760876659,88.06142030861561,90.3165660879697,91.32562580779863,90.95486716344793,89.40480261810536,85.6919093589359,82.34889325425222,82.69511644955732,80.90476356860911,80.36808417158426,80.29791304486866,81.82596578696281,92.20683440987449,92.41770271653353,98.53884994755816,99.34108870672137
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9493455019345447,-1.1192259141070395,-1.3742633539095022,-1.8407622087170683,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,43.31844909151368,46.04099873160813,51.11182324888376,55.994265546664955,62.01750891044714,68.85940356189609,67.35431065871255,65.61549302361173,61.948861222326514,57.32185616867397,57.52454796224646,56.11315856376283,57.09906581727569,57.70221074727221,53.142850584121824,50.778333013777754,49.95838211485661
Liquidity & Cash Flow,CCC,44.07046851725291,42.02042157700748,39.204742839085945,35.331360261133675,28.937358253000788,20.545399056209277,18.337598700223353,16.733400230640484,20.746255227230805,23.582907399935145,21.894190707403254,23.0655285669988,23.352636615777627,32.66386145388521,39.2748521324117,47.76051693378041,49.38270659186475
Liquidity & Cash Flow,OCF,951678000,900767000,907412000,797846000,655475000,806750000,661737000,766106000,574337000,458027000,392766000,269718000,280985000,137394000,57027000,-18381000,6168000
Liquidity & Cash Flow,CapEx,-519523000,-508438000,-497091000,-522241000,-575315000,-576103000,-548392000,-513457000,-409581000,-333215000,-264324000,-190008000,-174319000,-145896000,-158932000,-186124000,-169040000
Liquidity & Cash Flow,FCF,432155000,392329000,409631000,274915000,79470000,229957000,113345000,252649000,164756000,124812000,128442000,79710000,106666000,-8502000,-101905000,-204505000,-162872000
BQR,Total Debt / Adj Ebitda,1.7057605725607676,1.8675867372291322,1.8246134971588812,1.852790509318864,2.2840711649488266,2.187954987189681,0.6406780743331624,0.7145221857761094,0.7894464536156696,0.8072260102193242,1.1241094711939135,1.0644578288620927,1.8134744355551722,1.233411326412394,0.7324417437538996,0.7928118393234672,0.4267434877811221
BQR,Adj Ebitda / Interest Expense,7.132288196646614,6.5881349813908905,7.469459468770455,9.117719876380898,9.683465837322606,13.10619328132463,16.990567853705485,13.726555315911789,13.595344594713115,11.743789749648018,9.734522207267833,10.757587754024808,9.774054167983982,15.163968308646227,10.768421821368582,9.521160230648261,19.15900242028833
BQR,Net Income before extraordinary,216717000,226728000,309039000,461175000,448353000,501405000,598512000,469320000,481902000,467164000,342426000,313667000,168948000,157422000,100172000,83550000,352210000
BQR,(NCO-CAPEX) / Total Debt (%),21.872505745800037,19.84547672413488,20.709070199749547,13.89321957922367,3.813828356998631,11.606738618348032,18.221174791134487,43.0684495296801,26.92681077229328,21.306575211978334,21.941307404136396,15.309591398510335,15.854749765893247,-1.9573265065566525,-47.17824074074074,-94.67824074074075,-69.87545529819081
BQR,Score: Operating Leverage,35,42,42,42,42,42,25,25,25,25,35,35,42,35,25,25,15
BQR,Score: ICR,48,48,48,45,45,35,25,35,35,42,45,42,42,25,42,45,25
BQR,Score: Net Income,35,35,35,35,35,35,35,35,35,35,35,35,42,42,42,42,35
BQR,Score: FCF/Debt,45,48,45,55,75,58,48,25,42,45,45,52,52,75,75,75,75
BQR,BQR,39.45,42.65,41.9,43.95,48.95,43.2,33.25,29.0,33.25,35.05,39.0,40.3,44.5,45.25,44.3,44.75,36.5
