Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-20,2025-10-28,2025-07-29,2025-05-02,2025-02-20,2024-10-25,2024-07-26,2024-04-26,2024-02-22,2023-10-27,2023-07-28,2023-04-28,2023-02-23,2022-10-27,2022-07-29,2022-04-29,2022-02-24
Revenue & Margin,Segment-1,Chlor Alkali Products and Vinyls Segment,-,-,-,Chlor Alkali Products and Vinyls Segment,-,-,-,Chlor Alkali Products and Vinyls Segment,-,-,-,Chlor Alkali Products and Vinyls Segment,-,-,-,Chlor Alkali Products and Vinyls Segment
Revenue & Margin,Segment-1 %,5433.6%,-,-,-,5550.7%,-,-,-,5846.8%,-,-,-,5423.3%,-,-,-,4647.0%
Revenue & Margin,Segment-2,Winchester Segment,-,-,-,Winchester Segment,-,-,-,Winchester Segment,-,-,-,Epoxy Segment,-,-,-,Epoxy Segment
Revenue & Margin,Segment-2 %,2543.4%,-,-,-,2574.3%,-,-,-,2208.0%,-,-,-,2869.5%,-,-,-,3575.5%
Revenue & Margin,Segment-3,Epoxy Segment,-,-,-,Epoxy Segment,-,-,-,Epoxy Segment,-,-,-,Winchester Segment,-,-,-,Winchester Segment
Revenue & Margin,Segment-3 %,2023.1%,-,-,-,1875.0%,-,-,-,1945.3%,-,-,-,1707.2%,-,-,-,1777.4%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,6780800000,6787000000,6663300000,6549000000,6540100000,6483400000,6565300000,6624000000,6833000000,7195400000,7845700000,8759100000,9376200000,9829600000,9848000000,9453200000,8910600000
Revenue & Margin,Rev-CoGS / Sale (%),7.3958824917413875,9.254457050243111,8.692389656776673,10.366468163078332,11.276585984923777,11.674430082981152,13.578968211658262,14.550120772946858,16.963266500804917,18.946827139561385,20.074690594848132,22.0296605815666,23.259956058957787,24.713111418572474,26.489642567018684,25.949942876486272,25.722173591003973
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-21.7363732892874,-19.846765875939294,2.924977113442288,4.522827912658421,5.4280515588446665,5.742357405065244,8.02552815560599,8.9387077294686,11.362505488072589,13.733774355838452,15.321768612105993,17.844299071822448,19.47164096329003,21.048669325303166,22.67770105605199,21.948123386789657,21.44412273023141
Revenue & Margin,Op. Income / Rev (%),0.246283624351109,1.866804184470311,2.128074677712245,3.708963200488624,4.53356982309139,5.370638862325324,7.595997136459872,8.740942028985508,10.42148397482804,12.323150901965144,14.201409689383993,16.701487595757555,18.973571382862993,20.662081875152598,22.202477660438667,21.327169635678924,20.770767400623978
Revenue & Margin,Net Profit / Rev (%),-0.6282444549315715,0.7926919110063357,-0.21160686146503982,0.9375477172087341,1.6605250684240302,2.325940093160996,4.2618006793292,5.321557971014493,6.734962681106395,8.39286210634572,10.387855768127764,12.446484227831627,14.151788571062903,14.618092292667045,15.357432981316002,15.297465408538907,14.552330931699325
EBITDA,Net Income,-42600000,53800000,-14100000,61400000,108600000,150800000,279800000,352500000,460200000,603900000,815000000,1090200000,1326900000,1436900000,1512400000,1446100000,1296700000
EBITDA,D & A,521600000,525100000,521500000,520600000,518100000,517400000,518200000,526000000,533400000,553400000,572200000,584200000,598800000,600400000,595800000,589000000,582500000
EBITDA,Net Int Inc,-183900000,-182000000,-184200000,-184300000,-180800000,-183000000,-180800000,-179300000,-176800000,-170200000,-160500000,-150500000,-141700000,-245800000,-264200000,-295900000,-347800000
EBITDA,Tax Provision,-38300001,-1000001,-3200000,25100000,36700000,47900000,70100000,79000000,107300000,143400000,173900000,259300000,349100000,386300000,447200000,310100000,242000000
EBITDA,EBITDA,624599999,759899999,688400000,791400000,844200000,899100000,1048900000,1136800000,1277700000,1470900000,1721600000,2084200000,2416500000,2669400000,2819600000,2641100000,2469000000
EBITDA,Stock-Based Comp,15600000,20900000,20900000,16700000,17100000,17200000,16200000,18900000,18200000,16500000,15900000,14400000,13800000,13400000,13300000,9400000,8300000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,20.83,24.99,20.09,24.24,33.8,47.98,46.52,59.67,53.95,49.98,51.39,55.5,52.94,42.88,46.28,52.28,57.52
Capital Structure,O/S Shares,113900000,114900000,115100000,115300000,117800000,116900000,118500000,119900000,121000000,124200000,127400000,131000000,134500000,141200000,149200000,154700000,158400000
Capital Structure,Market Capitalization,2372537000,2871351000,2312359000,2794872000,3981639999,5608862000,5512620000,7154433000,6527950000,6207516000,6547086000,7270500000,7120430000,6054656000,6904976000,8087716000,9111168000
Capital Structure,Cash,167600000,140300000,223800000,174000000,175600000,225900000,182100000,150900000,170300000,158300000,161100000,176000000,194000000,163600000,304600000,197900000,180500000
Capital Structure,Debt,3392000000,3304200000,3284100000,3330200000,3150200000,3204900000,3239000000,3108000000,3022500000,3128800000,3070100000,3129100000,2945000000,2960800000,3147900000,3149200000,3158100000
Capital Structure,Enterprise Value,5596937000,6035251000,5372659000,5951072000,6956239999,8587862000,8569520000,10111533000,9380150000,9178016000,9456086000,10223600000,9871430000,8851856000,9748276000,11039016000,12088768000
Capital Structure,netCommonStockIssuance,-9900000,-10100000,-10100000,-18300000,-43500000,-45400000,-106000000,-105400000,-116200000,-202100000,-186900000,-206100000,-250100000,-410900000,-426500000,-263200000,-183600000
Capital Structure,netDebtIssuance,-167000000,-4000000,-40100000,187900000,-47000000,-22200000,144200000,94700000,-120700000,62900000,-48900000,192600000,-200000,-200400000,-300000,-200000,-252000000
Liquidity & Cash Flow,DSO,56.32744292708825,57.730716811551495,56.12108489787342,54.978508169186135,52.258661947065036,50.895864824012094,50.818298478363516,50.11035628019324,49.09845602224499,47.612224476749034,45.750028678129425,45.19422657578975,44.36664106994305,43.610548750712134,43.003693643379364,42.76197478102653,43.26351480259466
Liquidity & Cash Flow,DIO,51.52566766996321,53.110762473818376,51.675987409805884,52.84171053304032,52.649674283941685,53.911835326988566,56.82498942507667,60.319600014133776,64.45187613458116,64.00376793950721,59.05267753201397,52.41046196646899,47.45436257001098,45.23165977514729,44.747074993438595,43.549092155826344,42.89243571147977
Liquidity & Cash Flow,DPO,48.89685155988725,50.67501907808212,49.99919873111882,49.92704553585118,49.74828094302554,49.035820309089324,48.82384821460044,48.4720283735557,49.21379033821534,48.85358618679378,47.983119906868446,47.17957024672377,44.456363876419324,43.347572428517374,43.292479935905405,42.45932200968557,43.874063246003686
Liquidity & Cash Flow,CCC,58.9562590371642,60.16646020728775,57.7978735765605,57.89317316637528,55.16005528798119,55.771879841911336,58.81943968883974,61.95792792077131,64.33654181861081,62.76240622946247,56.81958630327495,50.42511829553497,47.364639763534704,45.49463609734206,44.45828870091255,43.85174492716731,42.28188726807075
Liquidity & Cash Flow,OCF,474200000,294700000,457900000,336200000,503200000,778100000,802900000,1017800000,974300000,969900000,1305700000,1605900000,1921900000,1999000000,1992600000,1843400000,1741000000
Liquidity & Cash Flow,CapEx,-226300000,-183500000,-155700000,-212200000,-195100000,-207100000,-208000000,-218900000,-236000000,-241500000,-261800000,-251000000,-236900000,-233200000,-218100000,-196700000,-200600000
Liquidity & Cash Flow,FCF,247900000,80200000,271200000,124000000,308100000,571000000,594900000,798900000,738300000,728400000,1043900000,1354900000,1685000000,1765800000,1774500000,1646700000,1540400000
BQR,Total Debt / Adj Ebitda,5.430675641099385,4.3482037167366805,4.770627542126671,4.207985847864544,3.7315801942667615,3.5645645645645647,3.0879969491848605,2.7339901477832513,2.3655787743601784,2.1271330477938677,1.7832829925650557,1.5013434411284905,1.218704738257811,1.1091631078144901,1.1164349553128103,1.1923819620612623,1.27910085054678
BQR,Adj Ebitda / Interest Expense,3.3964110875475804,4.175274719780219,3.737242128121607,4.294085729788389,4.66924778761062,4.913114754098361,5.801438053097345,6.34021193530396,7.226809954751131,8.642185663924794,10.726479750778816,13.848504983388704,17.05363443895554,10.860048820179008,10.67221801665405,8.925650557620818,7.0989074180563545
BQR,Net Income before extraordinary,-42600000,53800000,-14100000,61400000,108600000,150800000,279800000,352500000,460200000,603900000,815000000,1090200000,1326900000,1436900000,1512400000,1446100000,1296700000
BQR,(NCO-CAPEX) / Total Debt (%),7.308372641509434,2.4272138490406148,8.25797022015164,3.7235000900846797,9.780331407529681,17.81646853255952,18.366779870330348,25.704633204633204,24.426799007444167,23.280490923037586,34.00214976710856,43.299990412578694,57.21561969439728,59.63928667927587,56.37091394262842,52.289470341674075,48.77616288274596
BQR,Score: Operating Leverage,65,55,58,52,48,48,45,45,42,42,42,35,35,35,35,35,35
BQR,Score: ICR,58,55,58,55,52,52,48,48,48,45,42,35,25,42,42,45,48
BQR,Score: Net Income,75,45,65,45,42,42,35,35,35,35,35,25,25,25,25,25,25
BQR,Score: FCF/Debt,58,75,58,75,58,48,48,42,42,42,35,25,15,15,15,15,25
BQR,BQR,64.7,57.5,59.75,56.45,49.599999999999994,47.099999999999994,43.699999999999996,42.199999999999996,41.15,40.7,38.5,30.0,26.0,28.55,28.55,29.0,31.95
