Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-05,2025-11-21,2025-08-08,2025-05-09,2025-02-07,2024-11-15,2024-08-02,2024-05-03,2024-02-02,2023-11-17,2023-08-04,2023-05-05,2023-02-03,2022-11-17,2022-08-05,2022-05-06,2022-02-04
Revenue & Margin,Segment-1,-,Cereal and Granola,-,-,-,Cereal and Granola,-,-,-,Cereal and Granola,-,-,-,Cereal and Granola,-,-,-
Revenue & Margin,Segment-1 %,-,3242.8%,-,-,-,3476.8%,-,-,-,3905.8%,-,-,-,4434.3%,-,-,-
Revenue & Margin,Segment-2,-,Egg and Egg Products,-,-,-,Egg and Egg Products,-,-,-,Egg and Egg Products,-,-,-,Egg and Egg Products,-,-,-
Revenue & Margin,Segment-2 %,-,2957.9%,-,-,-,2677.9%,-,-,-,3295.3%,-,-,-,3462.2%,-,-,-
Revenue & Margin,Segment-3,-,Pet Food,-,-,-,Pet Food,-,-,-,Side Dishes,-,-,-,Side Dishes,-,-,-
Revenue & Margin,Segment-3 %,-,1925.0%,-,-,-,2219.3%,-,-,-,1047.0%,-,-,-,1114.8%,-,-,-
Revenue & Margin,Others,-,"Side Dishes, Peanut butter, Other, Sausage, Cheese and Dairy, Protein-based Products and Supplements, Product Eliminations",-,-,-,"Side Dishes, Cheese and Dairy, Sausage, Peanut butter, Other, Protein-based Products and Supplements",-,-,-,"Pet Food, Cheese and Dairy, Sausage, Peanut butter, Other, Protein-based Products and Supplements",-,-,-,"Cheese and Dairy, Sausage, Peanut butter, Other, Protein-based Products and Supplements",-,-,-
Revenue & Margin,Others %,-,1874.3%,-,-,-,1626.0%,-,-,-,1751.9%,-,-,-,988.7%,-,-,-
Revenue & Margin,Revenue Total,8358000000,8158100000,7921200000,7884600000,7931500000,7922700000,7858000000,7769700000,7390600000,6991000000,6624700000,6290200000,6080000000,5851200000,5628000000,5350600000,5142400000
Revenue & Margin,Rev-CoGS / Sale (%),26.255084948552287,26.371336463147056,26.911326566681815,26.88912563731832,27.3416125575238,27.233140217350144,27.14049376431662,26.657399899610024,25.884231320867045,25.120869689600916,24.07807145983969,22.916600426059585,22.22861842105263,21.547716707683897,21.417910447761194,22.264792733525212,23.444306160547605
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),10.440296721703756,10.442382417474658,10.627177700348431,10.33280064936712,10.449473617852865,10.568366844636298,10.748282005599389,10.552530985752345,10.330690336373232,9.89271921041339,9.51288360227633,8.605449747225844,7.53782894736842,6.463631391851245,5.804904051172708,6.48338504092999,7.620955196017423
Revenue & Margin,Op. Income / Rev (%),10.440296721703756,10.442382417474658,10.627177700348431,10.33280064936712,10.449473617852865,10.568366844636298,10.748282005599389,10.552530985752345,10.330690336373232,9.89271921041339,9.51288360227633,8.605449747225844,7.53782894736842,6.463631391851245,5.804904051172708,6.48338504092999,7.620955196017423
Revenue & Margin,Net Profit / Rev (%),3.819095477386935,4.114928721148306,4.6242993485835475,4.5316185982801915,4.9410578074765175,4.628472616658462,4.464240264698397,4.3836956381842285,4.025383595377913,4.309826920326134,4.822859903089951,6.360688054433881,14.297697351973685,12.930680868881597,12.484008511016347,8.935446473292714,1.258167392657125
EBITDA,Net Income,319200000,335700000,366300000,357300000,391900000,366700000,350800000,340600000,297500000,301300000,319500000,400100000,869299999,756599999,702599999,478099999,64700000
EBITDA,D & A,556499999,524299999,502299999,490800000,484800000,476900000,466500000,452300000,426900000,407100000,388000000,375300000,376400000,380200000,383400000,381300000,375500000
EBITDA,Net Int Inc,-380700000,-361400000,-339200000,-329500000,-322500000,-316500000,-313600000,-307500000,-291300000,-279100000,-274600000,-277500000,-300900000,-317800000,-338100000,-344900000,-341200000
EBITDA,Tax Provision,103900000,108700000,103100000,100100000,108700000,105100000,118100000,113200000,103500000,99700000,112800000,121000000,123200000,85700000,38500000,23000000,30500000
EBITDA,EBITDA,1360299999,1330099999,1310899999,1277700000,1307900000,1265200000,1249000000,1213600000,1119200000,1087200000,1094900000,1173900000,1669799999,1540299999,1462599999,1227299999,811900000
EBITDA,Stock-Based Comp,42700000,20300000,43800000,43800000,23500000,42600000,19100000,19100000,19100000,0,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,99.05,107.48,109.03,116.36,114.46,115.75,103.64,105.44,88.06,85.74,86.65,89.87,90.26,81.91,82.35,69.26,75.15
Capital Structure,O/S Shares,51700000,54100000,55700000,56400000,58300000,58500000,60000000,60800000,60500000,60900000,61600000,58800000,58800000,59200000,60400000,61700000,62500000
Capital Structure,Market Capitalization,5120885000,5814668000,6072971000,6562704000,6673018000,6771375000,6218400000,6410752000,5327630000,5221566000,5337640000,5284356000,5307288000,4849072000,4973940000,4273342000,4696875000
Capital Structure,Cash,279300000,176700000,1056300000,617600000,872900000,787400000,333800000,333400000,150600000,93300000,208800000,490700000,606800000,586500000,263500000,489800000,1158000000
Capital Structure,Debt,7459100000,7700800000,7347200000,6945800000,6945600000,7061200000,6399000000,6415800000,6315100000,6232500000,6187200000,5838200000,5887900000,6096900000,6033500000,6107000000,7465100000
Capital Structure,Enterprise Value,12300685000,13338768000,12363871000,12890904000,12745718000,13045175000,12283600000,12493152000,11492130000,11360766000,11316040000,10631856000,10588388000,10359472000,10743940000,9890542000,11003975000
