Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-05,2025-11-06,2025-08-06,2025-04-30,2025-02-05,2024-10-30,2024-08-02,2024-04-26,2024-02-07,2023-10-25,2023-07-26,2023-04-28,2023-02-01,2022-10-21,2022-07-22,2022-04-22,2022-02-04
Revenue & Margin,Segment-1,Advertising Revenue,-,-,-,Reportable Segment,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,8743.4%,-,-,-,10000.0%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,Other Revenue,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,1256.6%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,5931447000,5772269000,5638004000,5529842000,5361398000,5165402000,4981379000,4812280000,4606115000,4544563000,4484488000,4527728000,4601847000,4599997000,4538992000,4410191000,4117048000
Revenue & Margin,Rev-CoGS / Sale (%),54.970835784252984,54.28501339767776,53.82268263733052,54.08427582560225,53.850898590255746,53.07081617268123,53.00644660845922,53.26788964898136,54.10194925658608,56.565152689048425,57.967821521654194,59.48451408741868,60.55188275490254,61.23514863161867,61.22711826766823,60.12549116353464,57.487840802439024
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),21.46922985234463,19.89498410417117,18.85271808959341,18.653136925069468,16.86852943952305,14.386953813081732,12.407387592873379,11.203878411065025,11.126144266914743,12.652767713859397,13.14604922568641,13.700160433665626,15.526244136321784,17.961250844294028,20.453836446506184,22.730534799966716,20.97128816569542
Revenue & Margin,Op. Income / Rev (%),-8.971959118913142,-10.546303368744596,-11.592914797506351,-11.716573457252485,-14.68449087346248,-19.536330376609605,-24.41056984421382,-28.39292393626306,-30.35918556093367,-31.625989121506294,-33.280097973280334,-32.887200821250744,-30.32056476453911,-24.626885626229754,-19.352710910263777,-15.1918590373977,-17.052728071181097
Revenue & Margin,Net Profit / Rev (%),-7.763518750146465,-8.603150684765385,-9.689652579175183,-9.62691158264558,-13.016306567801905,-18.492345803869668,-23.491747967781613,-26.99138454121539,-28.71150633451401,-29.985237304444894,-30.1917186532777,-30.89193962181474,-31.066938992104692,-24.31834194674475,-18.310232756523913,-12.713667049794442,-11.852060019703439
EBITDA,Net Income,-460489000,-496597000,-546303000,-532353000,-697856000,-955204000,-1170213000,-1298901000,-1322485000,-1362698000,-1353944000,-1398703000,-1429653000,-1118643000,-831100000,-560697000,-487955000
EBITDA,D & A,163633000,159833000,156169000,154076000,158074000,170817000,173176000,174934000,168441000,164608000,159690000,199293000,202173000,188545000,184764000,133743000,119141000
EBITDA,Net Int Inc,45159000,49732000,84621000,110378000,131914000,137342000,143010000,149462000,146370000,131568000,106270000,71251000,37138000,11256000,-4538000,-10633000,-12477000
EBITDA,Tax Provision,17710000,21766000,29588000,27127000,25630000,23741000,21258000,28149000,28062000,28993000,32385000,27291000,28956000,37781000,29532000,20654000,13584000
EBITDA,EBITDA,-324305000,-364730000,-445167000,-461528000,-646066000,-897988000,-1118789000,-1245280000,-1272352000,-1300665000,-1268139000,-1243370000,-1235662000,-903573000,-612266000,-395667000,-342753000
EBITDA,Stock-Based Comp,1016825000,1017318000,1017184000,1024609000,1041023000,1116489000,1214193000,1272825000,1324004000,1441381000,1426407000,1427274000,1387787000,1234777000,1192716000,1130506000,1092135000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,8.07,7.71,8.69,8.71,10.77,10.7,16.02,11.25,16.93,8.91,11.84,11.21,8.95,9.82,13.13,35.99,47.03
Capital Structure,O/S Shares,1710465000,1696542000,1674854000,1696353000,1717119000,1663011000,1644736000,1647387000,1638714000,1625917000,1603172000,1581370000,1573883000,1608523000,1632140000,1619113000,1604778000
Capital Structure,Market Capitalization,13803452550,13080338820,14554481260,14775234630,18493371630,17794217700,26348670720,18533103750,27743428020,14486920470,18981556480,17727157700,14086252849,15795695860,21429998200,58271876870,75472709340
Capital Structure,Cash,1030435000,953317000,925973000,911227000,1046534000,964967000,1060551000,1060393000,1780400000,1199366000,1228629000,1578528000,1423121000,1918845000,2298122000,2412372000,1993809000
Capital Structure,Debt,4700954000,4153597000,4191995000,4210853000,4243896000,4240551000,4239908000,3891856000,4345000000,4156296000,4160778000,4163550000,4175276000,4183212000,4204571000,4215361000,2630992000
Capital Structure,Enterprise Value,17473971550,16280618820,17820503260,18074860630,21690733630,21069801700,29528027720,21364566750,30308028020,17443850470,21913705480,20312179700,16838407849,18060062860,23336447200,60074865870,76109892340
Capital Structure,netCommonStockIssuance,-249919000,1444626000,-243473000,-257100000,0,10304000,-75955000,-235114000,-189394000,0,0,0,-500539000,-500513000,0,0,0
Capital Structure,netDebtIssuance,0,-1477600000,-36240000,28457000,0,0,322014000,-440706000,0,0,0,0,0,0,0,1483500000,0
Liquidity & Cash Flow,DSO,76.03958212051798,77.76078956126264,78.76597950267505,79.92667353786962,81.59944174075494,83.45382871458987,85.08617518361883,85.31200335391955,84.85443806765572,84.09452900091824,82.7027344035707,82.30641863866381,81.95642776693794,79.72362971106286,79.20276737654527,76.99579479664258,75.18706212558125
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,23.907642650842014,22.587071565322315,23.026204071551952,25.86482899033385,27.898693112260467,32.457225542380804,32.48266071517822,33.163699263633454,30.77082713492205,28.463514806041164,32.71488287616291,34.63725604833324,36.941094295179646,34.716492764058856,30.154895340525417,24.726784319055216,22.015373838877508
Liquidity & Cash Flow,CCC,52.13193946967596,55.17371799594032,55.7397754311231,54.06184454753577,53.70074862849447,50.99660317220907,52.603514468440615,52.148304090286096,54.08361093273367,55.63101419487708,49.98785152740779,47.66916259033057,45.01533347175829,45.007136947004,49.047872036019854,52.26901047758737,53.17168828670374
Liquidity & Cash Flow,OCF,656170000,617225000,586609000,476738000,413480000,347421000,244330000,183771000,246521000,207238000,250402000,208257000,184614000,244851000,260458000,283453000,292880000
Liquidity & Cash Flow,CapEx,-218981000,-203234000,-194231000,-181592000,-194826000,-200270000,-229664000,-214545000,-211727000,-204933000,-169334000,-155761000,-129306000,-106946000,-88946000,-80199000,-69875000
Liquidity & Cash Flow,FCF,437189000,413991000,392378000,295146000,218654000,147151000,14666000,-30774000,34794000,2305000,81068000,52496000,55308000,137905000,171512000,203254000,223005000
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-460489000,-496597000,-546303000,-532353000,-697856000,-955204000,-1170213000,-1298901000,-1322485000,-1362698000,-1353944000,-1398703000,-1429653000,-1118643000,-831100000,-560697000,-487955000
BQR,(NCO-CAPEX) / Total Debt (%),9.300005913693264,9.967047838295338,9.360173378069392,7.009173675737434,5.152199771153676,3.47009150461815,0.34590373187342743,-0.790728125603825,0.8007825086306098,0.05545803282538106,1.948385614421149,1.2608471136410035,1.3246549449665124,3.2966294799307327,4.079179540552413,4.821745990438304,8.476080504995835
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,58,58,58,58,75,75,75,75,75,75,75,75,75,75,75,75,58
BQR,BQR,70.75,70.75,70.75,70.75,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.75
