Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-09,2025-11-06,2025-08-06,2025-05-22,2025-02-06,2024-11-07,2024-08-08,2024-05-23,2024-02-07,2023-11-03,2023-08-03,2023-06-01,2023-02-03,2022-11-04,2022-08-05,2022-05-27,2022-02-04
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,573441942,570822465,567766119,564841465,558834426,557951060,563416877,573213402,575176567,583959330,598342187,616936684,622038088,624077749,610646455,582387545,562337836
Revenue & Margin,Rev-CoGS / Sale (%),61.64106287154001,60.76878246198667,61.80063555359844,62.480627196871964,62.646518666693595,63.138583875080364,64.22737191097667,64.2008532452282,61.44314672680329,58.36573413425897,54.57892725855882,49.763760036029886,48.42571440737886,49.72465441962104,54.00581503416736,62.287632885418255,70.88501048327113
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),12.586725824111413,21.56876884654496,27.01831949222035,29.200240106310183,28.067828985181382,28.724451567490526,27.23686408137185,26.762071763283718,24.568060158820764,22.3644132888501,18.500246080759805,14.310945886304275,12.465110978863404,12.369641302497392,14.893930072843869,21.064021037743863,27.9829084806593
Revenue & Margin,Op. Income / Rev (%),9.48018622607134,12.50648745928386,17.78972461017879,19.82598373864072,18.517386400242994,19.175017966629547,17.745399202871234,17.342186287542525,15.199877744671749,12.982002702140234,9.158541916416802,5.1409445770613305,3.2672809578824373,3.227124029381153,5.618521113006379,11.26042607933863,17.539811957451143
Revenue & Margin,Net Profit / Rev (%),7.4573176232721385,9.99674793808264,14.290750237599154,15.887891304155582,14.409119992188884,15.01917480002637,13.800421885480722,13.49326912632095,11.809914015499174,9.772534330430169,6.743236374873899,3.605298335606835,2.4086499346322987,2.644681055597129,4.844462251074559,9.25841176771732,14.301297165428506
EBITDA,Net Income,42763387,57063683,81138038,89741398,80523123,83799645,77753906,77345227,67927858,57067626,40347628,22242408,14982720,16504866,29582537,53919837,80421605
EBITDA,D & A,9233300,9533119,9833585,10134721,10470576,10738462,10893572,10888403,10824804,10813555,10809203,10910372,11113542,11313758,10751000,11670715,9842133
EBITDA,Net Int Inc,429919769,427829298,426661541,422380937,420470547,416349199,417311224,420295574,425044066,430199455,443218709,457873087,467778095,473628774,467599191,452241791,443596139
EBITDA,Tax Provision,11599977,14326157,19865991,22243979,22958407,23187571,22226668,22062509,19498277,18741990,14451792,9473965,5341012,3634897,4726763,11659482,18211394
EBITDA,EBITDA,-366323105,-346906339,-315823927,-300260839,-306518441,-298623521,-306437078,-309999435,-326793127,-343576284,-377610086,-415246342,-436340821,-442175253,-422538891,-374991757,-335121007
EBITDA,Stock-Based Comp,13463000,8486503,-15518565,-19689272,-17850625,-18801008,-4159785,-1683087,-725675,-478880,6649475,9052777,12207255,16770578,17215000,17583090,17530665
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,140.39,169.14,165.12,126.55,112.44,117.98,125.05,138.95,130.53,127.06,134.01,83.29,65.94,96.82,112.24,191.84,245.43
Capital Structure,O/S Shares,5025000,5158000,5289000,5446000,5437000,5469000,5568000,5757000,5773000,5780000,5772733,6231000,6228609,5726469,5741000,6348000,6118591
Capital Structure,Market Capitalization,705459749,872424119,873319680,689191300,611336280,645232620,696278400,799935149,753549690,734406800,773603949,518979990,410714477,554436728,644369840,1217800320,1501685789
Capital Structure,Cash,9448000,14882076,8125999,9730296,15582553,9745763,11119138,11839460,12776000,18786000,15989000,16509000,20962000,20695000,13303000,19236322,18668000
Capital Structure,Debt,826621000,660083015,548825000,525559409,641066459,587800411,575877830,577949629,667476342,643882815,667384936,678998718,808550813,834659959,865388340,779845853,808140246
Capital Structure,Enterprise Value,1522632749,1517625058,1414018681,1205020413,1236820186,1223287268,1261037092,1366045318,1408250032,1359503615,1424999885,1181469708,1198303290,1368401687,1496455180,1978409851,2291158035
Capital Structure,netCommonStockIssuance,-14843821,-66629191,-12971034,-32000874,-621616,-10000000,-11148682,-18912534,-17291997,0,0,-1,82825,0,-14314000,-60679000,-19348000
Capital Structure,netDebtIssuance,92647102,109140717,24703161,-113346403,54678377,12357000,-2654000,-88734790,24384235,-24514503,-9669793,-125751081,-25198293,-30540532,84387000,-28268000,149331000
Liquidity & Cash Flow,DSO,277.7172335543081,134.17764369610086,133.80610999218501,133.90469185234127,3.1021790634100985,2.2122937023365457,1.4185312379274007,0.7653897151902251,0.2723633145680638,0.43597458019893265,0.42549469063260287,0.41267026317728256,0.40928590814844124,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,66.34381925182207,66.15005061743985,71.3593691858786,74.13393117068907,82.65523113219486,85.56802824924296,90.01073569450776,86.60249407926464,78.72912034286335,73.22369288884114,67.07142820413209,60.88652558517451,60.948703581415515,62.97803786570729,69.75687412221082,87.25188238511315,107.57025808803004
Liquidity & Cash Flow,CCC,211.37341430248603,68.02759307866101,62.44674080630641,59.770760681652206,-79.55305206878475,-83.3557345469064,-88.59220445658036,-85.83710436407442,-78.45675702829529,-72.78771830864221,-66.64593351349949,-60.47385532199723,-60.539417673267074,-62.97803786570729,-69.75687412221082,-87.25188238511315,-107.57025808803004
Liquidity & Cash Flow,OCF,255711359,258840095,263905454,254163407,247019567,244803418,254468167,265783366,267650203,277982070,293102490,291553291,316300033,307490169,287027000,277834095,235999593
Liquidity & Cash Flow,CapEx,-3634146,-3511838,-3638862,-3683975,-4327931,-4862841,-5358549,-5932748,-5729409,-5894647,-6132837,-5827638,-6107674,-5819898,-6507899,-6070481,-7178750
Liquidity & Cash Flow,FCF,252077213,255328257,260266592,250479432,242691636,239940577,249109618,259850618,261920794,272087425,286969655,285725655,310189361,301667271,280516000,271760513,228740643
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,42763387,57063683,81138038,89741398,80523123,83799645,77753906,77345227,67927858,57067626,40347628,22242408,14982720,16504866,29582537,53919837,80421605
BQR,(NCO-CAPEX) / Total Debt (%),30.49489584706897,38.68123420809427,47.42251027194461,47.65958476066404,37.85748460129623,40.82007642556752,43.257372488189034,44.96077252434745,39.24046104992887,42.25728947277464,42.99912082522642,42.080441011966684,38.36361994975819,36.14253538188478,32.415042707878406,34.847978219613616,28.30457264468425
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,48,45,42,42,42,42,42,42,45,45,48,52,55,52,48,45,42
BQR,Score: FCF/Debt,35,35,25,25,35,25,25,25,35,25,25,25,35,35,35,35,42
BQR,BQR,58.25,57.5,54.25,54.25,56.75,54.25,54.25,54.25,57.5,55.0,55.75,56.75,60.0,59.25,58.25,57.5,58.5
