Category,Metric,ABC,AD,AGR,APO,AR,AVLR,BA,BAX,BRBR,CLGX,CNDT,COR,CRK,CUDA,CVA,DINO,DKL,DVA,EXAS,FLR,GEL,GXO,HBI,HMTV,HNGR,IRM,LYLT,LYV,MGI,NATL,NCLH,NCR,NE,NFE,NSS,NVEI,OI,OLN,PNW,POST,PRMB,QVCC,QVCD,RELY,SMG,SNAP,SUN,TDS,TXG,USM,VTS,WFRD,WRLD
Header,Fiscal Period,2026.0-Q1,2025-Q4,2024-Q3,2025-Q4,2025-Q4,2022-Q2,2025-Q4,2025-Q4,2026-Q1,2021-Q1,2025-Q4,2026-Q1,2025-Q4,2017-Q3,2021-Q3,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025.0-Q3,2022.0-Q2,2022.0-Q2,2025-Q4,2022-Q3,2025-Q4,2023-Q1,2025-Q4,2025-Q4,2025.0-Q4,2025-Q4,2025-Q3,2024-Q1,2024-Q3,2025-Q4,2025-Q4,2025-Q4,2026-Q1,2025-Q4,2025-Q3,2025-Q3,2025-Q4,2026-Q1,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2025-Q4,2026-Q3
Header,Statement Date,2025-12-31,2025-12-31,2024-09-30,2025-12-31,2025-12-31,2022-06-30,2025-12-31,2025-12-31,2025-12-31,2021-03-31,2025-12-31,2025-12-31,2025-12-31,2017-11-30,2021-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2022-06-30,2022-06-30,2025-12-31,2022-09-30,2025-12-31,2023-03-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2024-03-31,2024-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31
Header,Filing Date,2026-02-04,2025-12-31,2024-10-23,2026-02-25,2026-02-11,2022-08-09,2026-01-30,2026-02-12,2026-02-03,2021-05-07,2026-02-19,2026-02-04,2026-02-19,2017-11-30,2021-10-28,2026-02-27,2026-02-27,2026-02-11,2026-02-13,2026-02-17,2026-02-18,2026-02-25,2025-11-06,2022-08-08,2022-08-08,2026-02-12,2022-11-08,2026-02-19,2023-04-28,2026-02-27,2026-03-02,2026-02-26,2026-02-12,2025-11-21,2024-04-29,2024-11-12,2026-02-12,2026-02-20,2026-02-25,2026-02-05,2026-02-27,2025-11-05,2025-11-05,2026-02-18,2026-02-04,2026-02-05,2026-02-19,2026-02-24,2026-02-13,2026-02-20,2026-03-02,2026-02-04,2026-02-09
Revenue & Margin,Segment-1,Pharmaceutical Distribution,-,"Electricity, US Regulated",Retirement Services Segment,"Natural Gas, Production",Subscription And Circulation,Commercial Airplanes Segment,Medical Products And Therapies,Shakes and other beverages,Property Tax Solutions,Commercial Segment,-,Natural gas and Oil Sales,North America,Waste And Service,Refined Product,Wholesale Marketing and Terminalling,U S Dialysis And Related Lab Services,Screening,Urban Solutions Segment,Product Sales,"E-Commerce, Omnichannel and Consumer Technology",Shipping and Handling,Subscriber revenue,Patient Care Centers,Global Records and Information Management Business,Campaign-based loyalty programs,Concerts,Timing of revenue recognition,Recurring Revenue,Passenger ticket,Recurring revenue,Oil and Gas Service,Cargo Sales,Product and Service,Other Revenue,Alcoholic Beverages,Chlor Alkali Products and Vinyls Segment,Electric Service,Cereal and Granola,"Product and Service, Other",Home,Home,Reportable Segment,Other Segments,Advertising Revenue,Sales revenue,Service,Product And Service Revenue,Product,Natural Gas,Service,-
Revenue & Margin,Segment-1 %,10000.0%,-,6491.4%,8439.9%,5594.2%,8466.2%,10000.0%,4878.0%,8171.0%,3611.9%,4967.1%,-,5000.0%,4286.8%,7416.0%,4922.6%,4955.9%,10000.0%,7791.4%,7197.1%,8950.6%,5554.0%,10000.0%,5982.2%,7033.0%,8681.8%,6029.5%,6330.8%,10000.0%,7062.5%,6805.0%,6237.4%,5000.0%,9487.9%,5000.0%,10000.0%,6176.9%,5433.6%,9143.1%,3242.8%,10000.0%,4002.4%,4002.4%,10000.0%,6046.7%,8743.4%,9405.2%,8279.6%,4813.9%,9490.2%,10000.0%,6059.4%,-
Revenue & Margin,Segment-2,-,-,"Natural Gas, US Regulated",Asset Management Segment,Natural Gas Liquids Sales,Professional Services,Commercial Airplanes Segment,Healthcare Systems and Technologies,Powders,Property Insights,Government Segment,-,"Natural Gas, Production",UNITED STATES,Electricity,Transportation Fuels,Gathering And Processing,Other Segments,Precision Oncology,Energy Solutions Segment,Refinery Services,Industrial And Manufacturing,-,Advertising revenue,Products And Services,Global Data Center Business,Coalition loyalty program,Sponsorship and Advertising,-,All Other Products And Services,Onboard and other,All other products and services,Floaters,Incentive Fees,Service,-,Food And Other,Winchester Segment,Electric and Transmission Service,Egg and Egg Products,-,Apparel,Apparel,-,Hawthorne,Other Revenue,Service revenue,Product,Consumables,Service,Natural Gas,Product,-
Revenue & Margin,Segment-2 %,-,-,2115.4%,1560.1%,3868.4%,1533.8%,3425.7%,2827.0%,1582.1%,2981.8%,3030.9%,-,4992.0%,4039.3%,1875.0%,4177.6%,3636.9%,1061.8%,2208.6%,2780.3%,1049.4%,1325.6%,-,3707.6%,2967.0%,1318.2%,3674.5%,3274.0%,-,2937.5%,3195.0%,3762.6%,4131.8%,512.1%,3535.6%,-,2186.4%,2543.4%,466.2%,2957.9%,-,1772.8%,1772.8%,-,3953.3%,1256.6%,543.2%,1720.4%,4091.8%,509.8%,489.0%,3940.6%,-
Revenue & Margin,Segment-3,-,-,Wind Energy,-,Oil and Condensate,-,Global Services,Pharmaceuticals,Other Products,Valuations Solutions,Transportation Services,-,Oil and Condensate,EMEA,Recycled Metals,Lubricants and Specialty Products,Storage And Transportation,-,COVID-19 Testing,Other Operating Segment,-,Food and Beverage,-,Other Revenue,-,-,Other Revenue,Ticketing,-,-,-,-,Jackups,Interest Income and Other Revenue,Product,-,Nonalcoholic Beverage,Epoxy Segment,Wholesale Energy,Pet Food,-,Beauty,Beauty,-,Other Segments,-,Lease revenue,Other Segment,Instruments,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,1068.8%,-,292.4%,-,2990.1%,2294.9%,246.9%,1474.7%,2002.0%,-,8.0%,1009.9%,425.4%,460.4%,1407.3%,-,23.8%,22.7%,-,1197.3%,-,310.1%,-,-,296.0%,395.2%,-,-,-,-,868.2%,565.2%,1464.4%,-,1636.7%,2023.1%,390.7%,1925.0%,-,1751.7%,1751.7%,-,687.6%,-,51.6%,413.8%,458.1%,-,-,-,-
Revenue & Margin,Others,-,-,"Thermal Energy, Solar Energy, Other Services",-,Marketings,-,Boeing Capital Corporation,Pharmaceuticals,Other Products,"Insurance And Spatial Solutions, Flood Data Services, Other Solutions",Other Operating Segment,-,-,"Asia Pacific, Other Geographic Region, Latin America",Other Revenue,"Crude Oil, Product and Service, Other, Transportation And Logistic Services",-,-,"International Sales, COVID-19 Testing",-,-,"Consumer Packaged Goods, Product and Service, Other",-,-,-,-,-,"Corporate Segment, Other Segments",-,-,-,-,-,-,-,-,Other Segments,-,-,"Side Dishes, Peanut butter, Other, Sausage, Cheese and Dairy, Protein-based Products and Supplements, Product Eliminations",-,"Accessories, Electronics, Jewelry, Other revenue","Accessories, Electronics, Jewelry, Other revenue",-,-,-,Intersegment Sales,-,"Licensing And Royalty Revenue, Service",-,-,-,-
