Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1
Header,Statement Date,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Header,Filing Date,2025-05-14,2025-03-27,2024-11-14,2024-09-27,2024-09-13,2024-09-13,2023-11-07,2023-08-08,2023-05-09,2023-03-29,2022-11-07,2022-08-04,2022-05-09,2022-03-04,2021-11-05,2021-08-09,2021-05-05
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,Product,-,-,-,Product,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,7614.7%,-,-,-,7782.6%,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,Other Revenue,-,-,-,Other Revenue,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,2385.3%,-,-,-,2217.4%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,103946000,83807000,53120000,54900000,45689000,29497000,21725000,9404000,4033000,3597000,5141000,27747000,33700000,44549000,53651000,50247000,241665000
Revenue & Margin,Rev-CoGS / Sale (%),27.12273680564909,-6.649802522462324,-43.49209337349398,-37.3351548269581,-22.600625971240344,-13.66240634640811,-10.0897583429229,-52.584006805614635,-61.91420778576742,-218.7100361412288,-194.1840108928224,-20.521137420261653,-69.34124629080118,-14.568228243058206,8.937391660919648,39.359563755050054,97.2474292926158
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-118.9204009774306,-206.96003913754222,-389.0926204819277,-373.43897996357015,-404.4978003458163,-574.7703156253178,-696.4510932105869,-1560.569970225436,-3487.552690304984,-4024.881845982763,-3294.9037152304995,-720.7157530543842,-770.1275964391692,-658.6522705335698,-570.1776294943245,-578.5280713276414,-27.107359361099043
Revenue & Margin,Op. Income / Rev (%),-208.1619302330056,-322.7188659658501,-596.152108433735,-609.264116575592,-725.3190045744052,-828.0909923043021,-626.7157652474109,-1466.4504466184603,-3967.4683858170097,-8028.662774534334,-8751.079556506516,-2091.638735719177,-2118.115727002967,-1851.1459292015534,-1664.4275036811991,-1722.9327124007405,-269.3104090373037
Revenue & Margin,Net Profit / Rev (%),-192.39027956823736,-287.22779720071117,-565.7360692771084,-567.2896174863388,-663.0852065048481,-675.0177984201783,-360.7088607594937,-884.2301148447468,-2556.930324820233,-7259.438420906311,-8722.155222719315,-2121.678019245324,-2188.5103857566764,-1839.273608835215,-1610.7807869378018,-1675.9786653929589,-257.3363954234167
EBITDA,Net Income,-199982000,-240717000,-300519000,-311442000,-302957000,-199110000,-78364000,-83153000,-103121000,-261122000,-448406000,-588702000,-737528000,-819378000,-864200000,-842129000,-621892000
EBITDA,D & A,61318000,61244000,72740000,58468000,42912000,28525000,4380000,4695000,5069000,5001000,6059000,10654000,15303000,19649000,22313000,21279000,19836000
EBITDA,Net Int Inc,-16427000,-13573000,-11145000,-4553000,-3008000,-2173000,310000,-1761000,-516000,1032000,74000,-149000,-105000,144000,2014000,3818000,6539000
EBITDA,Tax Provision,170000,70000,-83000,-25000,-126000,-12929000,-12773000,-12766000,-12686000,117000,96000,-24000,192000,258000,422000,864000,658000
EBITDA,EBITDA,-122067000,-165830000,-216717000,-248446000,-257163000,-181341000,-87067000,-89463000,-110222000,-257036000,-442325000,-577923000,-721928000,-799615000,-843479000,-823804000,-607937000
EBITDA,Stock-Based Comp,11636000,13737000,13085000,15252000,17799000,19429000,20692000,25035000,28189000,35188000,56595000,75526000,97778000,127915000,134820000,145496000,162865000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,4.88,8.34,10.39,19.51,24.8,27.6,60.8,65.8,63.6,138.4,126.6,82.8,97.0,199.8,247.42,414.05,390.35
Capital Structure,O/S Shares,9751000,64109500,64109500,64109500,64109500,71347250,71347250,71347250,71347250,85182000,81404255,73630882,73688000,72498000,68535426,67487000,66976000
Capital Structure,Market Capitalization,47584880,534673230,666097705,1250776345,1589915600,1969184100,4337912800,4694649050,4537685100,11789188800,10305778683,6096637029,7147736000,14485100400,16957035100,27942992350,26144081600
Capital Structure,Cash,78744000,62305000,70651000,144067000,212047000,221755000,165347000,172872000,239045000,113006000,66478000,81499000,106260000,161160000,402461000,353468000,439714000
Capital Structure,Debt,188144000,358238000,365023000,390420000,414342000,330326000,303707000,306857000,273375000,281390000,278213000,292968000,110338000,89584000,181567000,198602000,205765000
Capital Structure,Enterprise Value,156984880,830606230,960469705,1497129345,1792210600,2077755100,4476272800,4828634050,4572015100,11957572800,10517513683,6308106029,7151814000,14413524400,16736141100,27788126350,25910132600
Capital Structure,netCommonStockIssuance,0,0,0,0,0,118126000,-50000,-523000,130449000,-128000,46322000,8043000,0,-7000,74982000,0,0
Capital Structure,netDebtIssuance,-28019000,-16374000,-20931000,-26435000,49106000,-54367000,-11795000,-13224000,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,44.46798097088873,70.04649074659635,104.15074359939759,115.22930327868852,107.34342511326577,111.39509950164424,96.60529344073649,0.0,0.0,292.52258826800113,204.66908189068272,37.921351857858504,31.222663204747775,0.0,4.034314365063093,54.27928533046749,20.614083545403762
Liquidity & Cash Flow,DIO,283.766022467757,186.4162564332065,168.19650892775147,130.13082417072297,143.08566901722753,166.94555880335253,141.18817159342728,149.8003345180849,349.32120980091884,168.6580818213538,-449.55889645596403,-221.74396698663315,-132.46823964393354,-115.79358431787456,-219.19349721630917,-353.75172300623564,-1805.603202044498
Liquidity & Cash Flow,DPO,159.01805869074494,111.05078037592304,111.28302808863467,106.89987665291723,111.80181647772919,186.37840397291734,247.41313709913453,404.567739912189,1084.2260719754977,690.1378227494766,589.5893943401217,274.9588080499985,184.1933088596061,191.43745469151042,177.4440447437367,295.4200032819166,1173.3142288033673
Liquidity & Cash Flow,CCC,169.2159447479008,145.41196680387984,161.0642244385144,138.46025079649428,138.62727765276412,91.9622543320794,-9.619672064970757,-254.7674053941041,-734.9048621745789,-228.95715266012172,-834.479208905403,-458.78142317877314,-285.4388852987919,-307.231039009385,-392.60322759498274,-594.8924409576848,-2958.3033473024616
Liquidity & Cash Flow,OCF,-228786000,-260020000,-223693000,-216611000,-223084000,-235046000,-277482000,-292662000,-314295000,-352953000,-436405000,-506318000,-557608000,-635639000,-651107000,-652948000,-467557000
Liquidity & Cash Flow,CapEx,-1683000,-2599000,-3328000,-5086000,-5732000,-5057000,-8951000,-8177000,-13451000,-13208000,-10159000,-18635000,-16234000,-23003000,-28832000,-24712000,-25936000
Liquidity & Cash Flow,FCF,-230469000,-262619000,-231021000,-225697000,-232816000,-244103000,-286433000,-300839000,-327746000,-366161000,-446564000,-524953000,-573842000,-658642000,-679939000,-677660000,-493493000
BQR,Total Debt / Adj Ebitda,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
BQR,Adj Ebitda / Interest Expense,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
BQR,Net Income before extraordinary,-199982000,-240717000,-300519000,-311442000,-302957000,-199110000,-78364000,-83153000,-103121000,-261122000,-448406000,-588702000,-737528000,-819378000,-864200000,-842129000,-621892000
BQR,(NCO-CAPEX) / Total Debt (%),-122.49606684241857,-73.30852673362402,-63.289436556052635,-57.80877004251831,-56.1893315184075,-73.89760418495668,-94.31228124475234,-98.03882590261914,-119.88879743941472,-130.1258040442091,-160.5115505026724,-179.1844160454384,-520.0764922329569,-735.2228076442221,-374.48379936882804,-341.2150935035901,-239.83330498384078
