Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-04-30,2022-12-31,2022-10-31,2022-06-30,2022-04-30,2022-01-31
Header,Filing Date,2026-02-04,2025-11-05,2025-08-19,2025-05-07,2025-02-06,2024-11-08,2024-08-21,2024-05-07,2024-02-08,2023-11-08,2023-08-23,2023-05-09,2023-02-09,2022-11-08,2022-08-24,2022-05-04,2022-02-03
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2105200000,1841900000,1645000000,1472600000,1384300000,1290400000,1271100000,1333600000,1380100000,1577800000,1767000000,1818300000,1830300000,1771000000,1712600000,1682600000,1706700000
Revenue & Margin,Rev-CoGS / Sale (%),33.441003230096904,30.593408979857756,27.95744680851064,23.855765313051744,22.155602109369358,20.024798512089276,20.234442608764063,22.158068386322736,23.88232736758206,26.71441247306376,30.37351443123939,34.5817521861079,37.370922799541056,42.25296442687747,45.71995795865934,45.04338523713301,45.11044706158083
