Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Header,Filing Date,2025-11-05,2025-08-15,2025-05-07,2025-02-05,2024-11-06,2024-08-16,2024-05-07,2024-02-06,2023-11-07,2023-08-18,2023-05-10,2023-02-08,2022-11-09
Revenue & Margin,Segment-1,-,Lasers Segment,-,-,-,Lasers Segment,-,-,-,Lasers Segment,-,-,-
Revenue & Margin,Segment-1 %,-,60.1%,-,-,-,57.9%,-,-,-,52.1%,-,-,-
Revenue & Margin,Segment-2,-,Materials Segment,-,-,-,Materials Segment,-,-,-,Materials Segment,-,-,-
Revenue & Margin,Segment-2 %,-,39.9%,-,-,-,42.1%,-,-,-,47.9%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,6043358000,5810115000,5595041000,5305971000,5002740000,4707688000,4598377000,4629762000,4868613000,5160100000,4842011000,4429541000,3866075000
Revenue & Margin,Rev-CoGS / Sale (%),36.01292526439771,35.40931633883322,34.47899666865712,33.31927370126976,32.166392816736426,30.927368168833617,29.910292261813243,30.866748657922372,30.59606503946812,31.516501618185693,33.063741490880545,33.91924806656039,36.275705980872075
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),36.01292526439771,35.40931633883322,34.47899666865712,33.31927370126976,32.166392816736426,30.927368168833617,29.910292261813243,30.866748657922372,30.59606503946812,31.516501618185693,33.063741490880545,33.91924806656039,36.275705980872075
Revenue & Margin,Op. Income / Rev (%),10.286069433583117,9.448126241907433,8.351752918343225,6.701864748224217,4.817899790914579,2.6164648124514622,1.886121994782072,2.5980601162651555,2.0173096526669916,3.080967423111955,4.798894508913755,6.13481171073933,9.356259255187755
Revenue & Margin,Net Profit / Rev (%),4.133893772303411,0.849621737263376,1.7254743977747438,1.2748467716842025,-1.2539728228930547,-3.3169997671893294,-6.218411409068896,-5.836433924681225,-5.9214811281981135,-5.028158369023856,-0.7762890253657003,0.2002013301152422,3.1452312746131414
EBITDA,Net Income,249826000,49364000,96541000,67643000,-62733000,-156154000,-285946000,-270213000,-288294000,-259458000,-37588000,8868000,121597000
EBITDA,D & A,653851225,669166225,562423000,555588000,559146000,559761000,619664000,640870000,672760000,681687000,551381000,463255000,364373000
EBITDA,Net Int Inc,-309768000,-376412000,-255992000,-271461000,-281861000,-288475000,-299585000,-302015000,-298241000,-286872000,-256478000,-224794000,-170952000
EBITDA,Tax Provision,61372000,64124000,86362000,94357999,58563999,43358999,-68779001,-92193000,-104543000,-96100000,-35548000,-14228000,18751000
EBITDA,EBITDA,1274817225,1159066225,1001318000,989049999,836837999,735440999,564523999,580479000,578164000,613001000,734723000,682689000,675673000
EBITDA,Stock-Based Comp,285945351,276771351,145355000,129682000,115461000,126458000,122950000,132385000,140794000,149022000,139614000,122458000,105283000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,107.72,89.21,64.94,94.73,88.91,72.74,60.0,43.53,32.64,50.98,38.08,35.1,34.85
Capital Structure,O/S Shares,155500000,155500000,155200000,154767000,151642000,152600000,152138000,151564000,150328000,139342000,139113000,138623000,132633928
Capital Structure,Market Capitalization,16750460000,13872154999,10078688000,14661077910,13482490220,11100124000,9128280000,6597580920,4906705920,7103655160,5297423040,4865667300,4622292390
Capital Structure,Cash,852778000,909200000,890258000,917815000,1019648000,926033000,898578000,856255000,941081000,821310000,901028000,913286000,898501000
Capital Structure,Debt,3505852000,3893658000,3944525000,4064219000,4207101000,4303153000,4334751000,4392489000,4467857000,4488817000,4613152000,4683382000,4803690000
Capital Structure,Enterprise Value,19403534000,16856612999,13132955000,17807481910,16669943220,14477244000,12564453000,10133814920,8433481920,10771162160,9009547040,8635763300,8527481390
Capital Structure,netCommonStockIssuance,-37443000,48939000,-3897000,-13052000,-31990000,-3492000,-1257000,-3690000,-13876000,-2336000,-1320000,-9631000,-40885000
Capital Structure,netDebtIssuance,-385676000,-50626000,-169944000,-132351000,-117859000,-64093000,-57313000,-88774000,-18683000,-121150000,-78808000,-133788000,2715010000
Liquidity & Cash Flow,DSO,60.301518625903014,58.759329419469324,58.22459187519806,60.78765649114931,63.82117374678676,67.35628640853005,70.00896783800023,69.06117555286859,67.55812512721796,66.91975543109629,67.5242435426107,68.01340618587795,69.60689232619646
Liquidity & Cash Flow,DIO,137.01368132604148,135.18955382031464,134.62856495778558,136.9195925874632,141.32737608143003,144.53341058466216,145.42363664598298,149.35546426490413,143.51963771034644,138.94141342067232,141.0808532298528,140.1724179163219,146.23310774471318
Liquidity & Cash Flow,DPO,77.11823837176827,73.0399888163296,69.40820800577862,67.17557361944117,65.03927315996663,61.12579588550566,55.265412789184204,50.95629009858766,46.23953835281291,44.99503511358964,49.89293359489377,53.14606070772382,59.84812445380372
Liquidity & Cash Flow,CCC,120.19696158017622,120.90889442345438,123.44494882720502,130.53167545917134,140.10927666825017,150.76390110768656,160.167191694799,167.46034971918505,164.83822448475152,160.86613373817897,158.71216317756975,155.03976339447604,155.9918756171059
Liquidity & Cash Flow,OCF,526575000,633600000,665643000,620119000,499908000,545731000,564936000,599928000,753251000,634025000,589818000,473315000,440573000
Liquidity & Cash Flow,CapEx,-761974514,-750012514,-409393000,-390816000,-376603000,-346816000,-339970000,-343873000,-359267000,-436060000,-461340000,-458497000,-405757000
Liquidity & Cash Flow,FCF,73777000,192764000,256250000,229303000,123305000,198915000,224966000,256055000,393984000,197965000,128478000,14818000,34816000
BQR,Total Debt / Adj Ebitda,2.750082075491253,3.3593058929829485,3.9393329591598274,4.109214907344639,5.027378064843348,5.851119268372472,7.678594723481366,7.567007592005912,7.727663777059796,7.322691153848036,6.278763561233281,6.860198421243055,7.10948935357784
BQR,Adj Ebitda / Interest Expense,4.115393536453087,3.0792488682613732,3.911520672521016,3.643433122990043,2.9689740652307344,2.5494098240748766,1.884353352137123,1.9220204294488685,1.9385798733239226,2.1368450040436153,2.8646628560734255,3.0369538332873653,3.9524135429828258
BQR,Net Income before extraordinary,249826000,49364000,96541000,67643000,-62733000,-156154000,-285946000,-270213000,-288294000,-259458000,-37588000,8868000,121597000
BQR,(NCO-CAPEX) / Total Debt (%),2.104395736043621,4.9507172946365605,6.496346201380394,5.6419941937184,2.9308780559344783,4.622540727694321,5.1898252056461835,5.829382839661067,8.818187332316143,4.4101820145485995,2.7850372153356315,0.3163952887037615,0.7247761616590579
BQR,Score: Operating Leverage,45,48,52,52,58,65,75,75,75,75,75,75,75
BQR,Score: ICR,55,58,58,58,58,58,65,65,65,65,58,58,58
