index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-10-31,2025-07-31,2025-01-31,2024-01-31,2023-01-31
DSO,7.2,7.2,7.1,7.7,8.6
DIO,90.3,89.8,83.7,87.8,96.2
DPO,60.6,60.9,58.4,53.4,58.2
Cash,2262000.0,2194000.0,2335000.0,1873000.0,1215000.0
Debt,5516000.0,5592000.0,5475000.0,5441000.0,6020000.0
Revenue,15279000.0,15166000.0,15086000.0,14889000.0,15616000.0
Op Income,1145000.0,1145000.0,1145000.0,1145000.0,1145000.0
EBITDA,1753000.0,1776000.0,1724000.0,1168000.0,489000.0
Net Income,851000.0,889000.0,844000.0,502000.0,-202000.0
Adj. EBITDA,1753000.0,1776000.0,1724000.0,1168000.0,489000.0
D & A,497000.0,496000.0,500000.0,522000.0,540000.0
Net Int Inc,23000.0,26000.0,25000.0,-4000.0,-70000.0
Tax Provision,317000.0,303000.0,293000.0,54000.0,63000.0
Adj. Net Income,962000.0,1003000.0,956000.0,588000.0,-184000.0
CapEx,-444000.0,-446000.0,-447000.0,-420000.0,-685000.0
OCF,1223000.0,1215000.0,1486000.0,1532000.0,607000.0
BQR's FCF,779000.0,769000.0,1039000.0,1112000.0,-78000.0
