index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-11-30,2025-08-31,2025-02-28,2024-02-29,2023-02-28
DSO,77.4,77.7,82.0,71.8,66.5
DIO,187.3,182.3,166.3,136.8,141.7
DPO,101.2,104.3,99.0,84.8,59.3
Cash,27137.0,22370.0,18867.0,18501.0,29073.0
Debt,946884.0,932675.0,956843.0,702933.0,977084.0
Revenue,1802156.0,1820033.0,1907665.0,2005050.0,2072667.0
Op Income,139978.0,161078.0,209025.0,279301.0,239153.0
EBITDA,-673993.0,-590133.0,198634.0,313606.0,256723.0
Net Income,-792500.0,-658828.0,123751.0,168594.0,143273.0
Adj. EBITDA,195095.0,216567.0,264911.0,332318.0,284085.0
D & A,53979.0,54364.0,55048.0,51499.0,44683.0
Net Int Inc,-57883.0,-54192.0,-51922.0,-53065.0,-40751.0
Tax Provision,6645.0,-39861.0,-32087.0,40448.0,28016.0
Adj. Net Income,76588.0,147872.0,190028.0,187306.0,170635.0
CapEx,-38923.0,-40878.0,-30072.0,-36644.0,-174864.0
OCF,94790.0,91165.0,113213.0,306067.0,208242.0
BQR's FCF,55867.0,50287.0,83141.0,269423.0,33378.0
COGS,960191000.0,959084000.0,993259000.0,1056390000.0,1173316000.0
AR,382338000.0,387386250.0,428330000.0,394536000.0,377604000.0
INV,492725000.0,479093750.0,452615000.0,395995000.0,455485000.0
AP,266274750.0,274014250.0,269405000.0,245349000.0,190598000.0
Total Debt / Adj Ebitda,4.85,4.31,3.61,2.12,3.44
Adj Ebitda / Interest Expense,3.37,4.0,5.1,6.26,6.97
Net Profit before extraordinary,76.6M,147.9M,190.0M,187.3M,170.6M
(NCO-CAPEX) / Total Debt (%),5.9,5.39,8.69,38.33,3.42
Score: Operating Leverage,58,55,48,42,48
Score: ICR,58,58,48,48,48
Score: Net Income,42,42,42,42,42
Score: FCF/Debt,65,75,58,35,75
BQR,55.75,57.2,49.0,41.15,53.25
