index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,66.4,67.2,83.8,82.5,70.8
DIO,186.9,187.7,175.0,159.4,173.5
DPO,47.7,53.6,60.3,54.6,35.1
Cash,12125.0,12045.0,2929.0,16189.0,23598.0
Debt,257025.0,237722.0,250418.0,285055.0,343729.0
Revenue,659066.0,670991.0,682952.0,686683.0,727662.0
Op Income,19600.0,21216.0,27084.0,32797.0,30823.0
EBITDA,8628.0,10638.0,34780.0,51774.0,45770.0
Net Income,-36171.0,-34638.0,-15165.0,-8412.0,-6166.0
Adj. EBITDA,42206.0,44832.0,49398.0,52368.0,45219.0
D & A,22606.0,23616.0,22314.0,19571.0,19536.0
Net Int Inc,-20585.0,-21406.0,-22208.0,-21728.0,-17205.0
Tax Provision,1608.0,254.0,3331.0,6222.0,5728.0
Adj. Net Income,-2593.0,-444.0,1545.0,4847.0,2750.0
CapEx,-3844.0,-3875.0,-2227.0,-2801.0,-2975.0
OCF,24176.0,23696.0,18569.0,56431.0,24319.0
BQR's FCF,20332.0,19821.0,16342.0,53630.0,21344.0
COGS,415977000.0,420909000.0,422249000.0,432044000.0,467346000.0
AR,119958500.0,123561250.0,156743000.0,155180000.0,141195000.0
INV,212963500.0,216421000.0,202408000.0,188647000.0,222209000.0
AP,54386000.0,61841500.0,69706000.0,64658000.0,44982000.0
Total Debt / Adj Ebitda,6.09,5.3,5.07,5.44,7.6
Adj Ebitda / Interest Expense,2.05,2.09,2.22,2.41,2.63
Net Profit before extraordinary,-2.6M,-0.4M,1.5M,4.8M,2.8M
(NCO-CAPEX) / Total Debt (%),7.91,8.34,6.53,18.81,6.21
Score: Operating Leverage,65,65,58,65,75
Score: ICR,65,65,65,65,58
Score: Net Income,65,65,58,58,58
Score: FCF/Debt,58,58,65,48,65
BQR,63.25,63.25,60.8,59.0,65.7
CCC,205.6,201.3,198.5,187.2,209.2
OCF-CAPEX,20.33M,19.82M,16.34M,53.63M,21.34M
