Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30
Header,Filing Date,2025-11-06,2025-08-07,2025-05-08,2025-03-13,2024-11-07,2024-08-08,2024-05-09,2024-03-12,2023-11-09,2023-08-03,2023-05-10,2023-03-09,2022-11-03
Revenue & Margin,Segment-1,-,-,-,Shipping and Handling,-,-,-,Shipping and Handling,-,-,-,Shipping and Handling,-
Revenue & Margin,Segment-1 %,-,-,-,100.0%,-,-,-,100.0%,-,-,-,100.0%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,659066000,670991000,680795000,682952000,670888000,678720000,683490000,686683000,690581000,685502000,690380000,727662000,776479000
Revenue & Margin,Rev-CoGS / Sale (%),36.883862921164194,37.27054461237185,37.278916560785554,38.172960910869286,37.76621433085701,37.85110207449316,37.79777319346296,37.082467455871196,36.930063236608014,36.74883516021835,36.36982531359541,35.774301804958895,35.30179180634634
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.973905496566353,3.1618903979338024,3.8709156207081428,3.965725263268868,4.263304754295799,4.950642385667138,5.388520680624442,4.9586199163223785,4.5266232346386595,4.4314969175874035,3.6962252672441265,4.235895237074356,5.189580143184813
Revenue & Margin,Op. Income / Rev (%),-2.1152661493689555,-1.7915292455487482,3.8709156207081428,3.965725263268868,4.076537365402273,4.766030174446016,5.205196857305886,4.651491299478799,4.197045676032211,3.3496619995273536,2.6220342420116456,3.334377774296308,2.6267291195254474
Revenue & Margin,Net Profit / Rev (%),-5.488221210015386,-5.162215290518055,-1.9251022701400569,-2.220507444154201,-3.1862248244118243,-2.5804455445544554,-0.8583885645730004,-1.2250194048782335,-1.1362895880425323,-2.6857689693100824,-2.223558040499435,-0.8473714444343665,-1.2961071709601935
EBITDA,Net Income,-36171000,-34638000,-13106000,-15165000,-21376000,-17514000,-5867000,-8412000,-7847000,-18411000,-15351000,-6166000,-10064000
EBITDA,D & A,22606000,23616000,23073000,22314000,21196000,19609000,20138000,20069000,20115000,19892000,19507000,19536000,19925000
EBITDA,Net Int Inc,-20585000,-21406000,-21509000,-22208000,-22223000,-21635000,-22006000,-21728000,-21235000,-20570000,-18774000,-17205000,-15936000
EBITDA,Tax Provision,1608000,254000,2979000,3331000,4973000,6481000,7780000,6222000,5217000,4047000,2707000,5728000,10124000
EBITDA,EBITDA,8628000,10638000,34455000,32688000,27016000,30211000,44057000,39607000,38720000,26098000,25637000,36303000,35921000
EBITDA,Stock-Based Comp,4134000,4182000,4175000,3920000,3803000,3659000,3632999,3686999,3050999,3178999,3533000,3846000,4809000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,3.87,5.1,4.93,5.91,6.54,7.84,10.87,6.71,5.63,5.65,5.88,7.59,6.77
Capital Structure,O/S Shares,21562000,21562000,21562000,21562000,21562000,21421000,21377000,21216000,21216000,21123000,21475610,21429000,21522000
Capital Structure,Market Capitalization,83444940,109966199,106300660,127431420,141015480,167940640,232367989,142359360,119446080,119344950,126276586,162646110,145703940
Capital Structure,Cash,12125000,12045000,10375000,2929000,5984000,3396000,4639000,16189000,6318000,15122000,40958000,23598000,5930000
Capital Structure,Debt,67418000,237722000,242669000,250418000,276438000,250188000,262667000,285055000,312798000,309425000,352515000,343729000,367443000
Capital Structure,Enterprise Value,138737940,335643199,338594660,374920420,411469480,414732640,490395989,411225360,425926080,413647950,437833586,482777110,507216940
Capital Structure,netCommonStockIssuance,0,0,-416000,2000,0,-55000,-1028000,0,0,-98000,-2539000,-1642000,-479000
Capital Structure,netDebtIssuance,23571000,-5659000,-6355000,-21694000,26580000,-10141000,-19345000,-18660000,4993000,-40718000,9670000,-23340000,13001000
Liquidity & Cash Flow,DSO,67.13195264207226,68.2922256036221,70.18862689943376,71.02715124928253,72.09178171319206,72.54759510549269,72.30002816427454,73.61719854721902,71.35375502656458,69.64823953832374,68.08274609635274,63.49272567483255,63.482573256971534
Liquidity & Cash Flow,DIO,186.86532548674566,187.67397465960576,182.9171409033213,180.60368112180254,179.6422019117693,174.06523148663993,173.57087329999575,175.03177917064002,180.6546737565693,192.4209762493427,207.08363780190763,207.41037956888474,201.72547813555005
Liquidity & Cash Flow,DPO,47.72112400445217,53.62714387195332,54.35675067095705,52.230780889948825,49.42355916736723,44.069940282160275,41.336649645063105,40.27495752747405,38.02926593793121,35.20693319464561,37.544216235288765,41.520228053733206,48.3748442376903
Liquidity & Cash Flow,CCC,206.27615412436575,202.33905639127454,198.749017131798,199.40005148113625,202.31042445759414,202.54288630997235,204.53425181920716,208.374020190385,213.9791628452027,226.86228259302078,237.62216766297163,229.38287718998407,216.8332071548313
Liquidity & Cash Flow,OCF,24176000,23696000,24767000,18569000,37733000,48368000,54839000,56431000,61365000,62169000,23020000,24319000,2305000
Liquidity & Cash Flow,CapEx,-3844000,-3875000,-3200000,-2227000,-2640000,-2906000,-2890000,-2801000,-2765000,-2489000,-3104000,-2975000,-2600000
Liquidity & Cash Flow,FCF,20332000,19821000,21567000,16342000,35093000,45462000,51949000,53630000,58600000,59680000,19916000,21344000,-295000
BQR,Total Debt / Adj Ebitda,7.813861845155309,22.34649370182365,7.043070671890872,7.6608541360744,10.232380811371039,8.28135447353613,5.961981069977529,7.197086373620825,8.078460743801653,11.856272511303548,13.750243788274759,9.468335950196954,10.229197405417445
BQR,Adj Ebitda / Interest Expense,0.4191401505950935,0.4969634681864898,1.6018875819424427,1.4719020172910662,1.2156774512892048,1.396394730760342,2.0020448968463147,1.8228553019145803,1.8234047562985638,1.2687408847836654,1.3655587514647918,2.1100261551874455,2.2540788152610443
BQR,Net Income before extraordinary,-36171000,-34638000,-13106000,-15165000,-21376000,-17514000,-5867000,-8412000,-7847000,-18411000,-15351000,-6166000,-10064000
