Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-09,2025-10-28,2025-07-31,2025-04-30,2025-02-27,2024-11-07,2024-08-08,2024-05-09,2024-02-15,2023-11-08,2023-08-03,2023-05-09,2023-02-21,2022-11-03,2022-08-09,2022-05-06,2022-02-25
Revenue & Margin,Segment-1,Product,-,-,-,Product,-,-,-,Product,-,-,-,Financing Obligations,-,-,-,Financing Obligations
Revenue & Margin,Segment-1 %,7558.6%,-,-,-,7320.2%,-,-,-,6585.9%,-,-,-,10000.0%,-,-,-,10000.0%
Revenue & Margin,Segment-2,Service,-,-,-,Service,-,-,-,Service,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,1126.9%,-,-,-,1450.1%,-,-,-,1491.9%,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,Installation,-,-,-,Installation,-,-,-,Electricity,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,1016.6%,-,-,-,873.2%,-,-,-,1208.2%,-,-,-,-,-,-,-,-
Revenue & Margin,Others,Electricity,-,-,-,Electricity,-,-,-,Installation,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,297.9%,-,-,-,356.5%,-,-,-,714.0%,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2023994000,1818704000,1630055000,1564580000,1473857000,1258380000,1328249000,1293577000,1333470000,1439130000,1331136000,1273277000,1199125000,1079020000,993974000,979208000,972176000
Revenue & Margin,Rev-CoGS / Sale (%),30.88818445113968,33.243287527822005,32.91471760155332,31.7948586841197,30.309724756200907,25.413309175288862,17.389510551109016,14.038824128753063,14.824255513809833,12.275680445824907,17.490399177845088,13.704873330783482,12.321984780569165,13.44571926377639,13.181531911297478,17.249756946430175,20.08206333009661
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),14.652711421081289,16.348069834343576,16.704282984316478,15.901328151964107,14.493400648773932,9.213035887410797,1.1908159539363476,-3.7557098649713163,-3.986516307078525,-7.080736278168059,-3.7385361075051686,-7.6464901195890596,-9.249911393724592,-8.839595188226355,-9.576709249940139,-5.422034950694847,-1.383905794835503
Revenue & Margin,Op. Income / Rev (%),5.463306709407241,7.024452577219822,7.062890515964185,6.074026256247683,4.409043753905569,-2.1285303326499148,-9.464641042455142,-15.015959622040281,-15.675193292687501,-18.242271372287426,-15.882223904995433,-20.351502461758127,-21.80956947774419,-21.72906896999129,-22.712666528500748,-17.128128038169624,-12.0194285808331
Revenue & Margin,Net Profit / Rev (%),-4.369331134380833,0.8395538801256279,1.4509326372423017,0.28653057050454434,-1.9830282042287686,-10.291883214927129,-21.36640042642607,-22.269489949187406,-22.65637772128357,-24.584227971065854,-18.170720347132075,-23.138405861411147,-25.13566141978526,-26.650015755036975,-28.456679953399185,-22.25420952443199,-16.91514705156268
EBITDA,Net Income,-88435000,15269000,23651000,4483000,-29227000,-129511000,-283799000,-288073000,-302116000,-353799000,-241877000,-294616000,-301408000,-287559000,-282852000,-217915000,-164445000
EBITDA,D & A,50566000,51265000,51705000,52516000,53048000,51491000,52866000,56977000,62609000,65709000,66579000,65374000,61608000,59557000,57343000,54396000,53454000
EBITDA,Net Int Inc,-19818000,-33799000,-35008000,-36137000,-37294000,-34717000,-85028000,-85678000,-88414000,-89935000,-41307000,-45329000,-49606000,-64823000,-67275000,-68134000,-68763000
EBITDA,Tax Provision,2736000,2166000,1939000,1778000,846000,1275000,1812000,1134000,1894000,1292000,982000,792000,1097000,1339000,1161000,1486000,1046000
EBITDA,EBITDA,-15315000,102499000,112303000,94914000,61961000,-42028000,-144093000,-144284000,-149199000,-196863000,-133009000,-183121000,-189097000,-161840000,-157073000,-93899000,-41182000
EBITDA,Stock-Based Comp,96593000,124001000,104435000,94342000,82424000,62336000,65962000,74873000,84480000,107959000,110330000,114460000,112259000,97425000,94705000,81606000,73274000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,86.89,84.57,23.92,19.66,22.21,10.56,11.37,11.73,14.8,13.26,16.35,19.93,19.12,19.99,16.5,24.15,21.93
Capital Structure,O/S Shares,263653939,234931000,232542000,230210000,227365000,227957000,227167000,225587000,224204000,210930000,208692000,206724000,201200000,186487000,178507000,177189000,174269000
Capital Structure,Market Capitalization,22908890759,19868114670,5562404640,4525928600,5049776650,2407225920,2582888790,2646135510,3318219200,2796931800,3412114200,4120009320,3846944000,3727875129,2945365500,4279114349,3821719170
Capital Structure,Cash,2454108000,595055000,574764000,794751000,802851000,495677000,581684000,515957000,664593000,557384000,767055000,320431000,348498000,492120000,235638000,286007000,396035000
Capital Structure,Debt,2991952000,1513379000,1521631000,1522969000,1529774000,1695076000,1720293000,1451908000,1454685000,1442843000,1567709000,1011427000,1020619000,1078862000,1083887000,1107467000,1123502000
Capital Structure,Enterprise Value,23446734759,20786438670,6509271640,5254146600,5776699650,3606624920,3721497790,3582086510,4108311200,3682390800,4212768200,4811005320,4519065000,4314617129,3793614500,5100574349,4549186170
Capital Structure,netCommonStockIssuance,9088000,42354000,30000,7651000,1251000,4141000,159000,6816000,942000,6745000,733000,8525000,129000,394565000,-980000,6961000,17681000
Capital Structure,netDebtIssuance,1458480000,-2939000,-2794000,-2671000,-70431000,-9303000,256469000,-3624000,465000,-123320000,568135000,-12995000,-83126000,-18879000,-43219000,-14197000,29479000
Liquidity & Cash Flow,DSO,99.83032064324301,113.45445231879404,128.26881991711934,134.07062758056475,135.55524467434765,151.59546003591922,127.57999629587523,114.90318802050439,111.14575318529852,97.63502081118455,79.4096884165104,63.32038806167079,48.41833628687584,38.674568126633424,41.85069478678517,39.440421493696945,38.18571688665427
Liquidity & Cash Flow,DIO,172.9192063090364,191.81246689954017,202.90686809744983,193.4121292370896,193.28838346468575,207.42724967336673,168.37806445467817,161.88891683788373,148.15715442704538,116.3692338096758,115.42090839149061,93.65080439507233,79.24611387628892,76.99490490803458,75.67902597244579,75.71064066632358,75.44990752217343
Liquidity & Cash Flow,DPO,43.0730941601451,41.326819835484024,42.28646732088005,39.86272331050562,36.90457437435196,44.21432449755624,40.27498060216097,47.15281678991848,49.04255775395918,46.26781432702795,50.412215530153006,45.368135771076176,43.851109838696026,40.68837947486878,42.07530856257525,39.52931301732574,39.34103113098387
Liquidity & Cash Flow,CCC,229.67643279213434,263.94009938285024,288.88922069368914,287.6200335071488,291.93905376468143,314.8083852117297,255.6830801483924,229.63928806846965,210.26034985838473,167.7364402938324,144.41838127784803,111.60305668566696,83.81334032446873,74.98109355979923,75.45441219665571,75.6217491426948,74.29459327784383
Liquidity & Cash Flow,OCF,117297000,180104000,90966000,128582000,91998000,-270397000,-334097000,-205087000,-372531000,-517634000,-454404000,-413990000,-191723000,-121227000,-123893000,-64089000,-60681000
Liquidity & Cash Flow,CapEx,-56759000,-44911000,-46902000,-51676000,-58852000,-64000000,-71043000,-78600000,-83739000,-103401000,-118245000,-124887000,-116823000,-86092000,-60078000,-55388000,-49810000
Liquidity & Cash Flow,FCF,60538000,135193000,44064000,76906000,33146000,-334397000,-405140000,-283687000,-456270000,-621035000,-572649000,-538877000,-308546000,-207319000,-183970000,-119477000,-110491000
BQR,Total Debt / Adj Ebitda,999.0,14.764817217728954,13.549335280446648,16.045778283498745,24.68930456254741,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,3.032604514926477,3.207923903107861,2.626504690483438,1.661420067571191,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,-88435000,15269000,23651000,4483000,-29227000,-129511000,-283799000,-288073000,-302116000,-353799000,-241877000,-294616000,-301408000,-287559000,-282852000,-217915000,-164445000
BQR,(NCO-CAPEX) / Total Debt (%),2.0233613373476578,8.933188579992189,2.8958400558348245,5.049741655936529,2.166725280989218,-19.727552038964625,-23.550639338763805,-19.538910178881856,-31.365553367223832,-43.042451604228596,-36.52776121078593,-53.27888221295259,-30.23126161672475,-19.216452150506736,-16.973171557551662,-10.788312428271,-9.834517428540403
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,58,58,58,65,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,52,52,58,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,58,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,75.0,62.45,66.7,68.2,73.5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
