Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-20,2025-10-31,2025-07-30,2025-05-02,2025-02-21,2024-10-31,2024-08-01,2024-05-03,2024-02-26,2023-11-01,2023-08-03,2023-05-05,2023-02-24,2022-11-03,2022-08-04,2022-05-06,2022-02-28
Revenue & Margin,Segment-1,Casino,-,-,-,Casino,-,-,-,Casino,-,-,-,Casino,-,-,-,-
Revenue & Margin,Segment-1 %,7796.7%,-,-,-,7773.6%,-,-,-,7880.2%,-,-,-,7523.1%,-,-,-,-
Revenue & Margin,Segment-2,Food and Beverage,-,-,-,Food and Beverage,-,-,-,Food and Beverage,-,-,-,"Product and Service, Other",-,-,-,-
Revenue & Margin,Segment-2 %,916.9%,-,-,-,913.1%,-,-,-,869.7%,-,-,-,1168.9%,-,-,-,-
Revenue & Margin,Segment-3,Occupancy,-,-,-,Occupancy,-,-,-,Occupancy,-,-,-,Food and Beverage,-,-,-,-
Revenue & Margin,Segment-3 %,565.3%,-,-,-,615.6%,-,-,-,600.4%,-,-,-,776.2%,-,-,-,-
Revenue & Margin,Others,"Product and Service, Other, Management Fee",-,-,-,"Product and Service, Other, Management Service",-,-,-,"Product and Service, Other, Management Service",-,-,-,Occupancy,-,-,-,-
Revenue & Margin,Others %,721.1%,-,-,-,697.7%,-,-,-,649.7%,-,-,-,531.8%,-,-,-,-
Revenue & Margin,Revenue Total,4091989000,4070839000,4027724000,3961238000,3930194000,3843691000,3785609000,3735047000,3738492000,3707001000,3681100000,3658600000,3555377000,3512297000,3478094000,3477246000,3369810000
Revenue & Margin,Rev-CoGS / Sale (%),42.14314847864938,50.781128902420356,51.602120701418464,51.9613817700426,52.155313452720144,52.216840531666044,52.56340525394989,53.28447004816807,53.99428432640755,54.58245088145377,55.23327266306267,55.49857869130268,55.97642669117789,56.22616766178942,56.60746949334894,57.313747718740636,57.49077841183924
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),28.145310263541763,37.34954882764953,38.07736081221057,38.34899594520703,38.45034112819876,38.772757747696154,39.00209979424711,39.72209720520251,40.665674822896506,41.077490942138944,41.834370161093155,42.122587875143495,42.45943538477073,42.52373873849506,42.836795095244696,43.70271761043079,43.51794314813001
Revenue & Margin,Op. Income / Rev (%),21.427257013642997,20.716171776874496,22.929649598631883,22.929170123077686,23.606391949099713,21.37338823542267,21.64550010315381,22.39160578166754,24.12285488373387,26.825377171465558,27.54622259650648,27.744082435904442,27.59831095267816,27.06115114980311,26.915747532987893,27.534060000356604,26.710823458889372
Revenue & Margin,Net Profit / Rev (%),45.01964692475957,45.9930250250624,13.98896746648976,13.930594425278159,14.705431843822467,13.009656603509493,13.317698684676627,14.906505861907494,16.584842230503636,18.885940413827782,19.610198038629758,18.48193297982835,17.98338122792604,16.413048213177873,16.03312043895306,15.08702576694315,13.764752315412442
EBITDA,Net Income,1842199000,1872302000,563437000,551824000,577952000,500051000,504156000,556765000,620023000,700102000,721871000,676180000,639377000,576475000,557647000,524613000,463846000
EBITDA,D & A,302710000,289662000,286257000,281949000,276639000,267137000,261590000,258133000,256780000,252565000,252724000,257261000,258179000,262646000,265276000,265798000,267787000
EBITDA,Net Int Inc,-152816000,-174255000,-188310000,-181550000,-175784000,-171098000,-166049000,-163503000,-147361000,-129058000,-122219000,-118202000,-129719000,-147986000,-158787000,-177480000,-197623000
EBITDA,Tax Provision,490769000,532762000,172414000,174321000,174051000,149122000,148172000,114560000,132884000,165438000,169895000,200907000,189429000,171794000,165517000,155677000,140093000
EBITDA,EBITDA,2788494000,2868981000,1210418000,1189644000,1204426000,1087408000,1079967000,1092961000,1157048000,1247163000,1266709000,1252550000,1216704000,1158901000,1147227000,1123568000,1069349000
EBITDA,Stock-Based Comp,29531000,34432000,33438000,30411000,29666000,29094000,29587000,31420000,32379000,33630000,31250000,33151000,34066000,37952000,42082000,40806000,37773000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,85.24,86.45,78.23,65.83,72.54,64.65,53.77,67.67,62.61,60.83,69.37,64.12,54.53,47.65,49.75,65.78,65.57
Capital Structure,O/S Shares,78616007,80860000,82289000,85119000,88982000,91863000,95042000,97434000,98935000,100804000,102025000,103620000,105569000,107743000,110118000,112195000,113957000
Capital Structure,Market Capitalization,6701228436,6990347000,6437468470,5603383770,6454754280,5938942950,5110408340,6593358780,6194320350,6131907320,7077474250,6644114400,5756677570,5133953950,5478370500,7380187100,7472160489
Capital Structure,Cash,353413000,319067000,320111000,311503000,316688000,286281000,280783000,288038000,304271000,269155000,260787000,263453000,283472000,252344000,250195000,402975000,344557000
Capital Structure,Debt,3265909000,2674868000,4258669000,4217215000,3931196000,3835057000,3739089000,3664264000,3725752000,3725812000,3772240000,3803729000,3896625000,3723817000,3774240000,3912109000,3932452000
Capital Structure,Enterprise Value,9613724436,9346148000,10376026470,9509095770,10069262280,9487718950,8568714340,9969584780,9615801350,9588564320,10588927250,10184390400,9369830570,8605426950,9002415500,10889321100,11060055489
Capital Structure,netCommonStockIssuance,-185320000,-160007000,-105000000,-327997000,-202632000,-202032000,-175686000,-105500000,-99999000,-106300000,-100029000,-106327000,-106873000,-134996000,-167984000,-131788999,-80782000
Capital Structure,netDebtIssuance,151400000,-1678800000,49699999,338100000,105700000,107000000,90600000,-49300000,4500000,-36700000,-26500000,-82800000,177033000,-41235000,-131044999,-1532000,-309974000
Liquidity & Cash Flow,DSO,9.232040640871713,11.026690689560555,11.626336610949508,11.62861963860793,11.92815450077019,11.701023183185121,11.912488519020322,11.684079544380566,11.286002818783617,10.648603817479412,10.270341066529028,9.799211447001586,9.931464370726367,9.478389783096361,8.762360577373698,7.8664688952119,7.190282612372804
Liquidity & Cash Flow,DIO,3.218480622564938,3.8506221985095985,3.93379940728444,4.00729614004553,4.040762310351742,4.110042566930755,4.2150743360486125,4.350156489365543,4.494430700265128,4.6715769923183785,4.8660339351468656,4.907381417565807,5.021710428800335,4.988677805767538,4.914344736697382,4.92968094180041,5.111281658382665
Liquidity & Cash Flow,DPO,20.686323229268393,23.53101335032923,23.591608642545935,24.25769302925393,23.524042099799562,23.756716760034784,23.635534791876882,22.677116532280483,22.6457487848272,23.419942130956404,23.629310616854827,23.387293021621748,23.47355360706975,22.24025377455256,21.649756035019113,21.646197785362315,21.532688938065455
Liquidity & Cash Flow,CCC,-8.235801965831742,-8.653700462259074,-8.031472624311988,-8.62177725060047,-7.55512528867763,-7.945651009918908,-7.507971936807948,-6.642880498534375,-6.865315265778456,-8.099761321158613,-8.492935615178933,-8.680700157054355,-8.520378807543047,-7.773186185688662,-7.973050720948033,-8.850047948350003,-9.231124667309986
Liquidity & Cash Flow,OCF,976679000,963450000,954675000,962739000,957075000,912283000,915053000,883070000,914516000,945329000,983174000,1024577000,976111000,960729000,967281000,1027434000,1010411000
Liquidity & Cash Flow,CapEx,-673215000,-551065000,-490691000,-480648000,-400400000,-384151000,-406595000,-367495000,-373950000,-375146000,-341842000,-318632000,-269155000,-233308000,-201812000,-210598000,-199452000
Liquidity & Cash Flow,FCF,388464000,412385000,463984000,482091000,556675000,528132000,508458000,515575000,540566000,570183000,641332000,705945000,706956000,727421000,765469000,816836000,810959000
BQR,Total Debt / Adj Ebitda,1.171208903443938,0.9323407858051342,3.5183457285004023,3.544938653916634,3.2639581012033947,3.526787553521769,3.462225234659948,3.3526027003708276,3.22004964357572,2.9874298708348466,2.9779846831434846,3.036788152169574,3.202607207669244,3.2132313286467094,3.289880729794539,3.4818622459877817,3.677426172372163
BQR,Adj Ebitda / Interest Expense,18.247395560674274,16.464267883274513,6.427794594020498,6.552707243183696,6.851738497246621,6.355468795660967,6.503905473685478,6.6846541042060394,7.851792536695598,9.663585364719738,10.364255966748214,10.596690411329758,9.379535765770628,7.831152946900382,7.224942847966143,6.330673878746901,5.411055393349964
BQR,Net Income before extraordinary,1842199000,1872302000,563437000,551824000,577952000,500051000,504156000,556765000,620023000,700102000,721871000,676180000,639377000,576475000,557647000,524613000,463846000
BQR,(NCO-CAPEX) / Total Debt (%),11.89451390103031,15.417022447462829,10.89504725537486,11.4315015952471,14.160448881205618,13.771164287779817,13.598446038593893,14.070356284372524,14.508909879133125,15.303590197250962,17.001357283735924,18.559287478156303,18.142777403522278,19.534284310963724,20.28140764763237,20.879684078332172,20.622222470865506
BQR,Score: Operating Leverage,35,25,48,48,48,48,48,48,45,45,45,45,45,45,48,48,48
BQR,Score: ICR,25,25,48,48,48,48,48,48,45,45,42,42,45,45,48,48,48
BQR,Score: Net Income,25,25,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35
BQR,Score: FCF/Debt,58,52,58,58,55,55,55,55,55,52,48,48,48,48,45,45,45
BQR,BQR,36.75,31.75,47.25,47.25,46.5,46.5,46.5,46.5,45.0,44.25,42.8,42.8,43.25,43.25,44.0,44.0,44.0
