Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-27,2025-10-31,2025-08-01,2025-05-07,2025-02-28,2024-10-31,2024-08-01,2024-05-02,2024-03-01,2023-11-02,2023-08-03,2023-05-04,2023-03-02,2022-11-03,2022-08-05,2022-05-06,2022-03-03
Revenue & Margin,Segment-1,Admission,-,-,-,Admission,-,-,-,Admission,-,-,-,Advanced Sale Of Tickets,-,-,-,Advanced Sale Of Tickets
Revenue & Margin,Segment-1 %,3070.5%,-,-,-,3084.8%,-,-,-,3311.2%,-,-,-,10000.0%,-,-,-,10000.0%
Revenue & Margin,Segment-2,Concessions,-,-,-,Concessions,-,-,-,Concessions,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,2756.6%,-,-,-,2762.1%,-,-,-,2855.6%,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,Occupancy,-,-,-,Occupancy,-,-,-,Occupancy,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,1595.9%,-,-,-,1630.6%,-,-,-,1540.4%,-,-,-,-,-,-,-,-
Revenue & Margin,Others,"Product and Service, Other, Food and Beverage",-,-,-,"Product and Service, Other, Food and Beverage",-,-,-,"Product and Service, Other, Food and Beverage",-,-,-,-,-,-,-,-
Revenue & Margin,Others %,2577.1%,-,-,-,2522.5%,-,-,-,2292.8%,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,758458000,753273000,775790000,745779000,735560000,708773000,684871000,715846000,729575000,730996000,705880000,697428000,677394000,683495000,645707000,539699000,458244000
Revenue & Margin,Rev-CoGS / Sale (%),102.57047852353062,52.20338443034597,38.84968870441743,38.670034956736515,39.06737723639132,40.38373357901613,41.363264030744475,42.96357037686877,44.40393379707364,43.934166534427,43.31486938289794,43.21306285379996,42.96273660528437,44.14984747510955,44.44291296207103,43.98877893047791,44.193704663890855
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),87.33522489050152,33.24438815675061,20.430142177651167,19.555122898338514,20.112023492305184,21.031980620029262,21.92120851956062,24.915275073130257,26.92019326320118,26.558421660310046,25.216042386807956,25.108541670251267,24.558528714455694,26.30333799076804,26.373417045192326,23.121777138738445,21.2773107776643
Revenue & Margin,Op. Income / Rev (%),2.2498279403737587,1.7446530009704315,2.9895977004086154,1.6657749815964247,2.1983250856490293,2.7547606920692522,1.1207950110312745,3.666850132570413,4.650104512901346,4.106178419580956,2.5545418484728284,2.3106327821653276,1.2261697033041332,3.670985157170133,3.4713887258462433,-4.185295877887489,-9.045835842913382
Revenue & Margin,Net Profit / Rev (%),1.6732633843930713,1.0249935946197462,1.9083772670439165,-1.7078786074695052,-1.0586491924520094,-1.4409408936288488,-3.1090526537114287,1.731377977944977,2.027755885275674,0.9459696085888295,-0.28758429194763985,-0.9371576707559778,-1.7673613879071854,0.5546492659053833,0.3501588181636563,-5.57069774077773,-9.447586875114569
EBITDA,Net Income,12691000,7721000,14805000,-12737000,-7787000,-10213000,-21293000,12394000,14794000,6915000,-2030000,-6536000,-11972000,3791000,2261000,-30065000,-43293000
EBITDA,D & A,16835000,34805000,35244000,69781000,67958000,66261000,68145000,67440000,67301000,67666000,64960000,65718000,67073000,68359000,69637000,71379000,72127000
EBITDA,Net Int Inc,-11472000,-11381000,-11677000,-11260000,-10972000,-11911000,-11718000,-12247000,-12721000,-12426000,-13245000,-14215000,-15299000,-16195000,-17107000,-17951000,-18702000
EBITDA,Tax Provision,-3984000,-2830000,-5384000,-2411000,-2422000,3479000,3946000,2329000,6856000,14559000,10181000,10844000,7137000,2941000,1596000,-11492000,-15701000
EBITDA,EBITDA,37014000,51077000,56342000,65893000,68721000,71438000,62516000,94410000,101672000,101566000,86356000,84241000,77537000,91286000,90601000,47773000,31835000
EBITDA,Stock-Based Comp,6216000,7265000,3274000,9237000,8206000,8551000,7639000,6736000,6394000,6134000,7321000,7461000,8206000,9715000,9736000,10749000,9316000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,15.51,15.51,16.86,16.69,21.7,15.28,11.15,14.26,14.69,15.5,14.85,15.8,14.25,14.08,14.77,17.7,17.95
Capital Structure,O/S Shares,30768000,31175000,31453000,31596000,31766000,32031000,32161000,31696000,31696000,31691000,31673000,31572000,30819148,31506000,40617000,31445000,31427370
Capital Structure,Market Capitalization,477211680,483524250,530297580,527337240,689322200,489433680,358595150,451984960,465614240,491210500,470344050,498837600,439172859,443604480,599913090,556576500,564121291
Capital Structure,Cash,23448000,7388000,14901000,11865000,40841000,28415000,32810000,17258000,55589000,36036000,44580000,10051000,21704000,10529000,57741000,19431000,17658000
Capital Structure,Debt,335482000,342568000,365061000,388431000,352632000,368327000,374482000,371556000,379055000,383887000,398234000,411912000,407773000,461243000,504034000,508455000,515102000
Capital Structure,Enterprise Value,789245680,818704250,880457580,903903240,1001113200,829345680,700267150,806282960,789080240,839061500,823998050,900698600,825241859,894318480,1046206090,1045600500,1061565291
Capital Structure,netCommonStockIssuance,-1827000,-9103000,18000,-7628000,-76000,-9646000,16000,-281000,23000,-32000,-202000,-292000,19000,-25000,-97000,-1364000,753000
Capital Structure,netDebtIssuance,-3704000,-18715000,-19767000,39052000,-21975000,-12015000,-2437000,-939000,-959000,-11069000,-9977000,8013000,-44088000,-38851000,-1176000,-1831000,-36642000
Liquidity & Cash Flow,DSO,9.838100791342434,10.19352213606488,10.673376493638743,11.754060184049163,11.31841895970417,11.520365123953649,11.00535721325622,9.578849710691966,10.168419970530788,10.367354951326684,11.343941250637501,12.224837187494623,12.832498516373041,17.286093899735913,20.52092318962006,26.226181167650857,32.88567608086522
Liquidity & Cash Flow,DIO,-0.0,1.76676346173609,1.3408651596338939,1.390737254747631,1.4192535185499202,1.2771510185921466,1.3438030708241822,1.3217285135919548,1.3304549881044834,1.2606352738514393,1.2912273291863374,1.304532531410334,1.3372195347946383,1.1744105172987402,1.2496968522813434,1.4830404046418693,1.753071610963168
Liquidity & Cash Flow,DPO,-661.3003949528108,37.37220481670041,29.351694147108546,32.6636719313665,34.07185695543914,33.26682546669696,32.7479854875419,30.608049856353155,30.705749294281524,29.232177147611626,28.85808701693704,28.62529604997374,28.084680498075663,29.284725842408175,30.279902909103072,30.377122947348923,32.15903358633553
Liquidity & Cash Flow,CCC,671.1384957441533,-25.411919218899442,-17.337452493835908,-19.518874492569708,-21.334184477185048,-20.469309324151162,-20.398825203461495,-19.707471632069236,-19.206874335646255,-17.604186922433502,-16.2229184371132,-15.095926331068783,-13.914962446907984,-10.824221425373523,-8.50928286720167,-2.6679013750561964,2.479714105492853
Liquidity & Cash Flow,OCF,84200000,87966000,79374000,83709000,103940000,85361000,76180000,95265000,102629000,101489000,85307000,79004000,93209000,104556000,111160000,65705000,46251000
Liquidity & Cash Flow,CapEx,-83211000,-86249000,-83842000,-86775000,-79210000,-66708000,-58161000,-45293000,-38774000,-35196000,-36398000,-39202000,-36843000,-35444000,-27228000,-22119000,-17082000
Liquidity & Cash Flow,FCF,989000,1717000,-4468000,-3066000,24730000,18653000,18019000,49972000,63855000,66293000,48909000,39802000,56366000,69112000,83932000,43586000,29169000
BQR,Total Debt / Adj Ebitda,9.063651591289782,6.706893513714588,6.479375953995243,5.894875024661193,5.1313572270485,5.155897421540357,5.990178514300339,3.9355576739752145,3.7282142576127155,3.779680207943603,4.611538283385057,4.889685545043387,5.259076311954293,5.052724404618452,5.563227778942838,10.643145709919828,16.18036752002513
BQR,Adj Ebitda / Interest Expense,3.2264644351464433,4.487918460592215,4.825040678256402,5.851953818827709,6.263306598614656,5.997649231802535,5.335040109233658,7.708826651424839,7.992453423472997,8.173668115242235,6.519894299735749,5.926204713330988,5.068109026733773,5.636677987033035,5.296136084643713,2.661300206116651,1.7022243610309058
BQR,Net Income before extraordinary,12691000,7721000,14805000,-12737000,-7787000,-10213000,-21293000,12394000,14794000,6915000,-2030000,-6536000,-11972000,3791000,2261000,-30065000,-43293000
BQR,(NCO-CAPEX) / Total Debt (%),0.29479972099844404,0.5012143574414423,-1.22390504600601,-0.7893293789630591,7.012976700923343,5.064249973528956,4.8117132465645875,13.44938582609351,16.84584031341098,17.268883812163477,12.281472701979238,9.662743498611354,13.822886753169042,14.983858833629995,16.65205125051088,8.572243364702874,5.662761938412198
BQR,Score: Operating Leverage,75,75,75,65,58,58,65,52,48,52,55,58,65,58,65,75,75
BQR,Score: ICR,58,55,52,48,48,48,48,48,45,45,48,48,48,48,48,58,65
BQR,Score: Net Income,55,55,55,65,65,65,75,55,55,55,65,65,65,58,58,75,75
BQR,Score: FCF/Debt,75,75,75,75,58,75,75,55,52,48,55,58,55,55,52,58,65
BQR,BQR,67.45,67.0,66.55,64.95,58.25,62.5,67.45,52.9,50.3,50.7,56.45,58.25,59.95,55.75,57.45,68.2,71.0
