Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31
Header,Filing Date,2026-03-02,2025-12-04,2025-09-24,2025-06-03,2025-03-06,2024-12-05,2024-09-19,2024-06-10,2024-03-07,2023-12-07,2023-09-21,2023-06-02,2023-05-24,2022-12-07,2022-09-21,2022-06-02,2022-03-10
Revenue & Margin,Segment-1,-,-,-,-,-,-,Subscription and Circulation,-,-,-,Service,-,-,-,Subscription and Circulation,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,9385.5%,-,-,-,5103.8%,-,-,-,9069.9%,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,Professional Services,-,-,-,Product,-,-,-,Professional Services,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,469.3%,-,-,-,4896.2%,-,-,-,580.4%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,Other Non Subscription Product,-,-,-,-,-,-,-,Software,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,145.1%,-,-,-,-,-,-,-,314.4%,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Hardware,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35.3%,-,-
Revenue & Margin,Revenue Total,2685651000,2617547000,2537927000,2432612000,2318206000,2228718000,2148816000,2095074000,2019078000,1940340000,1862895000,1754225000,1709302000,1635888000,1580796000,1585976000,1526826000
Revenue & Margin,Rev-CoGS / Sale (%),87.13678731897778,87.02670859396221,86.80884044340125,86.35511951762139,85.82291651389048,85.41744626282912,84.90829368359134,84.54598739710387,83.8300451988482,82.9075832070668,82.16823814546713,81.09586854593908,80.74997864625443,80.30396946490225,79.6839060827583,79.83683233541996,79.4077386683224
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),36.611272276256294,36.101433899754234,35.8309754378278,34.518369555029736,32.45061051520012,31.47526963931731,30.088895466154387,29.889206777421705,27.881290371149603,23.258398012719418,20.0741856089581,14.234205988399435,12.58121736240875,10.78594622614751,7.244325010943855,6.475192562813056,1.1338554622465167
Revenue & Margin,Op. Income / Rev (%),8.015710157425518,7.428023259945285,6.798501296530593,5.308902529462158,2.9726435010521066,1.818040685272879,0.351961266111198,0.4011314158831621,-1.9141410089159507,-6.813290454250286,-11.119789360108863,-18.76743291196967,-21.253295204709293,-24.546301458290543,-28.982297526056495,-29.421567539483572,-36.31664642860418
Revenue & Margin,Net Profit / Rev (%),9.946601401298977,8.425292840969046,7.422041689930403,0.9707672246951013,-2.388226067916311,-3.5444591913378,-5.806686100624716,-0.570910621772787,-3.333897947478998,-8.8076831895441,-13.643388382061254,-22.338354544029414,-25.30453951378984,-29.146371878759425,-50.4516711833785,-63.35089559993342,-66.59141251196927
EBITDA,Net Income,267131000,220536000,188366000,23615000,-55364000,-78996000,-124775000,-11961000,-67314000,-170899000,-254162000,-391865000,-432531000,-476802000,-797538000,-1004730000,-1016735000
EBITDA,D & A,72696000,72895000,72701000,72664000,73237000,73192000,73199000,72296000,73298000,74736000,76388000,79907000,81849000,84500000,87952000,90887000,92868000
EBITDA,Net Int Inc,36811000,49077000,42585000,-65198000,-78316000,-89584000,-100894000,-1560000,-8490000,-16429000,-25686000,-35128000,-44320000,-51983000,-55968000,-64784000,-71740000
EBITDA,Tax Provision,5690000,19863000,23282000,24341000,27792000,25482000,23457000,22106000,22580000,20404000,20975000,21071000,19521000,20660000,19264000,17651000,18459000
EBITDA,EBITDA,308706000,264217000,241764000,185818000,123981000,109262000,72775000,84001000,37054000,-59330000,-131113000,-255759000,-286841000,-319659000,-634354000,-831408000,-833668000
EBITDA,Stock-Based Comp,349737000,340601000,351590000,347993000,346043000,338584000,333833000,324851000,315467000,314788000,311745000,319301000,330899000,333654000,343246000,352705000,363485000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,39.33,71.24,75.17,68.7,68.77,62.1,50.51,60.7,56.2,36.19,30.2,24.51,27.87,27.4,15.21,25.03,27.34
Capital Structure,O/S Shares,269077000,269872000,268659000,267566000,267138000,266556000,247886000,245766000,243853000,241490000,237832000,234735000,228354838,228544000,225398000,222473000,218808000
Capital Structure,Market Capitalization,10582798410,19225681280,20195097030,18381784200,18371080260,16553127600,12520721860,14917996200,13704538600,8739523100,7182526400,5753354850,6364249335,6262105600,3428303580,5568499190,5982210720
Capital Structure,Cash,603402000,780421000,769502000,872599000,1072161000,716604000,655270000,598027000,679246000,612462000,512929000,439918000,406601000,480617000,402850000,386721000,400749000
Capital Structure,Debt,1542990000,1480549000,1482806000,1495583000,1465712000,704145000,695215000,1386446000,1365472000,1352907000,1329912000,1325221000,1311017000,1447112000,1441735000,1401061000,1392370000
Capital Structure,Enterprise Value,11522386410,19925809280,20908401030,19004768200,18764631260,16540668600,12560666860,15706415200,14390764600,9479968100,7999509400,6638657850,7268665335,7228600600,4467188580,6582839190,6973831720
Capital Structure,netCommonStockIssuance,-332873000,-21190000,-49631000,-37759000,-198813000,-20100000,-25008000,-46939000,-41679000,-17513000,23233000,372000,710000,22186000,1182000,34591000,1914000
Capital Structure,netDebtIssuance,0,0,-1685000,-998000,751576000,-964000,-818581000,-1170000,-1121000,-637000,419000,-1367000,-146192000,-1856000,-463000,-744000,-104000
Liquidity & Cash Flow,DSO,41.98470171989957,45.687662437388894,42.064080251323226,39.74130584737722,39.83267502974283,35.71818866272,34.26172482892905,31.89107520784469,28.975930474206542,28.517588412340107,27.223716312513588,27.29075802704898,30.465976024131486,32.11628638390892,35.23443410787983,38.398765176774425,37.72849525748186
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,83.28380772359253,71.23170913063707,60.45392225388461,50.930622546523786,48.85293119815976,47.61619087765074,45.21544945465983,41.02167645232926,38.98983564278801,39.627665829441185,38.202063145156195,42.395543406479085,48.053361891071326,49.87434630126783,53.54511903872261,54.38138518933152,56.239798287575375
Liquidity & Cash Flow,CCC,-41.29910600369296,-25.544046693248177,-18.389842002561387,-11.189316699146566,-9.020256168416928,-11.898002214930735,-10.953724625730786,-9.13060124448457,-10.013905168581466,-11.110077417101078,-10.978346832642607,-15.104785379430105,-17.58738586693984,-17.758059917358906,-18.310684930842783,-15.982620012557092,-18.511303030093515
Liquidity & Cash Flow,OCF,832206000,856530000,821456000,846624000,724471000,689209000,672931000,486543000,464687000,352363000,272403000,252098000,174434000,126117000,67543000,4909000,-47474000
Liquidity & Cash Flow,CapEx,-55092000,-83771000,-71283000,-79972000,-82906000,-72063000,-75252000,-67614000,-71416000,-58722000,-65404000,-67382000,-62440000,-59916000,-49058000,-51815000,-50869000
Liquidity & Cash Flow,FCF,777114000,772759000,750173000,766652000,641565000,617146000,597679000,418929000,393271000,293641000,206999000,184716000,111994000,66201000,18485000,-46906000,-98343000
BQR,Total Debt / Adj Ebitda,4.998250762861752,5.603534216193507,6.133278734633775,8.048644372450463,11.822069510650826,6.444555289121561,9.552937135005154,16.505113034368637,36.85086630323312,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,2.8500567502070617,1.5830864701976608,1.2196597606715485,0.721301564017682,53.84679487179487,4.364428739693757,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,267131000,220536000,188366000,23615000,-55364000,-78996000,-124775000,-11961000,-67314000,-170899000,-254162000,-391865000,-432531000,-476802000,-797538000,-1004730000,-1016735000
BQR,(NCO-CAPEX) / Total Debt (%),50.364163085956484,52.1940847618012,50.59144621750924,51.26108012728147,43.77155948781207,87.64473226395131,85.97038326273167,30.21603437854774,28.80110320826791,21.704448273236814,15.564864442158578,13.938505351182934,8.54252843403251,4.574697742814655,1.2821357600391194,-3.3478913480569368,-7.062993313558896
BQR,Score: Operating Leverage,58,65,65,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,58,65,75,75,15,55,75,75,75,75,75,75,75,75
BQR,Score: Net Income,35,35,42,52,75,75,75,65,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,15,15,15,15,25,15,15,35,42,45,52,55,58,75,75,75,75
BQR,BQR,44.05,46.5,48.25,51.7,61.0,60.0,60.0,53.5,63.75,67.5,69.25,70.0,70.75,75.0,75.0,75.0,75.0
