Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
Header,Filing Date,2025-12-19,2025-09-19,2025-07-25,2025-03-21,2024-12-20,2024-09-27,2024-07-19,2024-03-22,2023-12-15,2023-09-22,2023-07-21,2023-03-24,2022-12-16,2022-09-23,2022-07-22,2022-03-18,2021-12-17
Revenue & Margin,Segment-1,-,-,Childrens Book Publishing And Distribution,-,-,-,Childrens Book Publishing And Distribution,-,-,-,Childrens Book Publishing And Distribution,-,-,-,Childrens Book Publishing And Distribution,-,-
Revenue & Margin,Segment-1 %,-,-,5971.0%,-,-,-,6045.6%,-,-,-,6091.5%,-,-,-,5761.2%,-,-
Revenue & Margin,Segment-2,-,-,Education Solutions,-,-,-,Education Solutions,-,-,-,Education Solutions,-,-,-,Education Solutions,-,-
Revenue & Margin,Segment-2 %,-,-,1919.1%,-,-,-,2222.8%,-,-,-,2268.8%,-,-,-,2395.8%,-,-
Revenue & Margin,Segment-3,-,-,International Segment,-,-,-,International Segment,-,-,-,International Segment,-,-,-,International Segment,-,-
Revenue & Margin,Segment-3 %,-,-,1732.0%,-,-,-,1731.6%,-,-,-,1639.7%,-,-,-,1843.1%,-,-
Revenue & Margin,Others,-,-,Entertainment Segment,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,377.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1620400000,1613900000,1625500000,1592100000,1580400000,1598400000,1589700000,1643099999,1644299999,1669599999,1703999998,1690099999,1709699999,1645999999,1642900000,1529900000,1462900000
Revenue & Margin,Rev-CoGS / Sale (%),51.993334979017526,51.62649482619741,51.73792679175639,51.80579109352428,51.923563654770945,52.21471471471472,51.965779706862925,51.89580673841873,51.28626166227955,50.5091040072527,50.63967142093858,49.97929119577498,50.04971635377535,49.434993954699266,49.94826221924645,47.94431008562651,47.09822954405632
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.0982473463342384,1.0409566887663424,1.2980621347277759,1.2813265498398343,0.5821311060491015,2.264764764764765,1.4971378247468077,3.700322502404189,4.111171868947985,3.8931480018526283,6.255868434572616,4.686113191341407,5.30502421787742,4.556500549548299,6.238967679104023,5.09837244264331,5.584797320391004
Revenue & Margin,Op. Income / Rev (%),2.0982473463342384,1.0409566887663424,1.2980621347277759,0.6846303624144212,-0.018982536066818528,1.6704204204204205,0.8995407938604769,3.7003225632647574,4.111171929764138,3.893148061747214,6.355633810276566,4.786699014724986,5.4044569254281205,4.659781290801812,6.238967679104023,5.09837244264331,5.584797320391004
Revenue & Margin,Net Profit / Rev (%),-0.20982473463342383,-0.650597930478964,-0.1168871116579514,1.1682683248539665,-0.27208301695773224,1.488988988988989,0.7611499024973265,3.1586635038394886,3.600316246183979,3.419980835781014,5.035211273515506,3.6802556083546865,3.866175354662324,3.620899151653037,4.924219368190395,2.3792404732335446,2.58390867455055
EBITDA,Net Income,-3400000,-10500000,-1900000,18600000,-4300000,23800000,12100000,51900000,59200000,57100000,85800000,62200000,66100000,59600000,80900000,36400000,37800000
EBITDA,D & A,61600000,47400000,61500000,63200000,58800000,83600000,79900000,72100000,64500000,64200000,64600000,64200000,64200000,64700000,64900000,64600000,64400000
EBITDA,Net Int Inc,-18100000,-17500000,-16000000,-11400000,-6500000,-1700000,2700000,5900000,6700000,7000000,5800000,2100000,300000,-900000,-2400000,-3900000,-5200000
EBITDA,Tax Provision,2800000,4000000,600000,-21500000,-4800000,-1400000,4100000,12500000,13700000,14600000,25900000,7700000,9900000,5100000,8700000,7400000,4100000
EBITDA,EBITDA,79100000,58400000,76200000,71700000,56200000,107700000,93400000,130600000,130700000,128900000,170500000,132000000,139900000,130300000,156900000,112300000,111500000
EBITDA,Stock-Based Comp,9400000,9000000,9300000,9000000,8900000,10900000,11000000,11000000,11000000,11100000,10500000,9900000,9200000,8000000,7800000,7600000,7400000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,29.71,25.66,17.27,21.89,26.38,31.88,36.28,39.44,37.99,43.45,42.48,45.61,41.12,45.91,37.53,42.08,37.64
Capital Structure,O/S Shares,25400000,25123674,26113000,27800000,28200000,28300000,28511000,29100000,30700000,31600000,32585000,33700000,34488000,34210526,34200000,34600000,34600000
Capital Structure,Market Capitalization,754634000,644673474,450971510,608542000,743916000,902204000,1034379080,1147704000,1166293000,1373020000,1384210800,1537057000,1418146560,1570605248,1283526000,1455968000,1302344000
Capital Structure,Cash,99300000,94300000,124000000,94700000,139600000,84100000,113700000,110400000,149500000,125800000,224500000,198800000,261100000,239700000,316600000,308900000,300700000
Capital Structure,Debt,386100000,457900000,399400000,390700000,367800000,346900000,123800000,133500000,113800000,111900000,101000000,89800000,89600000,93300000,97100000,93200000,92500000
Capital Structure,Enterprise Value,1041434000,1008273474,726371510,904542000,972116000,1165004000,1044479080,1170804000,1130593000,1359120000,1260710800,1428057000,1246646560,1424205248,1064026000,1240268000,1094144000
