Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1
Header,Statement Date,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31
Header,Filing Date,2024-05-02,2024-02-28,2023-11-02,2023-08-03,2023-05-04,2023-02-24,2022-11-03,2022-08-04,2022-05-05,2022-02-28,2021-10-28,2021-07-30,2021-04-29,2021-02-22,2020-11-09,2020-08-07,2020-05-11
Revenue & Margin,Segment-1,-,Reimbursed Management Type Contract,-,-,-,Lease And Management Type Contracts,-,-,-,Lease And Management Type Contracts,-,-,-,Lease And Management Type Contracts,-,-,-
Revenue & Margin,Segment-1 %,-,3373.1%,-,-,-,3383.4%,-,-,-,3381.7%,-,-,-,3167.9%,-,-,-
Revenue & Margin,Segment-2,-,Lease And Management Type Contracts,-,-,-,Reimbursed Management Type Contract,-,-,-,Reimbursed Management Type Contract,-,-,-,Reimbursed Management Type Contract,-,-,-
Revenue & Margin,Segment-2 %,-,3313.4%,-,-,-,3233.1%,-,-,-,3236.6%,-,-,-,3103.9%,-,-,-
Revenue & Margin,Segment-3,-,Management Type Contracts,-,-,-,Management Type Contracts,-,-,-,Management Type Contracts,-,-,-,Management Type Contracts,-,-,-
Revenue & Margin,Segment-3 %,-,2213.5%,-,-,-,2209.2%,-,-,-,2169.6%,-,-,-,2075.0%,-,-,-
Revenue & Margin,Others,-,Lease Type Contracts,-,-,-,Lease Type Contracts,-,-,-,Lease Type Contracts,-,-,-,"Lease Type Contracts, Lease Impairment",-,-,-
Revenue & Margin,Others %,-,1100.0%,-,-,-,1174.2%,-,-,-,1212.1%,-,-,-,1653.2%,-,-,-
Revenue & Margin,Revenue Total,1808400000,1782300000,1746500000,1690200000,1629000000,1553500000,1478400000,1385600000,1280300000,1177200000,1078700000,996200000,923900000,1086900000,1263700000,1453200000,1664000000
Revenue & Margin,Rev-CoGS / Sale (%),13.171864631718647,13.712618526622903,14.033781849413113,13.94509525499941,14.033149171270717,14.271000965561633,14.70508658008658,14.809468822170901,15.066781223150825,15.273530411145089,15.092240660053768,15.940574181891186,10.704621712306526,2.7969454411629404,4.17029358233758,4.775667492430498,8.695913461538462
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),5.90577305905773,6.407451046400718,6.550243343830518,6.8275943675304696,6.961325966850829,7.24814934019955,7.771915584415584,7.852193995381063,7.904397406857767,7.781175671083929,6.971354408083805,7.418189118650874,1.4287260526030956,-5.060263133682952,-2.9595631874653794,-1.9474263693916873,2.530048076923077
Revenue & Margin,Op. Income / Rev (%),4.921477549214775,4.937440386018067,4.523332379043802,4.839663945095255,5.039901780233272,5.336337302864499,5.938852813852813,5.98296766743649,5.90486604702023,5.6489976214746855,4.7279132288866235,-8.44207990363381,-16.25717068946856,-20.204250621032294,-16.135158661074623,-4.2870905587668595,0.7451923076923077
