Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Header,Filing Date,2026-01-12,2025-11-10,2025-08-07,2025-05-09,2025-03-14,2024-11-12,2024-08-09,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31
Revenue & Margin,Segment-1,-,-,-,-,Health Care Capitation Revenue,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,9126.3%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,"Health Care, Other",-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,423.8%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,"Health Care, Patient Service",-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,306.4%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,"Product and Service, Other, Management Service",-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,143.5%,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3181772000,2896455000,2419117000,2250574000,2034540000,1722367000,1591830000,1453774000,1386662000,1327834000,1296662000,1218150000,1144164000,1045056000,955172000,861113000
Revenue & Margin,Rev-CoGS / Sale (%),9.728446915743806,10.147266227163895,11.8144761084313,12.168273516000806,13.339034867832533,14.361224988634827,15.495310428877456,16.231752665820135,15.501903131404768,16.347450057763243,17.005356831618418,16.812051061035177,17.434301376376112,17.381747963745482,19.37452102867337,21.46721742674887
