Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-05-31,2022-02-28,2021-11-30
Header,Filing Date,2026-01-07,2025-10-08,2025-07-09,2025-04-21,2025-01-07,2024-10-09,2024-07-10,2024-04-22,2024-01-09,2023-10-10,2023-07-07,2023-04-25,2023-01-09,2022-10-11,2022-07-11,2022-04-22,2022-01-10
Revenue & Margin,Segment-1,-,-,-,Precoat Metals,-,-,-,-,-,-,-,Precoat Metals,-,-,-,Metal Coatings,-
Revenue & Margin,Segment-1 %,-,-,-,5784.4%,-,-,-,-,-,-,-,5187.7%,-,-,-,5749.6%,-
Revenue & Margin,Segment-2,-,-,-,Metal Coatings,-,-,-,-,-,-,-,Metal Coatings,-,-,-,Infrastructure Solutions,-
Revenue & Margin,Segment-2 %,-,-,-,4215.6%,-,-,-,-,-,-,-,4812.3%,-,-,-,4250.4%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1616858000,1594766000,1586498000,1577744000,1592438000,1570389000,1559924000,1537589000,1507524000,1499220000,1507388000,1323649000,1211799000,973581000,698305000,720997000,691973000
Revenue & Margin,Rev-CoGS / Sale (%),23.878472939491285,23.948215600282424,24.213078112925448,24.254885456702734,24.177330608789795,23.903631520597763,23.66217841382016,23.638371502397586,22.796784661471392,21.918064059977855,22.085156575480237,22.358117597641066,23.923687014100523,26.130131956149516,27.106493580885143,25.95849913383828,25.682215924609775
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),15.333628556125522,14.859797612941334,14.885868119594225,14.981137624354776,14.95838456505057,14.804739462642697,14.478461771214496,14.4121738644072,14.29642247818277,13.87995090780539,14.012649696030484,13.1181302596081,13.340001105793947,14.128357065308384,13.371234632431387,13.339167846745548,27.75267243086074
Revenue & Margin,Op. Income / Rev (%),15.333628556125522,14.859797612941334,14.885868119594225,14.981137624354776,14.95838456505057,14.804739462642697,14.478461771214496,14.4121738644072,14.29642247818277,13.87995090780539,14.012649696030484,13.1181302596081,13.488293025493503,14.312933387155255,13.628572042302434,13.588406054394122,13.11293937769248
Revenue & Margin,Net Profit / Rev (%),19.88659486485517,19.69354751731602,16.397058174671507,8.16564664482958,7.942977999771419,7.627027443518772,7.223877573522812,6.608202842241978,5.625449412413998,2.492829604727792,-3.219409999283529,-4.0021183863698,-2.6747835243303553,0.9464030214229735,12.28145294677827,11.653585243766617,11.353044121663707
EBITDA,Net Income,321538000,314066000,260139000,128833000,126487000,119774000,112687000,101607000,84805000,37373000,-48529000,-52974000,-32413000,9214000,85762000,84022000,78560000
EBITDA,D & A,87798000,85654000,83709000,82205000,81772000,81496000,81222000,79423000,77811000,79392000,77995000,74590000,67256000,56457000,48700000,44665000,43649000
EBITDA,Net Int Inc,-61810000,-68827000,-77071000,-81282000,-88640000,-95272000,-101133000,-107065000,-109392000,-109660000,-110034000,-88800000,-63053000,-38557000,-12144000,-6369000,-7327000
EBITDA,Tax Provision,100518000,98147000,85377000,41850000,39827000,36493000,30247000,28496000,28353000,22020000,26875000,22336000,22214000,26414000,19510000,22046000,18408000
EBITDA,EBITDA,571664000,566694000,506296000,334170000,336726000,333035000,325289000,316591000,300361000,248445000,166375000,132752000,120110000,130642000,166116000,157102000,147944000
EBITDA,Stock-Based Comp,13916000,15245000,15812000,13261000,14547000,12939000,10141000,9510000,7451000,7631000,8288000,8382000,10045000,9537000,9636000,9449000,8099000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,104.75,112.89,90.69,96.11,93.14,83.17,83.88,72.8,49.17,49.1,34.91,40.65,41.63,42.61,44.76,49.23,51.89
Capital Structure,O/S Shares,29963000,30037000,29941000,29898000,29879000,29852000,26751000,25094000,25077000,25054000,24940000,24912000,24867000,24836000,24709000,24690000,24729000
Capital Structure,Market Capitalization,3138624250,3390876930,2715349290,2873496780,2782930060,2482790840,2243873880,1826843200,1233036090,1230151400,870655399,1012672800,1035213210,1058261960,1105974840,1215488700,1283187810
Capital Structure,Cash,623000,897000,3043000,1488000,1484000,2152000,10546000,4349000,7509000,2108000,3878000,2820000,3290000,11340000,100998000,12082000,20355000
Capital Structure,Debt,566609000,597310000,598179000,879126000,906237000,935409000,953159000,977228000,1003569000,1027370000,1067829000,1085227000,1048720000,1277497000,1659355000,241176000,236140000
Capital Structure,Enterprise Value,3704610250,3987289930,3310485290,3751134780,3687683060,3416047840,3186486880,2799722200,2229096090,2255413400,1934606399,2095079800,2080643210,2324418960,2664331840,1444582700,1498972810
Capital Structure,netCommonStockIssuance,-20000000,2056000,-4598000,1226000,0,1514000,-197000,899000,1000,1464000,-1710000,605000,-286000,1767000,-2314000,-702000,-7636000
Capital Structure,netDebtIssuance,-35711000,-6729000,-285829000,-30299000,-35257000,-20236000,-25196000,-30156000,-25106000,-41365000,-20000000,31750000,-230250000,-126250000,1463000000,35000000,9000000
Liquidity & Cash Flow,DSO,61.13265435183548,61.055321752532976,61.513505689890565,60.55628083516717,58.99999167942489,58.76427273751917,58.6235523333188,59.11595442605273,61.838731920685845,62.346436813809845,62.9646962162363,82.9148871793051,77.41188617089138,92.67416886730535,118.52313996033251,88.73447635704449,105.92850443586673
Liquidity & Cash Flow,DIO,32.54893758170652,33.573600113122176,34.38098927274572,34.837384232141545,34.884413493464216,36.1660351511997,37.92016917867807,40.87865207200578,43.29858393256216,44.195004570227745,44.51339274691161,54.803398296789155,55.06345374512416,66.20932711145842,86.73284543406042,67.40818826720516,71.73375429501476
Liquidity & Cash Flow,DPO,33.01742923372796,32.04705886475469,31.88731226473313,32.81746939912841,31.085545195618124,31.20703588843264,32.75066509239074,32.48309064258752,32.47613323629965,33.36242867027729,35.636228915118956,47.673207366698264,47.26403011415654,52.15114059981952,53.20967144644896,27.350026787202832,31.35484989081377
Liquidity & Cash Flow,CCC,60.664162699814035,62.581863000900455,64.00718269790316,62.576195668180304,62.79885997727098,63.72327200028623,63.793056419606124,67.511515855471,72.66118261694834,73.1790127137603,71.84186004802896,90.04507810939599,85.211309801859,106.73235537894428,152.046313947944,128.7926378370468,146.30740884006772
Liquidity & Cash Flow,OCF,517184000,503648000,492747000,249909000,249137000,245558000,269519000,244468000,174488000,121386000,93734000,70155000,112937000,115361000,98264000,86010000,82309000
Liquidity & Cash Flow,CapEx,-88663000,-96556000,-109383000,-115883000,-114161000,-111894000,-105479000,-95119000,-88935000,-81150000,-66347000,-57120000,-44359000,-34002000,-28725000,-28405000,-28325000
Liquidity & Cash Flow,FCF,428521000,407092000,383364000,134026000,134976000,133664000,164040000,149349000,85553000,40236000,27387000,13035000,68578000,81359000,69539000,57605000,53984000
BQR,Total Debt / Adj Ebitda,0.9911573931540205,1.054025629351996,1.1814807938439174,2.6307747553640364,2.6913187576842894,2.8087408230366178,2.9301913068071777,3.086720721688235,3.3412094113416857,4.13520094990843,6.418205860255447,8.174844823430156,8.731329614520023,9.77860871695167,9.989134099063305,1.5351555040674212,1.5961444871032282
BQR,Adj Ebitda / Interest Expense,9.248729978967804,8.233600185973527,6.56921539878813,4.111242341477818,3.7988041516245485,3.495623058191284,3.2164476481465,2.9569980852753,2.7457309492467457,2.2655936531096117,1.5120326444553502,1.494954954954955,1.9049053970469287,3.388282283372669,13.678853754940711,24.666666666666668,20.19162003548519
BQR,Net Income before extraordinary,321538000,314066000,260139000,128833000,126487000,119774000,112687000,101607000,84805000,37373000,-48529000,-52974000,-32413000,9214000,85762000,84022000,78560000
BQR,(NCO-CAPEX) / Total Debt (%),75.62904930913558,68.15422477440525,64.08850862367285,15.245368695727347,14.894117101817736,14.289364331538396,17.21014017598323,15.28292271609082,8.524874722116765,3.9164079153566873,2.5647364887074615,1.2011311919073153,6.539209703257304,6.368625523191053,4.1907247092996975,23.885046604968984,22.861014652324894
BQR,Score: Operating Leverage,25,35,35,45,45,45,45,45,48,52,75,75,75,75,75,35,35
BQR,Score: ICR,45,45,48,55,58,58,58,58,58,65,65,75,65,58,35,25,25
BQR,Score: Net Income,35,35,35,42,42,42,42,42,42,48,75,75,75,55,42,42,42
BQR,Score: FCF/Debt,15,15,15,52,55,55,48,52,58,75,75,75,65,65,75,42,45
BQR,BQR,28.0,31.5,31.95,47.5,48.699999999999996,48.699999999999996,46.949999999999996,47.949999999999996,50.5,58.7,73.5,75.0,71.0,64.95,60.75,37.0,37.75
