Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-03,2025-11-19,2025-08-06,2025-05-07,2025-02-05,2024-11-13,2024-07-31,2024-05-01,2024-01-31,2023-11-16,2023-08-03,2023-05-04,2023-02-07,2022-11-17,2022-08-04,2022-05-05,2022-02-03
Revenue & Margin,Segment-1,-,Landscape Maintenance,-,-,-,Landscape Maintenance,-,-,-,Landscape Maintenance,-,-,-,Landscape Maintenance,-,-,-
Revenue & Margin,Segment-1 %,-,8885.4%,-,-,-,8875.8%,-,-,-,8988.6%,-,-,-,8769.0%,-,-,-
Revenue & Margin,Segment-2,-,Snow Removal,-,-,-,Snow Removal,-,-,-,Snow Removal,-,-,-,Snow Removal,-,-,-
Revenue & Margin,Segment-2 %,-,1114.6%,-,-,-,1124.2%,-,-,-,1011.4%,-,-,-,1231.0%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2688400000,2672900000,2698800000,2729300000,2739600000,2767100000,2782100000,2809300000,2786800000,2816000000,2795700000,2777100000,2838600000,2774500000,2724800000,2651000000,2591000000
Revenue & Margin,Rev-CoGS / Sale (%),22.660318404999256,23.25938119645329,23.243663850600267,23.229399479720076,23.306322090816177,23.327671569513207,23.32770209553934,23.849357491189977,23.86608296253768,24.108664772727273,24.391029080373432,24.21590868171834,24.043542591418305,24.321499369255722,24.4531708749266,24.749151263674086,25.360864531069083
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),5.780389822943014,6.128175390025815,6.010078553431154,5.67911186018393,5.570156227186451,5.3846987821184635,5.521009309514396,5.627736446801694,5.0057413520884175,5.170454545454546,4.778767392781772,4.663137805624572,5.101106179102374,5.0387457199495405,4.884762184380505,4.945303658996606,5.310690852952528
Revenue & Margin,Op. Income / Rev (%),4.761196250557952,5.031987728684201,4.861419890321624,4.491994284248708,5.931522850051103,5.670196234324744,5.7294849214622054,5.752322642651194,3.4735180134921775,3.5901988636363638,3.1154988017312304,2.902308163191819,3.3431973508067356,3.186159668408722,2.9800352319436287,3.010184835910977,3.3114627556927823
Revenue & Margin,Net Profit / Rev (%),1.904478500223181,2.095102697444723,1.9971839336001187,1.6524383541567433,2.642721565191999,2.077987785045716,1.7360986305308939,1.4807959278111986,-0.5059566527917324,-0.2734375,-0.31476910970418853,-0.5329300349285225,0.2783062072852815,0.5045954225986664,0.9358485026423958,1.5050924179554885,1.756078734079506
EBITDA,Net Income,51200000,56000000,53900000,45100000,72400000,57500000,48300000,41600000,-14100000,-7700000,-8800000,-14800000,7900000,14000000,25500000,39900000,45500000
EBITDA,D & A,182100000,171500000,160500000,151200000,147000000,144200000,142300000,142800000,146400000,149700000,154800000,156500000,154600000,150400000,144600000,139600000,136300000
EBITDA,Net Int Inc,-54300000,-55000000,-55800000,-56300000,-59500000,-62400000,-67300000,-79600000,-91300000,-97400000,-97100000,-84500000,-66900000,-53400000,-44400000,-39000000,-38500000
EBITDA,Tax Provision,24300000,25300000,23300000,20600000,31600000,30100000,27600000,25300000,4300000,4500000,300000,-2800000,4800000,5700000,-3700000,1300000,3700000
EBITDA,EBITDA,311900000,307800000,293500000,273200000,310500000,294200000,285500000,289300000,227900000,243900000,243400000,223400000,234200000,223500000,210800000,219800000,224000000
EBITDA,Stock-Based Comp,17600000,18200000,18700000,19300000,19500000,20100000,21400000,20100000,21600000,22100000,20600000,21500000,19800000,18900000,18300000,18800000,19500000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,12.67,13.4,16.65,12.84,15.99,15.74,12.75,12.05,8.42,7.75,7.18,5.62,6.89,7.94,12.0,13.61,14.08
Capital Structure,O/S Shares,95228000,95228000,95228000,95516000,95166000,94549000,94549000,94436000,93986000,93420000,93504000,93475000,93252000,93000000,93207000,100282000,105259000
Capital Structure,Market Capitalization,1206538760,1276055200,1585546199,1226425440,1521704340,1488201260,1205499750,1137953800,791362120,724005000,671358720,525329500,642506280,738420000,1118484000,1364838020,1482046720
Capital Structure,Cash,37000000,74500000,79100000,141300000,98300000,140400000,115900000,177300000,64500000,67000000,9600000,11000000,22400000,20100000,26300000,45500000,132800000
Capital Structure,Debt,80800000,913200000,871300000,880800000,880700000,927000000,896300000,970900000,972200000,1002000000,1439300000,1445000000,1507600000,1430800000,1433200000,1356200000,1292800000
Capital Structure,Enterprise Value,1250338760,2114755200,2377746199,1965925440,2304104340,2274801260,1985899750,1931553800,1699062120,1659005000,2101058720,1959329500,2127706280,2149120000,2525384000,2675538020,2642046720
Capital Structure,netCommonStockIssuance,-18500000,-9400000,-6700000,-1400000,-3600000,1700000,100000,400000,-2300000,-700000,200000,400000,-900000,200000,-72500000,-88300000,-1600000
Capital Structure,netDebtIssuance,-3800000,-11200000,-26300000,9000000,-34500000,-15000000,-83600000,-8000000,-16500000,-473700000,-15700000,-71500000,69300000,-218300000,64300000,48300000,66800000
