Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-07-31,2022-04-30,2021-12-31
Header,Filing Date,2026-02-27,2025-11-07,2025-08-08,2025-05-09,2025-02-28,2024-11-01,2024-08-02,2024-05-03,2024-02-23,2023-11-03,2023-08-04,2023-05-04,2023-02-23,2022-11-03,2022-08-04,2022-05-05,2022-02-24
Revenue & Margin,Segment-1,Specialty Sports Group,-,-,-,-,-,-,-,Aftermarket Applications Group,-,-,-,Powered Vehicles Group,-,-,-,Powered Vehicles Group
Revenue & Margin,Segment-1 %,3470.0%,-,-,-,-,-,-,-,3764.2%,-,-,-,5750.5%,-,-,-,5542.7%
Revenue & Margin,Segment-2,Powered Vehicles Group,-,-,-,-,-,-,-,Powered Vehicles Group,-,-,-,Specialty Sports Group,-,-,-,Specialty Sports Group
Revenue & Margin,Segment-2 %,3326.8%,-,-,-,-,-,-,-,3577.9%,-,-,-,4249.5%,-,-,-,4457.3%
Revenue & Margin,Segment-3,Aftermarket Applications Group,-,-,-,-,-,-,-,Specialty Sports Group,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,3203.2%,-,-,-,-,-,-,-,2658.0%,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1467321000,1459086000,1441852000,1415479000,1393921000,1373579000,1345575000,1397799000,1464178000,1540324000,1618375000,1624365000,1602491000,1536179000,1474446000,1395905000,1299064000
Revenue & Margin,Rev-CoGS / Sale (%),30.20790951673151,30.368189400761846,30.24755661468722,30.385261808900026,30.387374894273062,30.13011992757606,30.7384575367408,31.096888751530084,31.74559377343465,32.682929046096795,32.96287943152854,33.51346526181,33.15731570411316,33.054285991411156,32.99707144242651,32.57155752003181,33.28026948633786
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),10.86074553557129,11.506929680635686,11.771735240510122,11.830765415806239,11.658623408356714,11.396286635133473,12.46121546550731,14.198178708097517,16.376355880227678,18.542657259122105,19.348235112381246,20.20500318586032,20.245917137756155,20.087307533822557,20.13474891586399,19.741529688624944,20.33510281248653
