Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-17,2025-10-30,2025-07-31,2025-05-01,2025-02-25,2024-10-31,2024-08-01,2024-05-02,2024-02-26,2023-11-02,2023-08-03,2023-05-04,2023-02-27,2022-11-03,2022-08-04,2022-05-02,2022-02-28
Revenue & Margin,Segment-1,Product,-,-,-,Product,-,-,-,Product,-,-,-,Networked Solutions Segment,-,-,-,Networked Solutions Segment
Revenue & Margin,Segment-1 %,8486.7%,-,-,-,8732.2%,-,-,-,8573.2%,-,-,-,6233.5%,-,-,-,5514.0%
Revenue & Margin,Segment-2,Service,-,-,-,Service,-,-,-,Service,-,-,-,Device Solutions,-,-,-,Device Solutions
Revenue & Margin,Segment-2 %,1513.3%,-,-,-,1267.8%,-,-,-,1426.8%,-,-,-,2443.3%,-,-,-,3255.5%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,Outcomes Segment,-,-,-,Outcomes Segment
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,1323.2%,-,-,-,1230.5%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2367194000,2408401000,2442238000,2444546000,2440837000,2405146000,2350456000,2282457000,2173633000,2063951000,1924039000,1814851000,1795564000,1813710000,1879799000,1937329000,1981572000
Revenue & Margin,Rev-CoGS / Sale (%),37.4920264245347,36.30051640071566,35.39028546767351,34.81861253582465,34.38644202787814,34.16952650691476,34.01178324546386,33.42533944779682,32.84399896394653,31.89591225760689,30.725728532529743,29.938160212601478,29.082171395728583,27.715456164436432,27.533741639398677,27.943059748757182,28.924964624045955
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),22.788626534200407,21.974995027821365,21.3835424721096,20.817812387249003,20.403410797197846,20.136324364508436,19.78394830620101,19.1580827152494,18.344955197128492,16.786929534664342,15.200107690124783,13.818434681414619,12.735051493569708,11.571695585292026,11.48856872463492,12.281909784037714,13.596831202701692
Revenue & Margin,Op. Income / Rev (%),13.483896968309313,12.337604908817095,11.845241946116635,11.352741981537676,10.820468552385924,10.421404771269604,9.85370498320326,8.852740708806344,5.928645728142699,4.456404246031035,2.2856085557517285,-1.358293325457572,-0.4142987941393345,-7.018211290669401,-6.916430958841876,-5.338277597661523,-4.001822795235298
Revenue & Margin,Net Profit / Rev (%),12.717800062014351,10.693152842902823,11.050520055784899,10.343761172831273,9.79602488818385,9.370907213117208,7.981302351543701,7.0310196424291895,4.459032412555385,3.6216460565197526,2.011081895949095,-1.2383385743512827,-0.5420024014738545,-5.006864382949865,-5.149273938330641,-4.797945986458676,-4.1005322541901075
EBITDA,Net Income,301055000,257534000,269880000,252858000,239105000,225384000,187597000,160480000,96923000,74749000,38694000,-22474000,-9732000,-90810000,-96796000,-92951999,-81254999
EBITDA,D & A,37299000,51519000,54196000,55601000,56277000,54729000,53658000,54044000,55763000,58164000,61880000,64389000,66763000,74658000,78630000,83325000,88298000
EBITDA,Net Int Inc,25925000,27286000,27179000,23362000,19198000,14082000,6464000,3157000,965000,-1038000,-2113000,-2955000,-4091000,-4864000,-6262000,-18523000,-27081000
EBITDA,Tax Provision,38932000,67420000,46457000,46907000,43407000,36679000,48552000,42567000,29068000,13344000,-1571000,-10125000,-6196000,-46120000,-45457000,-46314000,-45512000
EBITDA,EBITDA,351361000,349187000,343354000,332004000,319591000,302710000,283343000,253934000,180789000,147295000,101116000,34745000,54926000,-57408000,-57361000,-37417999,-11387999
EBITDA,Stock-Based Comp,33396000,45203000,55425000,50315000,45186000,41205000,37820000,32867000,28357000,24996000,23043000,22673000,21881000,17416000,18197000,17880000,18251000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,92.86,124.56,131.63,104.76,108.58,106.81,98.18,89.5,75.51,60.58,72.1,55.45,50.65,42.11,49.43,52.68,68.52
Capital Structure,O/S Shares,45248000,45746000,45338000,45338000,45100000,44982000,45745000,45652000,45501000,45462000,45435000,45281000,45179000,45139000,45066000,45018000,45246000
Capital Structure,Market Capitalization,4201729280,5698121760,5967840940,4749608880,4896958000,4804527420,4491244100,4085854000,3435780510,2754087960,3275863499,2510831450,2288316350,1900803290,2227612380,2371548240,3100255920
Capital Structure,Cash,1020397000,1331944000,1224257000,1123267000,1051237000,982507000,920639000,300606000,302049000,254771000,232787000,196013000,202007000,215413000,208500000,203997000,162579000
Capital Structure,Debt,1287573000,1269724000,1272418000,1266206000,1282358000,1269770000,1268240000,487102000,502464000,487271000,489611000,493388000,515099000,499094000,501451000,505128000,507542000
Capital Structure,Enterprise Value,4468905280,5635901760,6016001940,4892547880,5128079000,5091790420,4838845100,4272350000,3636195510,2986587960,3532687499,2808206450,2601408350,2184484290,2520563380,2672679240,3445218920
Capital Structure,netCommonStockIssuance,-99012000,896000,3241000,2195000,4004000,1345000,-98592000,1564000,1308000,725000,1034000,607000,821000,834000,1013000,-16188000,-91438000
Capital Structure,netDebtIssuance,0,0,0,0,0,-122000,674508000,0,0,0,0,0,0,0,0,0,84129000
Liquidity & Cash Flow,DSO,54.90066773149982,53.305072535678235,51.41791361038523,50.489210982325545,50.31728665207878,49.294013752179694,49.6387163809916,51.200190189782326,52.307966087191346,54.05377780286451,55.54508250612383,55.91273608687435,56.41041129695183,56.75284017290526,57.394620382285545,59.289427608836704,60.84724022139998
Liquidity & Cash Flow,DIO,65.57455387464223,64.90284941586128,64.33589281606264,64.19728641279688,64.17572524851391,65.66042518911223,66.99717251312681,66.89980030114417,68.25966962955351,67.31688169403863,66.02963711976615,62.57565858289069,55.75818395994896,49.778548502248604,46.020352806448294,45.22280136534907,44.7042412576514
Liquidity & Cash Flow,DPO,36.33219992768731,34.36696577037674,33.82908972744551,37.03164057866598,40.2142815887407,43.82275776391239,48.95925046936733,52.98498869393197,56.48413913579613,61.1023505390802,65.22596641517815,63.667987790971104,60.61235790713654,55.8054952129315,50.55016351984261,49.73150492843737,47.87595595862832
Liquidity & Cash Flow,CCC,84.14302167845474,83.84095618116278,81.92471669900235,77.65485681645646,74.278730311852,71.13168117737953,67.67663842475108,65.11500179699453,64.08349658094873,60.26830895782293,56.348753210711834,54.820406878793925,51.556237349764245,50.725893462222366,52.864809668891226,54.78072404574841,57.67552552042306
Liquidity & Cash Flow,OCF,403923000,364451000,313952000,269190000,238381000,203956000,172742000,162379000,122500000,64046000,44833000,18338000,24500000,41427000,45020000,102680000,145044000
Liquidity & Cash Flow,CapEx,-7814000,-9684000,-16307000,-23417000,-30562000,-29458000,-28641000,-27127000,-26884000,-23165000,-21582000,-21280000,-19747000,-21787000,-24869000,-28639000,-34682000
Liquidity & Cash Flow,FCF,381026000,339690000,307867000,262012000,228697000,195376000,144101000,135252000,95616000,40881000,23251000,-2942000,4753000,19640000,20151000,74041000,110362000
BQR,Total Debt / Adj Ebitda,3.6645302125164716,3.6362292983415765,3.705848774151459,3.813827544246455,4.012497223013164,4.194674771233194,4.475988466275856,1.9182228453062606,2.77928413786237,3.3081299433110423,4.842072471221171,14.20025903007627,9.378054109165058,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,141.90269749518305,47.85423568386181,11.758037225042301,13.426057198728918,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,301055000,257534000,269880000,252858000,239105000,225384000,187597000,160480000,96923000,74749000,38694000,-22474000,-9732000,-90810000,-96796000,-92951999,-81254999
BQR,(NCO-CAPEX) / Total Debt (%),29.59257455693774,26.753058144919684,24.195429489365917,20.692683496998118,17.834099370066706,15.38672357986092,11.36228158708131,27.76666899335252,19.029423003439053,8.38978720260389,4.748872063740398,-0.5962852764963882,0.9227352411866456,3.935130456386973,4.018538202137397,14.657868896596506,21.744407359390948
BQR,Score: Operating Leverage,48,48,48,52,52,52,55,42,45,48,58,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,15,15,42,35,75,75,75,75
BQR,Score: Net Income,35,35,35,35,35,35,42,42,42,45,48,75,65,75,75,75,75
BQR,Score: FCF/Debt,42,42,42,45,48,52,58,42,48,58,75,75,75,75,75,55,45
BQR,BQR,47.3,47.3,47.3,49.45,50.2,51.2,55.5,46.95,49.5,44.8,53.3,70.05,66.5,75.0,75.0,70.0,67.5
