Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-12-29,2025-12-29,2025-05-09,2025-03-06,2024-11-07,2024-08-08,2024-05-03,2024-02-26,2023-11-03,2023-08-04,2023-05-04,2023-03-07,2022-11-08,2022-08-08,2022-05-05,2022-03-01,2021-11-05
Revenue & Margin,Segment-1,-,-,-,Other Service Revenue,-,-,-,Grant,-,-,-,Grant,-,-,-,Medicare And Medicaid Agency Contracts,-
Revenue & Margin,Segment-1 %,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,8245.9%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Private Pay and Other Contracts,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1754.1%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2692713000,2715043000,2753789000,2787586000,2787619000,2772507000,2773315000,2751170000,2702259000,2663116000,2592224000,2504393000,2426247000,2271524000,2117757000,1996892000,1819626000
Revenue & Margin,Rev-CoGS / Sale (%),7.533294487752687,11.305640463152885,15.148292044161698,15.08010873924607,15.516324146162011,15.731033321106134,15.713938012811383,16.245888113057354,16.63637719404395,17.087727308911816,18.100249052551014,18.859619875953975,19.907742286749865,20.408280960271608,20.5158571073074,20.66175837251088,20.112374740743427
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),45.84012481092489,24.757876762909465,4.261364977491013,4.375829122401964,4.7682986807020615,4.951872078231002,4.82343332798474,5.175543496039866,4.825592217474343,4.887545266522374,5.559820447615638,5.995384909636786,6.549539267848657,6.4851174805989285,6.670831450444975,7.07729812128047,7.286882029603886
Revenue & Margin,Op. Income / Rev (%),-0.4546715524454333,0.1873266832238016,-3.407450607145282,-3.3285789209732006,-2.9193013822907647,-2.6905612862293946,-5.460576962948673,-5.086781260336512,-5.514090248196046,-5.579967226361901,1.940727344550471,2.279354717889724,2.9151607400235835,3.1435723329359497,3.5806279946188346,4.495485985221034,4.970471954126837
Revenue & Margin,Net Profit / Rev (%),-16.737283178712325,-14.88595208252687,-8.32870637510717,-7.2205126586229085,-6.566177085175556,-5.797568770791202,-8.033634837730297,-7.431747220273556,-7.557047640511143,-7.583822860138274,-0.2175352130062834,-0.07355075661048406,-1.1692131922265128,-1.4915536881846725,-1.208448372499772,-0.3298626064904862,1.2022800289729867
EBITDA,Net Income,-450687000,-404160000,-229355000,-201278000,-183040000,-160738000,-222798000,-204460000,-204211000,-201966000,-5639000,-1842000,-28368000,-33881000,-25592000,-6587000,21877000
EBITDA,D & A,13212000,5193000,43675000,50206000,52597000,114912000,111097000,106740000,103718000,103313000,102162000,100415000,94708000,81643000,68705000,56998000,45649000
EBITDA,Net Int Inc,-65761000,-94254000,-114204000,-94053000,-85480000,-74831000,-71848000,-69120000,-66301000,-64014000,-62519000,-61961000,-61098000,-63243000,-56058000,-49081000,-49893000
EBITDA,Tax Provision,-6867000,-11050000,-1416000,-5506000,-2098000,7313000,-3075000,-4405000,-8274000,-7668000,-4547000,-3035000,1109000,-1701000,1799000,8176000,12964000
EBITDA,EBITDA,-378581000,-315763000,-72892000,-62525000,-47061000,36318000,-42928000,-33005000,-42466000,-42307000,154495000,157499000,128547000,109304000,100970000,107668000,130383000
EBITDA,Stock-Based Comp,983000,3234000,5972000,6682000,7219000,8432000,7342000,6456000,5749000,4662000,5947000,6872000,6831000,7741000,6766000,5904000,5206000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,0.17,3.12,1.32,11.84,14.28,27.06,22.53,43.99,31.51,45.21,84.08,89.73,99.68,84.5,115.39,148.29,181.62
Capital Structure,O/S Shares,14400841,14353053,14328736,14285225,14253192,14216954,14202000,14187071,14182839,14170617,14150050,14123013,14041871,14047459,14023585,13968584,13993438
Capital Structure,Market Capitalization,2448142.97,44781525.0,18913931.0,169137064.0,203535581.0,384710775.0,319971060.0,624089253.0,446901256.0,640653594.0,1189736204.0,1267257956.0,1399693701.0,1187010285.0,1618181473.0,2071401321.0,2541488209.0
Capital Structure,Cash,78227000,76425000,115963000,112581000,48336000,11082000,10866000,2217000,8070000,6898000,12848000,14451000,72703000,87956000,194063000,133139000,126506000
Capital Structure,Debt,34985000,115026000,1400773000,1302207000,1262287000,1210636000,1149394000,1140068000,1107929000,1149720000,1038152000,1021089000,1019030000,1019742000,1020183000,1019622000,1019345000
Capital Structure,Enterprise Value,-40793857,83382525,1303723931,1358763064,1417486581,1584264775,1458499060,1761940253,1546760256,1783475594,2215040204,2273895956,2346020701,2118796285,2444301473,2957884321,3434327209
Capital Structure,netCommonStockIssuance,0,0,0,0,0,-92000,0,-38000,-21000,-220000,-620000,0,-42000,-35000,-572000,-954000,-31000
Capital Structure,netDebtIssuance,0,0,103687000,39413000,61343000,62000000,7200000,30800000,-43124000,0,15000000,0,0,0,0,-125000000,0
Liquidity & Cash Flow,DSO,44.29597305765598,46.74097150579199,50.280978771430924,49.07743339577684,49.674870382215076,48.49942533959337,46.51625626731908,44.77162807096617,42.85448397063346,41.43940125026472,40.294904587720815,41.049461386451725,40.24742070778449,44.18875664531829,45.69999473499556,45.845117687886976,48.589629819534345
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.08830659020023858,0.1448277617541341,0.20299620088029863,0.2903131618443815,0.27977740540295737,0.3147507683611827,0.3058021016951154,0.29240594040044543,0.3076752887947366,0.22193412745703184,0.1837902756992209,0.1563669465127926
Liquidity & Cash Flow,DPO,24.261365562231283,14.053507303534326,9.952051816349737,9.707316403453003,8.679138378562454,8.347374744421137,8.110627918159347,8.241384387241137,8.418433582619263,8.68818357827042,7.083718985880996,6.640216473415831,4.771095739272019,4.583836897693238,5.228570719921391,5.309240869305604,5.772206422977651
Liquidity & Cash Flow,CCC,20.034607495424694,32.687464202257665,40.32892695508119,39.370116992323844,40.99573200365262,40.240357185372474,38.55045611091387,36.73323988460534,34.726363549858576,33.030995077397264,33.525936370200995,34.715047014731006,35.768730908912914,39.91259503641979,40.6933581425312,40.719667094280595,42.97379034306948
Liquidity & Cash Flow,OCF,-177005000,-64125000,-97303000,-6408000,-62097000,-18686000,-71512000,-82971000,-113295000,-172522000,-82167000,-10442000,57672000,68933000,121346000,186840000,235903000
Liquidity & Cash Flow,CapEx,-23541000,-23787000,-23835000,-27630000,-33426000,-34576000,-36824000,-42288000,-38629000,-39370000,-37740000,-33004000,-32982000,-29083000,-24512000,-21316000,-21216000
Liquidity & Cash Flow,FCF,-200546000,-87912000,-121138000,-34038000,-95523000,-53262000,-108336000,-125259000,-151924000,-211892000,-119907000,-43446000,24690000,39850000,96834000,165524000,214687000
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,999.0,999.0,33.33432457734457,999.0,999.0,999.0,999.0,6.719647885044823,6.48314592473603,7.92729507495313,9.329411549440094,10.103822917698325,9.47005609837649,7.81808211193177
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,0.4853336184201735,-999.0,-999.0,-999.0,-999.0,2.4711687646955327,2.541905392101483,2.103947756064028,1.7283177584871052,1.8011702165614185,2.1936798353741773,2.613252360050508
BQR,Net Income before extraordinary,-450687000,-404160000,-229355000,-201278000,-183040000,-160738000,-222798000,-204460000,-204211000,-201966000,-5639000,-1842000,-28368000,-33881000,-25592000,-6587000,21877000
BQR,(NCO-CAPEX) / Total Debt (%),-573.234243247106,-76.4279380314016,-8.647939387752334,-2.613870145069102,-7.567454944873868,-4.399505714351795,-9.425488561798652,-10.986976215453815,-13.712431031230341,-18.42987857913231,-11.550042768303678,-4.254869066261609,2.422892358419281,3.9078512015784383,9.491826466428082,16.233859214493215,21.061269736938918
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,75,75,75,75,75,65,58,65,65,65,65,58
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,65,65,75,75,75,65,52
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,58,52,45
BQR,BQR,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,71.0,69.95,73.5,73.5,69.25,65.25,59.2
