Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-04,2025-11-05,2025-08-27,2025-05-07,2025-02-05,2024-11-06,2024-08-28,2024-05-08,2024-02-07,2023-11-08,2023-08-30,2023-05-03,2023-02-08,2022-11-09,2022-08-24,2022-05-04,2022-02-09
Revenue & Margin,Segment-1,-,-,Vaccines,-,-,-,Vaccines,-,-,-,Vaccines,-,-,-,Animal Health,-,-
Revenue & Margin,Segment-1 %,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,6442.5%,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Mineral Nutrition,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2754.1%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Performance Products,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,803.3%,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1464325000,1399676000,1296215000,1190682000,1106080000,1046762000,1017679000,999564000,982014000,976717000,977889000,978105000,972051000,960117000,942261000,907274000,879384000
Revenue & Margin,Rev-CoGS / Sale (%),31.89291994605023,31.16649853251753,30.854603595854087,31.669496977362556,31.834496600607554,31.416979217816465,30.765300256760725,30.273999463766206,30.40160323579908,30.440444878096727,30.498042211334823,30.6710424749899,30.459410051530217,30.138826830480035,30.2888477820901,30.509416119055544,31.197178934344947
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),11.630751370085193,10.080475767248991,8.522120172965133,7.992310289397168,7.374873426876899,6.853515889953972,5.238881808507398,5.869058909684623,5.834336374023181,5.880618439117984,7.347152897721521,7.255560497083646,7.366691665355008,8.13005081672338,8.382603121640395,8.294958303665705,8.664701654794719
Revenue & Margin,Op. Income / Rev (%),11.57789425161764,10.049254255984955,8.522120172965133,7.992310289397168,7.374873426876899,6.853515889953972,5.238881808507398,5.869058909684623,5.834336374023181,5.880618439117984,7.347152897721521,7.255560497083646,7.366691665355008,8.13005081672338,8.382603121640395,8.294958303665705,8.664701654794719
Revenue & Margin,Net Profit / Rev (%),6.288904444027112,4.845121299500741,3.7234563710495556,2.6700663989209548,1.7464378706784318,1.6628421742478232,0.23740295319054436,1.3167741135134918,1.5070049917821946,2.1229281357854934,3.3343252659555427,2.923510257078739,3.7284051968466674,4.842847277987995,5.218830026924599,6.481944814907073,6.058900321133884
EBITDA,Net Income,92090000,67816000,48264000,31792000,19317000,17406000,2416000,13162000,14799000,20735000,32606000,28595000,36242000,46497000,49175000,58809000,53281000
EBITDA,D & A,50748000,49431000,45605000,42395000,38975000,36311000,36178000,35551000,34844000,34436000,34012000,33843000,33799000,33303000,32705000,32143000,31616000
EBITDA,Net Int Inc,-46167000,-42214000,-36858000,-33298000,-28722000,-28642000,-29135000,-32524000,-31168000,-29048000,-25192000,-20084000,-15330000,-12975000,-12454000,-12767000,-12764000
EBITDA,Tax Provision,34137000,26824000,19729000,18762000,14471000,15109000,8500000,12787000,13332000,15940000,21465000,16404000,20486000,21652000,23152000,17274000,13751000
EBITDA,EBITDA,223142000,186285000,150456000,126247000,101485000,97468000,76229000,94024000,94143000,100159000,113275000,98926000,105857000,114427000,117486000,120993000,111412000
EBITDA,Stock-Based Comp,1131000,877000,717000,717000,673000,573000,475000,296000,161000,81000,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,37.36,40.46,25.54,21.36,21.0,22.52,17.04,12.61,11.58,12.77,13.7,15.32,13.41,13.29,19.13,19.95,20.42
Capital Structure,O/S Shares,40534000,40534000,40500000,40500000,40504000,40504000,40504000,40504000,40504000,40500000,40502000,40500000,40504000,40504000,40500000,40504000,40504000
Capital Structure,Market Capitalization,1514350240,1640005640,1034370000,865080000,850584000,912150080,690188160,510755440,469036320,517185000,554877400,620460000,543158640,538298160,774765000,808054800,827091680
Capital Structure,Cash,55486000,72769000,68039000,60354000,67074000,51837000,70613000,50225000,32970000,43153000,41281000,37238000,68422000,76280000,74248000,70748000,63385000
Capital Structure,Debt,773167000,785099000,761552000,770021000,789464000,511884000,525459000,522988000,513094000,518341000,509966000,517711000,511742000,503119000,470484000,455684000,434737000
Capital Structure,Enterprise Value,2232031240,2352335640,1727883000,1574747000,1572974000,1372197080,1145034160,983518440,949160320,992373000,1023562400,1100933000,986478640,965137160,1171001000,1192990800,1198443680
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-12062000,23937000,-245047000,-26063000,283125000,-12015000,4020000,8895000,-8105000,7895000,-5855000,5145000,9145000,34250000,17250000,15125000,-4875000
Liquidity & Cash Flow,DSO,53.54569255459,54.448831372403326,54.77379427795543,55.142901295224085,56.35517435447708,55.96047501724365,56.52416184278147,57.00326967557855,57.24638599857028,57.66923914501334,56.99358643976974,57.266289150960276,57.98163882347737,57.815132166183915,58.7089206175359,58.993060530776816,58.68506960554206
Liquidity & Cash Flow,DIO,172.19011484905883,169.70647810048513,162.14288922013716,158.59765222179476,151.0390734317906,140.76249371431436,144.276863609462,147.38302884256683,151.69975719348147,152.91708308801884,153.08701548733765,150.95751611095545,145.64132838735446,138.85733523270255,133.52352704757934,132.91147873808427,131.9139756644591
Liquidity & Cash Flow,DPO,48.83299458843749,47.343267033129,46.40481750538061,45.21703259222295,42.862017799234714,43.358370443835575,42.971694765869934,41.908520767451606,41.821815203682405,41.276589637915805,42.76002829389158,45.78311409653301,47.8082126425729,48.20428729673842,46.22644669115688,44.21978444652402,42.02237740913426
Liquidity & Cash Flow,CCC,176.90281281521135,176.81204243975947,170.511865992712,168.5235209247959,164.53222998703296,153.36459828772243,157.82933068637354,162.4777777506938,167.12432798836934,169.30973259511637,167.32057363321582,162.44069116538273,155.81475456825893,148.46818010214804,146.00600097395835,147.68475482233706,148.57666786086688
Liquidity & Cash Flow,OCF,93080000,76804000,80124000,87281000,55535000,84017000,87594000,79403000,74254000,40207000,13310000,-5354000,-5481000,17130000,31649000,33145000,43638000
Liquidity & Cash Flow,CapEx,-45791000,-42516000,-38293000,-38223000,-40208000,-43345000,-41238000,-39057000,-37234000,-36094000,-51794000,-52793000,-54900000,-52771000,-37044000,-32248000,-29721000
Liquidity & Cash Flow,FCF,47289000,34288000,41831000,49058000,15327000,40672000,46356000,40346000,37020000,4113000,-38484000,-58147000,-60381000,-35641000,-5395000,897000,13917000
BQR,Total Debt / Adj Ebitda,3.464910236530998,4.214504656843009,5.061625990322752,6.099321171988246,7.7791200670049765,5.25181598062954,6.893164018942922,5.562281970560708,5.45015561433139,5.175181461476253,4.5020172147428825,5.233315811818936,4.834276429522847,4.396855637218489,4.004596292324192,3.7662013504913507,3.9020662047176247
BQR,Adj Ebitda / Interest Expense,4.833365824073472,4.412872506751315,4.08204460361387,3.7914289146495284,3.533354223243507,3.402974652608058,2.616406384074138,2.8909113270200466,3.020501796714579,3.448051500963922,4.496467132422992,4.925612427803227,6.905218525766471,8.819036608863199,9.433595631925487,9.477011044098065,8.728611720463805
BQR,Net Income before extraordinary,92090000,67816000,48264000,31792000,19317000,17406000,2416000,13162000,14799000,20735000,32606000,28595000,36242000,46497000,49175000,58809000,53281000
BQR,(NCO-CAPEX) / Total Debt (%),6.116272422387401,4.3673473026968574,5.4928619450805725,6.370995076757647,1.941443815044131,7.945550163708965,8.822001335974834,7.714517350302493,7.215052212654991,0.793493086597433,-7.546385445304197,-11.231555829410617,-11.799109707626108,-7.08400994595712,-1.1466914921655147,0.19684693779022305,3.201245810685541
BQR,Score: Operating Leverage,48,52,58,65,75,65,75,65,65,58,55,58,58,55,52,52,52
BQR,Score: ICR,52,55,55,58,58,58,58,58,58,58,55,52,48,45,45,45,45
BQR,Score: Net Income,42,45,48,48,52,52,58,55,55,52,48,48,48,48,48,45,45
BQR,Score: FCF/Debt,65,75,75,65,75,58,58,58,58,75,75,75,75,75,75,75,75
BQR,BQR,51.349999999999994,56.45,59.3,59.7,66.7,58.95,63.95,59.7,59.7,60.75,58.25,58.849999999999994,58.25,56.75,55.7,54.95,54.95
