Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30
Header,Filing Date,2025-07-01,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31,2023-02-28,2022-11-30,2022-08-31,2022-08-09,2022-05-05,2022-02-24,2021-11-08,2021-08-05
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Product,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9521.7%,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,License,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,478.3%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2796852000,2743781000,2722332000,2738692000,2685807000,2821497000,2956391000,2882224000,3058705000,2307380000,1594585000,1060960000,223358000,216870000,229973000,227651000,248667000
Revenue & Margin,Rev-CoGS / Sale (%),5.809388555418735,5.775351604227889,6.282444609988789,6.466627134413071,8.009547968264288,9.410465437319267,10.09572143874068,10.676165350090763,9.889315903298945,11.236510674444608,14.119723940711848,22.26087694163776,90.92622605861442,91.10757596716927,91.67293551851739,91.81949563147099,92.92668508487255
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-2.448145271898549,-2.8514666440215164,-2.6774471298871703,-2.6010591917601538,-1.543595649277852,0.088959867758144,1.1387532975171417,1.4496444412370448,1.1944924404282204,1.1961185413759328,1.7176883013448643,6.845498416528427,33.36392696926011,32.79383962742657,34.92105595004631,31.949782781538406,38.34364833291109
Revenue & Margin,Op. Income / Rev (%),-2.4879757670409446,-10.856114245269575,-10.869577994160888,-10.734357861344028,-11.499746631087044,-1.6254137431299769,-0.35857909187248915,-0.13617956133874395,1.1711165346118702,0.01885255137861991,-1.3521386442240457,-1.5705587392550142,-22.383796416515192,-24.906164983630745,-23.464058824296767,-24.93553729173164,-15.628933473279528
Revenue & Margin,Net Profit / Rev (%),-3.689576709815178,-10.37320398384565,-10.491740169824988,-9.72767291831283,-10.281788676550473,-2.2788966282792433,-0.8783344287003985,-0.8948298258566997,0.33926122329547964,-0.8961246088637329,-3.0182147706142977,-4.7216671693560555,-36.92726474986345,-37.670493844238486,-32.32857770259987,-23.98996050972761,-15.631099019974503
EBITDA,Net Income,-103192000,-284618000,-285620000,-266411000,-276149000,-64299000,-25967000,-25791000,10377000,-20677000,-48128000,-50095000,-82480000,-81696000,-74347000,-54613385,-38869385
EBITDA,D & A,96323000,97046000,97325000,96762000,95558000,93692000,91780000,89760000,86877000,64727000,42715000,21651000,1443000,1296000,1160000,850000,1242000
EBITDA,Net Int Inc,-35681000,-33918000,-30950000,-26898000,-23192000,-20970000,-20075000,-18589000,-16420000,-16047000,-15947000,-16789000,-18613000,-18681000,-18180000,-20743000,-22364000
EBITDA,Tax Provision,-2573000,-46796000,-41324000,-55285000,-56949000,-5177000,-6885000,-2747000,2066000,-294000,5041000,15244000,13951000,9017000,6211000,23096615,22969615
EBITDA,EBITDA,26239000,-200450000,-198669000,-198036000,-214348000,45186000,79003000,79811000,115740000,59803000,15575000,3589000,-48473000,-52702000,-48796000,-9923770,7706230
EBITDA,Stock-Based Comp,10379000,9825000,9672000,8602000,8945000,9783000,9746000,11186000,12909000,14848000,16665000,19437000,21050000,21520000,22785000,22074000,22512000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,29.61,13.83,19.82,15.14,17.11,19.76,25.63,33.2,27.51,32.69,34.33,33.04,32.84,51.94,51.92,43.81,49.05
Capital Structure,O/S Shares,28700000,28684000,28573000,28511000,28479000,28454000,28219000,28108000,28114000,28081000,27723000,27853000,47588158,47441821,47330933,47288212,47391530
Capital Structure,Market Capitalization,849807000,396699720,566316860,431656540,487275690,562251040,723252970,933185600,773416140,917967889,951730590,920263120,1562795108,2464128182,2457422041,2071696567,2324554546
Capital Structure,Cash,16214000,5437000,15223000,5552000,25189000,13562000,4408000,6032000,4511000,11459000,3539000,43803000,16125000,17823000,19081000,27818000,17927000
Capital Structure,Debt,584920000,561862000,581530000,538278000,534156000,491469000,399111000,365313000,469340000,423754000,476653000,371873000,450581000,390249000,390602000,209535000,290252000
Capital Structure,Enterprise Value,1418513000,953124720,1132623860,964382540,996242690,1040158040,1117955970,1292466600,1238245140,1330262889,1424844590,1248333120,1997251108,2836554182,2828943041,2253413567,2596879546
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,24495000.0,-15535000.0,30850000.0,3007000.0,34304000.0,89251000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DSO,30.317190094434743,29.866905831770104,30.279607244818045,29.478597355964087,28.51682473833749,30.08196978412524,29.347686926390995,30.903263851109422,29.885810334765857,39.0382858480181,58.69743224726182,95.47466445483334,443.5342868847321,448.9822301378706,397.836398185874,351.96411392877695,301.10514764725514
Liquidity & Cash Flow,DIO,40.00737082689916,42.93103836742714,44.6716741406254,43.5910860672137,44.630244899594686,41.880491286907066,39.323655848441,42.870873054437865,41.254520230605685,61.787515422748086,94.88738230539042,154.08151982162536,6005.895174421473,5448.3087243971995,5145.2420365535245,4661.089982816947,4420.67833589175
Liquidity & Cash Flow,DPO,26.68214521335635,27.68442122013617,28.022654992370562,28.6139005016804,29.922465359823146,28.988405528053615,28.576884968783883,28.95692214411036,27.321565404793525,37.392339209154194,54.51229212214681,91.80196015669614,3565.8862929886022,3414.533834586466,3206.5440600522193,2903.6295843849007,2694.357410881801
Liquidity & Cash Flow,CCC,43.64241570797755,45.113522979061074,46.92862639307289,44.45578292149739,43.22460427810903,42.97405554297869,40.09445780604811,44.81721476143693,43.81876516057802,63.433462061612,99.07252243050542,157.75422411976257,2883.5431683176025,2482.757119948604,2336.534374687179,2109.424512360823,2027.4260726572038
Liquidity & Cash Flow,OCF,25034000,21029000,-54019000,-53413000,77612000,57277000,200215000,139362000,184200000,206428000,78341000,142254000,-27505000,-43564000,-22434000,-51543000,-61983000
Liquidity & Cash Flow,CapEx,-53637000,-59843000,-63492000,-76242000,-84504000,-94796000,-106804000,-129516000,-153419000,-126852000,-100018000,-52526000,-377000,-185000,-28000,0,0
Liquidity & Cash Flow,FCF,-28603000,-38814000,-117511000,-129655000,-6892000,-37519000,93411000,9846000,30781000,79576000,-21677000,89728000,-27882000,-43749000,-22462000,-51543000,-61983000
BQR,Total Debt / Adj Ebitda,22.292008079576203,999.0,999.0,999.0,999.0,10.876576815827912,5.051846132425351,4.577226196890153,4.055123552790738,7.085831814457468,30.603723916532907,103.61465589300641,999.0,999.0,999.0,999.0,37.6645908570079
BQR,Adj Ebitda / Interest Expense,0.7353773717104342,-999.0,-999.0,-999.0,-999.0,2.1547925608011447,3.935392278953923,4.2934531174350425,7.048721071863581,3.7267402006605597,0.9766727284128677,0.21377092143665496,-999.0,-999.0,-999.0,-999.0,0.3445819173671973
BQR,Net Income before extraordinary,-103192000,-284618000,-285620000,-266411000,-276149000,-64299000,-25967000,-25791000,10377000,-20677000,-48128000,-50095000,-82480000,-81696000,-74347000,-54613385,-38869385
BQR,(NCO-CAPEX) / Total Debt (%),-4.890070436982835,-6.908101989456486,-20.207212009698555,-24.08699593890146,-1.2902597742981452,-7.63405219861273,23.404767094868344,2.695223000550213,6.55835854604338,18.778819786951864,-4.547752767736697,24.128667582750026,-6.188010590770583,-11.210534812389014,-5.75061059595189,-24.598754384709,-21.354891611427313
BQR,Score: Operating Leverage,75,75,75,75,75,75,58,55,52,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,75,75,65,58,55,48,58,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,75,55,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,42,75,65,48,75,42,75,75,75,75,75
BQR,BQR,75.0,75.0,75.0,75.0,75.0,73.5,58.25,65.0,55.4,65.7,75.0,66.75,75.0,75.0,75.0,75.0,75.0
