Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1
Header,Statement Date,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Header,Filing Date,2025-04-24,2025-02-20,2024-10-24,2024-07-25,2024-04-25,2024-02-22,2023-10-26,2023-07-27,2023-04-27,2023-02-23,2022-10-27,2022-07-28,2022-04-28,2022-02-24,2021-11-04,2021-08-05,2021-05-06
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,792886000,786176000,787077000,794327000,826648000,872198000,971876000,1056626000,1063720000,1027164000,1002453000,989000000,1000787000,991792000,886074000,816925000,696913000
Revenue & Margin,Rev-CoGS / Sale (%),20.612042588720193,19.994250651253665,18.06278165922775,17.540509135406452,17.116838122151144,17.238975553716013,18.59640530273409,18.74475926202838,18.55995938780882,17.56613354829414,17.303554381103154,17.737310414560163,18.50643543531241,20.091410295707167,20.67220119312834,21.77225571502892,21.51803740208606
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),3.2562058101669096,2.801281138065777,2.619692863595303,2.5731216488927107,2.799740639304759,3.6617832189479915,6.338360037700283,7.6957220435612985,7.905181814763283,7.0906885365920145,6.6824080530458785,6.937815975733064,7.646282375770269,9.335929307758079,9.140545823486526,9.490100070385898,7.713444863275617
Revenue & Margin,Op. Income / Rev (%),1.1768400501459226,0.7255372842722241,0.13632719543322955,-0.016617841266883787,0.14383389302339086,0.7742508008502657,3.357115516794323,4.780783361378576,4.852404768172076,4.126118127192932,4.310426523737272,4.985439838220425,6.37867997885664,8.474760836949683,8.557185968666275,9.07255868041742,7.196737612872769
Revenue & Margin,Net Profit / Rev (%),0.055241232661441875,-0.3555183572126343,-0.4826719622095424,-0.3026461394362775,0.014153545402638124,0.7447850144118652,2.9586078882491185,3.9296780507010047,3.9596886398676348,3.559120062619017,3.8985368890112553,4.319211324570273,5.335500960743895,6.939459080129705,6.3306224987980695,6.5988921871652835,5.249435725836654
EBITDA,Net Income,438000,-2795000,-3799000,-2404000,117000,6496000,28754000,41522000,42120000,36558000,39081000,42717000,53397000,68825000,56094000,53908000,36584000
EBITDA,D & A,21319000,20252000,19081000,18113000,17524000,16953000,17079000,16128000,15669000,14774000,13099000,12722000,11754000,11356000,11377000,11373000,13957000
EBITDA,Net Int Inc,-9148000,-8540000,-8028000,-7208000,-6932000,-6527000,-5776000,-5341000,-4327000,-2833000,-1759000,-821000,-79000,245000,517000,943000,719000
EBITDA,Tax Provision,437000,566000,-4177000,-6080000,-5415000,-5768000,3057000,8778000,9683000,7368000,1900000,5040000,9131000,14506000,18735000,19078000,12980000
EBITDA,EBITDA,31342000,26563000,19133000,16837000,19158000,24208000,54666000,71769000,71799000,61533000,55839000,61300000,74361000,94442000,85689000,83416000,62802000
EBITDA,Stock-Based Comp,11089000,10250000,8319000,8228000,7481000,7834000,7884000,7001000,7798000,7619000,7096000,7961000,8751000,8745000,8097000,8082000,7358000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,8.09,11.74,12.55,11.15,12.2,12.22,14.97,22.06,22.75,24.86,20.43,18.59,36.11,49.13,38.01,37.41,37.2
Capital Structure,O/S Shares,34933000,34427000,34474000,34402000,34319000,34298000,34604000,34935000,35058000,35067000,35056000,35049000,35018181,35341000,35346000,35333000,35312000
Capital Structure,Market Capitalization,282607970,404172980,432648700,383582300,418691800,419121560,518021880,770666100,797569500,871765620,716194080,651560910,1264506515,1736303330,1343501460,1321807529,1313606400
Capital Structure,Cash,16171000,15780000,21440000,8958000,13251000,9957000,9876000,7808000,7378000,11548000,2862000,6607000,3691000,37158000,14549000,4178000,10049000
Capital Structure,Debt,192068000,80100000,184332000,139513000,131001000,132366000,183419000,156433000,195173000,142031000,199129000,190879000,159417000,99442000,95255000,87606000,97971000
Capital Structure,Enterprise Value,458504970,468492980,595540700,514137300,536441800,541530560,691564880,919291100,985364500,1002248620,912461080,835832910,1420232515,1798587330,1424207460,1405235529,1401528400
Capital Structure,netCommonStockIssuance,0,-113000,0,0,0,0,-10297000,-21000,-8765000,0,0,0,-26789000,0,0,0,-3348000
Capital Structure,netDebtIssuance,15000000,-15000000,45000000,0,15000000,-5000000,10000000,-20000000,9000000,-9000000,10000000,20000000,35000000,-1360000,-22400000,0,0
Liquidity & Cash Flow,DSO,76.7121187661278,73.20325855788018,73.0926786705748,73.13847288333393,69.33990192923712,70.51385551216582,68.71851450185002,65.77671167470798,65.44621704959953,61.255574815706154,53.334461815167394,46.21854019211325,44.39650994667197,45.37879414232017,46.873558246828146,51.71334118799155,54.62315059412007
Liquidity & Cash Flow,DIO,60.47420312142549,59.671284416505294,57.52957006337328,57.516792036006215,55.87909142788753,54.47720062617754,49.13143910954039,44.84945938800136,44.52373559091948,43.6070015152392,40.910175055760426,38.3977058745443,34.5454092623995,31.783623775593764,33.141692381452344,30.90875963521536,33.64273490678324
Liquidity & Cash Flow,DPO,49.01069137477441,48.738594738197676,48.20406057288703,50.0530764979435,49.41669512750456,49.64164842624404,48.11368249947544,45.11357045019358,45.18775958277444,44.309321673589366,40.64897110108288,39.51020983851579,37.67804879245001,37.219750872840926,37.42765893729291,37.43014566661764,39.66861062508342
Liquidity & Cash Flow,CCC,88.17563051277887,84.13594823618779,82.41818816106105,80.60218842139665,75.80229822962008,75.34940771209932,69.73627111191499,65.51260061251577,64.78219305774456,60.55325465735599,53.59566576984494,45.10603622814176,41.263870416621465,39.942667045073,42.58759169098757,45.19195515658928,48.59727487581989
Liquidity & Cash Flow,OCF,29494000,30056000,28642000,17796000,46400000,56244000,70468000,53447000,14828000,-18843000,-12807000,34112000,47528000,74009000,86008000,79274000,80097000
Liquidity & Cash Flow,CapEx,-12926000,-13661000,-16072000,-19013000,-21983000,-20733000,-22479000,-21517000,-19519000,-20564000,-18992000,-20639000,-22602000,-23002000,-24447000,-20941000,-18015000
Liquidity & Cash Flow,FCF,16568000,16395000,12570000,-1217000,24417000,35511000,47989000,31930000,-4691000,-39407000,-31799000,13473000,24926000,51007000,61561000,58333000,62082000
BQR,Total Debt / Adj Ebitda,6.128134771233489,3.01547264992659,9.634244499033084,8.28609609787967,6.837926714688381,5.467861863846662,3.355266527640581,2.179673675263693,2.7183247677544253,2.308208603513562,3.5661276168985836,3.1138499184339317,2.14382539234276,1.0529425467482687,1.1116362660318126,1.0502301716697036,1.559998089232827
BQR,Adj Ebitda / Interest Expense,3.4261040664626146,3.1104215456674473,2.3832835077229695,2.3358768035516095,2.7637045585689557,3.708901486134518,9.464335180055402,13.437371278786744,16.593251675525767,21.720084715848923,31.74474133030131,74.66504263093788,941.2784810126582,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,438000,-2795000,-3799000,-2404000,117000,6496000,28754000,41522000,42120000,36558000,39081000,42717000,53397000,68825000,56094000,53908000,36584000
BQR,(NCO-CAPEX) / Total Debt (%),8.626111585480142,20.46816479400749,6.819217498860751,-0.8723201422089698,18.638789016877734,26.827886315216897,26.163592648526052,20.411294292125064,-2.403508682041061,-27.745351366955102,-15.969045191810334,7.058398252295957,15.635722664458621,51.29321614609521,64.62757860479765,66.58562198936146,63.36773126741587
