Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-18,2025-11-03,2025-08-04,2025-05-05,2025-02-19,2024-11-04,2024-08-05,2024-05-06,2024-02-21,2023-10-23,2023-07-24,2023-04-24,2023-02-15,2022-10-24,2022-07-25,2022-04-25,2022-02-16
Revenue & Margin,Segment-1,PeopleReady,-,-,-,PeopleReady,-,-,-,PeopleReady,-,-,-,PeopleReady,-,-,-,PeopleReady
Revenue & Margin,Segment-1 %,5469.6%,-,-,-,5541.4%,-,-,-,5751.2%,-,-,-,5646.6%,-,-,-,5847.1%
Revenue & Margin,Segment-2,PeopleManagement,-,-,-,PeopleManagement,-,-,-,PeopleManagement,-,-,-,PeopleManagement,-,-,-,PeopleManagement
Revenue & Margin,Segment-2 %,3369.1%,-,-,-,3459.3%,-,-,-,3045.7%,-,-,-,2944.8%,-,-,-,2943.2%
Revenue & Margin,Segment-3,PeopleScout,-,-,-,PeopleScout,-,-,-,PeopleScout,-,-,-,PeopleScout,-,-,-,PeopleScout
Revenue & Margin,Segment-3 %,1161.3%,-,-,-,999.4%,-,-,-,1203.1%,-,-,-,1408.6%,-,-,-,1209.7%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1615997000,1583772000,1534863000,1534794000,1567393000,1673611000,1764450000,1843808000,1906243000,1971767000,2074292000,2167957000,2254184000,2318419000,2319729000,2266431000,2173622000
Revenue & Margin,Rev-CoGS / Sale (%),22.381229668124384,24.01513601705296,24.920139452185637,25.62878145210367,25.927958080711093,25.820097979757545,25.85870951287937,26.159556743435324,26.54745486278507,26.65761218237246,26.87046953852206,27.00293409878517,26.712282582078483,26.788557202127826,26.36747654575168,26.014072345462974,25.778171181557784
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-0.5795184025712918,-0.17060536491363656,-0.576207778805014,-0.3391334602559041,-0.28563353287911836,-0.10522158374915078,0.0925500864291989,0.18640769537826063,0.6009726986538442,1.3820598478420625,2.6689106451743534,3.81229886017112,4.500874817672382,5.02294882849045,4.855696505928063,4.504968384212888,4.4164992809237305
Revenue & Margin,Op. Income / Rev (%),-1.7810676628731366,-1.7434959072391736,-2.2392878061429586,-5.95447988459689,-5.919064331664107,-5.437165506201859,-4.920513474453796,-1.8123362085423211,-1.2511521353783333,-0.424340198410867,0.8891708592618589,2.5024481574127164,3.202267428036043,3.7649363639618203,3.6439601349985278,3.2747963648573464,3.1487535551259604
Revenue & Margin,Net Profit / Rev (%),-2.9678272917585864,-1.776076354424753,-2.2052782561049424,-9.01736649999935,-8.022748602296934,-6.9666129106465,-6.175805491796311,-0.6281565108731495,-0.7435043695898161,-0.2321268182295373,0.7775665142612516,2.1893884426674513,2.762551770396738,3.2538553212339965,3.1634729746448835,2.8791964105679813,2.835543622580191
EBITDA,Net Income,-47960000,-28129000,-33848000,-138398000,-125748000,-116594000,-108969000,-11582000,-14173000,-4577000,16129000,47465000,62273000,75438000,73384000,65255000,61634000
EBITDA,D & A,28852000,28602000,28224000,28413000,29561000,29562000,28779000,27368000,25821000,26133000,27432000,28397000,29273000,29166000,28109000,27881000,27556000
EBITDA,Net Int Inc,-1059000,-1059000,0,0,1599000,2822000,3212000,3790000,3205000,2115000,2428000,1740000,1231000,4626000,4504000,5338000,5408000
EBITDA,Tax Provision,2329000,2943000,3485000,49854000,37224000,30681000,27102000,-18044000,-6472000,-1675000,4743000,8527000,11143000,16475000,15650000,14304000,12216000
EBITDA,EBITDA,-15720000,4475000,-2139000,-60131000,-60562000,-59173000,-56300000,-6048000,1971000,17766000,45876000,82649000,101458000,116453000,112639000,102102000,95998000
EBITDA,Stock-Based Comp,5629000,7544000,7168000,7549000,7591000,9364000,13457000,13379000,13907000,12231000,10494000,8505000,9687000,11469000,11514000,14412000,13943000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,4.7,5.93,6.48,5.31,8.4,7.89,10.41,12.23,15.34,14.33,17.64,17.3,19.58,19.27,17.39,29.12,27.67
Capital Structure,O/S Shares,29945000,29896392,29856000,29698000,29561000,29704000,30349000,31102000,31079000,30932000,30966000,32292000,32486000,32434000,32707000,33929000,34809000
Capital Structure,Market Capitalization,140741500,177285604,193466880,157696380,248312400,234364560,315933090,380377460,476751860,443255560,546240240,558651600,636075880,625003180,568774730,988012480,963165030
Capital Structure,Cash,24510000,19893000,21899000,23059000,22536000,14505000,26400000,36184000,61885000,47113000,49653000,47223000,72054000,43779000,32432000,36720000,49896000
Capital Structure,Debt,170598000,126416000,110100000,115219000,66532000,63277000,61824000,61805000,61336000,64089000,64676000,62365000,62564000,63069000,64783000,71504000,67024000
Capital Structure,Enterprise Value,286829500,283808604,281667880,249856380,292308400,283136560,351357090,405998460,476202860,460231560,561263240,573793600,626585880,644293180,601125730,1022796480,980293030
Capital Structure,netCommonStockIssuance,-33000,76000,-47000,-895000,-96000,-4393000,-7050000,-12079000,-402000,-1223000,-9619000,-27095000,-133000,-215000,-24775000,-40296000,-16881000
Capital Structure,netDebtIssuance,-2400000,14400000,-4000000,50200000,0,0,0,0,0,0,0,0,0,0,0,4000000,0
Liquidity & Cash Flow,DSO,53.71032402906688,53.739468181026055,54.44770070683833,55.14017434913089,55.59504141590527,54.3262158888774,54.281092550086434,53.90853196211319,54.077401858000265,55.12248467998501,54.54978855435976,55.15288010786192,54.715373168295045,54.69248116927958,54.771383316758126,54.093591973459596,53.49011120608827
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,10.960982152039715,12.14392418484877,12.390779721496424,12.431223142595568,12.661743109388457,12.634861895007823,12.90501694713137,13.234197664887226,14.194157696417044,15.020393066789476,14.617853940880204,15.040397745403764,14.384341480835815,14.028759865390008,14.414409496070137,13.905824348178717,13.583806689634054
Liquidity & Cash Flow,CCC,42.74934187702716,41.595543996177284,42.05692098534191,42.70895120653532,42.93329830651682,41.691353993869576,41.37607560295506,40.67433429722596,39.88324416158322,40.10209161319553,39.931934613479555,40.11248236245815,40.33103168745923,40.663721303889574,40.35697382068799,40.18776762528088,39.90630451645422
Liquidity & Cash Flow,OCF,-58042000,-47543000,-34905000,-24934000,-17058000,-8004000,-2172000,11364000,34754000,59998000,88265000,103212000,120503000,99957000,26180000,18999000,20440000
Liquidity & Cash Flow,CapEx,-15678000,-17829000,-19808000,-21456000,-24151000,-27055000,-28817000,-30570000,-23195000,-15014000,-16350000,-16906000,-22685000,-28919000,-29130000,-30782000,-35006000
Liquidity & Cash Flow,FCF,-73720000,-65372000,-54713000,-46390000,-41209000,-35059000,-30989000,-19206000,3478000,28962000,55893000,70284000,89877000,71038000,-2950000,-11783000,-14566000
BQR,Total Debt / Adj Ebitda,999.0,28.249385474860336,999.0,999.0,999.0,999.0,999.0,999.0,31.119228817858954,3.6073961499493414,1.4098003313279275,0.7545765828987646,0.6166492538784522,0.5415832997003083,0.5751382735997301,0.7003192885545827,0.6981812121085856
BQR,Adj Ebitda / Interest Expense,-999.0,4.2256846081208685,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,-47960000,-28129000,-33848000,-138398000,-125748000,-116594000,-108969000,-11582000,-14173000,-4577000,16129000,47465000,62273000,75438000,73384000,65255000,61634000
BQR,(NCO-CAPEX) / Total Debt (%),-43.21269885930668,-51.711808631818755,-49.69391462306994,-40.262456712868534,-61.93861600432874,-55.405597610506184,-50.124547101449274,-31.075155731736913,5.670405634537628,45.190282263727006,86.42000123693488,112.69782730698309,143.65609615753468,112.63536761324899,-4.553663769816155,-16.47879838890132,-21.732513726426355
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,75,75,48,35,25,25,25,25,25,25
BQR,Score: ICR,75,55,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,75,75,75,75,65,65,65,52,48,45,42,45,45,45
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,65,25,15,15,15,15,75,75,75
BQR,BQR,75.0,72.0,75.0,75.0,75.0,75.0,75.0,72.5,70.0,50.55,40.25,35.75,35.0,34.25,50.0,50.0,50.0
