Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-07-31,2025-04-30,2024-12-31,2024-10-31,2024-07-31,2024-04-30,2023-12-31,2023-10-31,2023-07-31,2023-04-30,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-23,2025-11-03,2025-08-04,2025-05-05,2025-02-24,2024-11-04,2024-08-05,2024-05-08,2024-02-26,2023-11-06,2023-08-07,2023-05-10,2023-02-27,2022-11-02,2022-08-01,2022-05-02,2022-02-22
Revenue & Margin,Segment-1,The Cheesecake Factory,-,-,-,The Cheesecake Factory,-,-,-,-,-,-,-,-,-,-,-,The Cheesecake Factory
Revenue & Margin,Segment-1 %,7166.7%,-,-,-,7431.2%,-,-,-,-,-,-,-,-,-,-,-,7833.3%
Revenue & Margin,Segment-2,Other Segments,-,-,-,Other Segments,-,-,-,-,-,-,-,-,-,-,-,Other Segments
Revenue & Margin,Segment-2 %,965.0%,-,-,-,894.9%,-,-,-,-,-,-,-,-,-,-,-,957.3%
Revenue & Margin,Segment-3,Other FRC,-,-,-,Other FRC,-,-,-,-,-,-,-,-,-,-,-,Other FRC
Revenue & Margin,Segment-3 %,946.4%,-,-,-,837.5%,-,-,-,-,-,-,-,-,-,-,-,622.3%
Revenue & Margin,Others,North Italia,-,-,-,North Italia,-,-,-,-,-,-,-,-,-,-,-,North Italia
Revenue & Margin,Others %,921.9%,-,-,-,836.4%,-,-,-,-,-,-,-,-,-,-,-,587.2%
Revenue & Margin,Revenue Total,3751806000,3711211000,3669456000,3617673000,3581699000,3537745000,3502484000,3464612000,3439503000,3455296000,3409087000,3375560000,3303156000,3187047000,3157520000,3093833000,2927540000
Revenue & Margin,Rev-CoGS / Sale (%),78.32651794895578,69.6391016301687,60.88390213699252,51.66835145133349,42.1949471465916,38.97502505126854,38.641861033483664,38.3098020788475,38.04642705646717,40.367221795180505,39.722658881982184,39.080774745523705,38.759265381350446,38.789669559313054,39.52966251995237,40.384047878473076,41.050813994001786
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),71.79859512991877,63.29376044638798,54.54244443863069,45.35758207002125,35.808676273466865,30.62097466041221,28.436703779374866,26.139117453844758,24.204020173844885,26.61618570449536,26.048909869416647,25.56467667587008,25.288693600907735,27.211145615361183,28.09572069218881,30.669690316187072,30.99701455829809
