Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2026-01-31,2025-10-31,2025-08-31,2025-05-31,2025-01-31,2024-11-30,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31
Header,Filing Date,2026-03-04,2025-12-09,2025-09-26,2025-06-05,2025-03-06,2024-12-04,2024-09-27,2024-05-30,2024-02-27,2023-11-30,2023-09-26,2023-06-06,2023-02-28,2022-12-02,2022-09-27,2022-06-07,2022-02-24
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,Restaurant,-,-,-,Restaurant,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,7961.1%,-,-,-,7851.3%,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,Retail,-,-,-,Retail,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,2038.9%,-,-,-,2148.7%,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3361161000,3435783000,3483684000,3510062000,3506050000,3492012000,3470762000,3413107000,3428661000,3427128000,3442808000,3436476000,3393983000,3322375000,3267786000,3221791000,3145011000
Revenue & Margin,Rev-CoGS / Sale (%),25.353233599937642,32.49637709948504,32.95324719463648,32.71836793766036,32.59003722137448,32.26523849288032,32.026857502761644,32.19210531635838,32.318505679039134,32.216012941448355,32.140101916807446,31.85757735540711,31.781155061766665,32.13345874562625,32.707925182371184,33.715036139836506,34.57580911481708
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),19.63491186527512,26.505719365862163,26.7095695246756,26.490329800442268,26.112462742972863,26.023249633735507,26.060962981616143,26.5265636266311,26.955012466965968,27.054898445578925,27.08344467655472,26.927672417907182,26.933576273069132,27.24325219157982,27.890198440167136,28.70288606554553,29.530453152628084
Revenue & Margin,Op. Income / Rev (%),-0.38918100025556646,0.4412676819228688,1.579620884098558,2.087342046949598,1.1162989689251437,1.167722218594896,1.299973896222213,1.87922617134476,2.922481983491515,3.1633192574073683,3.5034483479764194,3.269395741451417,3.7129237241317945,4.024500545543474,4.682160949340012,5.6707278653394955,6.5098341468440015
Revenue & Margin,Net Profit / Rev (%),-0.11936351754646683,0.49226042506176904,1.3313205216087338,1.6456689369019692,1.0265398382795454,1.154577933867352,1.17927993910271,1.765341666698407,2.433019770691824,2.549569201967362,2.8770120204205405,2.7630630913761656,3.196833926392678,3.4804319199367924,4.0357599916273585,4.186460263871865,4.477981158094519
EBITDA,Net Income,-4012000,16913000,46379000,57764000,35991000,40318000,40930000,60253000,83420000,87377000,99050000,94952000,108500000,115633000,131880000,134879000,140833000
EBITDA,D & A,133123000,132837000,131789000,132095000,126258000,120599000,118114000,116813000,118103000,119098000,117220000,115820000,126857000,126861000,127858000,129250000,118931000
EBITDA,Net Int Inc,-17446000,-18391000,-20489000,-21525000,-21728000,-21817000,-20933000,-19722000,-19071000,-18412000,-17006000,-15096000,-12731000,-10523000,-9620000,-31964000,-39407000
EBITDA,Tax Provision,-23747000,-16957000,-8653000,-6022000,-18581000,-21358000,-16744000,-15835000,-2289000,2622000,4561000,2304000,4785000,7553000,11503000,15856000,24495000
EBITDA,EBITDA,122810000,151184000,190004000,205362000,165396000,161376000,163233000,180953000,218305000,227509000,237837000,228172000,252873000,260570000,280861000,311949000,323666000
EBITDA,Stock-Based Comp,2190000,4510000,8056000,9165000,10550000,11301000,10298000,10649000,10187000,8245000,9045000,9365000,8797000,8311000,8198000,7959000,9275000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,30.12,33.7,59.03,42.74,64.98,46.98,45.83,59.32,76.65,64.62,93.2,106.16,109.76,114.87,96.22,110.99,116.52
Capital Structure,O/S Shares,22345041,22288991,22267328,22265000,22258000,22217737,22202000,22201964,22196758,22165852,22152445,22152002,22173280,22193774,22666441,23089521,23393398
Capital Structure,Market Capitalization,673032634,751138996,1314440371,951606100,1446324840,1043789284,1017517660,1317020504,1701381500,1432357356,2064607874,2351656532,2433739212,2549398819,2180964953,2562705935,2725798734
Capital Structure,Cash,8571000,8937000,39643000,9814000,10346000,11534000,12035000,11852000,12602000,13914000,25147000,22452000,49404000,38705000,45105000,24773000,79709000
Capital Structure,Debt,1246601000,1182607000,1179609000,1142470000,1127134000,1194205000,1202486000,1205299000,1141777000,1229679000,1117317000,1155744000,1166167000,483679000,1145408000,1104194000,1066073000
