Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-05,2025-11-20,2025-08-06,2025-05-07,2025-02-06,2024-11-25,2024-08-09,2024-05-10,2024-02-08,2023-11-29,2023-08-09,2023-05-09,2023-02-08,2022-11-29,2022-08-09,2022-05-10,2022-02-08
Revenue & Margin,Segment-1,-,License,-,-,-,Connected Services,-,-,-,License,-,-,-,License,-,-,-
Revenue & Margin,Segment-1 %,-,5585.2%,-,-,-,4025.4%,-,-,-,4929.4%,-,-,-,4837.3%,-,-,-
Revenue & Margin,Segment-2,-,Professional Services,-,-,-,License,-,-,-,Connected Services,-,-,-,Connected Services,-,-,-
Revenue & Margin,Segment-2 %,-,2295.6%,-,-,-,3763.0%,-,-,-,2549.3%,-,-,-,2609.7%,-,-,-
Revenue & Margin,Segment-3,-,Connected Services,-,-,-,Professional Services,-,-,-,Professional Services,-,-,-,Professional Services,-,-,-
Revenue & Margin,Segment-3 %,-,2119.2%,-,-,-,2211.6%,-,-,-,2521.3%,-,-,-,2553.0%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,315961000,251781000,245947000,254250000,244065000,331504000,357463000,348584000,349152000,294475000,271855000,299236000,317123000,327891000,367823000,375583000,387965000
Revenue & Margin,Rev-CoGS / Sale (%),78.5856482287371,72.0737466290149,69.85854676007432,69.37620452310718,66.8395714256448,73.02144167189536,74.10725026086617,73.20789250223763,71.54133443314088,65.69589948212922,61.678100457964725,63.30555147107968,65.36485843032514,66.85361903803398,70.30310774475767,70.94304055295368,71.36365393785522
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),49.90837508426673,44.03946326370934,41.43087738415187,43.14218289085546,36.99137524839695,50.6407162507843,53.55155638485661,51.481135106602714,48.38465768490514,36.69275829866712,29.51683802026816,33.54676576347765,38.951132525865354,44.36108340881573,47.62100249304693,47.71941222046791,48.77759591715748
Revenue & Margin,Op. Income / Rev (%),17.7563053668016,5.213657901112475,2.1622544694588672,3.570108161258604,-7.720484297215906,13.970570490853806,16.770407007158784,14.044821334312532,11.969285583356246,-5.189574666779862,-12.23262400912251,-2.991618655509364,4.006331927990086,11.692910143919779,17.575844903662905,17.142149671311003,19.462838142615958
Revenue & Margin,Net Profit / Rev (%),0.10602574368355588,-7.432649802804818,-10.477460591102961,-132.3858407079646,-260.67768832073426,-177.39695448622038,-162.0346721199117,-80.93486763592132,-8.660697633122536,-19.103149333559724,-101.09396516525354,-119.51803927334946,-104.70006905837799,-94.79552656218073,-19.76711624884795,8.61513966287079,11.340198213756397
EBITDA,Net Income,335000,-18714000,-25769000,-336591000,-636223000,-588078000,-579214000,-282125999,-30238999,-56253999,-274828999,-357641000,-332028000,-310826000,-72708000,32357000,43996000
EBITDA,D & A,10288000,10549000,11093000,11039000,10389000,10630000,10936000,11389000,13716000,16038000,18237000,20398000,21737000,23939000,26238000,28288000,29247000
EBITDA,Net Int Inc,-5214000,-6370000,-6926000,-7229000,-7352000,-7200000,-7443000,-8539000,-9458000,-10298000,-11598000,-12257000,-12694000,-13387000,-13573000,-13261000,-13444000
EBITDA,Tax Provision,39522000,9893000,2033000,-42452000,-25202000,3468000,15333000,60897000,52956000,19865000,5304000,113287000,113026000,112075000,114249000,9319000,12090000
EBITDA,EBITDA,55359000,8098000,-5717000,-360775000,-643684000,-566780000,-545502000,-201300999,45891001,-10052999,-239689999,-211699000,-184571000,-161425000,81352000,83225000,98777000
EBITDA,Stock-Based Comp,24925000,27351000,24429000,24250000,23064000,23673000,28256000,22090000,29700000,33792000,29883000,36136000,34707000,28076000,41396000,49853000,53071000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,10.69,12.46,10.21,7.9,7.85,3.15,2.84,15.36,19.66,20.37,29.23,28.09,18.53,15.75,25.23,36.1,76.64
Capital Structure,O/S Shares,44953000,43339000,43262000,43223000,42897000,41866000,41795000,41724000,41186000,40357000,40324000,40136923,39962000,39397907,39235968,39189000,38839000
Capital Structure,Market Capitalization,480547570,540003940,441705020,341461700,336741450,131877900,118697800,640880640,809716760,822072090,1178670520,1127446167,740495860,620517035,989923472,1414722900,2976620960
Capital Structure,Cash,92130000,84017000,73672000,117368000,104103000,121485000,115522000,99176000,98736000,101154000,86100000,95377000,90657000,94847000,108454000,111819000,117236000
Capital Structure,Debt,200403000,230256000,216828000,276164000,270061000,295684000,293167000,291694000,291161000,289332000,294237000,294139000,297672000,286820000,289084000,291406000,289465000
Capital Structure,Enterprise Value,588820570,686242940,584861020,500257700,502699450,306076900,296342800,833398640,1002141760,1010250090,1386807520,1326208167,947510860,812490035,1170553472,1594309900,3148849960
Capital Structure,netCommonStockIssuance,-42000,675000,29000,811000,1364000,264000,176000,4260000,6201000,938000,293000,2671000,1723000,1119000,1484000,1320000,32139000
Capital Structure,netDebtIssuance,-27612000,-80000,-60227000,-114000,-27079000,-89000,-101000,-80000,-122000,-4796000,4125000,-3276000,-1728000,-1687000,-1606000,-1654000,-1718000
