Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-18,2025-08-13,2025-03-31,2025-03-20,2024-11-19,2024-08-14,2024-05-28,2024-03-26,2023-11-28,2023-08-15,2023-05-30,2023-05-01,2022-11-29,2022-06-30,2022-05-24,2022-04-07,2021-11-23
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,Product,-,-,-,Product,-,-,-,Product,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,9058.9%,-,-,-,9264.0%,-,-,-,9178.7%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,Service,-,-,-,Service,-,-,-,Service,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,941.1%,-,-,-,736.0%,-,-,-,821.3%,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,7835844387,7595191801,7111488093,6813525240,6563761636,6325909336,6151812153,5978027825,5760524535,5576815824,5396138350,5382468967,5405395886,5482750522,5537957631,5283014772,5196069037
Revenue & Margin,Rev-CoGS / Sale (%),24.230488090727828,24.017499699741947,24.018315360483864,24.046318011438082,23.88830193650256,23.98037400515789,24.360398167703934,24.795091180426212,25.301371153694774,25.26307314896186,25.360182694352158,24.91256949591624,24.853805111287645,25.458063802086674,25.45934225115057,25.72743455505144,27.091153561976817
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),14.573646037363556,14.23947127783666,14.165375471718447,13.994234957879161,13.273090756704011,13.150070524501112,12.899609062559097,13.243917278019696,14.102169482383777,13.921834833755126,14.105632299068091,13.312755436087217,13.42750496554472,14.017909531284706,14.268666856111597,15.134677688915612,16.433466085989572
Revenue & Margin,Op. Income / Rev (%),8.03624701946241,7.648994274555516,7.436361941188446,7.163896746642124,6.331557665358218,6.233209441622007,6.165956836231114,6.138484191481662,6.713746910549354,6.1679256381338226,6.083689866847094,5.409771905518169,5.719210332044124,6.536477385975798,6.803793385684716,7.649518323171556,8.87078173361075
Revenue & Margin,Net Profit / Rev (%),5.916173689833639,5.358049864473726,4.938927822233506,4.702798943473203,3.969991606197322,3.8151360884442496,3.6634758896221453,3.566605647239522,4.621258348654876,4.669208383740951,5.130595641603592,4.9931255646383,3.560845866970048,4.209660006850116,4.6025693763564295,5.173648660772664,6.454935752617484
EBITDA,Net Income,463582164,406954164,351231264,320426393,260580786,241342050,225370155,213212678,266208721,260393152,276854039,268753434,192477816,230805156,254888342,273324623,335402918
EBITDA,D & A,170072000,165524000,160307000,158391000,158467000,162186000,163701000,164799000,163639000,160151000,162977000,161290000,161743000,161645000,157881000,153091000,147856000
EBITDA,Net Int Inc,-150994781,-160987000,-158897000,-151125000,-151055000,-141824000,-144800000,-137827000,-118750000,-99424000,-76657000,-51364000,-27619000,-24707000,-22490000,-23793000,-53304000
EBITDA,Tax Provision,38033889,39224440,42861380,38785179,30052553,27097582,25085754,22116652,22918126,20677406,23825117,23267744,121342734,122098663,129972747,132607728,40990972
EBITDA,EBITDA,822682834,772689604,713296644,668727572,600155339,572449632,558956909,537955330,571515847,540645558,540313156,504675178,503182550,539255819,565232089,582816351,577553890
EBITDA,Stock-Based Comp,23227000,21551000,19085000,15760000,12469000,11085000,11137000,12141000,10803000,13495000,11538000,10463000,11090000,7125000,6632000,5312000,4636000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,509.8,449.5,383.68,258.07,200.1,178.98,208.65,213.25,197.98,208.96,170.21,164.04,190.17,229.34,220.45,174.13,144.84
Capital Structure,O/S Shares,46349000,45513000,44592000,44505000,44478000,44476000,44462000,44445000,44360000,44348000,44345000,44343000,44336000,44321000,44286000,44204000,44206000
Capital Structure,Market Capitalization,23628720200,20458093500,17109058560,11485405350,8900047800,7960314480,9276996300,9477896250,8782392800,9266958080,7547962450,7274025720,8431377119,10164578140,9762848700,7697242520,6402797040
Capital Structure,Cash,142145851,109112000,113680000,265351000,119199000,120662000,107308810,195795051,120288000,111680000,151473000,211108000,248181000,247272000,275871000,258993000,203139000
Capital Structure,Debt,1065959805,1235267000,1388519000,1370310000,1598831000,1600439000,1541203118,1454307517,1627240000,1564302000,1332908000,1285616000,1416860000,1507808000,1472035000,1454728000,1555630000
Capital Structure,Enterprise Value,24552534154,21584248500,18383897560,12590364350,10379679800,9440091480,10710890608,10736408716,10289344800,10719580080,8729397450,8348533720,9600056119,11425114140,10959012700,8892977520,7755288040
Capital Structure,netCommonStockIssuance,21000,572963000,37000,0,1000,-16000,22000,0,14000,-2000,3000,0,1000,10000,11000,20000,1000
Capital Structure,netDebtIssuance,-187542000,-223081000,49333000,-238494000,-15051000,19848000,34775000,-199798000,82508000,215539000,74181000,-137861000,-83038000,137370000,34347000,-134424000,48574000
Liquidity & Cash Flow,DSO,155.21468216801765,163.43039192279772,167.04045461111482,166.68458877922203,168.6032036767278,168.5796220523006,175.24042988280758,182.38738584325677,187.0505356679294,194.2257807472467,199.93549507491778,200.00038557584125,200.02516934982552,198.04582561124965,190.5549541572504,193.3928921919736,192.2287245680412
Liquidity & Cash Flow,DIO,180.14068492544018,180.37007109085908,188.47338822375013,191.11728099551863,188.9419927178767,186.2057878006549,182.96682237105267,181.81970115226562,182.90892161373998,180.5454638180955,177.71691832848012,167.6131685696212,160.5748213856472,153.59431000351546,146.1814140072139,146.46561916067506,143.1802783058631
Liquidity & Cash Flow,DPO,89.58146810471425,88.14409943259095,90.79369407340357,89.64807095646061,91.22792745984592,90.78515515202945,89.54316887296103,92.14319615388044,92.31954788946476,95.83223031361709,99.43762608765478,96.50165683656934,95.02563769797261,93.72053742313034,89.57671877341035,92.27856949868433,95.18153158469543
Liquidity & Cash Flow,CCC,245.7738989887436,255.65636358106582,264.72014876146136,268.15379881828005,266.31726893475854,264.000254700926,268.6640833808992,272.063890841642,277.6399093922047,278.9390142517251,278.2147873157431,271.1118973088931,265.5743530375001,257.91959819163475,247.15964939105396,247.5799418539643,240.2274712892089
Liquidity & Cash Flow,OCF,913119000,812583000,724572000,534610000,396279000,350435000,180347000,113709000,-4607000,162809000,131573000,240068000,304588000,126329000,465488000,416932000,329114000
Liquidity & Cash Flow,CapEx,-176436000,-171997000,-157697000,-215051000,-196252000,-205328000,-230249000,-187037000,-174542000,-195081000,-196939000,-205110000,-261106000,-225332000,-200803000,-188624000,-155138000
Liquidity & Cash Flow,FCF,736683000,640586000,566875000,319559000,200027000,145107000,-49902000,-73328000,-179149000,-32272000,-65366000,34958000,43482000,-99003000,264685000,228308000,173976000
BQR,Total Debt / Adj Ebitda,1.2957117384073191,1.5986587545702247,1.9466220844857922,2.0491304043315264,2.6640286207634656,2.795772606942649,2.757284315095567,2.703398285876264,2.8472351353714958,2.893396564260683,2.4669175369847927,2.547412783594441,2.815797169436818,2.796090365415232,2.604301894119815,2.496031550082575,2.69348025688131
BQR,Adj Ebitda / Interest Expense,5.448419001978618,4.799701864125675,4.489050416307419,4.424996340777502,3.97309151633511,4.03633822202166,3.860199647790055,3.903120070813411,4.812765027368421,5.437777176536852,7.048451622161055,9.825464878124757,18.218709946051632,21.826033877038896,25.132596220542464,24.495286470810743,10.835094739606784
BQR,Net Income before extraordinary,463582164,406954164,351231264,320426393,260580786,241342050,225370155,213212678,266208721,260393152,276854039,268753434,192477816,230805156,254888342,273324623,335402918
BQR,(NCO-CAPEX) / Total Debt (%),69.10982914594983,51.85810031353545,40.82587274642983,23.32019761951675,12.510828223871066,9.066699824235725,-3.23786004694548,-5.042124801174358,-11.009377842235933,-2.063028750202966,-4.904014380587407,2.7191634204925887,3.0688988326299,-6.566021668541353,17.980890400024457,15.694205377225158,11.183636211695584
BQR,Score: Operating Leverage,35,35,42,42,45,45,45,45,45,45,42,45,45,45,45,42,45
BQR,Score: ICR,48,52,55,55,58,55,58,58,52,48,48,42,25,25,25,25,42
BQR,Score: Net Income,35,35,35,35,35,35,35,35,35,35,35,35,42,35,35,35,35
BQR,Score: FCF/Debt,15,15,25,42,55,58,75,75,75,75,75,75,75,75,48,52,58
BQR,BQR,31.95,32.55,37.95,42.2,46.949999999999996,47.25,51.949999999999996,51.949999999999996,51.05,50.449999999999996,49.4,49.55,48.75,47.0,40.25,40.2,45.3
