Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q),LTM (-18Q),LTM (-19Q)
Header,Fiscal Period,2025.0-Q4,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3,2021.0-Q2,2021.0-Q1
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31
Header,Filing Date,2026-02-05,2025-11-25,2025-08-06,2025-05-07,2025-02-06,2024-10-30,2024-08-08,2024-05-09,2024-02-28,2023-11-02,2023-08-03,2023-05-04,2023-02-27,2022-11-03,2022-08-02,2022-05-10,2022-02-25,2021-11-02,2021-08-03,2021-05-04
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,Airlaid Materials,-,-,-,Spunlace,-,-,-,Composite Fibers,-,-,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,4225.6%,-,-,-,6825.2%,-,-,-,5229.4%,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,Composite Fibers,-,-,-,Airlaid Materials,-,-,-,Airlaid Materials,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,3483.8%,-,-,-,2183.4%,-,-,-,4567.0%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,Spunlace,-,-,-,Composite Fibers,-,-,-,Spunlace,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,2290.6%,-,-,-,991.4%,-,-,-,203.6%,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,3294000000.0,3204000000.0,2697101000.0,2187544000.0,1690800000.0,1309182000.0,1307002000.0,1334564000.0,1385516000.0,1439037000.0,1480896000.0,1487854000.0,1491326000.0,1451882000.0,1359753000.0,1240701000.0,1084695000.0,750236000.0,470585000.0,225674000.0
Revenue & Margin,Rev-CoGS / Sale (%),0.0,0.0,1.31552359366594,3.3036135501731625,6.305476697421339,10.485937020215678,11.192484785792217,9.563572822285032,9.346770445090494,9.811422499907925,9.054450818963653,10.306858065374694,9.977831808739337,9.908449860250352,10.65134623714748,11.524855706572334,13.885931068180458,15.089518498179238,15.90573435192367,17.412728094508008
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),94.04978749241045,94.06991260923844,82.56902503836527,66.27167270692613,40.33120416370949,2.2941806410415055,3.583621142125261,1.8418000185828483,1.5049266843544211,1.5668116942093913,0.7608907040062233,2.068146471360765,1.5959622510437022,0.28969296402875716,0.5885627757394174,0.449423350186709,2.1707484592443036,4.709184843169349,4.895821158770467,7.297694905040013
Revenue & Margin,Op. Income / Rev (%),1.2446873102610807,0.1560549313358302,-0.07522892172002457,-0.3535928877316296,-0.7854270167967825,1.1331503182903524,1.1107098535426878,-0.2444243962822315,0.05377058078001264,-1.1929505634670963,-0.9085040407969228,0.4002408838501627,0.044859406997531055,0.07665912243556984,0.6819620916445854,0.6828397817040528,2.638068765874278,5.327390314514366,5.406462169427415,7.674344408305786
Revenue & Margin,Net Profit / Rev (%),-4.037644201578628,-4.962546816479401,-4.9774554234342725,-6.0582095720131806,-6.971433640880057,-5.082486621417037,-5.444138570560718,-6.879849898543644,-5.676657649568825,-7.233865425280935,-9.014069860408833,-6.627061526198134,-12.989044648856119,-11.708182896406182,-8.325629728340369,-8.845483319510503,0.639626807535759,2.3100730969988112,2.0833643231297216,3.7195246240151727
