Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-06,2025-08-07,2025-05-08,2025-03-31,2024-11-08,2024-08-09,2024-05-08,2024-02-28,2023-11-08,2023-08-09,2023-05-10,2023-02-28,2022-11-04,2022-08-05,2022-05-06,2022-02-28,2021-11-12
Revenue & Margin,Segment-1,-,-,-,Program Fee,-,-,-,Program Fee,-,-,-,Profit Share,-,-,-,Profit Share,-
Revenue & Margin,Segment-1 %,-,-,-,23742.9%,-,-,-,5456.5%,-,-,-,5276.7%,-,-,-,6177.2%,-
Revenue & Margin,Segment-2,-,-,-,Administrative Service,-,-,-,Profit Share,-,-,-,Program Fee,-,-,-,Program Fee,-
Revenue & Margin,Segment-2 %,-,-,-,4207.0%,-,-,-,3686.4%,-,-,-,4723.3%,-,-,-,3507.0%,-
Revenue & Margin,Segment-3,-,-,-,Profit Share,-,-,-,Administrative Service,-,-,-,TPA Fee,-,-,-,Administrative Service,-
Revenue & Margin,Segment-3 %,-,-,-,-17950.0%,-,-,-,857.1%,-,-,-,0.0%,-,-,-,315.8%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,16948000,16255000,17672000,24024000,95887000,98417000,109844000,117460000,129342000,153997000,167887000,179594000,204403000,212634000,221715000,215655000,203658000
Revenue & Margin,Rev-CoGS / Sale (%),-36.74769884352136,-47.554598585050755,-36.87754640108646,0.7034632034632035,76.0603627186167,77.44596970035664,79.42445650194821,81.03013791929168,83.13540845201095,85.94583011357363,87.72329007010667,88.88158847177523,90.30787219365665,90.12763716056699,90.95821211916198,91.36537525213883,91.72632550648636
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-480.81189520887426,-448.9633958781913,-377.3709823449525,-253.56310356310354,10.432071083671405,13.613501732424277,22.874258038673027,29.499404052443385,37.141067866586255,46.71000084417229,53.65573272498764,58.92179026025368,66.61105756764823,69.61069255152044,71.56439573326116,71.70758850942478,70.04782527570731
Revenue & Margin,Op. Income / Rev (%),-497.52183148454094,-459.87696093509686,-407.07899502037117,-272.1361971361971,5.112267564946238,7.693792739059309,17.572193292305453,24.75310744083092,32.56869385041208,42.455372507256634,49.121730687903174,54.353152109758675,62.655146940113404,66.31912111891796,69.045847146111,69.68955043935917,68.4225515324711
Revenue & Margin,Net Profit / Rev (%),-887.1489261269767,-869.5662872962165,-789.2711634223631,-561.979686979687,4.780627196595994,6.248920410091753,13.308874403699791,18.789375106419207,17.56815264956472,28.73367663006422,33.358151613883145,37.0947804492355,48.26201181000279,48.691178268762286,70.52928308864985,67.73874939138902,65.5235738345658
EBITDA,Net Income,-150354000,-141348000,-139480000,-135010000,4584000,6150000,14619000,22070000,22723000,44249000,56004000,66620000,98649000,103534000,156374000,146082000,133444000
EBITDA,D & A,2150000,2021000,1846000,1674000,1616000,1450000,1287000,1159000,1483000,1388000,1362000,1339000,973000,764000,821000,988000,1351000
EBITDA,Net Int Inc,-257000,71000,483000,773000,1008000,751000,198000,-326000,-1194000,-2483000,-3382000,-3837000,-3620000,-3257000,-3219000,-5646000,-8709000
EBITDA,Tax Provision,65962000,66666000,68024000,70405000,1444000,2288000,4990000,6788000,18200000,18404000,22845000,26920000,25572000,34240000,48926000,45086000,39329000
EBITDA,EBITDA,-81985000,-72732000,-70093000,-63704000,6636000,9137000,20698000,30343000,43600000,66524000,83593000,98716000,128814000,141795000,209340000,197802000,182833000
EBITDA,Stock-Based Comp,7895000,8635000,8669000,8677000,9074000,9551000,9502000,9492000,8711000,7343000,6012000,5449000,4653000,4456000,4395000,3815000,2878000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,2.11,1.94,2.76,5.97,6.12,5.56,5.96,8.51,7.32,10.51,7.04,6.75,8.04,10.23,18.91,22.48,36.07
Capital Structure,O/S Shares,118173000,119157000,119451000,119331553,119252503,119206370,118926170,119366013,120217857,120648658,125381253,125763245,126228723,126221689,126215698,126202593,126190351
Capital Structure,Market Capitalization,249345030,231164580,329684760,712409371,729825318,662787417,708799973,1015804770,879994713,1268017395,882684021,848901903,1014878932,1291247878,2386738849,2837034290,4551685960
Capital Structure,Cash,222134000,230659000,236226000,243164000,250233000,248007000,246972000,240206000,232608000,224445000,210589000,204450000,201807000,167695000,147404000,116454000,90864000
Capital Structure,Debt,184197000,138978999,140990000,143769000,144965000,146392000,146477000,148127000,148506000,149509000,150509000,152076000,152459000,149236000,150070000,151398000,151728000
Capital Structure,Enterprise Value,211408030,139484579,234448760,613014371,624557318,561172417,608304973,923725770,795892713,1193081395,822604021,796527903,965530932,1272788878,2389404849,2871978290,4612549960
Capital Structure,netCommonStockIssuance,0,-3952000,0,0,0,0,0,-6000000,-9999000,0,-21323000,-18018000,0,0,0,0,0
Capital Structure,netDebtIssuance,-1875000,-1875000,-1875000,-1875000,-1875000,0,-938000,-937000,-938000,-937000,-938000,-938000,3906000,-781000,-781000,-782000,-781000
Liquidity & Cash Flow,DSO,545.5724864290771,512.291141187327,536.09375,413.2154304029304,124.24529654697717,148.80359846368006,147.1502198572521,154.80337987399966,161.40079208609734,148.73269446807404,154.28912006289943,151.1183001659298,136.5926380728267,128.3333744838549,116.52252328439663,116.04115949085346,112.2696076265111
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,11.118829823955815,7.867625599332917,9.3781264211005,9.846049046321525,7.934436941842735,7.954622246249493,4.303902482191053,5.598184633336325,5.354605052033191,5.236450584484591,7.229695308330503,4.967385316506411,9.598960173640906,14.479504096798781,22.29018057564723,37.69863326351968,53.3419881305638
Liquidity & Cash Flow,CCC,534.4536566051213,504.423515587994,526.7156235788995,403.36938135660887,116.31085960513444,140.84897621743056,142.84631737506103,149.20519524066333,156.04618703406416,143.49624388358944,147.05942475456894,146.1509148494234,126.9936778991858,113.85387038705612,94.2323427087494,78.34252622733378,58.927619495947305
Liquidity & Cash Flow,OCF,-12022000,5009000,2754000,17598000,37731000,46678000,64156000,82658000,88337000,99423000,105007000,107431000,111730000,115760000,108253000,95156000,76688000
Liquidity & Cash Flow,CapEx,-354000,-387000,-210000,-807000,-823000,-739000,-729000,-123000,-90000,-216000,-189000,-209000,-424000,-1216000,-2040000,-1987000,-1884000
Liquidity & Cash Flow,FCF,-13313000,2785000,-1106000,13702000,34403000,43615000,61671000,80480000,86762000,98320000,104234000,106807000,110891000,114250000,106083000,93169000,74804000
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,999.0,21.845238095238095,16.021889022655138,7.076867330176829,4.881751969152687,3.4061009174311927,2.2474445312969755,1.8004976493247042,1.5405405405405406,1.18355924045523,1.052477167742163,0.7168720741377663,0.7654017654017654,0.8298720690466163
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,93.07668711656441,36.515912897822446,26.791784132098268,24.717031342400947,25.727391191034663,35.58397790055248,43.53546208167025,65.03261882572228,35.034006376195535,20.993569870249168
BQR,Net Income before extraordinary,-150354000,-141348000,-139480000,-135010000,4584000,6150000,14619000,22070000,22723000,44249000,56004000,66620000,98649000,103534000,156374000,146082000,133444000
BQR,(NCO-CAPEX) / Total Debt (%),-7.227587854308159,2.003899884183221,-0.7844527980707852,9.530566394702614,23.731935294726313,29.793294715558226,42.10285573844358,54.33175585814875,58.423228691096654,65.76192737560949,69.25433030582889,70.23264683447749,72.73496481021127,76.55659492347691,70.6890117944959,61.53912204916842,49.301381419382054
BQR,Score: Operating Leverage,75,75,75,75,75,75,75,58,48,42,42,35,35,35,25,25,25
BQR,Score: ICR,75,75,75,75,75,75,75,15,15,25,25,25,15,15,15,15,25
BQR,Score: Net Income,75,75,75,75,58,55,55,52,52,48,45,45,42,42,42,42,42
BQR,Score: FCF/Debt,75,75,75,58,42,42,25,15,15,15,15,15,15,15,15,15,25
BQR,BQR,75.0,75.0,75.0,70.75,62.5,61.75,57.5,39.3,35.8,34.2,33.45,31.0,28.75,28.75,25.25,25.25,29.25
