Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-26,2025-11-06,2025-08-07,2025-05-08,2025-02-27,2024-11-12,2024-08-08,2024-05-09,2024-02-29,2023-11-09,2023-08-09,2023-05-10,2023-03-01,2022-11-09,2022-08-09,2022-05-04,2022-03-01
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,Royalty,-,-,-,Royalty,-,-,-,Royalty
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1987000000,1982500000,1967300000,1965699999,1981099999,1974799999,1974499999,1977200000,2026000000,2233800000,2287100000,2187000000,2044800000,1775100000,1607200000,1558600000,1440000000
Revenue & Margin,Rev-CoGS / Sale (%),17.463512833417212,17.82093316519546,17.66380318202613,17.942717616087258,18.37867852121482,18.857605843051246,18.511015456323634,17.808011329152336,17.561697926949655,17.557525293222312,17.559354641248742,18.550525834476453,20.080203442879498,20.534054419469324,22.000995520159282,21.94918516617477,22.9375
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),12.018117765475592,14.814627994955865,13.82097290702994,9.986264389269097,6.577154059147521,3.3421105445321606,2.273993366560645,1.6285656483916648,1.525172754195459,2.71286596830513,1.4822264002448515,2.473708276177412,3.804773082942097,3.4476930877133682,7.198855151816824,6.653406903631465,7.895833333333334
Revenue & Margin,Op. Income / Rev (%),-19.260191243080023,-19.76796973518285,-20.378183296904385,-20.282850903130107,1.6405027518249977,1.4026736891850686,-20.21777666255648,-20.79202913210601,-20.429417571569594,-17.226251231086042,0.15303222421407023,0.955647005029721,1.6480829420970264,0.9971269224269056,4.498506719761075,3.8752726806108044,5.784722222222222
Revenue & Margin,Net Profit / Rev (%),-16.980372420734778,-22.027742749054223,-23.092563411782645,-22.69929288431566,-2.458230277350073,5.443589226981764,-16.54596101116534,-16.680153752781713,-15.276406712734452,-20.803115766854688,-1.407896462769446,-0.7270233196159122,-0.3227699530516432,2.4900005633485436,4.909158785465405,4.420633902219941,6.173611111111111
EBITDA,Net Income,-337400000,-436700000,-454300000,-446200000,-48700000,107500000,-326700000,-329800000,-309500000,-464700000,-32200000,-15900000,-6600000,44200000,78900000,68900000,88900000
EBITDA,D & A,141400000,141700000,142600000,142800000,143800000,143800000,145300000,146900000,152600000,154100000,158300000,146100000,129200000,114700000,98700000,100900000,92700000
EBITDA,Net Int Inc,-67800000,-70500000,-71100000,-74200000,-74700000,-68400000,-66900000,-64900000,-62200000,-76200000,-74300000,-78300000,-77200000,-64600000,-65000000,-57700000,-46100000
EBITDA,Tax Provision,-125600000,-31600000,-32400000,-52500000,-30200000,-16400000,14100000,27400000,26800000,22200000,-16200000,-17300000,-12200000,-26200000,-13600000,-14700000,-9400000
EBITDA,EBITDA,-253800000,-256100000,-273000000,-281700000,139600000,303300000,-100400000,-90600000,-67900000,-212200000,184200000,191200000,187600000,197300000,229000000,212800000,218300000
EBITDA,Stock-Based Comp,8600000,11300000,11600000,12300000,11400000,9900000,9700000,9500000,10500000,13200000,20200000,20700000,20400000,18700000,10900000,9800000,8500000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,12.15,11.31,6.82,6.23,10.9,16.99,15.99,18.56,15.31,14.26,15.12,21.47,20.9,22.08,25.12,27.5,29.9
Capital Structure,O/S Shares,54681100,54671900,54625000,54447000,54336000,54328000,54322000,54268000,54230000,54659000,54656000,54483000,54389900,52594000,31260100,31158000,31055000
Capital Structure,Market Capitalization,664375365,618339189,372542500,339204810,592262400,923032719,868608780,1007214079,830261300,779437340,826398720,1169750010,1136748910,1161275520,785253712,856845000,928544500
Capital Structure,Cash,84200000,102900000,95600000,84000000,94300000,162200000,133400000,128900000,120200000,84700000,107600000,97000000,101100000,82300000,56300000,56100000,74700000
Capital Structure,Debt,1122699999,1096200000,1161400000,1186400000,1153100000,1206500000,1199500000,1222700000,1169400000,1795500000,1812800000,1787900000,1742000000,1828500000,1254600000,1276400000,1296300000
Capital Structure,Enterprise Value,1702875364,1611639189,1438342500,1441604810,1651062400,1967332719,1934708780,2101014079,1879461300,2490237340,2531598720,2860650010,2777648910,2907475520,1983553712,2077145000,2150144500
Capital Structure,netCommonStockIssuance,1100000,-100000,-200000,-1100000,0,0,-100000,-700000,-3600000,-4200000,-1500000,-1300000,-500000,-3400000,-100000,-2900000,-300000
Capital Structure,netDebtIssuance,-13400000,-64800000,-35900000,31100000,-54400000,1200000,-23900000,51900000,-639700000,-4800000,14600000,35300000,-106900000,548500000,-23600000,5400000,-37000000
Liquidity & Cash Flow,DSO,38.7961751383996,38.98089533417402,39.64386468764297,40.321386803846664,41.537151098650824,42.78325655397167,41.5234869797536,44.162009407242564,46.28257650542942,41.5890522875817,51.47599580254471,53.848765432098766,55.68356318466354,66.73469100332376,61.75499315579891,60.74746567432312,59.033680555555556
Liquidity & Cash Flow,DIO,75.10876524390244,77.06289896881906,78.86212804049883,79.3473341599504,78.86889301175016,79.4622129306041,79.72040087010566,88.72323241646669,97.4400520895701,91.42837749782798,95.14584990718642,88.15078874978948,80.89768694162281,83.68788104352758,77.85657306955967,78.02568845047267,77.38611786969452
Liquidity & Cash Flow,DPO,38.703353658536585,38.455837220721826,37.980460550685265,37.89731866088035,37.1828231292517,36.81547990514229,35.33739900559354,37.558996369454185,41.330753801939885,39.530435490877494,42.93662158578626,40.78152192219166,37.15441806388447,38.865021976463915,34.85202616464582,35.17231812577065,33.93608632963864
Liquidity & Cash Flow,CCC,75.20158672376546,77.58795708227126,80.52553217745653,81.77140230291673,83.22322098114928,85.42998957943348,85.90648884426572,95.32624545425506,102.39187479305963,93.4869942945322,103.68522412394486,101.21803225969659,99.4268320624019,111.55755007038744,104.75954006071277,103.60083599902512,102.48371209561142
Liquidity & Cash Flow,OCF,133800000,138600000,103400000,91900000,94800000,124900000,120200000,114300000,106600000,237400000,203700000,176500000,202200000,47800000,56300000,50400000,58100000
Liquidity & Cash Flow,CapEx,-40000000,-50900000,-57300000,-57300000,-55500000,-49800000,-52000000,-64200000,-71300000,-75800000,-80300000,-69200000,-59600000,-51800000,-40700000,-40900000,-38900000
Liquidity & Cash Flow,FCF,93800000,87700000,46100000,34600000,39300000,75100000,68200000,50100000,35300000,161600000,123400000,107300000,142600000,-4000000,15600000,9500000,19200000
BQR,Total Debt / Adj Ebitda,999.0,999.0,999.0,999.0,8.260028653295128,3.977909660402242,999.0,999.0,999.0,999.0,9.841476655808904,9.350941422594142,9.285714285714286,9.267612772427775,5.478602620087337,5.9981203007518795,5.938158497480531
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,-999.0,1.8688085676037482,4.434210526315789,-999.0,-999.0,-999.0,-999.0,2.4791386271870794,2.441890166028097,2.430051813471503,3.0541795665634677,3.523076923076923,3.6880415944540728,4.735357917570499
BQR,Net Income before extraordinary,-337400000,-436700000,-454300000,-446200000,-48700000,107500000,-326700000,-329800000,-309500000,-464700000,-32200000,-15900000,-6600000,44200000,78900000,68900000,88900000
BQR,(NCO-CAPEX) / Total Debt (%),8.354858829923273,8.00036489691662,3.969347339417944,2.916385704652731,3.40820397190183,6.2246166597596355,5.685702375989996,4.097489163327063,3.0186420386523003,9.000278473962684,6.807149161518094,6.001454220034677,8.185993111366246,-0.21875854525567404,1.2434241989478718,0.7442807897210906,1.4811386253182133
BQR,Score: Operating Leverage,75,75,75,75,75,52,75,75,75,75,75,75,75,75,65,65,65
BQR,Score: ICR,75,75,75,75,65,55,75,75,75,75,65,65,65,58,58,58,52
BQR,Score: Net Income,75,75,75,75,75,42,75,75,75,75,75,65,65,48,42,45,42
BQR,Score: FCF/Debt,58,58,75,75,75,65,65,75,75,58,65,65,58,75,75,75,75
BQR,BQR,70.75,70.75,75.0,75.0,73.5,53.2,72.5,75.0,75.0,70.75,71.0,68.5,66.75,65.7,60.7,61.45,59.8
