Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2026-01-31,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31
Header,Filing Date,2026-03-05,2025-12-03,2025-09-09,2025-07-09,2025-03-05,2024-12-05,2024-09-05,2024-07-11,2024-03-07,2023-12-07,2023-09-07,2023-06-27,2023-03-09,2022-12-01,2022-09-01,2022-06-23,2022-03-03
Revenue & Margin,Segment-1,-,-,-,Industrial,-,-,-,Automotive,-,-,-,Automotive,-,-,-,Automotive,-
Revenue & Margin,Segment-1 %,-,-,-,4566.4%,-,-,-,5262.4%,-,-,-,0.0%,-,-,-,6249.4%,-
Revenue & Margin,Segment-2,-,-,-,Automotive,-,-,-,Industrial,-,-,-,Industrial,-,-,-,Industrial,-
Revenue & Margin,Segment-2 %,-,-,-,4524.8%,-,-,-,4252.3%,-,-,-,0.0%,-,-,-,2762.3%,-
Revenue & Margin,Segment-3,-,-,-,Corporate And Intersegment Elimination,-,-,-,Interface,-,-,-,Interface,-,-,-,Interface,-
Revenue & Margin,Segment-3 %,-,-,-,460.0%,-,-,-,464.5%,-,-,-,0.0%,-,-,-,924.4%,-
Revenue & Margin,Others,-,-,-,Interface,-,-,-,"Medical, Corporate And Intersegment Elimination",-,-,-,"Medical, Corporate And Intersegment Elimination",-,-,-,Medical,-
Revenue & Margin,Others %,-,-,-,448.8%,-,-,-,20.7%,-,-,-,0.0%,-,-,-,63.9%,-
Revenue & Margin,Revenue Total,978200000,984400000,1030100000,1048100000,1068300000,1087900000,1083300000,1114500000,1138400000,1159000000,1186900000,1179600000,1167100000,1178600000,1158200000,1163600000,1175900000
Revenue & Margin,Rev-CoGS / Sale (%),15.293396033530977,15.45103616416091,15.755751868750606,15.59011544699933,16.36244500608443,15.672396359959556,15.222006830979415,15.6393001345895,18.14827828531272,20.23295944779983,21.59406858202039,22.38894540522211,21.90900522663011,22.05158662820295,22.016922811258848,22.765555173599175,24.287779573092948
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-0.25557145777959517,0.14221861032100772,0.7766236287739055,-0.019082148649937982,0.889263315548067,0.8272819192940527,0.4707837164220438,1.426648721399731,3.267744202389318,5.703192407247627,7.768135478978852,9.257375381485248,9.879187730271614,10.003393857118615,10.222759454325677,11.240976280508766,12.756186750574027
