Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1
Header,Statement Date,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Header,Filing Date,2023-05-05,2023-02-23,2022-11-04,2022-08-05,2022-05-06,2022-02-24,2021-10-29,2021-08-06,2021-05-07,2021-03-05,2020-11-02,2020-08-06,2020-05-08,2020-02-27,2019-11-01,2019-08-02,2019-05-03
Revenue & Margin,Segment-1,-,Franchisor Owned Outlet,-,-,-,Franchisor Owned Outlet,-,-,-,Company Owned Steakhouse Restaurants,-,-,-,Franchisor Owned Outlet,-,-,-
Revenue & Margin,Segment-1 %,-,9963.5%,-,-,-,10000.0%,-,-,-,9573.9%,-,-,-,9893.7%,-,-,-
Revenue & Margin,Segment-2,-,Opening Closing And Development Fee Income,-,-,-,-,-,-,-,Franchise Operations,-,-,-,Franchisor Opening And Development Fee,-,-,-
Revenue & Margin,Segment-2 %,-,36.5%,-,-,-,-,-,-,-,426.1%,-,-,-,106.3%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,516583000,505858000,494261000,485709000,467972000,429123000,379752000,338988000,256495000,277748000,335409000,374995000,456821000,468026000,460152000,456158000,455550000
Revenue & Margin,Rev-CoGS / Sale (%),26.050218454730413,26.33466308726955,26.916750461800547,27.10367730472361,27.160599352097986,28.197509804881115,28.53098864522109,28.38979550898557,22.007836410066474,18.731368002649884,20.124981738713036,20.754943399245324,24.906911022041456,26.86047356343451,27.456144926024447,27.690624739673535,27.83733947974975
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),15.54038750791257,15.574528820340886,15.654684468327462,16.18561731407077,16.27063157624815,17.479137683135136,17.07430112283806,16.05573058633344,7.053158930973313,4.100119532813918,7.716847192532103,8.843851251350019,14.144927663132826,16.161495301543077,16.189650376397363,16.08148930852906,16.02304906157392
Revenue & Margin,Op. Income / Rev (%),10.44672395336277,10.47606245230875,10.246812918680616,10.901177453989941,10.830135136290206,11.584790374787648,11.088815858770987,8.248669569424287,-4.818027641864364,-10.278741881129658,-4.437567268618314,-1.1194815930879078,6.897231081758501,11.208778999457294,11.468601679445053,11.411835372831343,11.440017561189771
Revenue & Margin,Net Profit / Rev (%),7.656078500453944,7.634751254304567,8.102197017365318,8.541534128459634,9.308890275486567,9.851487801865666,7.873032926752196,5.2090339481043575,-4.815298543831264,-9.106816250702074,-3.6549406843584995,-0.6480086401152015,5.358116198686138,9.01787507531633,9.259549018585163,9.137404145055003,9.207551311601362
EBITDA,Net Income,39550000,38621000,40046000,41487000,43563000,42275000,29898000,17658000,-12351000,-25294000,-12259000,-2430000,24477000,42206000,42608000,41681000,41945000
EBITDA,D & A,23853000,22103000,20818000,20268000,20217000,20487000,20435000,20766000,21205000,21964000,22561000,22607000,22207000,21354000,20229000,19496000,19046000
EBITDA,Net Int Inc,-1434000,-1506000,-1365000,-1609000,-2498000,-3477000,-4449000,-5193000,-5356000,-4681000,-4078000,-3294000,-2420000,-2197000,-1946000,-1778000,-1764000
EBITDA,Tax Provision,7103000,7010000,3355000,3901000,4706000,4062000,7863000,5181000,-5326000,-7910000,-6633000,-4926000,4757000,8172000,8260000,8564000,8394000
EBITDA,EBITDA,71940000,69240000,65584000,67265000,70984000,70301000,62645000,48798000,8884000,-6559000,7747000,18545000,53861000,73929000,73043000,71519000,71149000
EBITDA,Stock-Based Comp,8387000,7872000,7059000,6010000,5078000,4888000,5259000,6986000,7760000,8261000,8787000,8046000,8189000,8157000,8075000,7911000,7839000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,16.22,15.4,16.25,17.44,21.98,20.3,21.97,22.95,24.42,16.88,11.43,8.29,6.34,21.83,20.42,22.52,25.27
Capital Structure,O/S Shares,32030543,32557924,33135562,33529727,33589838,33921311,34421570,34398251,34282733,34256769,34240318,29951332,28287261,28513764,28951612,29252651,29275501
Capital Structure,Market Capitalization,519535407,501392029,538452882,584758438,738304639,688602613,756241892,789439860,837184339,578254260,391366834,248296542,179341234,622455468,591047158,658769700,739791910
Capital Structure,Cash,16000000,23002000,20793000,44866000,66786000,92133000,83779000,87339000,112318000,95402000,103107000,96127000,70792000,5567000,3308000,3148000,3116000
Capital Structure,Debt,251513000,265361000,268655000,272955000,276143000,279672000,278182000,279834000,341456000,345508000,362615000,378176000,385457000,301605000,308039000,266068000,231833000
Capital Structure,Enterprise Value,755048407,743751029,786314882,812847438,947661639,876141613,950644892,981934860,1066322339,828360260,650874834,530345542,494006234,918493468,895778158,921689700,968508910
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,25.534589794863557,25.746758477675552,25.718542430011674,22.452682573310355,19.72599856401665,19.272259934797248,17.625874913101182,19.089152860868232,23.636878886528002,19.313599917911198,15.846440465223054,14.70628941719223,12.89805799208005,13.285105955652035,12.661117956675186,11.721363540703003,10.780339699264625
Liquidity & Cash Flow,DIO,8.133177099148718,8.203248694457415,8.315066634922568,8.29451737538976,8.391023064646726,9.074921053741875,9.756576886940183,10.809412976313078,13.29662927526669,12.294304498453851,11.27562913388178,10.655275688590512,9.440719185170286,9.467755293416532,9.619448971277246,9.490586487592656,9.400440169497196
Liquidity & Cash Flow,DPO,7.67335842853104,7.610655803693625,8.5962268355748,9.00376768041936,9.292365373106305,10.09012287380607,8.905284537867761,9.367832131822862,10.497266878617918,9.85056286050983,11.534146050136615,11.276168122087057,10.345662034567297,10.77101445464956,10.136367925658755,9.615630068668617,9.453457475124491
Liquidity & Cash Flow,CCC,25.994408465481236,26.339351368439345,25.43738222935944,21.743432268280756,18.824656255557066,18.257058114733052,18.477167262173605,20.530733705358447,26.436241283176773,21.75734155585522,15.587923548968218,14.085396983695684,11.993115142683038,11.981846794419006,12.144199002293677,11.596319959627044,10.72732239363733
Liquidity & Cash Flow,OCF,80138000,67201000,66049000,64393000,71716000,81391000,63008000,64821000,32728000,20085000,47694000,47023000,67396000,72910000,68566000,72916000,74674000
Liquidity & Cash Flow,CapEx,-45169000,-46958000,-45998000,-40240000,-29342000,-19651000,-10031000,-4922000,-7051000,-10620000,-20811000,-28915000,-29736000,-31668000,-28487000,-29802000,-32262000
Liquidity & Cash Flow,FCF,34969000,20243000,20051000,24153000,42374000,61740000,52977000,59899000,25677000,9465000,26883000,18108000,37660000,41242000,40079000,43114000,42412000
BQR,Total Debt / Adj Ebitda,3.496149569085349,3.832481224725592,4.096349719443767,4.0579052999331005,3.890214696269582,3.9782079913514745,4.440609785298109,5.734538300750031,38.43493921656911,999.0,46.807151155285915,20.392342949582098,7.156513989714265,4.07965750923183,4.217228208041838,3.7202421734084647,3.2584154380244277
BQR,Adj Ebitda / Interest Expense,50.1673640167364,45.97609561752988,48.04688644688645,41.80546923555003,28.416333066453163,20.21886683922922,14.080692290402338,9.39688041594454,1.6587005227781926,-999.0,1.8997057381069151,5.629933211900425,22.256611570247934,33.649977241693215,37.534943473792396,40.224409448818896,40.33390022675737
BQR,Net Income before extraordinary,39550000,38621000,40046000,41487000,43563000,42275000,29898000,17658000,-12351000,-25294000,-12259000,-2430000,24477000,42206000,42608000,41681000,41945000
BQR,(NCO-CAPEX) / Total Debt (%),13.903456282577839,7.628475925249,7.463475461093224,8.848711326042753,15.344948088490383,22.075860293486656,19.044007160779632,21.405190219916093,7.519856145447729,2.7394445280572373,7.413648084056093,4.788246742257574,9.770220802839226,13.67417648911656,13.011014839030123,16.204128267961575,18.29420315485716
BQR,Score: Operating Leverage,48,52,52,52,52,52,55,65,75,75,75,75,75,52,52,48,48
BQR,Score: ICR,15,15,15,15,25,25,35,45,65,75,65,48,25,15,15,15,15
BQR,Score: Net Income,48,48,48,48,48,48,48,52,65,75,65,65,52,48,48,48,48
BQR,Score: FCF/Debt,55,58,58,58,52,45,48,45,58,75,58,75,58,55,55,52,48
BQR,BQR,44.8,46.95,46.95,46.95,46.95,45.2,48.5,53.75,66.75,75.0,66.75,68.45,57.5,46.2,46.2,44.05,43.05
