Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-05-31,2022-01-31,2021-10-31
Header,Filing Date,2025-11-25,2025-08-26,2025-05-29,2025-03-25,2024-12-03,2024-08-28,2024-06-05,2024-03-28,2023-12-06,2023-09-13,2023-06-07,2023-03-30,2022-11-30,2022-08-31,2022-06-01,2022-03-16,2021-12-01
Revenue & Margin,Segment-1,-,-,-,IoT Systems And Connectivity,-,-,-,IoT System Products Group,-,-,-,Signal Integrity,-,-,-,Signal Integrity,-
Revenue & Margin,Segment-1 %,-,-,-,3570.3%,-,-,-,3855.0%,-,-,-,4020.0%,-,-,-,3929.4%,-
Revenue & Margin,Segment-2,-,-,-,Advanced Protection And Sensing Products Group,-,-,-,Advanced Protection And Sensing Products Group,-,-,-,Advanced Protection And Sensing Products Group,-,-,-,Wireless and Sensing,-
Revenue & Margin,Segment-2 %,-,-,-,3551.1%,-,-,-,2995.8%,-,-,-,3131.3%,-,-,-,3322.8%,-
Revenue & Margin,Segment-3,-,-,-,Signal Integrity,-,-,-,Signal Integrity,-,-,-,IoT System Products Group,-,-,-,Protection,-
Revenue & Margin,Segment-3 %,-,-,-,2878.6%,-,-,-,2037.8%,-,-,-,2780.1%,-,-,-,2747.8%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,IoT Connected Services Group,-,-,-,IoT Connected Services Group,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,1111.4%,-,-,-,68.6%,-,-,-,-,-
Revenue & Margin,Revenue Total,1026620000,996474000,954240000,909285000,851233000,815307000,838324000,868758000,843322000,820041000,790923000,756533000,779571000,796885000,772635000,740858000,714981000
Revenue & Margin,Rev-CoGS / Sale (%),52.05178157448715,51.86929112049084,51.16354376257545,50.173377983800464,48.965676847584625,47.688784715450744,45.81450608595245,44.630955916377175,46.66746509636888,50.62673695583514,56.927286221288284,63.12454314616811,64.48931527724864,64.23260570847738,63.609984015738355,62.91097619246874,62.163609942082374
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),30.957121427597357,29.869118511872866,28.47051056338028,25.718119181554737,23.729460676454035,22.82637092530789,20.533111303028424,19.56206446444234,14.324421751122346,18.272257118851375,25.519045469660128,32.23864656267473,42.48772722433235,41.7811854910056,41.24884324422269,40.206220355317754,37.61918148873886
Revenue & Margin,Op. Income / Rev (%),7.020124291363892,5.9006055351168225,8.672660965794769,5.7411042742374505,3.9438085694516074,0.41861531913745376,-36.31817769740578,-36.96771713181346,-44.99171135106164,-40.20323374075198,4.35731417596909,12.266351897405665,24.55478718423338,24.028184744348305,21.23900677551496,19.574196404709134,16.923946230739
Revenue & Margin,Net Profit / Rev (%),2.7779509458222127,2.3879198052332526,-12.516348088531187,-17.80959765090153,-99.08015784162502,-107.20710112877725,-129.51722722956757,-125.69956190331484,-59.3693749244061,-53.616709408432015,-0.7685956787196732,8.113327508515821,18.881795243794343,19.93738117796169,18.14737877523022,16.961954922535764,14.897738541303895
EBITDA,Net Income,28519000,23795000,-119436000,-161940000,-843403000,-874067000,-1085774000,-1092025000,-500675000,-439679000,-6079000,61380000,147197000,158878000,140213000,125664000,106516000
EBITDA,D & A,46345000,46317000,48972000,49371000,48147000,60865000,70229000,84452000,85155000,69440000,54243000,36893000,35123000,35199000,35635000,35302000,37626000
EBITDA,Net Int Inc,-49031000,-46483000,-72722000,-91879000,-104198000,-111850000,-106847000,-102951000,-80170000,-58675000,-33607000,-12685000,-12021000,-4245000,-4556000,-5091000,-5134000
EBITDA,Tax Provision,-12431000,-15747000,-16325000,-22022000,7833000,3515000,55892000,50519000,44793000,51431000,6858000,17344000,32775000,29466000,20410000,15539000,10093000
EBITDA,EBITDA,111464000,100848000,-14067000,-42712000,-683225000,-697837000,-852806000,-854103000,-290557000,-260133000,88629000,128302000,227116000,227788000,200814000,181596000,159369000
EBITDA,Stock-Based Comp,58529000,59796000,59637000,68036000,62606000,50739000,47000000,40170000,40361000,36908000,36759000,39248000,37720000,51976000,50243000,51189000,57580000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,70.66,54.16,29.93,66.96,44.97,31.65,37.05,19.84,13.69,29.2,19.25,33.03,27.69,58.47,61.19,71.1,87.5
Capital Structure,O/S Shares,87682000,86707000,86441000,81313000,75319000,65281000,64509000,64363000,64215999,64004999,63924000,63864000,63764000,63500000,63950000,64289000,64546000
Capital Structure,Market Capitalization,6195610120,4696051120,2587179130,5444718479,3387095430,2066143650,2390058450,1276961920,879117026,1868945970,1230537000,2109427920,1765625160,3712845000,3913100500,4570947900,5647775000
Capital Structure,Cash,164700000,168560000,156474000,151743000,136504000,115928000,126777000,128585000,123820000,147912000,164198000,235510000,617801000,362150000,275184000,279601000,276599000
Capital Structure,Debt,534654000,518937000,542643000,557533000,1190304000,1220156000,1399990000,1399632000,1373618000,1383504000,1379331000,1346279000,455113000,171917000,181797000,171676000,175556000
Capital Structure,Enterprise Value,6565564120,5046428120,2973348130,5850508479,4440895430,3170371650,3663271450,2548008920,2128915026,3104537970,2445670000,3220196920,1602937160,3522612000,3819713500,4463022900,5546732000
Capital Structure,netCommonStockIssuance,-216723000,468000,0,0,0,0,0,-1238000,-3061000,-810000,0,0,0,-1046000,-50000000,-32746000,-30000000
Capital Structure,netDebtIssuance,175568000,-25000000,-10000000,-651413000,-5000000,0,0,-5000000,-7329000,8813000,40000000,895000000,296500000,-10000000,10000000,-4000000,0
Liquidity & Cash Flow,DSO,57.47020319105414,57.162725771068786,59.64212226483903,61.403943758007664,64.42319699776678,68.84643146691982,67.62244520018513,64.35673254231904,67.38755184852286,60.8355588318145,52.92346094373283,45.79778244967503,33.88771356297246,32.43850273251473,33.68774712509788,35.15214791498506,36.28732441841112
Liquidity & Cash Flow,DIO,130.2886336303393,129.48820395738204,127.92274208880791,127.20833995488516,128.75941483031437,130.53869663795996,127.42859108420473,132.60836540040705,154.54769435149467,160.52369708630437,171.331871272074,174.44245900170264,144.90742998435869,138.8450267520393,139.2607375818923,138.18558321839163,131.41682500194068
Liquidity & Cash Flow,DPO,50.86814062480955,50.05251141552512,52.469577290098854,53.07096261913275,52.37673247840228,51.45402253708701,43.632465602641716,43.050298530423696,57.32763776638912,61.443498213055186,73.36867279964306,81.08174567613585,65.23479577792949,63.79288220331549,64.25199262346975,66.67951193149354,67.55737497366214
Liquidity & Cash Flow,CCC,136.8906961965839,136.5984183129257,135.09528706354808,135.54132109376008,140.80587934967886,147.93110556779277,151.41857068174812,153.9147994123024,164.6076084336284,159.91575770506367,150.88665941616378,139.15849577524182,113.56034776940166,107.49064728123855,108.69649208352043,106.65821920188314,100.14677444668966
Liquidity & Cash Flow,OCF,153177000,135290000,85900000,57163000,37586000,2164000,-4846000,-93920000,-126638000,-102610000,-13327000,126711000,196496000,244853000,220589000,203123000,179391000
Liquidity & Cash Flow,CapEx,-9986000,-7650000,-8177000,-9187000,-9410000,-15982000,-19783000,-31100000,-33924000,-33929000,-33985000,-28323000,-30743000,-29032000,-28736000,-26181000,-29007000
Liquidity & Cash Flow,FCF,142798000,133089000,78951000,49733000,30326000,-17510000,-24629000,-125020000,-160562000,-136539000,-47312000,98388000,165753000,215821000,191853000,176942000,150384000
BQR,Total Debt / Adj Ebitda,4.796651833775928,5.145734174202761,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,15.562976001083166,10.493047653193248,2.003879075010127,0.754723690449014,0.9053004272610475,0.9453732461067424,1.1015693139820166
BQR,Adj Ebitda / Interest Expense,2.2733372764169606,2.169567368715444,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,2.6372184366352247,10.114465904611746,18.893270110639715,53.6603062426384,44.07682177348551,35.67000589275192,31.041877678223607
BQR,Net Income before extraordinary,28519000,23795000,-119436000,-161940000,-843403000,-874067000,-1085774000,-1092025000,-500675000,-439679000,-6079000,61380000,147197000,158878000,140213000,125664000,106516000
BQR,(NCO-CAPEX) / Total Debt (%),26.70848810632671,25.646465755958815,14.549344596723813,8.920189477573524,2.5477525069226012,-1.4350624018568117,-1.7592268516203686,-8.932347931456269,-11.688984856051682,-9.869071574784027,-3.430068634722195,7.308143408609954,36.420185756064974,125.53790491923428,105.53144441327414,103.06740604394324,85.66155528720181
BQR,Score: Operating Leverage,58,58,75,75,75,75,75,75,75,75,75,75,42,25,25,25,35
BQR,Score: ICR,65,65,75,75,75,75,75,75,75,75,58,42,25,15,15,15,15
BQR,Score: Net Income,48,52,75,75,75,75,75,75,75,75,65,45,42,42,42,42,42
BQR,Score: FCF/Debt,42,42,55,58,75,75,75,75,75,75,75,58,35,15,15,15,15
BQR,BQR,52.55,53.55,70.0,70.75,75.0,75.0,75.0,75.0,75.0,75.0,69.95,58.3,37.7,25.25,25.25,25.25,28.75
