Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-26,2025-11-06,2025-08-07,2025-05-08,2025-02-27,2024-11-06,2024-08-08,2024-05-08,2024-02-29,2023-11-08,2023-08-04,2023-05-05,2023-02-28,2022-11-09,2022-08-09,2022-05-05,2022-03-03
Revenue & Margin,Segment-1,TTEC Engage,-,-,-,TTEC Engage,-,-,-,TTEC Engage,-,-,-,TTEC Engage,-,-,-,TTEC Engage
Revenue & Margin,Segment-1 %,7804.3%,-,-,-,7920.7%,-,-,-,8023.1%,-,-,-,8070.5%,-,-,-,8178.2%
Revenue & Margin,Segment-2,TTEC Digital,-,-,-,TTEC Digital,-,-,-,TTEC Digital,-,-,-,TTEC Digital,-,-,-,TTEC Digital
Revenue & Margin,Segment-2 %,2195.7%,-,-,-,2079.3%,-,-,-,1976.9%,-,-,-,1929.5%,-,-,-,1821.8%
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,2136899000,2134379000,2144663000,2165177000,2207587000,2266331000,2339860000,2406169000,2462817000,2494914000,2484411000,2488267000,2443707000,2397744000,2371078000,2321622000,2272115000
Revenue & Margin,Rev-CoGS / Sale (%),20.780018147792667,21.457904149169384,21.760341834591262,21.64178725342085,21.368217877709917,20.896506291446396,20.626875112186198,20.86939861663915,21.517676709231743,22.94716370985132,23.798558290073583,23.963907410257825,24.028617178737058,23.740023955851832,21.928717655007553,22.987290782048067,23.88637899050004
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),7.6620841696308535,8.20847656390922,8.451397725423528,8.317056757946348,8.09390524586347,7.896419366809174,8.2404075457506,8.757281803564089,9.707095573889575,11.053727703640286,11.514922450431914,12.043803980842892,12.26644601828288,12.673704949319026,11.066907119883867,12.12953702196137,13.32379743102792
Revenue & Margin,Op. Income / Rev (%),4.45538137272749,3.3118298109192414,3.3220603889748643,-7.945863086482074,-7.860165873417446,-7.58446140479921,-6.811946013864077,4.003085402563162,4.792114071000809,6.005898399704359,6.442492808154528,6.616814031613166,6.897021615111795,7.1613566752747575,6.807114738528214,8.241996328429003,9.526894545390528
Revenue & Margin,Net Profit / Rev (%),-9.006789745327225,-0.8420716283284271,-1.1994425231376677,-14.653582593940357,-14.539177844406584,-14.68743974291487,-13.38857880386006,-0.5204954431712818,0.3422097541149018,1.63055720557903,2.5945787552864643,3.5560090617285045,4.224729069401528,4.572423077693031,4.294291457303387,5.339198198500876,6.204351452281244
EBITDA,Net Income,-192466000,-17973000,-25724000,-317276000,-320965000,-332866000,-313274000,-12524000,8428000,40681000,64460000,88483000,103240000,109635000,101821000,123956000,140970000
EBITDA,D & A,859000,93242000,94399000,96582000,99955000,100088000,101641000,102224000,101980000,109808999,111847999,112507999,113310999,106629000,104771000,103374000,97203000
EBITDA,Net Int Inc,-38493000,-66416000,-71711000,-76712000,-81583000,-81620000,-79184000,-77032000,-73171000,-67798000,-58859000,-46917000,-34256000,-23051000,-16338000,-13566000,-11623000
EBITDA,Tax Provision,14835000,38970000,37248000,81086000,74100000,68992000,64891000,16867000,22460000,26636000,25831000,27003000,27115000,34221000,37671000,41750000,49695000
EBITDA,EBITDA,-138279000,180655000,177634000,-62896000,-65327000,-82166000,-67558000,183599000,206039000,244923999,260997999,274910999,277921999,273536000,260601000,282646000,299491000
EBITDA,Stock-Based Comp,-8102000,9768000,11024000,16128000,18690000,20910000,23185000,23730000,22072000,20742000,19491000,17985000,17570000,17695000,16938000,16166000,16455000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,3.6,3.36,4.81,3.29,4.99,5.87,5.75,10.22,21.67,26.22,33.84,37.23,44.13,44.31,67.89,82.52,90.55
Capital Structure,O/S Shares,48211000,48460000,48064000,47771000,47736000,47723000,47564000,47432000,47425000,47415000,47264000,47234000,47220000,47207000,47047000,47005000,46989000
Capital Structure,Market Capitalization,173559600,162825600,231187839,157166590,238202640,280134010,273493000,484755040,1027699750,1243221300,1599413760,1758521819,2083818600,2091742170,3194020830,3878852600,4254853950
Capital Structure,Cash,82901000,73508000,82559000,85135000,84991000,96929000,79780000,91514000,172747000,151583000,114776000,151379000,153435000,172274000,163204000,156828000,158205000
Capital Structure,Debt,1062901000,983510000,994561000,1061352000,1079366000,1140126000,1049505000,1079675000,1130080000,1099196000,1040008000,1038902000,1064846000,1063187000,1046009000,916484000,899879000
Capital Structure,Enterprise Value,1153559600,1072827600,1143189839,1133383590,1232577640,1323331010,1243218000,1472916040,1985032750,2190834300,2524645760,2646044819,2995229600,2982655170,4076825830,4638508600,4996527950
Capital Structure,netCommonStockIssuance,-62000,-163000,-976000,-62000,-69000,-339000,-479000,-127000,-99000,-2309000,-119000,0,-184000,-3915000,-1544000,0,0
Capital Structure,netDebtIssuance,21948000,-682000,-82126000,-11462000,-20532000,94506000,-23638000,-42741000,30612000,48288000,-15617000,-30600000,4323000,24309000,126365000,10758000,-15338000
Liquidity & Cash Flow,DSO,77.35735287442223,78.24084722066699,77.82584548248373,75.53061712737573,72.44637923669599,68.11385340446739,63.6649174523262,63.705433304975664,63.451139487830396,64.45544315355158,66.23169234076005,65.42469367234304,66.19737810220292,65.26966807132038,64.9266072225376,64.97613683450622,64.43960087847665
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,16.156705319774225,16.943552976462463,17.155452667110456,17.80042838769912,18.08462279612758,18.1418181148818,18.65485241382281,18.06313077201032,17.738570658438515,17.70990536838809,17.644975429930007,18.326627619410555,18.120801279599767,17.22443750926296,16.3223409094224,15.2975107162193,14.303346442009287
Liquidity & Cash Flow,CCC,61.20064755464801,61.29729424420453,60.670392815373276,57.73018873967661,54.36175644056841,49.97203528958559,45.01006503850339,45.642302532965346,45.712568829391884,46.74553778516349,48.58671691083004,47.09806605293248,48.07657682260315,48.04523056205743,48.6042663131152,49.67862611828692,50.13625443646737
Liquidity & Cash Flow,OCF,0,117419000,21838000,-21597000,-58818000,-26198000,33461000,80078000,144765000,131466000,190725000,172420000,137048000,195047000,209729000,195195000,251296000
Liquidity & Cash Flow,CapEx,28724000,-20727000,-15716000,-37106000,-45173000,-49582000,-62567000,-67643000,-67839000,-74170000,-81176000,-80990000,-84012000,-84144000,-72555000,-65484000,-60358000
Liquidity & Cash Flow,FCF,28724000,96692000,6122000,-58703000,-103991000,-75780000,-29106000,12435000,76926000,57296000,109549000,91430000,53036000,110903000,137174000,129711000,190938000
BQR,Total Debt / Adj Ebitda,999.0,5.444133846281586,5.598933762680568,999.0,999.0,999.0,999.0,5.880614818163497,5.484786860739957,4.487906470937542,3.984735530481979,3.779048505803873,3.8314563216710313,3.8868265968647635,4.013833408160368,3.2425153725862033,3.0046946318921104
BQR,Adj Ebitda / Interest Expense,-999.0,2.720052397012768,2.4770816192773775,-999.0,-999.0,-999.0,-999.0,2.3834120884827086,2.8158560085279687,3.612554927873979,4.434292104860769,5.859517850672464,8.113089648528724,11.86655676543317,15.950605949320602,20.83488132094943,25.767099716080185
BQR,Net Income before extraordinary,-192466000,-17973000,-25724000,-317276000,-320965000,-332866000,-313274000,-12524000,8428000,40681000,64460000,88483000,103240000,109635000,101821000,123956000,140970000
BQR,(NCO-CAPEX) / Total Debt (%),2.7024153707635987,9.831318441093634,0.615547965383722,-5.530964279522722,-9.634452076496759,-6.646633793107077,-2.7733074163534237,1.151735475953412,6.8071286988531785,5.212537163526796,10.53347666556411,8.800637596231406,4.980626306526953,10.431184730437826,13.114036303702932,14.153111238166733,21.218186000562298
BQR,Score: Operating Leverage,75,65,65,75,75,75,75,65,65,55,52,52,52,52,52,45,45
BQR,Score: ICR,75,58,65,75,75,75,75,65,58,58,55,48,45,42,25,25,25
BQR,Score: Net Income,75,65,75,75,75,75,75,65,55,48,45,42,42,42,42,42,42
BQR,Score: FCF/Debt,75,58,75,75,75,75,75,75,65,75,58,58,75,58,55,55,45
BQR,BQR,75.0,62.2,70.0,75.0,75.0,75.0,75.0,67.5,61.45,58.7,52.2,50.4,54.2,49.5,46.2,43.75,41.25
