Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-01-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-07-31,2023-04-30,2022-12-31,2022-10-31,2022-07-31,2022-04-30,2021-12-31
Header,Filing Date,2026-02-27,2025-11-06,2025-08-07,2025-05-08,2025-02-20,2024-11-07,2024-08-08,2024-05-08,2024-02-22,2023-11-09,2023-08-10,2023-05-11,2023-02-23,2022-11-10,2022-08-11,2022-05-12,2022-02-24
Revenue & Margin,Segment-1,Active Group,-,-,-,Active Group,-,-,-,Active Group,-,-,-,Active Group,-,-,-,-
Revenue & Margin,Segment-1 %,7511.1%,-,-,-,7100.3%,-,-,-,6416.2%,-,-,-,5848.5%,-,-,-,-
Revenue & Margin,Segment-2,Work Group,-,-,-,Work Group,-,-,-,Work Group,-,-,-,Work Group,-,-,-,-
Revenue & Margin,Segment-2 %,2252.6%,-,-,-,2594.3%,-,-,-,2142.8%,-,-,-,2199.4%,-,-,-,-
Revenue & Margin,Segment-3,Other Segments,-,-,-,Other Segments,-,-,-,Other Segments,-,-,-,Lifestyle Group,-,-,-,-
Revenue & Margin,Segment-3 %,236.4%,-,-,-,305.4%,-,-,-,1441.0%,-,-,-,1666.8%,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,Other Segments,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,285.3%,-,-,-,-
Revenue & Margin,Revenue Total,1874300000,1851500000,1821400000,1772400000,1755000000,1787000000,1874500000,2038400000,2242900000,2381200000,2544900000,2669400000,2684800000,2655400000,2600700000,2519000000,2414900000
Revenue & Margin,Rev-CoGS / Sale (%),47.30832844261858,46.43262219821766,45.88228834962117,44.84879259760776,44.52991452991453,42.350307778399554,41.23766337690051,40.10989010989011,38.90053056311026,37.95145304888292,37.96219890761916,39.16235858245298,39.8688915375447,41.74888905626271,42.51163148383127,42.43350535926955,42.64772868441757
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),8.365789894894093,7.928706454226303,7.395410124080377,6.189347777025502,5.213675213675214,-0.17907106883044208,-1.0189383835689518,-0.16679748822605966,0.7445717597752909,1.8562069544767343,3.658296986129121,5.195924177717839,6.1084624553039335,8.462001958273706,8.593840119967702,8.50337435490274,8.782972379808687
Revenue & Margin,Op. Income / Rev (%),8.01365843248146,7.5506346205779105,7.433842099483913,6.984879259760776,5.754985754985755,-7.034135422495804,-7.127233929047747,-5.720172684458399,-3.0407062285434034,-14.110532504619519,-11.965106683956147,-6.84423465947404,-7.762216924910607,8.947804473902236,8.509247510285691,4.652639936482731,6.447471945008075
