Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q),LTM (-18Q)
Header,Fiscal Period,2025.0-Q3,2025.0-Q2,2025.0-Q1,2024.0-Q4,0.0-0,2024.0-Q3,2024.0-Q2,2024.0-Q1,2023.0-Q4,0.0-0,2023.0-Q3,2023.0-Q2,2023.0-Q1,2022.0-Q4,2022.0-Q3,2022.0-Q2,2022.0-Q1,2021.0-Q4,2021.0-Q3
Header,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2025-01-31,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31,2021-10-31
Header,Filing Date,2025-12-04,2025-09-04,2025-06-05,2025-03-13,0,2024-12-05,2024-09-05,2024-06-10,2024-03-14,0,2023-12-04,2023-09-07,2023-06-05,2023-03-20,2022-12-05,2022-09-08,2022-06-06,2022-03-14,2021-12-06
Revenue & Margin,Segment-1,-,-,-,UNITED STATES,-,-,-,-,UNITED STATES,-,-,-,-,UNITED STATES,-,-,-,UNITED STATES,-
Revenue & Margin,Segment-1 %,-,-,-,7581.6%,-,-,-,-,7471.9%,-,-,-,-,7864.9%,-,-,-,8264.8%,-
Revenue & Margin,Segment-2,-,-,-,Europe,-,-,-,-,Europe,-,-,-,-,Europe,-,-,-,Europe,-
Revenue & Margin,Segment-2 %,-,-,-,1630.5%,-,-,-,-,1746.1%,-,-,-,-,1379.6%,-,-,-,1140.2%,-
Revenue & Margin,Segment-3,-,-,-,CANADA,-,-,-,-,CANADA,-,-,-,-,CANADA,-,-,-,CANADA,-
Revenue & Margin,Segment-3 %,-,-,-,515.2%,-,-,-,-,496.6%,-,-,-,-,507.2%,-,-,-,441.3%,-
Revenue & Margin,Others,-,-,-,AUSTRALIA,-,-,-,-,AUSTRALIA,-,-,-,-,AUSTRALIA,-,-,-,AUSTRALIA,-
Revenue & Margin,Others %,-,-,-,272.6%,-,-,-,-,285.4%,-,-,-,-,248.3%,-,-,-,153.7%,-
