Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-03,2025-11-04,2025-08-05,2025-06-16,2025-02-05,2024-11-06,2024-08-07,2024-05-28,2024-02-07,2023-11-08,2023-08-08,2023-05-25,2023-02-08,2022-11-09,2022-08-08,2022-06-06,2022-02-08
Revenue & Margin,Segment-1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,On Device Media,-
Revenue & Margin,Segment-1 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10000.0%,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,532403000,515641000,503443000,490506000,505991000,490082000,489343000,517720000,523201000,566783000,623653000,665920000,709937000,764445000,778154000,747596000,658543000
Revenue & Margin,Rev-CoGS / Sale (%),60.05976675563436,45.82684464579039,45.3421737912733,44.98986760610472,43.44266992891178,44.489289547463486,44.64557580265785,44.66526307656649,44.913331587668985,45.987441401735765,47.30803828410991,48.08805862566074,49.32113694595436,48.297523039590814,47.5049925850153,46.43015746472694,45.05840924586549
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),19.6026318409175,1.1333466500918274,-0.7450694517552136,-2.9787607083297654,-2.8820670723392317,-3.2937345178970046,-3.557218556309174,-0.18311056169357953,1.1184993912473409,5.994534063301122,12.052856315932097,15.414914704469004,19.43200593855511,20.516060671467535,19.4643990778175,19.3906869485658,19.38461117952814
Revenue & Margin,Op. Income / Rev (%),0.12020969077935323,-6.548548311712994,-8.471266856426645,-11.024329977614952,-10.89663650143975,-11.411355650687028,-11.94887839409167,-9.097195395194312,-8.313057505624034,-3.5560346728818617,2.7282799890323624,6.932514416146083,11.654414405785301,13.353609481388458,12.533637300585745,12.338348519788763,12.264954604331077
Revenue & Margin,Net Profit / Rev (%),-7.875049539540536,-13.607335336018664,-16.09854541626361,-18.776324856372806,-19.052512791729498,-20.049501920086843,-20.11452089842912,-15.732828555976203,-13.809797764148005,-7.630433516883888,-1.0307013675874244,2.5037542047092742,7.14218303877668,7.024704197162647,4.649979310008045,4.754707087785381,6.909495659357096
EBITDA,Net Income,-41927000,-70165000,-81047000,-92099000,-96404000,-98259000,-98429000,-81452000,-72253000,-43248000,-6428000,16673000,50705000,53700000,36184000,35546000,45502000
EBITDA,D & A,77894000,89202000,85428000,85428000,85428000,85428000,85428000,82910000,80710000,81234000,81963000,81073000,76653000,72481000,68728000,57452000,42998000
EBITDA,Net Int Inc,-45165000,-35497000,-35941000,-25987000,-25032000,-17132000,-15740000,-23130000,-22358000,-29271000,-26660000,-23352000,-10917000,-6199000,-2925000,0,-5451000
EBITDA,Tax Provision,-2276000,-3101000,392000,4235000,7974000,6962000,7312000,4023000,-1407000,-3960000,-1529000,5146000,11768000,16639000,10109000,8403000,-10326000
EBITDA,EBITDA,78856000,51433000,40714000,23551000,22030000,11263000,10051000,28611000,29408000,63297000,100666000,126244000,150043000,149019000,117946000,101401000,83625000
EBITDA,Stock-Based Comp,20339000,30769000,31642000,31642000,31642000,31642000,31642000,33543000,36175000,35545000,32325000,30401000,23578000,21697000,21843000,19304000,16960000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,5.0,6.4,5.9,2.72,1.69,3.07,1.69,2.42,6.86,6.05,9.28,12.36,15.24,14.41,17.47,43.81,60.99
Capital Structure,O/S Shares,115921000,106627000,106627000,105427000,104148000,103041000,102396000,104148000,103041000,102396000,99877000,99273000,99108000,98887000,97822000,95198000,96548000
Capital Structure,Market Capitalization,579605000,682412800,629099300,286761440,176010120,316335870,173049240,252038160,706861260,619495800,926858559,1227014280,1510405920,1424961670,1708950340,4170624380,5888462520
Capital Structure,Cash,40423000,39284000,34132000,40084000,35314000,32765000,35729000,33605000,49465000,58649000,59069000,75558000,79861000,83213000,89839000,127162000,115440000
Capital Structure,Debt,367119000,404895000,409711000,418188000,414939000,415043000,399668000,389702000,374034000,383810000,405732000,421079000,433919000,459116000,488726000,537822000,371025000
Capital Structure,Enterprise Value,906301000,1048023800,1004678300,664865440,555635120,698613870,536988240,608135160,1031430260,944656800,1273521559,1572535280,1864463920,1800864670,2107837340,4581284380,6144047520
Capital Structure,netCommonStockIssuance,43898000,13658000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,-45479000,-22267000,-40000,0,0,15000000,-40000,0,0,15000000,10000000,-12000000,-25000000,-25992000,-60508000,178998000,96412000
Liquidity & Cash Flow,DSO,148.0970242466703,144.80396971924264,143.9647586717861,144.95996736023616,140.69575595218095,148.56384492799165,149.51899792170317,142.3550761029128,138.6268327086531,130.18294479545082,127.11042639095778,126.40739503243633,129.48881379615375,127.4415540032311,121.96467537274113,122.24648239155908,110.90495039807575
Liquidity & Cash Flow,DIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liquidity & Cash Flow,DPO,211.51515098075177,167.60967408775716,182.08283212983926,205.15524704626654,199.57627325936926,213.89553038434394,212.0576386350799,190.0849756875722,176.3201865627624,164.44756217865378,162.00523028467964,163.4326112551057,169.33526479482362,158.12823381920214,151.9993414803717,150.81315576574463,133.41378788548812
Liquidity & Cash Flow,CCC,-63.41812673408148,-22.80570436851451,-38.118073458053175,-60.195279686030375,-58.88051730718831,-65.33168545635229,-62.538640713376736,-47.72989958465942,-37.69335385410929,-34.26461738320296,-34.89480389372186,-37.025216222669386,-39.846450998669866,-30.686679815971033,-30.03466610763057,-28.56667337418554,-22.508837487412364
Liquidity & Cash Flow,OCF,45980000,42247000,22020000,22020000,22020000,22020000,22020000,11880000,16234000,38996000,75395000,113376000,138790000,141293000,150364000,84738000,57645000
Liquidity & Cash Flow,CapEx,-30116000,-28629000,-29162000,-29162000,-29162000,-29162000,-29162000,-27477000,-25793000,-24336000,-23376000,-23858000,-26186000,-25799000,-25329000,-23280000,-18351000
Liquidity & Cash Flow,FCF,16690000,13618000,-7142000,-7142000,-7142000,-7142000,-7142000,-15597000,-9559000,14660000,52019000,89518000,112604000,115494000,125035000,61458000,39294000
BQR,Total Debt / Adj Ebitda,4.655562037130973,7.87228044251745,10.06314781156359,17.75669822937455,18.835179300953246,36.85012874012253,39.764003581733164,13.620705323127469,12.718784004352557,6.063636507259428,4.030477023026642,3.335437723773011,2.891964303566311,3.0809225669209965,4.143642005663609,5.303912190215087,4.436771300448431
BQR,Adj Ebitda / Interest Expense,1.7459537252297133,1.4489393469870693,1.1328009793828775,0.9062608227190518,0.880073505912432,0.6574247023114639,0.63856416772554,1.2369649805447471,1.3153233741837373,2.162447473608691,3.775918979744936,5.406132237067489,13.743977283136394,24.039199870946927,40.323418803418804,-999.0,15.341221794166207
BQR,Net Income before extraordinary,-41927000,-70165000,-81047000,-92099000,-96404000,-98259000,-98429000,-81452000,-72253000,-43248000,-6428000,16673000,50705000,53700000,36184000,35546000,45502000
BQR,(NCO-CAPEX) / Total Debt (%),4.546209812077283,3.363341113128095,-1.7431799487931736,-1.707844318823113,-1.721216853561608,-1.7207855571591377,-1.7869831960527238,-4.002288928463288,-2.5556500211210746,3.8195982387118628,12.821024715822267,21.259193642998106,25.950465409442778,25.15573406285122,25.583864987743645,11.427200821089505,10.59066100667071
BQR,Score: Operating Leverage,55,75,75,75,75,75,75,75,75,65,52,48,45,45,52,65,55
BQR,Score: ICR,65,75,75,75,75,75,75,75,75,65,58,48,35,25,15,75,25
BQR,Score: Net Income,75,75,75,75,75,75,75,75,75,75,65,52,45,45,48,48,48
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,55,45,42,42,42,58,58
BQR,BQR,66.5,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,70.0,56.9,48.25,42.75,41.25,42.95,60.5,49.5
