Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31
Header,Filing Date,2026-02-06,2025-11-07,2025-08-26,2025-05-09,2025-01-30,2021-10-28,2021-08-18,2021-04-29,2021-01-28,2020-10-29,2020-08-19,2020-04-30,2020-01-30,2019-10-31,2019-08-21,2019-05-03,2019-01-31
Revenue & Margin,Segment-1,-,-,Power Products,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,10000.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,759700000,759700000,719500000,668300000,620200000,566700000,626700000,686600000,764800000,877700000,903900000,949471000,1008021000,1048621000,1080021000,1094550000,1045700000
Revenue & Margin,Rev-CoGS / Sale (%),-21.390022377254176,-21.390022377254176,-5.003474635163308,5.0127188388448305,16.123831022250886,31.498147167813656,29.216531035583216,27.68715409263035,27.131276150627613,25.98837871710152,27.46985285982963,30.144680564229976,32.26807774838024,34.98585284864598,36.20012944192752,35.66342332465397,34.88572248254758
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),64.0121100434382,64.0121100434382,45.55941626129256,40.5955409247344,20.445017736214126,-1.4293276866066702,-1.0212222754108824,-0.5971453539178561,0.1307531380753138,-0.29622877976529566,0.011063170704723974,1.5449655650356882,4.433538586993723,9.916928995318614,13.545199584082162,14.300123338358228,14.076695036817444
Revenue & Margin,Op. Income / Rev (%),45.570619981571674,0.6844807160721338,-3.5441278665740095,-114.06553942840041,-84.92421799419542,-36.89782953943886,-33.04611456837402,-30.03204194581998,-25.902196652719667,-22.775435798108692,-20.7655714127669,-17.240758274870956,-12.667990051794556,-5.845391232866784,-1.0736828265376321,0.6578045772235165,0.7172229128813234
Revenue & Margin,Net Profit / Rev (%),-259.3918652099513,-259.3918652099513,-194.17651146629603,-130.98907676193326,-112.67333118348918,-72.27810128815952,-83.5966172012127,-60.55927759976697,-48.18253138075314,-38.54392161330751,-21.20809824095586,-30.114979815075976,-44.85868845986343,-38.325095530224935,-34.73867637758896,-25.101822666849387,-27.49354499378407
EBITDA,Net Income,-1970600000,-1970600000,-1397100000,-875400000,-698800000,-409600000,-523900000,-415800000,-368500000,-338300000,-191700000,-285933000,-452185000,-401885000,-375185000,-274752000,-287500000
EBITDA,D & A,235100000,241300000,207800000,179700000,166000000,121600000,120900000,121600000,120800000,129200000,123900000,118244000,123462000,132388000,143600000,156949000,158741000
EBITDA,Net Int Inc,-85500000,-85500000,-88900000,-10000000,-19300000,-29000000,-35300000,-38800000,-3800000,1000000,9900000,19300000,-6400000,-3429000,-9268000,-12335000,-1792000
EBITDA,Tax Provision,-10000000,-10000000,-9800000,5400000,2300000,2200000,2000000,-1700000,-1600000,-200000,200000,2248000,7933000,11333000,12733000,25685000,17500000
EBITDA,EBITDA,-1660000000,-1653800000,-1110200000,-680300000,-511200000,-256800000,-365700000,-257100000,-245500000,-210300000,-77500000,-184741000,-314390000,-254735000,-209584000,-79783000,-109467000
EBITDA,Stock-Based Comp,63200000,63200000,64200000,66500000,60600000,52100000,53200000,52300000,50800000,52100000,53300000,78803000,82838000,82847000,78000000,50381000,46103000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,79.12,79.12,79.12,79.12,79.12,84.97,101.05,100.45,101.02,62.46,58.3,36.87,46.46,49.0,59.34,59.65,42.78
Capital Structure,O/S Shares,129018000,156185000,155631000,153897000,129018000,115919000,115616000,112891000,110688000,109705000,108585000,108115000,107925000,107113000,106570000,104515000,102871000
Capital Structure,Market Capitalization,10207904160,12357357200,12313524720,12176330640,10207904160,9849637430,11682996800,11339900950,11181701760,6852174300,6330505500,3986200049,5014195500,5248537000,6323863800,6234319750,4400307025
Capital Structure,Cash,1028800000,926000000,467200000,730200000,614000000,261500000,379000000,531600000,388100000,436400000,448800000,323000000,382600000,433300000,500500000,456157000,356033000
Capital Structure,Debt,1966000000,0,6546900000,6520800000,6433000000,853000000,839100000,824200000,814100000,804300000,798800000,489100000,483700000,474700000,1020000000,796602000,458000000
Capital Structure,Enterprise Value,11145104160,11431357200,18393224720,17966930640,16026904160,10441137430,12143096800,11632500950,11607701760,7220074300,6680505500,4152300049,5115295500,5289937000,6843363800,6574764750,4502274025
Capital Structure,netCommonStockIssuance,3600000,0,100000000,-100000000,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,72.94474792681322,78.42190996445966,77.38811674774148,72.87165195271585,68.01817961947758,64.15034409740603,58.34350566459231,55.68562481794349,58.80900235355649,56.26580836276632,56.89622745878969,54.982327001035316,50.32033930840726,53.162198258474696,57.767392948840815,53.62870586085606,56.144535956775364
Liquidity & Cash Flow,DIO,1362.0254197761194,1495.6658115671642,661.6476212686567,560.847275334608,293.8702479338843,150.76700154559504,132.82264427412085,120.96827794561935,111.47137986721695,98.58258928571428,97.06795302013424,97.08939685430663,94.67692698080708,114.62666226135018,129.76717468347817,122.34216929661629,144.90215890732853
Liquidity & Cash Flow,DPO,0.0,0.0,16.258162313432837,35.94168260038241,47.691322314049586,57.16640906749099,67.61468665464382,71.93403826787512,66.55863089897721,57.97240609605911,51.985776388041494,49.15692432484591,50.48011393595332,38.33398911921051,26.737675458455964,14.409729322518162,0.0
