Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1
Header,Statement Date,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31
Header,Filing Date,2023-05-03,2023-02-22,2022-11-03,2022-08-09,2022-05-09,2022-02-22,2021-11-03,2021-08-04,2021-05-03,2021-02-24,2020-11-05,2020-08-05,2020-05-11,2020-03-02,2019-11-04,2019-08-06,2019-05-09
Revenue & Margin,Segment-1,-,Service,-,-,-,Service,-,-,-,Service,-,-,-,Service,-,-,-
Revenue & Margin,Segment-1 %,-,6716.5%,-,-,-,6169.5%,-,-,-,6326.2%,-,-,-,6638.7%,-,-,-
Revenue & Margin,Segment-2,-,Product,-,-,-,Product,-,-,-,Product,-,-,-,Product,-,-,-
Revenue & Margin,Segment-2 %,-,3283.5%,-,-,-,3830.5%,-,-,-,3673.8%,-,-,-,3361.3%,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,1619000000,1605000000,1747000000,1748000000,1783000000,1770000000,1769000000,1768000000,1734000000,1723000000,1449000000,1492000000,1543000000,1666000000,1969200000,1998400000,2087300000
Revenue & Margin,Rev-CoGS / Sale (%),40.7041383570105,42.429906542056074,47.91070406410991,46.96796338672769,45.98990465507571,44.40677966101695,42.45336348219333,42.251131221719454,42.56055363321799,42.36796285548462,42.92615596963423,42.96246648793566,41.283214517174336,41.4765906362545,23.461304082876293,26.971577261809447,32.98998706462895
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),13.279802347127855,15.57632398753894,23.411562678878077,23.684210526315788,24.17274256870443,23.559322033898304,22.328999434708873,22.058823529411764,22.491349480968857,23.09924550203134,23.119392684610077,23.59249329758713,22.488658457550226,21.968787515006003,12.233394271785498,11.118895116092874,12.422747089541513
Revenue & Margin,Op. Income / Rev (%),-0.3088326127239036,-0.06230529595015576,10.188895248998282,10.583524027459955,10.992708917554683,9.943502824858758,3.95703787450537,2.262443438914027,1.384083044982699,0.11607661056297155,6.487232574189096,7.640750670241286,17.498379779650033,17.707082833133253,0.8074344911639244,-1.3160528422738191,-8.599626311502899
Revenue & Margin,Net Profit / Rev (%),-9.573810994441013,-10.59190031152648,0.5724098454493417,1.6018306636155606,5.7767807066741454,2.598870056497175,-3.674392312040701,0.3393665158371041,15.397923875432525,17.58560650029019,26.984126984126984,18.766756032171582,7.777057679844458,6.5426170468187275,-39.75726183221613,-59.51761409127302,-64.86849039428927
EBITDA,Net Income,-155000000,-170000000,10000000,28000000,103000000,46000000,-65000000,6000000,267000000,303000000,391000000,280000000,120000000,109000000,-782900000,-1189400000,-1354000000
EBITDA,D & A,210000000,239000000,268000000,278000000,284000000,290000000,295000000,316000000,332000000,348000000,357000000,358000000,368000000,376000000,395000000,418500000,434600000
EBITDA,Net Int Inc,-111000000,-105000000,-100000000,-95000000,-96000000,-110000000,-121000000,-132000000,-156000000,-168000000,-182000000,-196000000,-197000000,-197000000,-207100000,-205800000,-205500000
EBITDA,Tax Provision,0,22000000,23000000,18000000,7000000,-13000000,19000000,-3000000,5000000,7000000,-21000000,4000000,8000000,6000000,-39400000,-47000000,-55400000
EBITDA,EBITDA,166000000,196000000,401000000,419000000,490000000,433000000,370000000,451000000,760000000,826000000,909000000,838000000,693000000,688000000,-220200000,-612100000,-769300000
EBITDA,Stock-Based Comp,33000000,48000000,49000000,49000000,49000000,45000000,50000000,51000000,51000000,43000000,34000000,29000000,22000000,20000000,16500000,14700000,22300000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,51.06,51.74,18.72,26.09,39.46,29.53,28.32,39.92,37.82,38.59,24.94,17.96,10.68,15.67,7.6,7.92,4.43
Capital Structure,O/S Shares,74300000,74300000,74300000,74000000,73200000,71600000,72600000,72200000,64800000,62750000,61000000,60600000,60100000,59850000,59600000,59600000,59500000
Capital Structure,Market Capitalization,3793758000,3844282000,1390896000,1930660000,2888472000,2114348000,2056032000,2882224000,2450736000,2421522500,1521340000,1088376000,641868000,937849500,452960000,472032000,263584999
Capital Structure,Cash,26000000,52000000,28000000,15000000,22000000,47000000,36000000,10000000,22000000,27000000,60000000,177000000,12000000,59000000,52000000,63000000,45000000
Capital Structure,Debt,2380000000,2361000000,2363000000,2382000000,2262000000,2266000000,2260000000,2320000000,2298000000,2621000000,2629000000,2622000000,3168000000,3158000000,3296000000,3310000000,3363000000
Capital Structure,Enterprise Value,6147758000,6153282000,3725896000,4297660000,5128472000,4333348000,4280032000,5192224000,4726736000,5015522500,4090340000,3533376000,3797868000,4036849500,3696960000,3719032000,3581584999
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capital Structure,netDebtIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liquidity & Cash Flow,DSO,86.57195799876467,84.71183800623052,76.52046365197482,74.70180205949657,74.36132922041503,74.13418079096046,72.73176936122103,72.5664592760181,69.35841983852364,69.11273940800929,84.07091097308489,90.45492627345845,99.41104990278677,101.82097839135655,91.75045703839123,94.72484237389911,95.39434915920089
Liquidity & Cash Flow,DIO,15.873697916666666,15.603354978354979,15.141483516483516,15.159115426105718,15.160955347871237,15.022865853658537,13.804027504911593,12.42286973555338,10.719126506024097,9.556898288016113,10.26148730350665,9.22150411280846,8.963852097130243,8.423076923076923,6.114815552016985,8.365938056735644,13.380549796239364
Liquidity & Cash Flow,DPO,32.983072916666664,33.18181818181818,32.48901098901099,31.991639697950376,34.112149532710276,35.517022357723576,37.91625736738703,40.664789422135165,45.625,47.968277945619334,61.78960096735187,65.73002350176263,63.45198675496689,64.76410256410257,47.647127123142255,53.084315472111825,59.602488024594265
Liquidity & Cash Flow,CCC,69.46258299876467,67.13337480276732,59.17293617944735,57.86927778765191,55.41013503557599,53.64002428689541,48.61953949874558,44.324539589436306,34.45254634454774,30.70135975040607,32.542797309239674,33.946406884504285,44.922915244950126,45.479952750330895,50.218145467265956,50.006464958522926,49.172410930845984
Liquidity & Cash Flow,OCF,321000000,325000000,287000000,298000000,302000000,281000000,242000000,203000000,231000000,189000000,307000000,294000000,360000000,317000000,20500000,56700000,21700000
Liquidity & Cash Flow,CapEx,-318000000,-319000000,-304000000,-280000000,-248000000,-234000000,-240000000,-285000000,-298000000,-308000000,-332000000,-315000000,-301000000,-314000000,-246500000,-230100000,-258800000
Liquidity & Cash Flow,FCF,3000000,6000000,-17000000,18000000,54000000,47000000,2000000,-82000000,-67000000,-119000000,-25000000,-21000000,59000000,3000000,-226000000,-173400000,-237100000
BQR,Total Debt / Adj Ebitda,14.337349397590362,12.045918367346939,5.892768079800499,5.684964200477327,4.616326530612245,5.233256351039261,6.108108108108108,5.144124168514413,3.0236842105263158,3.1731234866828086,2.8921892189218923,3.1288782816229115,4.571428571428571,4.590116279069767,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,1.4954954954954955,1.8666666666666667,4.01,4.410526315789474,5.104166666666667,3.9363636363636365,3.0578512396694215,3.4166666666666665,4.871794871794871,4.916666666666667,4.9945054945054945,4.275510204081633,3.517766497461929,3.4923857868020303,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,-155000000,-170000000,10000000,28000000,103000000,46000000,-65000000,6000000,267000000,303000000,391000000,280000000,120000000,109000000,-782900000,-1189400000,-1354000000
BQR,(NCO-CAPEX) / Total Debt (%),0.12605042016806722,0.25412960609911056,-0.7194244604316546,0.7556675062972292,2.387267904509284,2.0741394527802295,0.08849557522123894,-3.5344827586206895,-2.9155787641427326,-4.540251812285387,-0.9509319132750095,-0.8009153318077803,1.8623737373737375,0.09499683343888538,-6.856796116504855,-5.238670694864048,-7.050252750520369
BQR,Score: Operating Leverage,75,75,65,65,55,58,65,58,45,45,45,45,55,55,75,75,75
BQR,Score: ICR,75,65,55,55,48,58,58,58,52,52,52,55,58,58,75,75,75
BQR,Score: Net Income,75,75,55,48,42,48,75,55,35,35,35,35,42,42,75,75,75
BQR,Score: FCF/Debt,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,75.0,73.5,63.5,61.75,55.7,59.75,68.95,61.5,51.05,51.05,51.05,51.5,57.2,57.2,75.0,75.0,75.0
