Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-06,2025-11-07,2025-07-01,2025-05-09,2025-01-30,2024-11-07,2024-08-22,2024-05-02,2024-02-01,2023-11-02,2023-08-23,2023-04-26,2023-01-26,2022-10-27,2022-08-22,2022-05-05,2022-01-27
Revenue & Margin,Segment-1,-,-,Power Products,-,-,-,Power Products,-,-,-,Power Products,-,-,-,-,-,-
Revenue & Margin,Segment-1 %,-,-,10000.0%,-,-,-,10000.0%,-,-,-,10000.0%,-,-,-,-,-,-
Revenue & Margin,Segment-2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-2 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,747700000,579200000,577100000,580800000,596100000,804500000,807200000,809200000,801100000,766500000,758500000,784300000,779700000,779000000,746200000,663500000,612800000
Revenue & Margin,Rev-CoGS / Sale (%),-27.23017252908921,-21.63328729281768,-14.676832438052331,-9.77961432506887,-2.0298607616171784,1.9142324425108763,9.452428146679882,16.361838853188335,21.195855698414682,25.88388780169602,31.79960448253131,32.99757745760551,33.3205078876491,33.00385109114249,31.58670597694988,30.143180105501134,29.324412532637073
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),-54.01899157416076,-51.13950276243094,-48.50112632126148,-38.171487603305785,-32.15903371917464,-28.477315102548168,-21.0728442765114,-13.741967251606525,-9.124953064536262,-3.913894194390085,3.5464733025708637,6.158357771260997,6.784660766961652,6.752246469833119,4.315196998123827,0.7385079125847777,-1.3218015665796345
Revenue & Margin,Op. Income / Rev (%),-146.5694797378628,-161.86118784530387,-160.64806792583607,-80.04476584022039,-59.80540177822513,-54.59291485394655,-46.08523290386521,-36.851211072664356,-31.281987267507176,-26.340508806262232,-18.615688859591298,-15.440520209103658,-15.595741952032832,-16.99614890885751,-21.76360225140713,-28.394875659382063,-32.97976501305483
Revenue & Margin,Net Profit / Rev (%),-233.9173465293567,-92.29972375690608,-30.012129613585163,55.3030303030303,76.79919476597887,-93.31261653200745,-107.06144697720515,-99.18437963420662,-94.0207215079266,-91.24592302674495,-43.493737640079104,-23.48591100344256,-19.392073874567142,-20.154043645699616,-26.923076923076923,-57.4076865109269,-69.07637075718016
EBITDA,Net Income,-1749000000,-534600000,-173200000,321200000,457800000,-750700000,-864200000,-802600000,-753200000,-699400000,-329900000,-184200000,-151200000,-157000000,-200900000,-380900000,-423300000
EBITDA,D & A,221000000,252900000,254700000,239600000,232700000,212000000,181000000,176800000,166300000,152200000,145600000,136400000,130300000,128700000,129800000,130199999,132199999
EBITDA,Net Int Inc,-182000000,-133600000,-184100000,-143000000,-106400000,-132500000,-111300000,-72400000,-34900000,-5000000,15600000,7400000,-3000000,-9700000,-13300000,-15200000,-22200000
EBITDA,Tax Provision,-8700000,-6400000,-6100000,4500000,4500000,1300000,1100000,800000,1000000,800000,700000,800000,900000,8800000,9000000,13800000,10400000
EBITDA,EBITDA,-1354700000,-154500000,259500000,708300000,801400000,-404900000,-570800000,-552600000,-551000000,-541400000,-199200000,-54400000,-17000000,-9800000,-48800000,-221700001,-258500001
EBITDA,Stock-Based Comp,50600000,56600000,43000000,32400000,13600000,0,0,0,0,0,0,0,0,0,0,0,0
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,17.31,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
Capital Structure,O/S Shares,52218228,52165790,51980754,51401598,52165790,42328822,42165830,42027220,41951068,41785070,41642786,41562626,41530896,41427690,41331164,41281398,39150812
Capital Structure,Market Capitalization,903897526,1152863959,1148774663,1135975315,1152863959,935466966,931864843,928801562,927118602,923450047,920305570,918534034,917832801,915551949,913418724,912318895,865232945
Capital Structure,Cash,547800000,530600000,467200000,730200000,614000000,726100000,1045900000,1142400000,904400000,1762000000,1757000000,795100000,1085100000,521600000,449500000,485900000,185400000
Capital Structure,Debt,2066100000,0,6546900000,4498300000,4474700000,6431699998,6405400000,5899600000,5405600000,5403300000,4415200000,3184600000,3150800000,1401200000,1123500000,1038100000,484500000
Capital Structure,Enterprise Value,2422197526,622263959,7228474663,4904075315,5013563959,6641066964,6291364843,5686001562,5428318602,4564750047,3578505570,3308034034,2983532801,1795151949,1587418724,1464518895,1164332945
Capital Structure,netCommonStockIssuance,0,0,0,103900000,0,0,12500000,0,10400000,500000,12400000,200000,10700000,500000,10700000,200000,10800000
Capital Structure,netDebtIssuance,-192500000,-38400000,-100000,-200000,-87400000,-100000,499900000,499900000,-100000,953900000,1149200000,-100000,1718500000,-200000,749900000,-17900000,-100000
Liquidity & Cash Flow,DSO,333.7087067005483,425.96987223756906,323.4781666955467,227.88933367768595,137.02042442543197,114.74021131137353,125.6157086223984,122.54248022738507,128.61112844838348,118.52380952380952,104.14650626235992,87.4803965319393,90.20841349236886,96.16976893453145,94.73515813454837,99.77675207234364,78.75673139686684
Liquidity & Cash Flow,DIO,160.49563754861768,233.33836053938964,255.81161226956786,266.95204673776664,277.3057793488984,204.55217969839057,205.43422492817078,198.6116651891253,191.360486298115,192.04101390600246,193.5777111927315,180.50309229305424,170.12622619734563,157.58502586702434,149.7894221351616,152.3195792880259,147.167224659432
Liquidity & Cash Flow,DPO,14.167586460632817,21.81192334989354,30.003022061045634,34.34755332496863,34.97266524169681,26.018565454315045,27.016691749897383,28.08418291962175,29.08205290670046,46.14702501100159,49.091194488208004,50.56517584919124,52.654356431525294,37.521076834642656,35.19515181194907,36.086569579288025,43.170457169244976
Liquidity & Cash Flow,CCC,480.0367577885331,637.4963094270652,549.286756904069,460.49382709048393,379.35353853263354,293.2738255554491,304.03324180067176,293.0699624968886,290.88956183979803,264.41779841881043,248.63302296688343,217.41831297580228,207.6802832581892,216.23371796691313,209.3294284577609,216.00976178108152,182.75349888705387
Liquidity & Cash Flow,OCF,-421500000,-401300000,-539000000,-536000000,-530100000,-710200000,-725600000,-538000000,-412800000,-277300000,-142600000,-121500000,-138900000,-104400000,-154200000,-173400000,-194600000
Liquidity & Cash Flow,CapEx,-566600000,-640600000,-974800000,-1408800000,-1766700000,-2274800000,-2279900000,-2060000000,-1773500000,-1289000000,-954500000,-639400000,-482800000,-499100000,-650600000,-718500000,-721200000
Liquidity & Cash Flow,FCF,-993000000,-1047600000,-1516900000,-1944900000,-2294300000,-2979200000,-2999600000,-2592400000,-2180500000,-1561200000,-1092200000,-755800000,-616300000,-597700000,-799100000,-885400000,-909200000
BQR,Total Debt / Adj Ebitda,999.0,999.0,25.228901734104046,6.350840039531272,5.583603693536311,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0,999.0
BQR,Adj Ebitda / Interest Expense,-999.0,-999.0,1.409560021727322,4.953146853146853,7.5319548872180455,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
BQR,Net Income before extraordinary,-1749000000,-534600000,-173200000,321200000,457800000,-750700000,-864200000,-802600000,-753200000,-699400000,-329900000,-184200000,-151200000,-157000000,-200900000,-380900000,-423300000
BQR,(NCO-CAPEX) / Total Debt (%),-48.061565267896036,999.0,-23.169744459209703,-43.23633372607429,-51.272711019733165,-46.320568448876834,-46.829237830580446,-43.94196216692657,-40.33779783927778,-28.89345400033313,-24.737271244790723,-23.73296489355021,-19.56011171765901,-42.656294604624605,-71.12594570538496,-85.2904344475484,-187.65737874097007
BQR,Score: Operating Leverage,75,75,75,75,65,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: ICR,75,75,75,52,48,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: Net Income,75,75,75,35,35,75,75,75,75,75,75,75,75,75,75,75,75
BQR,Score: FCF/Debt,75,15,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
BQR,BQR,75.0,60.0,75.0,61.55,57.45,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0,75.0
