Category,Metric,ADTN,APPS,CMP,CREE,CRNC,ESLT,FNKO,GLT,MAGN,MAXR,MEI,MMI,MODV,ONEW,PENN,RDUS,RMBL,SAVE,SCHN,SMTC,TITN,TTEC,TUP,WEST,WLFC,WOLF
Header,Fiscal Period,2025-Q4,2026-Q3,2026-Q1,2026-Q2,2026-Q1,2025-Q3,2025-Q3,2025.0-Q4,2025-Q4,2023-Q1,2026-Q3,2025-Q4,2025-Q3,2026-Q1,2025-Q4,2025-Q3,2025-Q3,2025-Q3,2025-Q3,2026-Q3,2026-Q3,2025-Q4,2023-Q3,2025-Q3,2025-Q3,2026-Q2
Header,Statement Date,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2025-12-31,2025-12-31,2023-03-31,2026-01-31,2025-12-31,2025-09-30,2025-12-31,2025-12-31,2025-05-31,2025-09-30,2025-09-30,2025-05-31,2025-10-31,2025-10-31,2025-12-31,2023-09-30,2025-09-30,2025-09-30,2025-12-31
Header,Filing Date,2026-02-26,2026-02-03,2026-02-06,2026-02-06,2026-02-05,2025-11-18,2025-11-06,2026-02-05,2026-02-05,2023-05-03,2026-03-05,2026-02-26,2025-12-29,2026-02-09,2026-02-26,2025-07-01,2025-11-04,2025-11-10,2025-07-01,2025-11-25,2025-12-04,2026-02-26,2024-03-29,2025-11-06,2025-11-04,2026-02-06
Revenue & Margin,Segment-1,Optical Networking Solutions,On Device Media,Highway Deicing Salt,Power Products,License,Product,UNITED STATES,Airlaid Materials,Airlaid Materials,Service,Industrial,Real Estate Brokerage Commissions,Other Service Revenue,New Sales,Casino,Product,Parts And Other Revenue,"Products And Services, Passenger",Ferrous Scrap Metal,IoT Systems And Connectivity,Sales of Equipment,TTEC Engage,Beauty,Coffee & tea,Spare Parts And Equipment Sales,Power Products
Revenue & Margin,Segment-1 %,3509.0%,10000.0%,5115.4%,10000.0%,5585.2%,9058.9%,6496.0%,4225.6%,4225.6%,6716.5%,4566.4%,8376.0%,10000.0%,6185.7%,7685.7%,9521.7%,6681.8%,9793.1%,5070.1%,3570.3%,7488.9%,7804.3%,10000.0%,9918.0%,4491.6%,10000.0%
Revenue & Margin,Segment-2,Subscriber Solutions And Experience,-,Consumer & Industrial Salt,-,Professional Services,Service,Europe,Composite Fibers,Composite Fibers,Product,Automotive,Financing Fees,Private Pay and Other Contracts,Pre-Owned,"Product and Service, Other",License,Finance And Insurance,"Product and Service, Other",Nonferrous Scrap Metal,Advanced Protection And Sensing Products Group,Sales of Parts,TTEC Digital,-,Other,Maintenance Services,-
Revenue & Margin,Segment-2 %,3405.4%,-,3022.9%,-,2295.6%,941.1%,2703.2%,3483.8%,3483.8%,3283.5%,4524.8%,1376.1%,1754.1%,1943.6%,1309.9%,478.3%,3318.2%,206.9%,2697.8%,3551.1%,1565.0%,2195.7%,-,82.0%,4004.1%,-
Revenue & Margin,Segment-3,Access & Aggregation Solutions,-,SOP,-,Connected Services,-,Non-US,Spunlace,Spunlace,-,Corporate And Intersegment Elimination,Other Revenues,-,"Service, Parts & Other",Food and Beverage,-,New Vehicles,"Products And Services, Fare",Steel Products,Signal Integrity,Service Sales,-,-,Other,Managed Services And Other Revenue,-
Revenue & Margin,Segment-3 %,3085.6%,-,1741.5%,-,2119.2%,-,800.8%,2290.6%,2290.6%,-,460.0%,247.9%,-,1577.2%,640.6%,-,1648.3%,2199.5%,1605.7%,2878.6%,657.9%,-,-,12.5%,1504.3%,-
Revenue & Margin,Others,-,-,"Product and Service, Other",-,-,-,-,-,-,-,Interface,-,-,Finance And Insurance Income,Occupancy,-,"Powersports Used Vehicles, Automotive Used Vehicles, Parts And Other Revenue, Finance And Insurance, Vehicle Logistics","Product and Service, Other",Retailand Other,IoT Connected Services Group,"Other Revenue, Rental Revenue",-,-,-,"Other Revenue, Asset Transition Fees",-
Revenue & Margin,Others %,-,-,120.2%,-,-,-,-,-,-,-,448.8%,-,-,293.5%,363.9%,-,2963.4%,88.8%,626.4%,1111.4%,288.3%,-,-,-,192.0%,-
Revenue & Margin,Revenue Total,1083807000,532403000,1332800000,759700000,315961000,7835844387,928842000,3294000000.0,3294000000,1619000000,978200000,755156000,2692713000,1877081000,6961000000,2796852000,1095200000,3023707470,2796852000,1026620000,2545194000,2136899000,1142000000,1078457000,686060000,747700000
Revenue & Margin,Rev-CoGS / Sale (%),38.28679829526844,60.05976675563436,16.4765906362545,-21.390022377254176,78.5856482287371,24.230488090727828,37.63148091925214,0.0,10.018214936247723,40.7041383570105,15.293396033530977,37.696846744248866,7.533294487752687,22.756236944489874,30.566010630656514,5.809388555418735,26.899196493791088,80.23044636655939,-5.849111787109221,52.05178157448715,13.617822452826777,20.780018147792667,61.99649737302977,13.89781882819621,76.88292569163046,-27.23017252908921
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),17.409003632565575,19.6026318409175,8.478391356542616,64.0121100434382,49.90837508426673,14.573646037363556,0.32244450617004833,94.04978749241045,4.068002428658167,13.279802347127855,-0.25557145777959517,-0.2135982498980343,45.84012481092489,13.931577806178849,7.118230139347795,-2.448145271898549,3.688823959094229,75.70509028110448,25.72910543711287,30.957121427597357,13.617822452826777,7.6620841696308535,3.93169877408056,-3.184549778062547,48.00163251027607,-54.01899157416076
Revenue & Margin,Op. Income / Rev (%),-1.4390015934571376,0.12020969077935323,4.606842737094838,45.570619981571674,17.7563053668016,8.03624701946241,-4.962307905973244,1.2446873102610807,2.94474802671524,-0.3088326127239036,-2.6272745859742384,-1.815651335618071,-0.4546715524454333,2.9762167961851405,-7.92558540439592,-2.4879757670409446,-4.218407596785975,-25.403515638369605,-2.415858972873788,7.020124291363892,-1.5843585989908826,4.45538137272749,2.434325744308231,-4.316815598582048,17.431565752266565,-146.5694797378628
Revenue & Margin,Net Profit / Rev (%),-4.212558139964035,-7.875049539540536,-2.8211284513805523,-259.3918652099513,0.10602574368355588,5.916173689833639,-7.393830167025178,-4.037644201578628,-4.037644201578628,-9.573810994441013,-6.583520752402372,-0.25279544888738226,-16.737283178712325,-5.877316961814647,-12.113202126131304,-3.689576709815178,-9.349890339663988,-37.99960847403006,-3.6820325136975427,2.7779509458222127,-2.42680911553304,-9.006789745327225,-14.054290718038528,-8.576234379303022,17.874675684342478,-233.9173465293567
EBITDA,Net Income,-45656000,-41927000,-37600000,-1970600000,335000,463582164,-68677000,-133000000.0,-133000000,-155000000,-64400000,-1909000,-450687000,-110322000,-843200000,-103192000,-102399999,-1148997000,-102981000,28519000,-61767000,-192466000,-160500000,-92491000,122631000,-1749000000
EBITDA,D & A,68287999,77894000,102800000,235100000,10288000,170072000,60493000,49000000.0,46000000,210000000,60500000,12098000,13212000,18403000,446900000,96323000,11100000,-458171000,97359000,46345000,38089000,859000,8400000,39309000,106890000,221000000
EBITDA,Net Int Inc,-28413800,-45165000,-68500000,-85500000,-5214000,-150994781,-18194000,0.0,-150000000,-111000000,-17800000,-773000,-65761000,-44672000,-396200000,-35681000,-45400000,-155705000,-17902000,-49031000,-47021000,-38493000,-124700000,-51676000,-125866000,-182000000
EBITDA,Tax Provision,4993000,-2276000,14200000,-10000000,39522000,38033889,4625000,7000000.0,7000000,0,10600000,4929000,-6867000,-43419000,24700000,-2573000,500000,-21660000,48157000,-12431000,-19737000,14835000,50800000,4053999,50527000,-8700000
EBITDA,EBITDA,56038799,78856000,147900000,-1660000000,55359000,822682834,14635000,-77000000.0,70000000,166000000,24500000,15891000,-378581000,-90666000,24600000,26239000,-45399999,-1473123000,60437000,111464000,3606000,-138279000,23400000,2547999,405914000,-1354700000
EBITDA,Stock-Based Comp,6465000,20339000,8600000,63200000,24925000,23227000,11978000,5000000.0,14000000,33000000,7800000,24226000,983000,8329000,45300000,10379000,2000000,6521000,10087000,58529000,1089000,-8102000,4600000,11180000,34554000,50600000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,8.69,5.0,19.64,79.12,10.69,509.8,3.44,20.0,15.08,51.06,7.99,27.29,0.17,10.82,14.75,29.61,4.4,0.6875,27.86,70.66,16.4,3.6,1.4,4.86,137.09,17.31
Capital Structure,O/S Shares,79877000,115921000,42083000,129018000,44953000,46349000,54649000,45442000.0,35500000,74300000,35472733,38826000,14400841,16534000,133800000,28700000,38052057,109521000,28700000,87682000,22737000,48211000,46300000,95569000,7484307,52218228
Capital Structure,Market Capitalization,694131130,579605000,826510120,10207904160,480547570,23628720200,187992560,908840000.0,535340000,3793758000,283427136,1059561540,2448142.97,178897880,1973550000,849807000,167429050,75295687,799582000,6195610120,372886799,173559600,64819999,464465340,1026023646,903897526
Capital Structure,Cash,95696000,40423000,46700000,1028800000,92130000,142145851,39177000,264000000.0,305000000,26000000,133699999,161921000,78227000,32234000,686600000,16214000,35400000,250494000,16214000,164700000,48790000,82901000,129400000,48384000,170967000,547800000
Capital Structure,Debt,245038000,367119000,896900000,1966000000,200403000,1065959805,312235000,1975000000.0,2037000000,2380000000,364100000,78255000,34985000,1128760000,8377500000,584920000,583100000,873632000,135910000,534654000,1051648000,1062901000,842000000,598744000,2239451000,2066100000
Capital Structure,Enterprise Value,843473130,906301000,1676710120,11145104160,588820570,24552534154,461050560,2619840000.0,2267340000,6147758000,513827137,975895540,-40793857,1275423880,9664450000,1418513000,715129050,698433687,919278000,6565564120,1375744799,1153559600,777419999,1014825340,3094507646,2422197526
Capital Structure,netCommonStockIssuance,395000,43898000,0,3600000,-42000,21000,0,0.0,0,0,0,-17011000,0,0,269400000,0,0,645000,0,-216723000,0,-62000,0,11916000,118000,0
Capital Structure,netDebtIssuance,-1653000,-45479000,50700000,0,-27612000,-187542000,-15793000,0.0,-27000000,0,0,0,0,57521000,-185800000,24495000.0,-15000000,0,0,175568000,-101586000,21948000,2000000,16134000,-566317000,-192500000
Liquidity & Cash Flow,DSO,63.45614348311092,148.0970242466703,64.0078218787515,72.94474792681322,68.5623344336801,155.21468216801765,43.14029861914082,57.730722525804495,56.87196417729205,86.57195799876467,85.2705223880597,15.791689068219016,44.29597305765598,13.331210134245673,12.985526504812526,30.317190094434743,9.9981738495252,21.869737534497673,30.215331826639378,57.47020319105414,18.577048056061738,77.35735287442223,29.308669001751316,30.99662295297819,69.51418243302335,333.7087067005483
Liquidity & Cash Flow,DIO,97.88352841884303,0.0,86.54487064319079,1362.0254197761194,0.0,180.14068492544018,60.0868109199817,0.0,30.231950067476387,15.873697916666666,86.44852763697804,0.0,0.0,142.2789674728676,0.0,40.00737082689916,120.14317386959779,0.0,57.022412806173904,130.2886336303393,180.90675222437613,0.0,161.53773041474653,74.4799289233503,147.74552009180502,160.49563754861768
Liquidity & Cash Flow,DPO,96.38391415440188,211.51515098075177,29.49312791951132,0.0,24.191816913610747,89.58146810471425,39.46634760618327,0.0,45.68657219973009,32.983072916666664,56.2631245474294,8.964100419566151,24.261365562231283,10.335739947087028,4.801041731322285,26.68214521335635,22.407881588808394,65.73515288007522,38.0299996591455,50.86814062480955,7.231040610499256,16.156705319774225,55.75921658986175,29.779196618474543,94.16763873213239,14.167586460632817
Liquidity & Cash Flow,CCC,64.95575774755207,-63.41812673408148,121.05956460243095,1434.9701677029327,44.370517520069356,245.7738989887436,63.76076193293925,57.730722525804495,41.417342045038346,69.46258299876467,115.45592547760835,6.827588648652865,20.034607495424694,145.27443766002625,8.18448477349024,43.64241570797755,107.7334661303146,-43.865415345577546,49.20774497366777,136.8906961965839,192.2527596699386,61.20064755464801,135.0871828266361,75.69735525785394,123.09206379269597,480.0367577885331
Liquidity & Cash Flow,OCF,129767000,45980000,164800000,-316400000,89813000,913119000,26576000,2000000.0,163000000,321000000,68500000,66657000,-177005000,52907000,508200000,25034000,46300000,-939611000,-110621000,153177000,210370000,0,10000000,-52923000,277039000,-421500000
Liquidity & Cash Flow,CapEx,-45568000,-30116000,-70700000,-726500000,-15245000,-176436000,-36059000,-15000000.0,-66000000,-318000000,-25700000,-7872000,-23541000,-11503000,0,-53637000,-5400000,256513000,-41858000,-9986000,-39436000,28724000,-15900000,-80029000,-688721000,-566600000
Liquidity & Cash Flow,FCF,119286999,16690000,94100000,-1430300000,74568000,736683000,-9483000,-13000000.0,97000000,3000000,42799999,58785000,-200546000,41199000,-168800000,-28603000,40900000,-672852000,-152479000,142798000,170934000,28724000,-5900000,-151051000,-411682000,-993000000
BQR,Total Debt / Adj Ebitda,4.3726490283990564,4.655562037130973,6.064232589587559,999,3.6200617785725897,1.2957117384073191,21.334813802528185,999.0,29.1,14.337349397590362,14.861224489795918,4.924485557862941,999.0,999.0,340.5487804878049,22.292008079576203,999.0,999,2.2487879941095685,4.796651833775928,291.63838047698283,999.0,35.98290598290598,234.9859634952761,5.517057800420779,999.0
BQR,Adj Ebitda / Interest Expense,1.9722388064954353,1.7459537252297133,2.1591240875912407,-999,10.617376294591484,5.448419001978618,0.8043860613389029,-999.0,0.4666666666666667,1.4954954954954955,1.3764044943820224,20.55756791720569,-999.0,-999.0,0.06208985360928824,0.7353773717104342,-999.0,-999,3.375991509328567,2.2733372764169606,0.07668913889538717,-999.0,0.18765036086607859,0.04930720256985835,3.224969411914258,-999.0
BQR,Net Income before extraordinary,-45656000,-41927000,-37600000,-1970600000,335000,463582164,-68677000,-133000000.0,-133000000,-155000000,-64400000,-1909000,-450687000,-110322000,-843200000,-103192000,-102399999,-1148997000,-102981000,28519000,-61767000,-192466000,-160500000,-92491000,122631000,-1749000000
BQR,(NCO-CAPEX) / Total Debt (%),48.6810204947804,4.546209812077283,10.491693611327907,-72.75178026449645,37.20902381700873,69.10982914594983,-3.03713549089628,-0.6582278481012658,4.761904761904762,0.12605042016806722,11.755012084592146,75.11980065171555,-573.234243247106,3.649934441333853,-2.014920919128618,-4.890070436982835,7.0142342651346254,-77.01778323138346,-112.19115591200058,26.70848810632671,16.253917660662122,2.7024153707635987,-0.7007125890736342,-25.227977232339697,-18.383166231366527,-48.061565267896036
BQR,Score: Operating Leverage,55,55,65,75,48,35,75,75,75,75,75,58,75,75,75,75,75,75,42,58,75,75,75,75,65,75
BQR,Score: ICR,65,65,65,75,42,48,75,75,75,75,75,25,75,75,75,75,75,75,58,65,75,75,75,75,58,75
BQR,Score: Net Income,75,75,75,75,58,35,75,75,75,75,75,65,75,75,75,75,75,75,75,48,75,75,75,75,42,75
BQR,Score: FCF/Debt,25,75,58,75,35,15,75,75,75,75,58,15,75,75,75,75,58,75,75,42,52,75,75,75,75,75
BQR,BQR,54.0,66.5,65.75,75.0,46.349999999999994,31.95,75.0,75.0,75.0,75.0,70.75,44.05,75.0,75.0,75.0,75.0,70.75,75.0,60.9,52.55,69.25,75.0,75.0,75.0,60.7,75.0
