Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3
Header,Statement Date,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31,2021-09-30
Header,Filing Date,2025-11-06,2025-08-07,2025-05-08,2025-03-13,2024-11-07,2024-08-08,2024-05-09,2024-03-07,2023-11-02,2023-08-03,2023-05-04,2023-03-01,2022-11-03,2022-08-04,2022-05-05,2022-03-03,2021-11-04
Revenue & Margin,Segment-1,-,-,-,UNITED STATES,-,-,-,UNITED STATES,-,-,-,UNITED STATES,-,-,-,UNITED STATES,-
Revenue & Margin,Segment-1 %,-,-,-,6496.0%,-,-,-,6893.8%,-,-,-,7308.9%,-,-,-,7226.8%,-
Revenue & Margin,Segment-2,-,-,-,Europe,-,-,-,Europe,-,-,-,Europe,-,-,-,Europe,-
Revenue & Margin,Segment-2 %,-,-,-,2703.2%,-,-,-,2449.6%,-,-,-,1985.3%,-,-,-,2086.2%,-
Revenue & Margin,Segment-3,-,-,-,Non-US,-,-,-,Non-US,-,-,-,Non-US,-,-,-,Non-US,-
Revenue & Margin,Segment-3 %,-,-,-,800.8%,-,-,-,656.6%,-,-,-,705.8%,-,-,-,687.0%,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,928842000,970702000,1024890000,1049850000,1047357000,1067536000,1059907000,1096086000,1137890000,1190553000,1266241000,1322706000,1325939000,1228065000,1148459000,1029293000,919529000
Revenue & Margin,Rev-CoGS / Sale (%),37.63148091925214,37.97200376634642,41.48064670354867,41.3899128446921,39.49045072501544,37.839754350204586,34.90060920439247,33.14530064246783,31.123658701631967,31.235568681108695,31.983327028583027,32.81311190846643,34.209115200623856,34.37326200160415,35.81851855399278,37.014824738922734,38.20553783513081
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),0.32244450617004833,0.8697828993862174,6.6090995131184815,7.575653664809258,6.533015963038391,14.15839840529968,18.549646336895595,24.85270316380284,22.602448391320777,14.865696865238254,16.591944187559875,18.078771851038706,20.939123142165666,23.143237532215313,23.810079419465563,18.63531569727959,20.283210208704674
Revenue & Margin,Op. Income / Rev (%),-4.962307905973244,-4.201495412598305,0.4580979422181892,1.2374148687907796,0.39776313138691016,-1.219537327078431,-5.11997750746056,-9.472523141432333,-13.92814771199325,-11.393360900354708,-7.596105322762413,-0.9011828781301362,5.379131317504048,6.524491781786796,8.574359206554174,9.274812905557503,9.835035110366286
Revenue & Margin,Net Profit / Rev (%),-7.393830167025178,-6.721733343497799,-1.916595927367815,-1.4019145592227462,-2.289477226962726,-4.0577554293251,-11.456759885537126,-14.05719989124941,-16.305354647637294,-13.514560040586183,-5.783101321154504,-0.6074668142429233,3.458379307042028,3.9189293726309278,4.1157760094178375,4.265063495039799,4.470114591274446
EBITDA,Net Income,-68677000,-65248000,-19643000,-14718000,-23979000,-43318000,-121431000,-154079000,-185537000,-160898000,-73228000,-8035000,45856000,48127000,47268000,43900000,41104000
EBITDA,D & A,60493000,61375000,62800000,62583000,61838000,61168000,60108000,58808000,56539000,54602000,51154000,47880000,45137000,42661000,40422000,40213000,40609000
EBITDA,Net Int Inc,-18194000,-17554000,-18113000,-20575000,-23782000,-26412000,-28595000,-27971000,-25032000,-20408000,-14811000,-10334000,-7100000,-5834000,-6140000,-7167000,-8412000
EBITDA,Tax Provision,4625000,4567000,4508000,4564000,4497000,6403000,143717000,132497000,115990000,115256000,-31799000,-17801000,1315000,4912000,18446000,17061000,15978000
EBITDA,EBITDA,14635000,18248000,65778000,73004000,66138000,50665000,110989000,65197000,12024000,29368000,-39062000,32378000,99408000,101534000,112276000,108341000,106103000
EBITDA,Stock-Based Comp,11978000,12879000,13043000,13602000,13543000,9197000,5921000,5739000,2726000,8319000,12272000,8630000,8630000,3953000,3521000,3521000,6143000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,3.44,4.76,6.86,13.39,12.22,9.28,6.17,7.73,7.65,10.82,9.43,10.91,20.22,22.32,17.25,18.8,18.21
Capital Structure,O/S Shares,54649000,54362000,53530000,52043000,52523000,52106512,50705638,50384000,48236867,47427510,47247676,47179000,46874000,51644878,42528956,39983000,39448000
Capital Structure,Market Capitalization,187992560,258763120,367215800,696855770,641831060,483548431,312853786,389468320,369012032,513165658,445545584,514722890,947792280,1152713676,733624491,751680400,718348080
Capital Structure,Cash,39177000,49151000,25934000,34655000,28546000,41551000,26110000,36453000,31885000,36827000,34797000,19200000,25050000,56191000,33131000,83557000,93245000
Capital Structure,Debt,312235000,331224000,276812000,260307000,304090000,305372000,330882000,362353000,391343000,400177000,408669000,347079000,347850000,335149000,268665000,238631000,243232000
Capital Structure,Enterprise Value,461050560,540836120,618093800,922507770,917375060,747369431,617625786,715368320,728470032,876515658,819417584,842601890,1270592280,1431671676,969158491,906754400,868335080
Capital Structure,netCommonStockIssuance,0,0,0,0,0,-2000,0,-287000,0,200000,0,263000,0,0,78000,68000,48000
Capital Structure,netDebtIssuance,-15793000,54226000,19244000,-40739000,-721000,-22703000,-27441000,-26170000,-5653000,-5637000,65379000,-4905000,15500000,65500000,-4500000,-4500000,-1055000
Liquidity & Cash Flow,DSO,43.14029861914082,45.43670972141811,45.01191225399799,44.84196313759108,45.90262083511162,44.5461066418369,46.181114239268155,49.660664172336844,50.8084689644869,50.32253708990696,51.5088922645847,51.16620303378075,52.403583422766815,53.88562291083941,53.1086013954351,52.73555367616413,53.48817981814603
Liquidity & Cash Flow,DIO,60.0868109199817,60.65409885618337,62.056219664898734,64.12731303163567,66.13213628065282,69.14069716975872,76.8508684146071,82.23489324972536,91.67182358367668,99.3219563393133,99.35570765917178,93.20286715765428,86.58010946332136,79.56537963791304,68.72155059435786,64.11971195523074,56.02896907524929
Liquidity & Cash Flow,DPO,39.46634760618327,40.145441341821304,39.72597951843991,37.36246745585209,34.80553876838064,32.124645673563066,33.36345441185635,32.37996820349761,31.990131893734763,32.62254069675831,34.48800877788808,33.36231060499502,32.89791648277578,32.872639864803666,26.572007724888685,26.940413187064053,26.234587781450077
Liquidity & Cash Flow,CCC,63.76076193293925,65.94536723578017,67.34215240045683,71.60680871337465,77.22921834738379,81.56215813803256,89.66852824201891,99.5155892185646,110.49016065442882,117.02195273246195,116.3765911458684,111.00675958644,106.08577640331242,100.5783626839488,95.25814426490427,89.91485244433082,83.28256111194526
Liquidity & Cash Flow,OCF,26576000,18687000,86755000,123524000,97544000,103366000,75712000,30935000,22086000,-21626000,-47044000,-39729000,-56112000,-14208000,26942000,87362000,125686000
Liquidity & Cash Flow,CapEx,-36059000,-35741000,-35186000,-32791000,-25066000,-25680000,-26542000,-35131000,-43101000,-48147000,-52712000,-59148000,-57233000,-51344000,-43057000,-27759000,-21212000
Liquidity & Cash Flow,FCF,-9483000,-17054000,51569000,90733000,72478000,77686000,49170000,-4196000,-21015000,-69773000,-99756000,-98877000,-113345000,-65552000,-16115000,59603000,104474000
BQR,Total Debt / Adj Ebitda,21.334813802528185,18.15124945199474,4.208276323390799,3.565653936770588,4.597810638362212,6.0272772130662196,2.9812143545756786,5.5578170774728894,32.54682302062542,13.626293925360937,999.0,10.719593551176725,3.499215354901014,3.300854886048023,2.392897858847839,2.2025918165791345,2.2924139750996675
BQR,Adj Ebitda / Interest Expense,0.8043860613389029,1.0395351486840607,3.631535361342682,3.548189550425273,2.7810108485409133,1.9182568529456308,3.8814128344116106,2.3308784097815596,0.48034515819750717,1.4390435123480987,-999.0,3.1331526998258177,14.00112676056338,17.403839561193006,18.28599348534202,15.116645737407563,12.613290537327627
BQR,Net Income before extraordinary,-68677000,-65248000,-19643000,-14718000,-23979000,-43318000,-121431000,-154079000,-185537000,-160898000,-73228000,-8035000,45856000,48127000,47268000,43900000,41104000
BQR,(NCO-CAPEX) / Total Debt (%),-3.03713549089628,-5.148781489264063,18.62961143303036,34.85615062215,23.83439113420369,25.439791467456086,14.860282517634685,-1.1579868250021388,-5.369969566339503,-17.43553477586168,-24.409974820698412,-28.488326865065304,-32.5844473192468,-19.559061790427542,-5.998176167345951,24.977056627177525,42.95240757795027
BQR,Score: Operating Leverage,75,75,52,48,55,65,45,65,75,75,75,75,48,48,42,42,42
BQR,Score: ICR,75,75,58,58,58,65,58,65,75,75,75,58,35,25,25,25,35
BQR,Score: Net Income,75,75,65,65,75,75,75,75,75,75,75,65,48,48,48,48,48
BQR,Score: FCF/Debt,75,75,48,35,42,42,55,75,75,75,75,75,75,75,75,42,25
BQR,BQR,75.0,75.0,55.15,50.5,57.2,61.75,56.949999999999996,70.0,75.0,75.0,75.0,69.95,52.8,51.3,49.2,40.95,38.2
