Category,Metric,ADTN,CZR,ESLT,FNKO,MAXR,MCS,MMI,SMTC,WLFC
Header,Fiscal Period,2025-Q4,2025-Q4,2025-Q3,2025-Q3,2023-Q1,2025-Q4,2025-Q4,2026-Q3,2025-Q3
Header,Statement Date,2025-12-31,2025-12-31,2025-09-30,2025-09-30,2023-03-31,2025-12-31,2025-12-31,2025-10-31,2025-09-30
Header,Filing Date,2026-02-26,2026-02-17,2025-11-18,2025-11-06,2023-05-03,2026-02-27,2026-02-26,2025-11-25,2025-11-04
Revenue & Margin,Segment-1,Optical Networking Solutions,Casino,Product,UNITED STATES,Service,Admission,Real Estate Brokerage Commissions,IoT Systems And Connectivity,Spare Parts And Equipment Sales
Revenue & Margin,Segment-1 %,3509.0%,6439.3%,9058.9%,6496.0%,6716.5%,3070.5%,8376.0%,3570.3%,4491.6%
Revenue & Margin,Segment-2,Subscriber Solutions And Experience,"Hotel, Owned",Service,Europe,Product,Concessions,Financing Fees,Advanced Protection And Sensing Products Group,Maintenance Services
Revenue & Margin,Segment-2 %,3405.4%,1892.8%,941.1%,2703.2%,3283.5%,2756.6%,1376.1%,3551.1%,4004.1%
Revenue & Margin,Segment-3,Access & Aggregation Solutions,Food and Beverage,-,Non-US,-,Occupancy,Other Revenues,Signal Integrity,Managed Services And Other Revenue
Revenue & Margin,Segment-3 %,3085.6%,1668.0%,-,800.8%,-,1595.9%,247.9%,2878.6%,1504.3%
Revenue & Margin,Others,-,-,-,-,-,"Product and Service, Other, Food and Beverage",-,IoT Connected Services Group,"Other Revenue, Asset Transition Fees"
Revenue & Margin,Others %,-,-,-,-,-,2577.1%,-,1111.4%,192.0%
Revenue & Margin,Revenue Total,1083807000,11486000000,7835844387,928842000,1619000000,758458000,755156000,1026620000,686060000
Revenue & Margin,Rev-CoGS / Sale (%),38.28679829526844,43.940449242556156,24.230488090727828,37.63148091925214,40.7041383570105,102.57047852353062,37.696846744248866,52.05178157448715,76.88292569163046
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),17.409003632565575,26.467003308375414,14.573646037363556,0.32244450617004833,13.279802347127855,87.33522489050152,-0.2135982498980343,30.957121427597357,48.00163251027607
Revenue & Margin,Op. Income / Rev (%),-1.4390015934571376,17.77816472227059,8.03624701946241,-4.962307905973244,-0.3088326127239036,2.2498279403737587,-1.815651335618071,7.020124291363892,17.431565752266565
