index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,47.7,46.7,42.3,53.6,48.2
DIO,113.6,115.5,101.5,96.7,121.4
DPO,71.1,72.7,64.6,63.3,58.5
Cash,229000.0,219000.0,198000.0,332000.0,287000.0
Debt,5327000.0,5634000.0,5123000.0,5472000.0,6010000.0
Revenue,7256000.0,7397000.0,7582000.0,8133000.0,9459000.0
Op Income,447000.0,466000.0,478000.0,365000.0,803000.0
EBITDA,597000.0,346000.0,358000.0,74000.0,688000.0
Net Income,-24000.0,-243000.0,-216000.0,-388000.0,197000.0
Adj. EBITDA,747000.0,769000.0,791000.0,545000.0,1091000.0
D & A,309000.0,313000.0,323000.0,334000.0,296000.0
Net Int Inc,-309000.0,-301000.0,-295000.0,-283000.0,-235000.0
Tax Provision,3000.0,-25000.0,-44000.0,-155000.0,-40000.0
Adj. Net Income,126000.0,180000.0,217000.0,83000.0,600000.0
CapEx,-273000.0,-265000.0,-259000.0,-284000.0,-312000.0
OCF,253000.0,161000.0,496000.0,930000.0,-272000.0
BQR's FCF,-20000.0,-104000.0,237000.0,646000.0,-584000.0
COGS,4786000000.0,4864000000.0,5034000000.0,5780000000.0,6625000000.0
AR,948500000.0,945500000.0,878000000.0,1195000000.0,1250000000.0
INV,1489500000.0,1538500000.0,1400000000.0,1531000000.0,2203000000.0
AP,932000000.0,968250000.0,891000000.0,1003000000.0,1062000000.0
Total Debt / Adj Ebitda,7.13,7.33,6.48,10.04,5.51
Adj Ebitda / Interest Expense,2.42,2.55,2.68,1.93,4.64
Net Profit before extraordinary,126.0M,180.0M,217.0M,83.0M,600.0M
(NCO-CAPEX) / Total Debt (%),-0.38,-1.85,4.63,11.81,-9.72
Score: Operating Leverage,75,75,75,75,65
Score: ICR,65,58,58,65,52
Score: Net Income,42,42,35,42,35
Score: FCF/Debt,75,75,75,58,75
BQR,65.25,64.2,62.45,61.0,58.05
