index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-09-30,2025-06-30,2025-09-30,2024-09-30,2023-09-30
DSO,27.8,27.4,23.5,22.0,19.6
DIO,117.3,120.2,120.7,137.4,147.7
DPO,47.1,47.5,51.6,55.3,44.0
Cash,5520000.0,5448000.0,5520000.0,7849000.0,8450000.0
Debt,14811000.0,14788000.0,14811000.0,14634000.0,15398000.0
Revenue,44284000.0,43257000.0,44284000.0,38962000.0,35820000.0
Op Income,21436000.0,21125000.0,21436000.0,19143000.0,17468000.0
EBITDA,14930000.0,14632000.0,14929000.0,12739000.0,9946000.0
Net Income,5541000.0,11573000.0,5541000.0,10110000.0,7339000.0
Adj. EBITDA,14763000.0,14428000.0,14762000.0,12832000.0,10858000.0
D & A,1602000.0,1670000.0,1602000.0,1706000.0,1809000.0
Net Int Inc,-25000.0,7000.0,-25000.0,-22000.0,-381000.0
Tax Provision,7122000.0,715000.0,7122000.0,226000.0,104000.0
Adj. Net Income,6014000.0,12050000.0,6013000.0,10878000.0,8564000.0
CapEx,-1192000.0,-1041000.0,-1192000.0,-1041000.0,-1450000.0
OCF,14012000.0,12663000.0,14012000.0,12202000.0,11299000.0
BQR's FCF,12820000.0,11622000.0,12820000.0,11161000.0,9849000.0
COGS,19738000000.0,19171000000.0,19738000000.0,17060000000.0,15869000000.0
AR,3378500000.0,3251500000.0,2855000000.0,2347000000.0,1923000000.0
INV,6340750000.0,6315000000.0,6526000000.0,6423000000.0,6422000000.0
AP,2547000000.0,2495250000.0,2791000000.0,2584000000.0,1912000000.0
