Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-02-18,2025-10-30,2025-07-31,2025-04-29,2025-02-19,2024-10-29,2024-07-30,2024-04-30,2023-12-31,2023-10-31,2023-08-01,2023-05-02,2023-02-22,2022-11-01,2022-08-02,2022-05-03,2022-02-23
Revenue & Margin,Segment-1,Petroleum Segment,-,-,-,Petroleum Segment,-,-,-,-,-,-,-,Petroleum Segment,-,-,-,Petroleum Segment
Revenue & Margin,Segment-1 %,9366.0%,-,-,-,9436.8%,-,-,-,-,-,-,-,9222.7%,-,-,-,9265.2%
Revenue & Margin,Segment-2,Nitrogen Fertilizer Segment,-,-,-,Nitrogen Fertilizer Segment,-,-,-,-,-,-,-,Nitrogen Fertilizer Segment,-,-,-,Nitrogen Fertilizer Segment
Revenue & Margin,Segment-2 %,883.3%,-,-,-,715.9%,-,-,-,-,-,-,-,777.3%,-,-,-,734.8%
Revenue & Margin,Segment-3,Renewables Segment,-,-,-,Renewables Segment,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Segment-3 %,-249.2%,-,-,-,-152.7%,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Revenue & Margin,Revenue Total,7161000000,7298000000,7187000000,7393000000,7610000000,7865000000,8554000000,8823000000,9246000000,9724000000,9901000000,10809000000,10896000000,10329000000,9513000000,8152000000,7242000000
Revenue & Margin,Rev-CoGS / Sale (%),4.175394497975144,6.23458481775829,-2.4766940308891052,-0.7439469768700122,2.6018396846254928,3.78893833439288,9.99532382511106,11.968718123087385,13.681592039800993,14.345948169477582,10.604989395010605,11.407160699417153,10.306534508076357,8.829509148997968,10.291180489855986,7.065750736015702,2.8859431096382218
Revenue & Margin,Rev-CoGS-SG&A / Rev (%),2.108644044127915,4.165524801315429,-4.549881730903019,-2.651156499391316,0.7621550591327201,2.059758423394787,8.428805237315876,10.404624277456648,12.156608263032663,12.823940765117236,9.14049085950914,10.019428254232583,8.929882525697504,7.425694646141931,8.819510144013455,5.458783120706575,1.2427506213753108
Revenue & Margin,Op. Income / Rev (%),2.024856863566541,4.097012880241162,-4.53596771949353,-2.651156499391316,0.7621550591327201,2.0343293070565798,8.393733925648819,10.37062223733424,12.134977287475666,12.710818593171535,9.029390970609029,9.917661208252381,8.828928046989722,7.416013166811888,8.808998212971723,5.42198233562316,1.2013256006628004
Revenue & Margin,Net Profit / Rev (%),0.3770423125261835,2.274595779665662,-4.619451787950466,-2.66468280806168,0.10512483574244415,0.8900190718372537,6.3946691606266075,7.435112773433072,8.317110101665586,8.124228712464006,5.352994647005353,5.22712554352854,4.258443465491924,3.272340013554071,3.4584253127299487,1.9381746810598626,0.3452085059375863
EBITDA,Net Income,27000000,166000000,-332000000,-197000000,8000000,70000000,547000000,656000000,769000000,790000000,530000000,565000000,464000000,338000000,329000000,158000000,25000000
EBITDA,D & A,403000000,332000000,295000000,290000000,298000000,301000000,306000000,306000000,298000000,294000000,289000000,289000000,288000000,289000000,281000000,280000000,279000000
EBITDA,Net Int Inc,-105000000,-101000000,-94000000,-83000000,-78000000,-65000000,-58000000,-55000000,-53000000,-63000000,-71000000,-78000000,-84000000,-91000000,-95000000,-110000000,-117000000
EBITDA,Tax Provision,-10000000,-15000000,-109000000,-93000000,-27000000,7000000,97000000,167000000,206000000,235000000,158000000,180000000,158000000,100000000,140000000,68000000,-8000000
EBITDA,EBITDA,525000000,584000000,-52000000,83000000,357000000,443000000,1008000000,1184000000,1326000000,1382000000,1048000000,1112000000,994000000,818000000,845000000,616000000,413000000
EBITDA,Stock-Based Comp,37000000,39000000,23000000,12000000,16000000,18000000,30000000,35000000,34000000,52000000,50000000,55000000,71000000,64000000,51000000,52000000,27000000
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,25.44,36.48,26.85,19.4,18.74,23.03,26.35,36.72,30.3,34.03,29.96,32.78,31.34,28.98,33.5,25.54,16.81
Capital Structure,O/S Shares,100500000,100500000,100500000,100500000,100500000,100500000,100500000,100500000,100500000,100500000,100500000,100500026,100500000,100500000,100500000,100500000,100500000
Capital Structure,Market Capitalization,2556720000,3666239999,2698425000,1949699999,1883369999,2314515000,2648175000,3690360000,3045150000,3420015000,3010980000,3294390852,3149670000,2912490000,3366750000,2566770000,1689404999
Capital Structure,Cash,511000000,670000000,596000000,695000000,987000000,534000000,586000000,644000000,581000000,889000000,751000000,601000000,510000000,618000000,893000000,676000000,510000000
Capital Structure,Debt,1831000000,1857000000,1877000000,1934000000,1935000000,1596000000,1608000000,1611000000,2199000000,1603000000,1605000000,1605000000,1606000000,1607000000,1608000000,1607000000,1673000000
Capital Structure,Enterprise Value,3876720000,4853239999,3979425000,3188699999,2831369999,3376515000,3670175000,4657360000,4663150000,4134015000,3864980000,4298390852,4245670000,3901490000,4081750000,3497770000,2852404999
Capital Structure,netCommonStockIssuance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12000000,0
Capital Structure,netDebtIssuance,-76000000,-20000000,-72000000,0,325000000,0,0,-600000000,600000000,0,0,0,0,0,0,-65000000,-15000000
Liquidity & Cash Flow,DSO,13.417993297025555,13.916312688407782,14.486746904132461,14.73725145407818,13.513633377135347,12.97107438016529,12.29965513210194,11.94534172050323,12.158771360588362,12.236733854380914,12.054842945157056,12.038347673235268,12.134843061674008,12.279746345241554,12.565699569010828,12.60396221786065,12.587510356255178
Liquidity & Cash Flow,DIO,21.236702127659573,27.989734034780067,25.869653767820775,26.07142857142857,26.395035078251485,27.08437954275142,27.947460709183012,27.479560963048797,26.834199974940482,25.932134710049226,24.629561631454074,24.6516029657477,24.845620587332444,24.42829457364341,24.710423013827047,24.004916842661036,21.901037963884544
Liquidity & Cash Flow,DPO,25.71808510638298,27.42967265819085,25.82009504412763,26.2797059613319,25.557879114948733,24.937888198757765,25.719249253149762,24.82441740697824,23.712880591404584,22.360577500300156,20.949045305615183,21.268796992481203,22.67944848050752,22.684108527131784,23.448705179282868,23.59539994720169,21.62857244419167
Liquidity & Cash Flow,CCC,8.93661031830215,14.476374064997,14.536305627825609,14.528974064174847,14.350789340438098,15.117565724158947,14.52786658813519,14.600485276573785,15.280090744124259,15.808291064129985,15.735359270995946,15.421153646501761,14.301015168498932,14.023932391753178,13.827417403555003,13.013479113319995,12.859975875948052
Liquidity & Cash Flow,OCF,144000000,242000000,127000000,32000000,404000000,270000000,592000000,878000000,948000000,1083000000,869000000,892000000,967000000,882000000,865000000,622000000,396000000
Liquidity & Cash Flow,CapEx,-338000000,-338000000,-317000000,-203000000,-211000000,-215000000,-246000000,-268000000,-262000000,-258000000,-268000000,-286000000,-274000000,-257000000,-256000000,-234000000,-227000000
Liquidity & Cash Flow,FCF,-194000000,-103000000,-211000000,-160000000,204000000,73000000,378000000,610000000,686000000,825000000,601000000,606000000,693000000,625000000,609000000,388000000,169000000
BQR,Total Debt / Adj Ebitda,3.487619047619048,3.1797945205479454,999.0,23.301204819277107,5.420168067226891,3.6027088036117383,1.5952380952380953,1.3606418918918919,1.658371040723982,1.1599131693198264,1.5314885496183206,1.4433453237410072,1.6156941649899397,1.9645476772616137,1.9029585798816568,2.6087662337662336,4.0508474576271185
BQR,Adj Ebitda / Interest Expense,5.0,5.782178217821782,-999.0,1.0,4.576923076923077,6.815384615384615,17.379310344827587,21.527272727272727,25.0188679245283,21.936507936507937,14.76056338028169,14.256410256410257,11.833333333333334,8.989010989010989,8.894736842105264,5.6,3.52991452991453
BQR,Net Income before extraordinary,27000000,166000000,-332000000,-197000000,8000000,70000000,547000000,656000000,769000000,790000000,530000000,565000000,464000000,338000000,329000000,158000000,25000000
BQR,(NCO-CAPEX) / Total Debt (%),-10.595303113052976,-5.546580506192784,-11.241342567927544,-8.273009307135471,10.542635658914728,4.5739348370927315,23.507462686567163,37.864680322780885,31.19599818099136,51.466001247660635,37.44548286604361,37.757009345794394,43.15068493150685,38.89234598630989,37.87313432835821,24.14436838830118,10.101613867304243
BQR,Score: Operating Leverage,48,45,75,75,65,48,35,35,35,35,35,35,35,42,42,45,52
BQR,Score: ICR,52,48,75,75,52,48,25,25,25,25,35,35,42,45,45,48,58
BQR,Score: Net Income,48,42,75,75,55,45,35,35,35,35,35,35,35,35,35,42,52
BQR,Score: FCF/Debt,75,75,75,75,58,75,42,35,35,15,35,35,25,35,35,42,58
BQR,BQR,55.349999999999994,52.199999999999996,75.0,75.0,58.8,54.0,35.25,33.5,33.5,28.5,35.0,35.0,33.55,38.95,38.95,43.949999999999996,54.4
