index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,28.3,27.5,34.0,13.7,25.5
DIO,98.0,117.9,141.7,220.5,96.1
DPO,58.5,57.3,56.9,65.2,86.0
Cash,341403.0,314459.0,281607.0,227504.0,499915.0
Debt,,,15549.0,64830.0,547582.0
Revenue,742807.0,703203.0,584386.0,782258.0,1024106.0
Op Income,250247.0,228424.0,166735.0,313590.0,451586.0
EBITDA,-40736.0,-54437.0,-104918.0,46092.0,189770.0
Net Income,-86046.0,-104614.0,-191010.0,-34516.0,91402.0
Adj. EBITDA,-40736.0,-54437.0,-104918.0,46092.0,189770.0
D & A,41530.0,44754.0,48585.0,51081.0,56595.0
Net Int Inc,12629.0,13018.0,10677.0,13611.0,7192.0
Tax Provision,2759.0,4350.0,36197.0,7943.0,38450.0
Adj. Net Income,-72396.0,-90523.0,-179023.0,679.0,101917.0
CapEx,-23905.0,-19720.0,-11748.0,-22282.0,-26525.0
OCF,97487.0,94792.0,-13910.0,-30348.0,71807.0
BQR's FCF,73582.0,75072.0,-25658.0,-52630.0,45282.0
COGS,327679000.0,316781000.0,272198000.0,321672000.0,381549000.0
AR,57587250.0,52980000.0,54479000.0,29295000.0,71437000.0
INV,88024250.0,102349000.0,105639000.0,194295000.0,100417000.0
AP,52518750.0,49769000.0,42448000.0,57498000.0,89860000.0
