index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-09-30,2025-06-30,2025-09-30,2024-09-30,2023-09-30
DSO,75.6,78.1,75.2,68.5,45.3
DIO,102.9,103.2,93.3,91.0,113.8
DPO,69.1,74.6,69.9,78.1,77.7
Cash,123600.0,122000.0,123600.0,368900.0,753900.0
Debt,654200.0,759900.0,654200.0,679100.0,1651100.0
Revenue,2809000.0,2849200.0,2809000.0,2963900.0,2918800.0
Op Income,149300.0,178500.0,149300.0,155900.0,35500.0
EBITDA,215200.0,215100.0,215200.0,323900.0,-82900.0
Net Income,100200.0,59800.0,100200.0,99300.0,-233700.0
Adj. EBITDA,239600.0,259000.0,239600.0,306600.0,161200.0
D & A,98000.0,99600.0,98000.0,101800.0,91200.0
Net Int Inc,-25800.0,-22000.0,-25800.0,-1000.0,-77800.0
Tax Provision,-13000.0,26900.0,-13000.0,64300.0,-56500.0
Adj. Net Income,128800.0,110500.0,128800.0,139500.0,48700.0
CapEx,-38300.0,-38100.0,-38300.0,-44000.0,-59000.0
OCF,203600.0,113200.0,203600.0,162600.0,-409700.0
BQR's FCF,165300.0,75100.0,165300.0,118600.0,-468700.0
