index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,47.3,47.8,48.1,36.6,44.6
DIO,139.8,138.3,126.7,109.4,111.0
DPO,63.8,66.4,60.0,75.3,91.2
Cash,1999000.0,1616000.0,2282000.0,3222000.0,3258000.0
Debt,2376000.0,2865000.0,3167000.0,3173000.0,2910000.0
Revenue,11792000.0,11856000.0,13269000.0,17286000.0,16128000.0
Op Income,2139000.0,2318000.0,3571000.0,6656000.0,6181000.0
EBITDA,2330000.0,2768000.0,3723000.0,6379000.0,5715000.0
Net Income,626000.0,748000.0,1565000.0,4222000.0,3966000.0
Adj. EBITDA,2206000.0,2689000.0,3787000.0,6514000.0,5729000.0
D & A,1967000.0,1777000.0,1760000.0,1561000.0,1216000.0
Net Int Inc,172000.0,189000.0,218000.0,171000.0,58000.0
Tax Provision,143000.0,160000.0,313000.0,541000.0,520000.0
Adj. Net Income,268000.0,941000.0,1932000.0,4583000.0,4051000.0
CapEx,-3667000.0,-2503000.0,-3181000.0,-4536000.0,-3636000.0
OCF,3285000.0,2311000.0,2965000.0,5992000.0,5202000.0
BQR's FCF,-382000.0,-192000.0,-216000.0,1456000.0,1566000.0
COGS,7987000000.0,7882000000.0,8049000000.0,8999000000.0,8493000000.0
AR,1526500000.0,1554000000.0,1749000000.0,1731000000.0,1970000000.0
INV,3060000000.0,2987000000.0,2794000000.0,2698000000.0,2583000000.0
AP,1395750000.0,1433000000.0,1323000000.0,1856000000.0,2122000000.0
