index,LTM (Current),LTM (-1Q),FY 2025,FY 2024,FY 2023
Statement Date,2025-09-30,2025-06-30,2025-06-30,2024-06-30,2023-06-30
DSO,43.5,46.3,44.3,54.2,44.1
DIO,78.1,78.6,85.7,80.1,78.3
DPO,53.3,54.7,60.5,61.5,26.2
Cash,459900.0,391500.0,391500.0,876900.0,924700.0
Debt,835400.0,880200.0,880200.0,1028800.0,1029400.0
Revenue,1109100.0,1074300.0,1074300.0,959400.0,1355100.0
Op Income,307600.0,300100.0,300100.0,278500.0,540900.0
EBITDA,88000.0,69400.0,69400.0,49900.0,339300.0
Net Income,-45300.0,-47800.0,-47800.0,125600.0,73600.0
Adj. EBITDA,113500.0,106600.0,106600.0,76400.0,339300.0
D & A,154000.0,143100.0,143100.0,109200.0,157800.0
Net Int Inc,-6500.0,-12900.0,-12900.0,-23000.0,-28300.0
Tax Provision,-56600.0,-65700.0,-65700.0,-250200.0,52400.0
Adj. Net Income,9600.0,16300.0,16300.0,194400.0,100800.0
CapEx,-38900.0,-35800.0,-35800.0,-167600.0,-34200.0
OCF,183600.0,142000.0,142000.0,135900.0,331500.0
BQR's FCF,144700.0,106200.0,106200.0,-31700.0,297300.0
COGS,625000000.0,593900000.0,593900000.0,519600000.0,639200000.0
AR,132075000.0,136150000.0,130300000.0,142400000.0,163900000.0
INV,133750000.0,127875000.0,139500000.0,114000000.0,137200000.0
AP,91250000.0,88950000.0,98500000.0,87500000.0,45800000.0
