index,LTM (Current),LTM (-1Q),FY 2024,FY 2023,FY 2022
Statement Date,2025-09-30,2025-06-30,2024-12-31,2023-12-31,2022-12-31
DSO,28.0,27.4,24.0,21.1,18.2
DIO,154.2,162.8,147.6,172.0,163.0
DPO,70.2,71.8,75.5,97.1,61.8
Cash,164483.0,269673.0,358795.0,438960.0,234741.0
Debt,222530.0,176983.0,172503.0,176113.0,164077.0
Revenue,1831326.0,1822000.0,1829873.0,1658713.0,1595222.0
Op Income,220552.0,235834.0,245376.0,225458.0,126361.0
EBITDA,273126.0,286704.0,293508.0,273322.0,160490.0
Net Income,160314.0,177198.0,175689.0,169885.0,89693.0
Adj. EBITDA,273126.0,286704.0,293508.0,273322.0,160490.0
D & A,52574.0,50870.0,48132.0,46434.0,39847.0
Net Int Inc,716.0,1152.0,660.0,-942.0,-4466.0
Tax Provision,53366.0,57459.0,57159.0,56061.0,26484.0
Adj. Net Income,167902.0,179527.0,188877.0,169885.0,89693.0
CapEx,-125643.0,-90099.0,-95284.0,-72824.0,-56910.0
OCF,307419.0,289999.0,261386.0,285942.0,100894.0
BQR's FCF,181776.0,199900.0,166102.0,213118.0,43984.0
COGS,773075000.0,758544000.0,766589000.0,715527000.0,831821000.0
AR,140439750.0,137000250.0,120190000.0,95774000.0,79446000.0
INV,326674750.0,338234250.0,310058000.0,337208000.0,371412000.0
AP,148779750.0,149137250.0,158499000.0,190392000.0,140818000.0
