,index,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q)
0,Statement Date,2025-11-30,2025-08-31,2025-05-31,2025-02-28,2024-11-30,2024-08-31,2024-05-31,2024-02-29,2023-11-30,2023-08-31,2023-05-31,2023-02-28
1,DSO,78.92537951764442,79.37738697595043,78.73810855244614,77.66781706955886,76.01873847119926,75.60875452035175,75.82026922928783,74.48654148275604,73.76224735457141,75.10288458284563,79.39510379004943,83.78743003579446
2,DIO,187.3008859695623,182.32940884218692,173.60407499987195,166.99347425998656,161.84984459710566,157.28871339682615,153.64063085676534,146.12015330512406,147.7867195426601,150.11037227227988,161.41488118134802,169.93226780965063
3,DPO,101.21974039540049,104.2820037139604,106.20919109549396,105.9464223329464,103.77360880166542,100.26423451245734,94.06271974459929,88.38817458514374,81.73845667211427,73.1993976882964,74.94933431636535,79.92289474512219
4,FCF,53975000,48395000,111939000,83141000,122726000,188138000,176422000,269423000,332827000,358640000,257187000,33378000
5,CCC,165.00652509180622,157.42479210417696,146.13299245682413,138.71486899659902,134.0949742666395,132.63323340472056,135.3981803414539,132.21852020273633,139.81051022511727,152.0138591668291,165.8606506550321,173.79680310032288
6,Sale,1802156000,1820033000,1862473000,1907665000,1910975000,1929883000,1947225000,2005050000,2000432000,2009424000,2039261000,2072667000
7,Rev-CoGS / Sale (%),46.71987330730525,47.30403234446848,47.58930728123307,47.93325866963015,48.04207271157394,47.80212064669205,48.07395139236606,47.313533328345926,45.95122453550033,43.675102915064215,42.633630516152664,41.73130560770254
8,Rev-CoGS-SG&A / Sale (%),3.4167408370862455,4.542500053570457,5.657585371707402,6.8472189823684975,8.742291238765551,10.324149184173342,10.955487937963,11.407496072417146,10.13446095643341,7.219581332760034,7.175736700696969,6.3819706687084805
9,Op. Income / Sale (%),-40.45765183480231,-35.47309307029048,-15.842001467940744,7.482865178110412,10.82740485877628,12.369558154561702,12.875296896866052,12.99663350041146,12.403620817903333,10.868388155013577,10.714322492314619,10.218283979047285
10,Net Profit / Sale (%),-43.975105373785624,-36.19868430957021,-17.888635164107075,6.487040439490162,6.047593505932835,7.350186513897475,7.817124369294766,8.408468616742725,8.10025034592528,6.866047185661165,6.926970113192965,6.912494867723566
11,Net Income,-792500000,-658828000,-333171000,123751000,115568000,141850000,152217000,168594000,162040000,137968000,141259000,143273000
12,D & A,53979000,54364000,55296000,55048000,55312000,54521000,54620000,51499000,48390000,47672000,44900000,44683000
13,Net Int Inc,-57883000.0,-54192000.0,-53187000.0,-51922000.0,-50423000.0,-51118000.0,-51556000.0,-53065000.0,-54628000.0,-54918000.0,-50430000.0,-40751000.0
14,Tax Provision,6645000,-39861000,-14023000,-32087000,42439000,47253000,48419000,40448000,31987000,25860000,27123000,28016000
15,EBITDA,-673993000.0,-590133000.0,-238711000.0,198634000.0,263742000.0,294742000.0,306812000.0,313606000.0,297045000.0,266418000.0,263712000.0,256723000.0
16,Adjustments to EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
17,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
18,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
19,Cash,27137000,22370000,22669000,18867000,40804000,20137000,16148000,18501000,25247000,24214000,38869000,29073000
20,Debt,946884000,932675000,912016000,956843000,49461000,750291000,786618000,711194000,774904000,885939000,878479000,984204000
21,OCF,94790000,91165000,146231000,113213000,151844000,218251000,210331000,306067000,391178000,441426000,367726000,208242000
22,CapEx,40815000,42770000,34292000,30072000,29118000,30113000,33909000,36644000,58351000,82786000,110539000,174864000
23,Total Debt / Adj Ebitda,999.0,999.0,999.0,4.817115901607982,0.18753554610187229,2.545585630822889,2.563843656701824,2.2677946212763787,2.608709118147082,3.32537215953877,3.3312060126198277,3.833719612189013
24,Adj Ebitda / Interest Expense,-999.0,-999.0,-999.0,3.825623049959555,5.230589215239077,5.765914159395908,5.951043525486849,5.909846414774333,5.437596104561763,4.851196329072435,5.229268292682927,6.299796324016588
25,Net Income before extraordinary,-792500000,-658828000,-333171000,123751000,115568000,141850000,152217000,168594000,162040000,137968000,141259000,143273000
26,(NCO-CAPEX) / Total Debt (%),5.700275852163517,5.188838555767014,12.273797828108279,8.68909528522443,248.12680697923616,25.0753374357416,22.4279129132565,37.883193615244224,42.950739704531145,40.48134239490529,29.276397045347696,3.3913700818123074
27,Score: Operating Leverage,75,75,75,58,15,45,45,42,45,48,48,52
28,Score: ICR,75,75,75,58,48,48,48,48,48,52,48,48
29,Score: Net Income,75,75,75,42,42,42,42,42,42,42,42,42
30,Score: FCF/Debt,65,75,55,58,15,42,45,35,25,25,42,75
31,BQR,72.5,75.0,70.0,54.0,26.7,43.949999999999996,44.699999999999996,41.15,39.699999999999996,41.349999999999994,45.0,54.65
