index,0,1,2,3
Ticker,HELE,YETI,NWL,SPB
mkt_cap,453.256128,4016.537856,1787.888,1537.3888
EV,1356.3776,3860.529408,7138.023936,2026.384128
avg vol (3M),892.77k,1.95M,8.99M,310.38k
avg vol (10D),1.08M,1.75M,6.17M,286.89k
o/s shares,22.45M,77.25M,391.65M,20.66M
% Insider,1.4%,0.5%,0.5%,4.4%
% Inst.,104.6%,122.1%,104.0%,115.0%
% Short,15.4%,12.9%,15.1%,15.0%
DSO,77.4,28.0,47.7,75.6
DIO,187.3,154.2,113.6,102.9
DPO,101.2,70.2,71.1,69.1
cash,27137.0,164483.0,229000.0,123600.0
debt,946884.0,222530.0,5327000.0,654200.0
revenue_yoy,-0.033685317294321115,0.0194925173480478,-0.07241910631741144,-0.05195812330360605
revenue,1802156.0,1831326.0,7256000.0,2809000.0
op income,139978.0,220552.0,447000.0,149300.0
EBITDA,-673993.0,273126.0,597000.0,215200.0
Net Income,-792500.0,160314.0,-24000.0,100200.0
Adj. EBITDA,195095.0,273126.0,747000.0,239600.0
D & A,53979.0,52574.0,309000.0,98000.0
Net Int Inc,-57883.0,716.0,-309000.0,-25800.0
Tax Provision,6645.0,53366.0,3000.0,-13000.0
Adj. Net Income,76588.0,167902.0,126000.0,128800.0
CapEx,-38923.0,-125643.0,-273000.0,-38300.0
OCF,94790.0,307419.0,253000.0,203600.0
BQR's FCF,55867.0,181776.0,-20000.0,165300.0
Financial Date,2025-11-30,2025-09-30,2025-09-30,2025-09-30
Total Debt / Adj Ebitda,4.85,0.81,7.13,2.73
Adj Ebitda / Interest Expense,3.37,999.0,2.42,9.29
Net Profit before extraordinary,76.6M,167.9M,126.0M,128.8M
(NCO-CAPEX) / Total Debt (%),5.9,81.69,-0.38,25.27
BQR,55.75,25.25,65.25,43.5
