Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years),LTM (-17Q)
Header,Fiscal Period,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4
Header,Statement Date,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30,2023-03-31,2022-12-31,2022-09-30,2022-06-30,2022-03-31,2021-12-31
Header,Filing Date,2026-03-31,2026-02-25,2025-11-05,2025-08-06,2025-05-06,2025-02-28,2024-11-06,2024-07-31,2024-04-29,2024-02-12,2023-10-27,2023-07-28,2023-04-28,2023-02-13,2022-10-28,2022-07-29,2022-04-28,2022-02-14
Revenue & Margin,Segment-1,-,Transcatheter Heart Valves,-,-,-,Transcatheter Heart Valves,-,-,-,Transcatheter Heart Valves,-,-,-,Transcatheter Heart Valves,-,-,-,Transcatheter Heart Valves
Revenue & Margin,Segment-1 %,-,74.0%,-,-,-,75.5%,-,-,-,64.6%,-,-,-,65.4%,-,-,-,65.4%
Revenue & Margin,Segment-2,-,Surgical Heart Valve Therapy,-,-,-,Surgical Heart Valve Therapy,-,-,-,Surgical Heart Valve Therapy,-,-,-,Surgical Heart Valve Therapy,-,-,-,Surgical Heart Valve Therapy
Revenue & Margin,Segment-2 %,-,17.0%,-,-,-,18.0%,-,-,-,16.6%,-,-,-,16.6%,-,-,-,17.0%
Revenue & Margin,Segment-3,-,Transcatheter Mitral And Tricuspid Therapies,-,-,-,Transcatheter Mitral And Tricuspid Therapies,-,-,-,Critical Care,-,-,-,Critical Care,-,-,-,Critical Care
Revenue & Margin,Segment-3 %,-,9.1%,-,-,-,6.5%,-,-,-,15.5%,-,-,-,15.9%,-,-,-,16.0%
Revenue & Margin,Others,-,-,-,-,-,-,-,-,-,Transcatheter Mitral And Tricuspid Therapies,-,-,-,Transcatheter Mitral And Tricuspid Therapies,-,-,-,Transcatheter Mitral And Tricuspid Therapies
Revenue & Margin,Others %,-,-,-,-,-,-,-,-,-,3.3%,-,-,-,2.2%,-,-,-,1.6%
Revenue & Margin,Revenue Total ($k),"6,303,500","6,067,600","5,883,800","5,685,100","5,538,800","5,456,000","5,336,600","5,225,600","5,135,200","5,264,900","5,346,800","5,422,400","5,500,800","5,382,400","5,363,800","5,355,000","5,357,100","4,015,900"
Revenue & Margin,Rev-CoGS / Rev,78.01%,78.11%,78.25%,78.90%,79.16%,79.07%,79.37%,78.75%,78.90%,78.09%,77.60%,77.75%,77.79%,78.28%,77.92%,77.51%,76.77%,76.64%
Revenue & Margin,Rev-CoGS-SG&A / Rev,44.01%,43.71%,44.67%,45.82%,46.12%,46.21%,47.19%,46.65%,47.02%,46.85%,46.93%,47.60%,48.10%,49.16%,48.45%,48.24%,48.16%,47.70%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,27.62%,26.72%,26.57%,26.19%,25.69%,25.36%,26.75%,27.24%,27.83%,28.05%,28.60%,29.69%,30.32%,31.60%,30.82%,30.50%,30.90%,30.37%
Revenue & Margin,Net Income / Rev,17.34%,17.64%,23.19%,72.90%,75.43%,76.47%,77.88%,28.14%,27.53%,26.64%,26.76%,25.63%,27.07%,28.28%,27.20%,27.18%,28.72%,29.01%
EBITDA,Net Income ($k),"1,092,800","1,070,100","1,364,500","4,144,200","4,178,100","4,172,000","4,156,300","1,470,400","1,413,800","1,402,400","1,430,900","1,389,500","1,488,800","1,521,900","1,458,800","1,455,400","1,538,500","1,164,900"
EBITDA,D & A ($k),"120,000","156,600","156,500","151,800","153,300","155,200","149,300","151,700","148,200","144,900","143,600","142,100","140,100","139,600","137,200","135,400","137,100","134,800"
EBITDA,Net Interest Expense ($k),"-145,400","-131,400","-139,700","-124,600","-103,700","-103,200","-75,800","-68,600","-65,000","-52,900","-42,400","-31,200","-17,200","-9,300","-1,800","5,700","7,100","6,100"
EBITDA,Tax Provision ($k),"224,900","216,900","235,800","220,400","176,300","152,300","141,300","153,300","154,000","165,800","192,600","203,700","241,100","245,500","225,600","212,600","210,300","147,800"
