Category,Metric,LTM (Current),LTM (-1Q),LTM (-2Q),LTM (-3Q),LTM (-1 Years),LTM (-5Q),LTM (-6Q),LTM (-7Q),LTM (-2 Years),LTM (-9Q),LTM (-10Q),LTM (-11Q),LTM (-3 Years),LTM (-13Q),LTM (-14Q),LTM (-15Q),LTM (-4 Years)
Header,Fiscal Period,2026-Q3,2026-Q2,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3
Header,Statement Date,2026-01-31,2025-10-31,2025-07-31,2025-04-30,2025-01-31,2024-10-31,2024-07-31,2024-04-30,2024-01-31,2023-10-31,2023-07-31,2023-04-30,2023-01-31,2022-10-31,2022-07-31,2022-04-30,2022-01-31
Header,Filing Date,2026-02-24,2025-11-25,2025-08-26,2025-06-20,2025-02-25,2024-11-26,2024-08-27,2024-06-20,2024-02-27,2023-11-30,2023-08-31,2023-06-22,2023-03-01,2022-12-01,2022-09-01,2022-06-23,2022-03-03
Revenue & Margin,Segment-1,-,-,-,Cardiac and Vascular Group,-,-,-,Cardiac and Vascular Group,-,-,-,Cardiac and Vascular Group,-,-,-,Cardiac and Vascular Group,-
Revenue & Margin,Segment-1 %,-,-,-,37.3%,-,-,-,36.8%,-,-,-,37.1%,-,-,-,36.1%,-
Revenue & Margin,Segment-2,-,-,-,Neuroscience Group,-,-,-,Neuroscience Group,-,-,-,Neuroscience Group,-,-,-,Medical Surgical,-
Revenue & Margin,Segment-2 %,-,-,-,29.4%,-,-,-,29.3%,-,-,-,28.7%,-,-,-,28.8%,-
Revenue & Margin,Segment-3,-,-,-,Medical Surgical,-,-,-,Medical Surgical,-,-,-,Medical Surgical,-,-,-,Neuroscience Group,-
Revenue & Margin,Segment-3 %,-,-,-,25.1%,-,-,-,26.2%,-,-,-,27.0%,-,-,-,27.7%,-
Revenue & Margin,Others,-,-,-,Diabetes Group,-,-,-,Diabetes Group,-,-,-,Diabetes Group,-,-,-,Diabetes Group,-
Revenue & Margin,Others %,-,-,-,8.2%,-,-,-,7.7%,-,-,-,7.2%,-,-,-,7.4%,-
Revenue & Margin,Revenue Total ($k),"35,484,000","34,758,000","34,200,000","33,537,000","33,199,000","32,996,000","32,577,000","32,364,000","32,319,000","31,957,000","31,558,000","31,227,000","30,772,000","30,808,000","31,070,000","31,686,000","31,785,000"
Revenue & Margin,Rev-CoGS / Rev,61.95%,62.27%,63.44%,65.31%,65.27%,65.05%,65.17%,65.35%,65.50%,65.40%,65.68%,65.68%,66.43%,67.21%,67.61%,67.98%,67.89%
Revenue & Margin,Rev-CoGS-SG&A / Rev,29.69%,30.02%,31.27%,32.96%,32.46%,32.16%,32.08%,32.17%,32.74%,32.45%,32.53%,32.32%,32.73%,33.73%,34.42%,35.50%,35.43%
Revenue & Margin,Rev-CoGs-SG&A-Other.OpEx / Rev,17.86%,17.87%,17.90%,17.76%,16.78%,16.39%,15.82%,15.89%,17.50%,17.41%,17.84%,17.57%,18.17%,19.02%,19.37%,18.15%,17.89%
Revenue & Margin,Net Income / Rev,13.00%,13.71%,13.63%,13.90%,12.83%,13.00%,12.05%,11.36%,13.00%,12.83%,11.47%,12.03%,13.20%,14.03%,16.75%,15.90%,15.46%
EBITDA,Net Income ($k),"4,614,000","4,765,000","4,661,000","4,663,000","4,260,000","4,288,000","3,927,000","3,676,000","4,201,000","4,101,000","3,619,000","3,757,000","4,063,000","4,321,000","5,205,000","5,039,000","4,915,000"
EBITDA,D & A ($k),"3,173,000","3,017,000","2,947,000","2,861,000","2,675,000","2,640,000","2,637,000","2,647,000","2,672,000","2,702,000","2,701,000","2,697,000","2,706,000","2,699,000","2,704,000","2,707,000","2,703,000"
EBITDA,Net Interest Expense ($k),"558,000","677,000","705,000","729,000","757,000","766,000","737,000","718,000","703,000","682,000","620,000","636,000","592,000","562,000","580,000","553,000","552,000"
EBITDA,Tax Provision ($k),"923,000","906,000","972,000","937,000","935,000","833,000","954,000","1,134,000","1,299,000","1,310,000","1,867,000","1,579,000","1,327,000","1,287,000","504,000","456,000","546,000"
EBITDA,EBITDA ($k),"9,268,000","9,365,000","9,285,000","9,190,000","8,627,000","8,527,000","8,255,000","8,175,000","8,875,000","8,795,000","8,807,000","8,669,000","8,688,000","8,869,000","8,993,000","8,755,000","8,716,000"
EBITDA,Stock-Based Comp ($k),"451,000","455,000","432,000","429,000","430,000","416,000","403,000","393,000","378,000","375,000","366,000","355,000","352,000","349,000","352,000","359,000","356,000"
EBITDA,Others Adj.,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Adj. EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
EBITDA,Covenant EBITDA,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
Capital Structure,Stock Price,100.88,93.67,92.94,84.16,90.19,90.59,78.70,79.74,86.54,69.43,88.25,90.68,82.58,86.82,92.52,104.36,103.13
Capital Structure,O/S Shares,"1,282,100,000","1,281,800,000","1,281,600,000","1,282,300,000","1,282,400,000","1,282,400,000","1,293,300,000","1,322,300,000","1,329,700,000","1,330,200,000","1,330,500,000","1,330,400,000","1,330,200,000","1,329,400,000","1,329,400,000","1,337,600,000","1,343,700,000"
Capital Structure,Market Capitalization ($k),"129,338,248","120,066,206","119,111,904","107,918,368","115,659,656","116,172,616","101,782,710","105,440,202","115,072,238","92,355,786","117,416,625","120,640,672","109,847,916","115,418,508","122,996,088","139,591,936","138,575,781"
Capital Structure,Cash ($k),"1,147,000","1,282,000","1,273,000","2,218,000","1,240,000","1,394,000","1,311,000","1,284,000","1,623,000","1,311,000","1,339,000","1,543,000","4,521,000","4,828,000","2,140,000","3,714,000","3,479,000"
Capital Structure,Debt ($k),"28,071,000","29,100,000","28,609,000","28,516,000","26,607,000","28,326,000","27,865,000","25,024,000","25,182,000","25,080,000","24,982,000","24,364,000","28,128,000","26,617,000","23,210,000","24,114,000","25,155,000"
Capital Structure,Enterprise Value ($k),"156,262,248","147,884,206","146,447,904","134,216,368","141,026,656","143,104,616","128,336,710","129,180,202","138,631,238","116,124,786","141,059,625","143,461,672","133,454,916","137,207,508","144,066,088","159,991,936","160,251,781"
Capital Structure,netCommonStockIssuance ($k),"59,000","-212,000","-28,000","-166,000","-13,000","-145,000","-2,403,000","-1,550,000","-75,000","-154,000","-75,000","2,000","-15,000","-31,000","-293,000","-1,321,000","-324,000"
Capital Structure,netDebtIssuance ($k),"-1,229,000","732,000","-513,000",0,"-1,003,000","557,000","2,585,000","63,000","-311,000","821,000","500,000","-3,854,000","-496,000","3,779,000","-27,000",0,0
Liquidity & Cash Flow,DSO,49.5,66.4,67.1,67.8,67.4,67.4,67.3,67.2,66.9,67.5,67.4,66.7,66.3,65.0,64.0,63.1,62.7
Liquidity & Cash Flow,DIO,70.7,117.4,118.2,172.4,171.9,172.8,177.8,182.0,183.7,182.3,180.2,174.8,175.4,171.6,165.8,159.8,156.1
Liquidity & Cash Flow,DPO,68.6,68.7,70.5,73.7,74.1,71.8,71.3,71.7,74.2,76.6,78.4,78.7,78.3,78.0,75.8,72.3,70.4
